player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Mack Hollins,11873,WR,LV,17,13.1,5,64.0,40.0,6,15,0,6.6,4,34,23,0,68.2,80.7,63.8,77.9,61.4,0.2,1,3,60,0.6,4,646,7,57,93.7,605,14.2,92,88.7,89,4,85.6,553,690,206,3.6,12.1,1.14
Brandin Cooks,8655,WR,HST,13,11.9,1,63.6,55.6,10,18,0,9.7,6,29,13,0,57.2,80.6,72.3,,71.9,0.2,1,4,44,0.0,0,450,1,56,94.9,427,24.7,111,80.6,88,3,74.9,337,699,198,3.5,12.5,1.64
Deebo Samuel,48274,WR,SF,13,4.5,32,64.4,28.6,4,14,0,8.2,5,25,28,0,61.6,28.0,72.4,76.3,76.8,0.3,1,3,57,0.8,3,399,1,56,94.0,375,26.6,106,79.3,87,2,60.2,240,632,499,8.9,11.3,1.69
Rhamondre Stevenson,98689,HB,NE,17,-0.5,21,79.3,,0,0,0,6.8,5,13,19,2,69.4,50.3,81.3,64.8,68.0,0.4,2,0,40,19.7,88,447,0,69,75.8,339,8.5,38,90.7,87,1,2.9,13,421,499,7.2,6.1,1.24
Curtis Samuel,11795,WR,WAS,17,6.9,7,73.6,44.4,8,18,0,4.5,3,36,32,0,79.6,61.0,70.5,69.2,70.2,0.2,1,2,49,0.2,1,546,1,64,93.6,511,71.2,389,100.5,87,4,25.3,138,655,293,4.6,10.2,1.28
Dalton Schultz,47304,TE,DAL,15,7.7,6,66.3,64.3,9,14,1,8.1,5,27,9,1,62.9,41.8,67.8,46.7,65.3,45.8,221,5,30,8.3,40,483,4,57,86.5,418,39.1,189,80.4,86,5,12.6,61,577,207,3.6,10.1,1.38
K.J. Osborn,23503,WR,MIN,17,8.6,6,70.6,36.4,4,11,0,0.0,0,32,18,1,90.8,45.7,65.1,71.5,65.3,0.0,0,2,66,0.6,4,635,2,60,93.4,593,59.1,375,102.6,85,5,40.8,259,650,302,5.0,10.8,1.1
Keenan Allen,7857,WR,LAC,10,9.0,1,77.6,41.7,5,12,0,0.0,0,39,27,1,90.9,45.4,84.8,72.2,84.8,0.0,0,2,46,0.8,3,370,0,66,96.2,356,64.3,238,109.4,85,4,35.1,130,752,251,3.8,11.4,2.11
Parris Campbell,47940,WR,IND,17,6.5,13,74.1,33.3,4,12,0,4.5,3,32,14,1,71.3,81.3,60.8,,61.2,0.2,1,6,49,0.0,0,635,2,63,95.0,603,82.0,521,76.7,85,3,17.8,113,623,285,4.5,9.9,1.03
George Pickens,99229,WR,PIT,17,15.6,7,61.9,67.9,19,28,0,7.1,4,38,25,0,67.8,80.6,68.8,,69.3,0.3,2,0,42,0.0,0,619,3,52,93.7,580,13.1,81,109.3,84,4,86.6,536,801,110,2.1,15.4,1.38
Tyler Conklin,47124,TE,NYJ,17,7.9,3,69.9,69.2,9,13,0,6.5,4,25,22,2,69.3,43.1,58.6,37.6,60.6,60.9,347,4,30,10.9,62,570,2,58,85.4,487,29.5,168,80.0,83,3,9.3,53,552,282,4.9,9.5,1.13
Robert Woods,7822,WR,TEN,17,8.7,0,64.6,46.7,7,15,0,7.0,4,31,31,0,66.6,57.3,68.0,,66.0,0.4,2,3,41,0.0,0,491,1,53,94.5,464,26.7,131,75.6,82,2,72.1,354,527,160,3.0,9.9,1.14
Gerald Everett,11799,TE,LAC,16,6.1,14,70.7,57.1,8,14,0,7.9,5,29,27,0,62.9,80.2,67.1,76.1,70.2,45.1,222,2,26,7.1,35,492,1,58,90.7,446,39.8,196,95.3,82,4,14.2,70,555,335,5.8,9.6,1.24
George Kittle,11901,TE,SF,15,7.7,10,75.0,56.3,9,16,1,3.2,2,36,28,1,84.4,44.4,82.0,36.8,84.0,57.7,290,2,54,6.8,34,503,5,60,88.1,443,30.0,151,133.6,80,11,10.5,53,765,388,6.5,12.8,1.73
Tyler Boyd,10689,WR,CIN,16,9.9,3,72.5,64.3,9,14,0,1.7,1,41,7,0,89.5,80.7,71.1,54.6,70.8,0.5,3,5,60,0.7,4,602,0,58,93.0,560,84.4,508,97.0,80,5,15.1,91,762,246,4.2,13.1,1.36
Marvin Jones Jr.,7158,WR,JAX,16,14.2,0,57.5,66.7,10,15,1,11.5,6,29,15,0,55.3,78.9,60.4,67.4,60.5,0.0,0,3,37,0.2,1,496,1,46,95.6,474,14.1,70,74.4,80,3,85.9,426,529,96,2.1,11.5,1.12
Leonard Fournette,11759,HB,TB,16,-0.6,21,92.4,66.7,2,3,0,5.2,4,26,30,0,76.3,90.9,68.0,32.9,78.8,0.0,0,0,44,12.0,57,475,1,73,82.5,392,1.1,5,106.9,79,3,3.6,17,523,572,7.8,7.2,1.33
David Njoku,11784,TE,CLV,14,7.8,6,73.4,53.8,7,13,0,6.5,4,36,8,1,70.2,43.5,73.7,76.3,78.7,52.2,251,2,38,9.1,44,481,1,58,84.2,405,35.8,172,102.7,79,4,11.2,54,628,341,5.9,10.8,1.55
Chase Claypool,42312,WR,CHI,15,11.0,3,60.5,47.4,9,19,1,4.2,2,24,6,1,77.0,41.9,61.8,69.6,62.7,0.4,2,5,31,0.4,2,454,2,46,93.2,423,60.6,275,54.2,76,1,39.0,177,451,142,3.1,9.8,1.07
Alec Pierce,78038,WR,IND,16,12.2,3,53.9,42.9,12,28,0,8.9,4,28,14,1,51.5,29.9,61.3,,61.1,0.0,0,2,47,0.0,0,501,1,41,95.4,478,6.8,34,77.4,76,2,93.2,467,593,111,2.7,14.5,1.24
Marquez Valdes-Scantling,47809,WR,KC,17,14.9,0,55.3,38.5,5,13,0,10.6,5,32,16,0,52.2,78.6,62.6,,63.2,0.5,3,1,57,0.0,0,589,2,42,94.1,554,38.9,229,89.1,76,2,60.6,357,687,127,3.0,16.4,1.24
Demarcus Robinson,10760,WR,BLT,17,9.9,8,64.9,50.0,4,8,0,9.4,5,23,3,2,56.0,23.9,64.9,,64.3,0.0,0,4,31,0.0,0,373,1,48,95.7,357,8.0,30,68.4,74,2,92.0,343,458,150,3.1,9.5,1.28
