player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Rashard Mendenhall,4337,HB,PIT,19,385,50,18,30.2,456,0,1509,4,7,50,992,35.6,33,72,25,4,0,72.4,74.9,82.8,,48.5,49.8,76.7,57.8,50,0,219,27,228,439,0,0,35,412,17,1509,992,2.58,3.9,0.96,0
Michael Turner,1873,HB,ATL,17,344,48,18,30.6,431,0,1410,3,5,48,963,41.7,33,73,2,2,0,81.0,64.0,82.3,,59.8,41.7,65.7,85.6,55,0,85,12,183,372,0,0,18,356,13,1410,963,2.8,4.1,0.46,0
Ray Rice,4369,HB,BLT,18,336,6,7,13.3,175,0,1313,1,20,6,751,14.1,25,55,3,1,0,90.1,68.6,24.5,,36.5,87.7,66.8,55.3,50,3,700,75,364,382,0,0,87,411,6,1313,751,2.24,3.9,1.92,0
Steven Jackson,1745,HB,SL,16,330,23,15,25.3,314,1,1241,5,7,23,874,21.1,33,61,26,1,0,90.5,62.2,62.1,,57.3,52.3,64.9,58.7,42,1,374,46,372,370,0,0,59,376,6,1241,874,2.65,3.8,1.01,0
Arian Foster,5398,HB,HST,16,327,31,19,33.9,548,0,1616,5,18,31,846,32.3,42,90,13,3,0,75.7,73.7,83.7,,62.4,83.7,68.6,56.9,74,1,604,66,363,348,0,0,78,393,16,1616,846,2.59,4.9,1.66,0
Cedric Benson,2221,HB,CIN,16,322,33,6,10.5,117,0,1116,1,4,33,751,24.7,27,59,7,7,0,36.9,58.2,82.4,,65.7,62.4,57.1,57.8,26,0,178,28,238,356,0,0,35,350,7,1116,751,2.33,3.5,0.75,0
Chris Johnson,4338,HB,TEN,16,316,44,20,42.0,573,0,1365,4,5,44,894,38.5,37,56,31,3,0,74.4,74.8,58.9,,28.5,44.2,83.4,57.9,76,1,245,44,349,348,0,0,55,360,11,1365,894,2.83,4.3,0.7,0
Maurice Jones-Drew,3005,HB,JAX,14,301,29,13,21.7,285,0,1311,1,8,29,858,31.5,34,75,15,4,0,68.8,72.1,82.5,42.6,73.5,76.2,68.5,65.5,37,0,317,34,235,355,0,0,39,335,5,1311,858,2.85,4.4,1.35,0
Adrian Peterson,3623,HB,MIN,15,283,46,18,34.5,448,0,1298,6,7,46,877,51.5,36,72,18,2,0,90.0,86.5,82.5,,37.2,52.4,90.5,59.6,80,0,341,36,264,314,0,0,47,319,12,1298,877,3.1,4.6,1.29,0
Matt Forte,4358,HB,CHI,18,279,29,12,28.8,352,0,1222,2,11,29,713,29.8,33,47,6,3,0,72.0,74.4,60.9,26.1,75.0,78.9,71.7,49.8,68,1,693,64,320,320,0,0,82,343,6,1222,713,2.56,4.4,2.17,0
Ahmad Bradshaw,3866,HB,NYG,16,276,42,19,36.6,453,0,1239,6,8,42,829,46.5,34,63,21,7,0,29.7,76.6,22.7,,89.8,62.9,73.4,73.5,48,2,314,47,262,289,0,0,56,323,8,1239,829,3.0,4.5,1.2,0
Peyton Hillis,4541,HB,CLV,16,270,31,10,20.5,242,0,1181,2,11,31,787,37.0,23,59,8,8,0,29.5,74.2,58.5,48.3,78.3,87.9,67.5,56.1,48,2,477,61,316,314,0,0,68,331,11,1181,787,2.91,4.4,1.51,0
LaDainian Tomlinson,777,HB,NYJ,18,253,22,13,24.5,258,1,1055,5,6,22,567,20.2,25,48,22,6,0,74.9,54.0,83.6,,55.3,54.9,53.8,69.6,31,1,387,58,377,298,0,0,83,311,8,1055,567,2.24,4.2,1.03,0
Thomas Jones,585,HB,KC,17,250,12,6,19.3,176,0,911,0,2,12,528,11.2,22,41,16,2,0,76.1,50.0,81.0,,86.7,69.2,46.9,59.6,70,0,130,15,140,268,0,0,18,265,6,911,528,2.11,3.6,0.93,0
Jamaal Charles,4387,HB,KC,17,240,28,19,35.5,550,0,1548,6,8,28,764,40.1,48,74,16,4,0,59.5,85.2,27.1,,82.2,64.1,87.1,60.3,80,2,483,46,267,275,0,0,61,286,6,1548,764,3.18,6.5,1.81,0
BenJarvus Green-Ellis,4599,HB,NE,17,238,25,9,17.2,181,0,1051,1,1,25,643,27.9,29,63,19,0,0,91.0,63.4,81.3,,21.6,49.2,67.4,56.9,33,1,96,14,137,280,0,0,18,252,13,1051,643,2.7,4.4,0.7,0
Shonn Greene,4988,HB,NYJ,18,230,21,8,15.3,148,0,968,2,2,21,592,24.0,16,49,22,3,0,62.5,67.9,43.9,,45.9,44.8,71.1,59.1,23,2,129,17,133,271,0,0,25,247,3,968,592,2.57,4.2,0.97,0
Marshawn Lynch,3628,HB,SEA,18,225,48,10,31.3,272,0,870,2,7,48,666,65.9,20,42,29,3,0,59.7,68.5,46.0,,68.9,38.2,73.0,57.9,67,1,145,22,182,254,0,0,26,247,7,870,666,2.96,3.9,0.8,0
Fred Jackson,3368,HB,BUF,16,222,42,11,28.3,266,0,939,9,9,42,646,58.7,19,42,4,5,0,42.8,61.7,83.7,,81.5,45.1,64.7,63.7,39,1,215,31,294,251,0,0,49,253,5,939,646,2.91,4.2,0.73,0
Darren McFadden,4318,HB,OAK,13,222,30,17,45.7,529,0,1157,3,12,30,766,53.9,28,45,23,3,0,53.3,69.2,82.6,39.8,76.0,75.7,64.4,58.8,57,0,507,47,202,271,0,0,52,269,7,1157,766,3.45,5.2,2.51,0
LeSean McCoy,4976,HB,PHI,16,219,20,10,31.8,358,0,1126,5,12,20,647,31.4,28,49,24,4,0,64.3,67.1,84.1,,67.0,62.7,66.4,70.6,62,0,613,82,452,280,0,0,91,301,7,1126,647,2.95,5.1,1.36,0
Frank Gore,2282,HB,SF,11,203,13,10,27.9,238,0,853,5,11,13,509,24.2,20,42,28,3,0,62.7,61.3,54.4,,67.1,51.3,63.7,58.8,64,1,452,46,271,225,0,0,62,249,3,853,509,2.51,4.2,1.67,0
LeGarrette Blount,5863,HB,TB,13,201,49,18,45.7,460,0,1007,1,0,49,739,87.5,32,40,30,5,0,56.7,86.4,80.0,,51.4,33.8,87.8,69.5,53,0,14,5,90,220,0,0,6,206,6,1007,739,3.68,5.0,0.16,0
Ronnie Brown,2219,HB,MIA,16,200,17,4,13.6,100,0,734,2,5,17,430,20.3,17,41,17,3,0,57.0,62.3,83.6,52.9,77.0,61.9,58.1,67.7,51,0,242,33,225,262,0,0,38,233,5,734,430,2.15,3.7,1.08,0
Brandon Jackson,3679,HB,GB,20,196,27,4,17.9,131,0,731,2,9,27,525,39.5,18,29,12,2,0,85.5,71.7,82.4,,78.4,83.5,64.0,57.4,71,0,406,48,259,230,0,0,57,244,3,731,525,2.68,3.7,1.57,0
Felix Jones,4336,HB,DAL,16,185,24,6,15.3,122,0,800,1,8,24,501,37.2,25,45,9,2,0,81.2,67.1,49.2,,73.3,87.0,59.2,58.1,34,1,450,48,227,207,0,0,51,233,1,800,501,2.71,4.3,1.98,0
Mike Tolbert,4740,HB,SD,15,182,27,8,25.6,189,0,737,2,3,27,529,42.3,18,43,27,4,0,42.6,58.1,80.4,,76.3,66.4,56.0,52.7,36,1,188,24,121,213,0,0,28,206,11,737,529,2.91,4.0,1.55,0
