player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Antonio Brown,5718,WR,PIT,17,11.2,25,70.8,,0,0,1,4.7,7,88,25,1,90.1,59.5,92.5,,92.6,0.0,0,9,60,0.0,0,733,4,143,91.7,672,19.6,144,99.3,202,10,79.3,581,1953,699,4.9,13.7,2.91
DeAndre Hopkins,7808,WR,HST,17,14.6,5,59.1,,0,0,2,5.6,7,88,13,1,77.5,61.4,90.6,66.2,90.7,0.1,1,6,61,0.1,1,739,7,117,94.6,699,15.0,111,90.7,198,11,84.7,626,1590,233,2.0,13.6,2.27
Julio Jones,6158,WR,ATL,16,10.5,20,70.5,,0,0,0,6.8,10,93,2,3,67.7,30.4,92.5,,92.1,0.3,2,2,70,0.0,0,658,1,136,93.5,615,28.3,186,110.7,193,8,71.3,469,1871,665,4.9,13.8,3.04
Demaryius Thomas,5547,WR,DEN,19,10.6,20,59.3,,0,0,0,11.1,14,68,10,2,42.4,36.6,76.4,,75.5,0.3,2,7,72,0.0,0,715,6,112,95.1,680,22.7,162,76.7,189,6,77.1,551,1364,515,4.6,12.2,2.01
Brandon Marshall,3064,WR,NYJ,16,12.7,14,65.3,,0,0,0,9.2,11,76,22,3,56.1,26.2,85.4,62.4,85.8,0.0,0,9,69,0.2,1,665,6,109,96.1,639,22.7,151,99.4,167,14,77.3,514,1502,439,4.0,13.8,2.35
Larry Fitzgerald,1724,WR,ARZ,18,8.8,11,76.6,,0,0,0,4.0,5,74,1,3,87.4,42.6,89.4,79.7,87.3,2.2,15,2,75,1.3,9,696,2,121,91.7,638,58.5,407,119.2,158,10,39.1,272,1421,586,4.8,11.7,2.23
Jarvis Landry,8698,WR,MIA,16,7.4,26,71.0,,0,0,1,6.0,7,60,17,0,76.2,90.6,88.0,73.1,86.1,1.2,7,3,50,0.2,1,597,6,110,95.0,567,69.3,414,92.9,155,4,27.0,161,1157,571,5.2,10.5,2.04
Emmanuel Sanders,5606,WR,DEN,18,14.1,7,59.4,,0,0,0,7.1,7,63,10,1,68.1,88.9,84.4,,84.2,0.0,0,5,75,0.0,0,665,1,92,95.3,634,21.2,141,87.7,155,6,78.2,520,1365,438,4.8,14.8,2.15
Odell Beckham Jr.,8647,WR,NYG,15,12.1,13,62.7,0.0,0,1,2,4.0,4,68,21,2,84.2,40.9,88.1,,90.1,0.0,0,3,87,0.0,0,641,8,96,93.3,598,26.1,167,114.0,153,13,72.9,467,1450,591,6.2,15.1,2.42
Mike Evans,8642,WR,TB,15,15.5,4,50.7,,0,0,1,16.9,15,64,30,1,28.9,81.8,83.6,,85.7,0.0,0,5,68,0.0,0,552,10,74,91.7,506,19.7,109,71.3,146,3,80.3,443,1206,239,3.2,16.3,2.38
