player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Ray Lewis,167,LB,BLT,10,17,0,75.6,0,1,3,2,0,34.6,48.7,59.0,53.2,71.5,86.5,2,1,0,0,32,4.3,4,1,2,106.3,34,1,0,749,2,368,771,7,0,0,7,0,3,764,75,328,10,31,73,3,45,4,0,446,222,13.1
Ronde Barber,261,S,TB,16,14,1,70.7,0,1,30,0,0,81.9,79.4,39.9,60.0,76.0,65.7,1,9,1,4,80,13.6,15,4,5,68.8,41,1,0,385,1,628,1069,6,0,0,0,6,495,1063,75,366,182,44,81,9,58,11,1,428,274,10.4
Charles Woodson,330,CB,GB,9,10,0,61.8,1,1,12,0,0,55.4,60.4,87.5,46.9,78.4,83.1,0,5,0,1,45,8.9,5,4,4,86.9,21,2,0,224,8,324,607,0,0,0,0,0,171,607,43,240,204,16,41,1,34,7,1,292,132,13.9
Keith Brooking,336,LB,DEN,17,12,0,70.0,0,0,10,1,0,66.4,60.9,82.3,58.1,55.0,90.3,0,2,0,0,27,0.0,0,0,0,85.4,14,1,0,478,0,200,488,3,0,0,3,0,0,485,36,252,7,19,35,0,20,3,0,120,72,8.6
Takeo Spikes,337,LB,SD,16,23,0,77.8,1,1,27,0,0,61.6,66.7,27.0,65.7,70.6,87.6,4,2,0,0,45,2.7,2,1,2,130.6,21,1,0,664,0,334,699,7,0,0,7,0,1,692,53,312,27,25,48,1,27,7,2,254,175,12.1
Vonnie Holliday,340,DI,ARZ,16,4,1,,0,0,1,1,0,,47.2,81.0,58.2,41.7,75.5,2,5,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,195,195,4,4,0,186,0,0,103,92,0,9,10,1,0,7,0,0,0,
London Fletcher,424,LB,WAS,17,20,0,70.1,1,1,32,0,0,58.5,53.5,31.0,57.8,51.0,45.2,0,7,0,5,56,16.2,24,2,5,87.7,68,4,0,966,5,609,1078,46,0,0,46,0,13,1032,97,372,48,39,104,3,97,11,5,732,355,10.8
Champ Bailey,442,CB,DEN,17,8,0,55.6,0,0,10,0,0,68.3,71.9,89.7,54.3,81.7,85.6,0,0,0,2,59,4.1,3,4,7,81.7,45,0,0,32,1017,666,1090,0,0,0,0,0,7,1090,1,423,34,21,62,3,81,0,3,607,129,13.5
Antoine Winfield,456,CB,MIN,17,12,0,69.1,0,0,18,1,0,74.1,82.3,89.0,62.4,92.3,79.4,0,3,0,3,41,8.2,9,6,2,75.1,67,2,0,104,337,678,1076,0,0,0,0,0,3,1076,20,378,632,45,89,8,97,5,0,660,277,9.9
Mike Peterson,463,LB,ATL,8,4,0,100.0,0,0,2,0,0,42.5,58.2,78.7,61.6,68.0,29.7,0,1,0,0,25,22.2,4,0,0,154.2,4,0,0,91,0,34,119,20,0,0,20,0,0,99,7,78,8,6,10,2,4,1,2,46,23,11.5
