player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,17,10,5,,0,1,17,0,0,63.5,82.3,89.9,66.2,85.9,28.2,7,27,0,0,,22.2,14,0,0,0.0,0,5,0,5,0,13,616,610,15,234,224,137,0,6,401,202,0,37,39,7,0,39,0,0,0,
Brandon Graham,5538,ED,PHI,11,4,0,100.0,0,1,24,0,0,50.9,78.6,63.9,71.8,80.1,34.0,3,13,0,0,5,23.8,5,0,1,87.5,1,4,0,1,0,15,311,309,0,6,269,34,0,2,169,127,1,12,12,3,1,20,0,5,8,5.0
Kareem Jackson,5545,S,BUF,2,1,0,50.0,0,0,4,0,0,65.9,67.6,90.6,57.1,60.0,80.0,0,0,0,0,4,0.0,0,0,0,56.3,1,0,0,5,0,29,33,1,0,0,1,0,25,32,2,2,1,0,2,0,2,0,0,4,0,4.0
Jerry Hughes,5556,ED,HST,7,2,0,,0,0,13,0,0,60.9,51.3,83.8,48.9,55.3,74.5,0,3,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,3,92,91,0,2,86,3,1,1,53,36,0,2,3,0,0,3,0,0,0,
Linval Joseph,5571,DI,DAL,17,5,0,,0,1,9,0,0,79.3,54.1,63.3,77.5,38.9,61.2,1,3,0,0,,5.9,1,0,1,0.0,0,2,0,0,0,0,264,264,174,90,0,0,0,0,120,144,0,9,11,0,0,6,0,0,0,
Von Miller,6154,ED,BUF,16,2,0,,0,0,4,2,0,69.9,85.5,47.2,84.5,65.5,53.3,4,30,0,0,,21.4,3,0,2,0.0,0,6,0,0,0,13,332,332,0,0,332,0,0,0,249,70,0,13,9,0,0,40,0,0,0,
Cameron Jordan,6176,ED,NO,17,11,4,,0,0,20,0,0,73.6,57.4,78.1,54.3,54.5,44.6,3,21,0,1,,15.8,6,0,1,0.0,0,4,0,1,0,8,565,563,3,23,387,150,0,2,341,216,1,21,21,3,0,28,0,0,0,
Cameron Heyward,6183,DI,PIT,18,15,10,,0,0,25,0,0,61.8,90.1,87.4,85.9,79.6,64.0,12,38,0,0,,6.8,5,0,0,0.0,0,10,0,1,0,0,838,837,29,457,32,319,0,1,501,337,0,47,53,7,0,60,0,0,0,
Lawrence Guy Sr.,6385,DI,CIN,4,2,0,,0,0,7,0,0,,51.1,80.2,52.5,52.7,25.2,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,90,90,1,73,3,13,0,0,41,49,0,0,0,0,0,0,0,0,0,
Nick Bellore,6515,LB,WAS,4,0,0,100.0,0,0,32,0,0,79.8,86.2,68.6,60.0,63.2,73.2,0,0,0,0,2,0.0,0,0,0,79.2,2,0,0,7,0,4,8,0,0,0,0,0,0,8,1,3,0,1,1,1,2,0,0,-4,3,-2.0
