player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Anthony Castonzo,6174,T,IND,19,100.0,1,14,84.4,90.8,66.7,10,24,853,100.0,100.0,97.8,8,36,2,1360,0,0,1340,1360,905,905,0,0,455,20
Nate Solder,6169,T,NE,19,99.9,2,19,74.1,72.2,70.5,10,18,738,99.9,99.9,97.2,8,35,7,1255,0,5,1225,1256,785,786,0,0,470,26
J.R. Sweezy,7209,G,SEA,19,100.0,1,29,73.5,55.9,79.0,7,26,634,100.0,100.0,96.8,7,37,4,1231,0,0,0,1231,662,662,1229,1,569,0
Ryan Kalil,3675,C,CAR,18,100.0,0,5,73.1,66.7,72.9,2,27,675,100.0,100.0,97.4,1,32,3,1225,1225,0,0,1225,720,720,0,0,505,0
Sebastian Vollmer,4981,T,NE,18,100.0,1,19,76.1,77.1,68.2,6,24,712,100.0,100.0,97.3,3,34,4,1223,0,0,0,1223,759,759,0,1220,464,3
Jeremy Zuttah,4397,C,BLT,18,100.0,1,3,76.2,70.1,77.4,0,29,653,100.0,100.0,97.6,6,30,1,1201,1201,0,0,1201,709,709,0,0,492,0
Marshal Yanda,3702,G,BLT,18,100.0,1,3,93.0,87.6,92.6,5,13,651,100.0,100.0,98.3,5,20,2,1196,0,0,0,1196,706,706,984,212,490,0
Manuel Ramirez,3733,C,DEN,17,100.0,0,10,68.8,69.6,67.4,4,17,669,100.0,100.0,98.3,5,22,1,1195,557,0,0,1195,719,719,638,0,476,0
Louis Vasquez,5001,G,DEN,17,100.0,1,10,75.5,71.4,75.1,9,15,670,100.0,100.0,97.5,6,29,5,1192,0,0,0,1192,720,720,551,640,472,1
Jack Mewhort,8694,G,IND,17,100.0,0,14,69.4,73.3,65.2,12,25,750,100.0,100.0,97.1,6,40,3,1191,0,1125,0,1191,796,796,0,66,395,0
Corey Linsley,8796,C,GB,18,100.0,1,12,76.8,83.8,70.7,2,13,668,100.0,100.0,98.6,5,17,2,1188,1188,0,0,1188,713,713,0,0,475,0
David DeCastro,7640,G,PIT,17,100.0,0,25,78.1,80.5,73.4,2,27,697,100.0,100.0,97.5,4,32,3,1185,0,0,0,1185,746,746,1185,0,439,0
Kelvin Beachum,7229,T,PIT,17,100.0,1,25,82.7,90.5,67.7,4,13,697,100.0,100.0,97.8,8,24,7,1185,0,0,1185,1185,746,746,0,0,439,0
Maurkice Pouncey,5543,C,PIT,17,100.0,1,25,76.3,85.4,71.8,2,19,697,100.0,100.0,98.4,5,22,1,1178,1178,0,0,1178,746,746,0,0,432,0
