player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Tommy Townsend,33007,P,KC,17,53,53,4.7,45.58,50.42,8.0,0,0,8,16,16,86.9,24,76,3,0,41.5,176,22,53,248.95,2416,4,2672
Jake Bailey,33963,P,NE,9,37,37,4.14,35.27,42.08,9.5,0,0,3,8,19,57.5,13,62,5,0,43.2,152,16,37,153.15,1305,5,1557
Jack Fox,34735,P,DET,16,52,52,4.23,41.38,48.56,10.4,0,0,7,9,11,55.3,15,66,3,0,57.7,313,30,52,219.73,2152,3,2525
Michael Dickson,35381,P,SEA,16,66,66,4.25,44.39,48.44,5.9,0,0,8,12,29,60.1,25,68,8,0,53.0,207,35,66,280.19,2930,3,3197
AJ Cole,36038,P,LV,17,59,59,4.34,43.9,48.88,11.0,0,0,9,16,23,82.4,28,67,8,0,42.4,274,25,59,256.34,2590,1,2884
JK Scott,38809,P,LAC,17,73,73,4.76,41.41,43.58,3.1,0,0,10,33,27,71.2,30,60,6,0,26.0,58,19,73,347.67,3023,5,3181
Corliss Waitman,39620,P,DEN,17,96,96,4.37,41.54,46.56,8.2,0,0,14,29,10,62.9,33,59,3,0,45.8,362,44,96,419.37,3988,6,4470
Mitch Wishnowsky,44663,P,SF,17,61,61,4.28,39.72,43.87,9.0,0,0,16,17,28,73.9,32,74,6,0,27.9,153,17,61,261.36,2423,5,2676
Braden Mann,44664,P,NYJ,17,82,82,4.35,40.98,47.35,11.3,1,0,11,16,22,76.8,29,72,15,0,39.0,363,32,83,356.41,3360,8,3883
Drue Chrisman,44787,P,CIN,7,28,28,3.89,42.46,47.68,7.6,0,0,1,7,7,57.5,13,65,4,0,50.0,106,14,28,108.92,1189,2,1335
Blake Gillikin,45045,P,NO,17,77,77,4.25,41.56,46.39,8.9,0,0,13,25,20,69.7,35,68,6,0,33.8,232,26,77,327.53,3200,7,3572
Ryan Stonehouse,52045,P,TEN,17,90,90,4.31,44.03,53.09,10.8,0,0,10,11,31,67.5,32,74,1,0,65.6,635,59,90,387.7,3963,9,4778
Jordan Stout,57649,P,BLT,17,57,57,4.31,40.86,45.93,6.8,0,0,5,20,3,59.6,27,69,3,0,38.6,149,22,57,245.84,2329,7,2618
Trenton Gill,60295,P,CHI,17,66,66,4.2,40.86,46.03,9.1,1,0,8,20,6,61.0,20,63,4,0,47.0,281,31,67,277.07,2697,3,3038
Pressley Harvin III,62973,P,PIT,17,69,69,4.38,41.09,44.52,5.7,0,0,11,22,25,67.5,21,69,7,0,34.8,137,24,69,302.5,2835,5,3072
Jamie Gillan,63303,P,NYG,17,74,74,4.42,40.64,46.81,9.9,1,0,6,25,21,69.7,29,69,6,0,37.8,277,28,75,327.36,3007,9,3464
Ryan Wright,77591,P,MIN,17,73,73,4.4,43.05,47.34,7.7,1,0,5,22,18,70.4,33,73,7,0,52.1,293,38,74,320.96,3143,1,3456
Arryn Siposs,82019,P,PHI,13,44,44,4.23,40.64,45.66,8.1,1,0,7,11,24,55.0,19,59,3,0,45.5,161,20,45,186.05,1788,3,2009
Jake Camarda,82636,P,TB,17,79,79,4.47,41.58,48.85,11.7,0,0,7,21,30,74.6,25,74,9,0,40.5,374,32,79,353.12,3285,10,3859
