player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Julio Jones,6158,WR,ATL,16,14.3,11,68.1,50.0,20,40,0,6.6,8,79,2,2,71.9,38.6,90.9,,90.7,0.0,0,3,58,0.0,0,605,1,113,94.5,572,20.8,126,109.4,166,8,79.2,479,1677,452,4.0,14.8,2.93
Antonio Brown,5718,WR,PIT,15,11.6,14,63.4,19.2,5,26,0,1.0,1,64,25,0,91.3,84.1,79.3,,79.0,0.0,0,11,78,0.0,0,716,3,104,93.6,670,20.5,147,90.4,164,15,79.5,569,1297,494,4.8,12.5,1.94
Davante Adams,8688,WR,GB,15,11.7,9,68.5,30.0,6,20,0,4.3,5,64,12,0,85.1,84.3,87.8,,87.5,0.0,0,0,57,0.0,0,695,2,111,94.0,653,20.7,144,121.6,162,13,79.1,550,1386,477,4.3,12.5,2.12
JuJu Smith-Schuster,11817,WR,PIT,16,9.3,7,68.9,51.2,21,41,0,5.1,6,68,25,1,80.2,60.6,81.8,,81.2,0.0,0,4,97,0.0,0,728,2,111,94.0,684,61.0,444,100.6,161,7,39.0,284,1426,660,5.9,12.8,2.08
DeAndre Hopkins,7808,WR,HST,16,12.2,12,72.3,58.1,25,43,1,0.0,0,81,13,2,92.0,40.5,92.4,,92.5,0.0,0,3,49,0.0,0,673,2,115,93.2,627,20.1,135,118.8,159,11,79.9,538,1572,387,3.4,13.7,2.51
Zach Ertz,7816,TE,PHI,16,7.4,2,75.3,41.4,12,29,1,4.9,6,66,24,1,80.9,60.8,75.6,71.3,79.1,31.2,206,5,34,7.1,47,660,4,116,87.6,578,49.1,324,100.1,154,8,19.2,127,1163,373,3.2,10.0,2.01
Adam Thielen,8288,WR,MIN,16,10.0,6,75.8,38.9,7,18,0,4.2,5,74,18,1,90.0,62.9,89.4,77.7,89.4,0.9,6,3,68,0.4,3,694,1,113,94.4,655,56.6,393,115.4,149,9,42.5,295,1373,419,3.7,12.2,2.1
Michael Thomas,10681,WR,NO,16,7.9,17,85.6,56.7,17,30,2,2.3,3,75,20,2,90.9,42.0,91.3,64.9,91.6,0.2,1,1,72,0.2,1,562,6,125,94.0,528,31.1,175,124.5,146,9,68.7,386,1405,503,4.0,11.2,2.66
Stefon Diggs,9579,WR,MIN,15,9.8,12,72.3,64.0,16,25,0,1.0,1,49,18,0,91.2,84.5,81.1,66.3,81.0,0.5,3,2,75,0.2,1,627,4,102,94.9,595,22.3,140,107.9,141,9,76.7,481,1021,438,4.3,10.0,1.72
Travis Kelce,7844,TE,KC,16,9.4,9,74.1,62.5,15,24,0,7.2,8,67,16,2,60.7,34.6,88.0,71.8,90.3,36.0,239,3,43,6.3,42,664,6,103,87.2,579,43.1,286,118.9,139,10,20.5,136,1336,574,5.6,13.0,2.31
Jarvis Landry,8698,WR,CLV,16,11.3,7,59.1,50.0,13,26,1,6.9,6,44,8,1,69.6,56.8,74.7,38.5,70.8,0.2,1,2,51,0.2,1,647,3,81,92.1,596,70.5,456,84.7,137,4,28.7,186,976,283,3.5,12.0,1.64
Mike Evans,8642,WR,TB,16,16.5,5,63.7,61.5,16,26,1,7.5,7,69,30,1,55.7,53.8,84.3,65.9,84.2,0.1,1,8,72,0.1,1,680,5,86,93.7,637,17.6,120,97.3,135,8,82.1,558,1524,294,3.4,17.7,2.39
Tyreek Hill,10799,WR,KC,16,15.5,11,67.4,65.0,13,20,1,5.4,5,59,16,0,70.8,88.0,89.6,,90.3,2.1,13,6,75,0.0,0,625,6,87,93.3,583,43.4,271,117.7,129,12,51.0,319,1479,524,6.0,17.0,2.54
George Kittle,11901,TE,SF,16,7.6,17,68.8,26.3,5,19,1,6.4,6,60,28,0,68.4,83.1,89.7,55.7,90.4,56.8,336,3,85,11.3,67,592,6,88,82.6,489,30.2,179,107.5,128,5,8.8,52,1377,873,9.9,15.6,2.82
Robert Woods,7822,WR,LA,16,11.8,7,67.7,50.0,9,18,0,2.3,2,66,26,0,90.8,84.7,87.9,78.9,87.9,1.6,10,3,39,1.7,11,645,5,86,92.4,596,54.7,353,104.4,127,6,43.7,282,1219,428,5.0,14.2,2.05
Keenan Allen,7857,WR,LAC,16,9.4,7,77.6,50.0,9,18,0,3.0,3,62,27,2,90.0,61.7,90.3,,90.5,0.4,2,2,54,0.0,0,510,5,97,93.7,478,54.3,277,115.9,125,6,45.1,230,1196,402,4.1,12.3,2.5
Christian McCaffrey,11763,HB,CAR,16,0.9,21,88.5,0.0,0,3,0,0.0,0,41,5,2,91.8,58.7,82.8,62.6,89.1,0.0,0,0,38,15.9,99,621,0,108,79.4,493,9.3,58,112.9,122,6,6.4,40,874,861,8.0,8.1,1.77
