player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Calvin Johnson,3618,WR,DET,16,13.7,12,61.3,,0,0,2,10.3,14,94,11,3,54.3,40.8,89.8,,89.4,0.0,0,5,53,0.0,0,796,4,122,96.7,770,28.8,229,92.2,199,5,71.2,567,1964,514,4.2,16.1,2.55
Reggie Wayne,800,WR,IND,17,11.2,6,58.7,,0,0,0,8.0,10,81,14,1,59.5,68.5,88.6,56.9,85.6,0.8,6,11,33,0.4,3,795,0,115,93.7,745,60.3,479,67.3,196,5,39.0,310,1469,401,3.5,12.8,1.97
Wes Welker,2204,WR,NE,18,7.7,8,70.2,,0,0,0,12.4,19,81,19,2,31.3,43.8,82.1,64.9,80.6,0.1,1,2,59,0.1,1,754,0,134,94.4,712,82.4,621,103.3,191,7,17.1,129,1602,825,6.2,12.0,2.25
Brandon Marshall,3064,WR,CHI,16,12.7,17,65.2,,0,0,0,9.9,13,75,6,2,48.9,39.6,90.4,,90.1,0.0,0,7,56,0.0,0,579,2,118,93.8,543,22.1,128,95.3,181,11,77.4,448,1508,369,3.1,12.8,2.78
Andre Johnson,1319,WR,HST,18,11.4,11,70.9,,0,0,1,6.8,9,88,13,0,75.7,85.0,91.6,,91.5,0.0,0,5,60,0.0,0,649,2,124,95.8,622,20.5,133,98.6,175,4,79.5,516,1755,587,4.7,14.2,2.82
A.J. Green,6156,WR,CIN,17,14.2,15,60.7,,0,0,0,8.9,10,64,7,2,58.8,34.9,88.9,62.4,87.8,0.0,0,7,73,0.2,1,647,4,102,95.1,615,13.6,88,92.6,168,11,86.4,559,1430,461,4.5,14.0,2.33
Roddy White,2244,WR,ATL,18,13.2,6,65.0,,0,0,1,3.7,4,82,2,1,90.2,66.6,89.3,70.8,87.4,0.0,0,7,59,0.3,2,760,4,104,95.4,725,20.4,155,94.5,160,8,79.2,602,1527,347,3.3,14.7,2.11
Julio Jones,6158,WR,ATL,18,12.8,12,64.0,,0,0,0,7.7,8,68,2,0,64.7,84.0,86.1,67.3,86.5,0.0,0,3,80,0.1,1,682,4,96,95.9,654,8.9,61,113.7,150,12,90.2,615,1439,555,5.8,15.0,2.2
Brandon Lloyd,1436,WR,NE,18,13.0,4,57.7,,0,0,0,8.5,8,57,19,0,61.4,82.7,77.0,,74.2,0.0,0,2,53,0.0,0,732,2,86,94.4,691,9.0,66,86.3,149,6,91.0,666,1013,197,2.3,11.8,1.47
Larry Fitzgerald,1724,WR,ARZ,16,10.9,9,48.0,,0,0,0,6.6,5,44,1,0,69.5,81.4,69.4,70.7,68.5,0.1,1,12,37,0.1,1,705,3,71,95.6,674,18.6,131,39.8,148,4,80.7,569,798,277,3.9,11.2,1.18
Jason Witten,1384,TE,DAL,16,8.2,8,75.3,,0,0,0,6.8,8,56,9,0,70.7,84.1,84.5,66.6,82.8,57.1,416,3,36,9.7,71,729,6,110,86.1,628,39.2,286,92.8,146,3,0.8,6,1039,324,2.9,9.4,1.65
Michael Crabtree,4933,WR,SF,19,7.9,19,71.9,,0,0,1,7.9,9,70,28,1,64.7,59.3,91.3,,91.1,0.2,1,2,49,0.0,0,544,3,105,96.0,522,35.1,191,123.4,146,12,64.7,352,1390,680,6.5,13.2,2.66
Demaryius Thomas,5547,WR,DEN,17,11.5,14,66.9,,0,0,0,11.0,12,64,10,3,42.2,31.3,85.1,,83.5,0.0,0,0,71,0.0,0,655,1,97,94.0,616,7.5,49,125.3,145,11,92.4,605,1467,570,5.9,15.1,2.38
Anquan Boldin,1369,WR,BLT,19,12.2,11,60.4,,0,0,0,3.3,3,64,3,0,87.4,82.9,84.2,,85.4,0.1,1,3,50,0.0,0,705,10,87,93.0,656,63.7,449,99.9,144,8,36.2,255,1301,344,4.0,15.0,1.98
