player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Matt Skura,11102,C,BLT,16,100.0,0,3,59.2,67.1,56.4,3,22,606,100.0,100.0,97.6,5,27,2,1188,1188,0,0,1188,651,651,0,0,537,0
Marshal Yanda,3702,G,BLT,16,100.0,0,3,85.0,84.2,80.0,3,11,601,100.0,100.0,98.8,2,14,0,1162,0,4,0,1162,646,646,1158,0,516,0
Quenton Nelson,12954,G,IND,16,100.0,1,14,79.7,81.9,77.7,4,17,682,100.0,100.0,98.2,9,23,2,1136,0,1136,0,1136,730,730,0,0,406,0
Joe Thuney,10712,G,NE,16,100.0,0,19,75.7,87.2,67.9,5,18,598,100.0,100.0,98.1,4,23,0,1120,0,1119,1,1120,629,629,0,0,491,0
Ali Marpet,9494,G,TB,16,100.0,0,30,75.9,79.9,70.0,11,17,725,100.0,100.0,97.7,2,31,3,1117,0,1116,0,1117,773,773,0,0,344,0
Donovan Smith,9467,T,TB,16,100.0,1,30,66.4,69.9,52.7,9,32,725,100.0,100.0,96.1,7,49,8,1117,0,0,1116,1117,773,773,0,0,344,0
Ryan Jensen,7985,C,TB,16,100.0,0,30,56.6,70.1,53.8,10,14,725,100.0,100.0,98.2,11,25,1,1116,1116,0,0,1116,773,773,0,0,343,0
Ramon Foster,5229,G,PIT,16,100.0,0,25,72.3,84.5,61.1,2,23,726,100.0,100.0,98.1,3,26,1,1116,0,1115,0,1116,777,777,0,0,339,0
Alejandro Villanueva,9091,T,PIT,16,99.9,1,25,81.2,83.9,64.7,3,17,725,99.9,99.9,97.9,6,25,5,1115,0,0,1115,1116,776,777,0,0,339,0
David Andrews,9948,C,NE,16,100.0,0,19,73.3,79.9,69.9,3,11,597,100.0,100.0,98.5,4,16,2,1104,1103,1,0,1104,628,628,0,0,476,0
Austin Blythe,10882,G,LA,16,100.0,1,26,76.4,73.9,71.8,5,25,617,100.0,100.0,97.6,2,30,0,1101,10,17,0,1101,657,657,1073,0,444,0
Rob Havenstein,9490,T,LA,16,100.0,1,26,86.1,75.6,88.4,4,23,617,100.0,100.0,97.5,2,29,2,1101,0,0,0,1101,657,657,0,1100,444,0
Maurkice Pouncey,5543,C,PIT,16,100.0,0,25,71.3,78.1,63.9,3,13,721,100.0,100.0,98.6,5,18,2,1101,1101,0,0,1101,772,772,0,0,329,0
Nick Martin,10684,C,HST,16,100.0,1,13,65.4,78.7,57.4,3,12,623,100.0,100.0,98.5,2,17,2,1094,1094,0,0,1094,674,674,0,0,420,0
Kevin Zeitler,7032,G,CLV,16,100.0,1,8,77.2,91.7,67.8,1,7,638,100.0,100.0,98.9,7,11,3,1091,0,0,0,1091,694,694,1091,0,397,0
J.C. Tretter,7904,C,CLV,16,100.0,1,8,76.9,85.7,69.8,1,11,638,100.0,100.0,98.7,1,14,2,1091,1091,0,0,1091,694,694,0,0,397,0
Joel Bitonio,8670,G,CLV,16,100.0,1,8,80.3,88.4,72.8,0,12,638,100.0,100.0,98.9,4,13,1,1091,0,1091,0,1091,694,694,0,0,397,0
Chris Hubbard,8051,T,CLV,16,100.0,2,8,65.1,73.6,48.7,2,34,638,100.0,100.0,96.2,3,42,6,1091,0,0,2,1091,694,694,0,1089,397,0
Trent Brown,9677,T,NE,16,100.0,4,19,69.7,68.5,65.9,12,20,579,100.0,100.0,96.7,9,35,3,1090,0,0,1087,1090,608,608,0,0,482,3
Brandon Brooks,7078,G,PHI,16,100.0,0,24,78.1,85.4,71.1,2,10,650,100.0,100.0,98.9,4,13,1,1087,0,0,0,1087,692,692,1087,0,395,0
Ronnie Stanley,10640,T,BLT,15,100.0,1,3,77.5,86.8,65.4,2,13,539,100.0,100.0,98.2,6,17,2,1084,0,0,1055,1084,577,577,0,0,507,27
Frank Ragnow,39137,G,DET,16,100.0,1,11,66.5,57.1,68.2,10,22,627,100.0,100.0,96.8,6,36,4,1076,1,1073,0,1076,672,672,0,0,404,0
