player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Thomas Davis Sr.,2231,LB,WAS,7,2,0,85.7,0,0,32,0,0,68.0,54.8,77.5,50.9,40.9,79.3,0,0,0,0,16,0.0,0,1,0,93.5,6,0,0,110,2,69,137,7,0,0,7,0,0,130,5,63,18,1,4,0,7,0,0,45,19,7.5
Johnathan Joseph,2969,CB,ARZ,11,3,0,63.2,0,0,1,0,0,63.1,65.4,84.9,55.7,71.7,47.5,0,0,0,1,71,11.8,4,5,1,112.6,24,0,0,25,361,260,423,4,0,0,4,0,2,419,4,159,31,4,27,0,38,0,4,308,98,12.8
Domata Peko Sr.,3068,DI,ARZ,6,3,0,100.0,0,0,1,0,0,58.9,46.7,83.8,56.8,44.1,56.4,0,2,0,0,3,14.3,2,0,0,79.2,1,0,0,1,0,1,177,175,57,117,0,1,0,2,80,96,0,6,9,0,1,2,0,3,6,3.0
Tramon Williams,3558,CB,BLT,6,3,0,75.0,0,0,3,0,0,51.5,53.5,82.1,59.6,63.5,90.0,1,0,0,0,14,0.0,0,1,0,113.0,12,0,0,4,8,118,170,0,0,0,0,0,0,170,11,41,157,0,12,0,16,1,1,106,54,8.8
Calais Campbell,4364,DI,BLT,12,5,5,0.0,0,0,3,0,0,65.9,71.9,52.3,70.4,64.0,40.8,3,17,0,0,,20.0,6,1,2,39.6,0,3,0,7,0,9,410,403,34,202,45,122,0,7,282,119,0,23,19,2,1,23,0,0,0,
Brandon Carr,4454,S,DAL,3,0,0,,0,0,9,0,0,49.2,54.4,74.9,,68.7,72.8,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,9,3,12,21,0,0,0,0,0,7,21,0,9,2,1,1,0,0,0,0,0,0,
Matthew Slater,4467,WR,NE,2,0,0,,0,0,19,0,0,54.8,38.9,71.8,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,
Malcolm Jenkins,4937,S,NO,16,7,0,71.2,1,1,20,1,0,52.0,62.0,73.4,63.1,79.2,82.6,4,12,0,3,74,7.1,7,5,7,93.4,47,3,0,304,45,586,1036,220,0,0,220,0,318,816,83,367,149,29,85,5,66,19,4,487,260,10.4
Jason McCourty,5127,CB,NE,16,9,0,63.6,0,0,19,0,0,51.8,55.7,86.1,51.8,71.4,86.6,0,0,0,0,41,2.3,1,3,3,135.0,21,0,0,100,401,416,665,6,0,0,6,0,46,659,5,244,112,5,33,0,33,0,4,319,72,15.2
Steve McLendon,5232,DI,TB,15,8,0,,0,0,30,0,0,52.1,65.5,54.6,62.5,68.6,61.8,0,8,0,0,,6.1,2,0,2,0.0,0,0,0,0,0,4,443,443,157,205,1,80,0,0,229,210,0,19,23,2,0,8,0,0,0,
Ndamukong Suh,5527,DI,TB,16,7,1,100.0,1,1,30,0,0,49.1,61.8,25.6,65.1,67.0,43.7,13,31,0,0,18,14.3,6,0,8,118.8,2,6,0,9,0,7,788,777,15,424,53,285,0,11,552,229,0,25,29,4,2,50,0,27,10,13.5
Joe Haden,5532,CB,PIT,14,6,0,51.5,0,0,25,0,0,69.6,66.6,86.0,,49.1,45.1,0,0,1,2,54,17.2,10,9,4,81.3,35,0,0,95,740,523,846,2,0,0,2,0,2,844,0,323,7,11,42,2,68,0,3,552,119,15.8
Tyson Alualu,5535,DI,PIT,15,14,5,,0,1,25,0,0,73.2,89.6,70.5,80.5,82.0,60.5,3,8,0,0,,5.3,2,0,1,0.0,0,2,0,6,0,0,448,442,196,208,5,33,0,6,236,212,0,17,22,4,0,13,0,0,0,
Brandon Graham,5538,ED,PHI,16,8,0,0.0,0,2,24,1,0,58.4,81.5,57.7,80.8,73.3,29.9,9,39,0,0,,19.6,9,0,4,39.6,0,8,0,8,0,12,759,750,0,1,722,27,0,9,429,318,0,28,29,6,1,56,0,0,0,
Jason Pierre-Paul,5540,ED,TB,16,13,2,69.2,0,4,30,2,0,70.4,69.2,60.2,71.4,56.4,40.1,4,33,0,2,40,18.9,10,2,4,55.8,9,11,0,15,0,80,943,913,0,34,852,27,0,30,572,291,15,33,30,1,13,48,0,111,106,12.3
Kareem Jackson,5545,S,DEN,16,20,0,73.3,0,0,10,2,0,81.3,80.4,75.2,48.4,77.6,65.3,0,1,0,1,35,12.6,14,3,1,89.1,33,0,0,277,6,666,1083,5,0,0,5,0,625,1078,6,411,170,26,77,1,45,1,1,300,182,9.1
Devin McCourty,5552,S,NE,16,13,0,76.0,0,0,19,0,0,64.3,65.2,62.1,47.3,69.3,70.7,0,1,1,2,24,10.1,7,3,1,106.7,19,0,0,273,18,536,960,10,0,0,10,0,591,950,13,411,68,7,49,1,25,1,3,210,90,11.1
Jerry Hughes,5556,ED,BUF,15,8,2,100.0,3,2,4,2,1,61.7,75.3,39.3,87.3,54.7,32.5,6,43,0,1,16,22.6,7,0,5,79.2,2,5,0,2,0,25,629,627,0,19,592,16,0,2,370,234,0,17,16,2,2,54,0,29,13,14.5
