player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Kareem McKenzie,840,T,NYG,20,100.0,2,21,62.8,53.0,70.9,11,58,800,100.0,100.0,94.6,3,78,9,1372,0,0,0,1372,840,840,0,1371,532,1
David Diehl,1468,G,NYG,20,99.9,1,21,51.6,39.6,59.4,11,61,798,99.8,99.8,93.9,5,85,13,1369,0,668,701,1371,838,840,0,0,531,2
Jermon Bushrod,3741,T,NO,18,100.0,0,20,77.0,74.8,72.4,11,42,806,100.0,100.0,96.3,6,56,3,1320,0,0,1320,1320,845,845,0,0,475,0
Carl Nicks,4478,G,NO,18,100.0,0,20,83.0,84.9,76.5,4,10,806,100.0,100.0,98.9,2,16,2,1320,0,1320,0,1320,845,845,0,0,475,0
Brian Waters,575,G,NE,19,100.0,1,19,82.0,86.4,74.1,3,11,757,100.0,100.0,98.8,6,16,2,1310,0,0,0,1310,794,794,1310,0,516,0
Jahri Evans,3053,G,NO,18,100.0,1,20,76.5,68.9,77.5,2,32,798,100.0,100.0,97.5,6,37,3,1283,0,0,0,1283,836,836,1283,0,447,0
Chris Snee,1755,G,NYG,19,100.0,4,21,64.6,61.9,64.8,7,27,750,100.0,100.0,96.9,10,40,6,1277,0,0,0,1277,786,786,1277,0,491,0
Matt Light,818,T,NE,18,99.9,0,19,79.4,75.6,74.0,9,30,714,99.9,99.9,96.7,5,43,4,1231,0,0,1228,1232,751,752,0,0,480,4
Bryant McKinnie,1015,T,BLT,18,100.0,2,3,73.3,75.8,66.1,9,29,661,100.0,100.0,96.1,7,45,7,1213,0,0,1213,1213,696,696,0,0,517,0
Wade Smith,1393,G,HST,18,100.0,0,13,70.2,68.1,67.4,4,20,563,100.0,100.0,97.3,2,27,3,1203,0,1203,0,1203,592,592,0,0,611,0
Michael Oher,4946,T,BLT,18,99.8,0,3,70.2,64.8,73.9,7,43,656,99.7,99.7,94.7,11,60,10,1201,0,0,0,1203,690,692,0,1195,511,8
Zane Beadles,5570,G,DEN,18,100.0,0,10,64.1,55.4,68.6,5,36,560,100.0,100.0,95.1,7,48,7,1195,0,1195,0,1195,601,601,0,0,594,0
J.D. Walton,5604,C,DEN,18,100.0,0,10,57.1,61.0,54.3,4,19,560,100.0,100.0,97.2,3,27,4,1195,1195,0,0,1195,601,601,0,0,594,0
Matt Birk,404,C,BLT,18,100.0,0,3,76.0,82.7,72.2,3,9,659,100.0,100.0,98.8,4,14,2,1192,1192,0,0,1192,693,693,0,0,499,0
Justin Blalock,3655,G,ATL,17,100.0,2,2,71.5,79.4,62.5,4,17,673,100.0,100.0,98.3,3,22,1,1191,0,1190,1,1191,724,724,0,0,467,0
Ryan Clady,4326,T,DEN,18,99.8,3,10,66.7,70.8,58.1,3,34,557,99.6,99.7,95.6,12,43,6,1191,0,0,1172,1193,597,599,0,0,594,21
Tyson Clabo,2011,T,ATL,17,100.0,1,2,77.3,75.3,75.7,10,16,673,100.0,100.0,97.5,8,30,4,1191,0,0,7,1191,724,724,1,1183,467,0
Eric Winston,3011,T,HST,18,100.0,2,13,78.9,72.9,80.1,2,23,558,100.0,100.0,96.5,9,32,7,1185,0,0,0,1185,587,587,0,1185,598,0
Duane Brown,4340,T,HST,18,100.0,0,13,83.1,84.7,76.2,4,23,549,100.0,100.0,97.5,3,27,0,1176,0,0,1176,1176,576,576,0,0,600,0
Orlando Franklin,6198,T,DEN,18,100.0,1,10,70.5,61.8,74.2,7,31,542,100.0,100.0,95.2,6,45,7,1173,0,0,6,1173,583,583,0,1167,590,0
Marshal Yanda,3702,G,BLT,18,100.0,0,3,84.7,85.9,80.0,2,8,646,100.0,100.0,98.6,3,14,4,1172,0,0,0,1172,681,681,1172,0,491,0
Chris Myers,2417,C,HST,18,100.0,1,13,92.6,82.4,92.0,2,10,544,100.0,100.0,98.7,4,13,1,1165,1165,0,0,1165,571,571,0,0,594,0
Logan Mankins,2249,G,NE,18,100.0,0,19,75.9,68.3,81.0,5,18,674,100.0,100.0,97.6,7,28,5,1162,0,1146,16,1162,710,710,0,0,452,0
Rob Sims,3073,G,DET,17,100.0,0,11,73.0,81.6,65.0,9,11,758,100.0,100.0,98.5,3,21,1,1157,0,1157,0,1157,796,796,0,0,361,0
Stephen Peterman,1804,G,DET,17,100.0,1,11,71.3,76.5,65.6,6,13,758,100.0,100.0,98.5,5,21,2,1157,0,0,0,1157,796,796,1157,0,361,0
Dominic Raiola,820,C,DET,17,100.0,0,11,67.7,81.9,61.4,1,10,757,100.0,100.0,98.7,5,15,4,1148,1148,0,0,1148,795,795,0,0,353,0
Mike Iupati,5542,G,SF,18,100.0,0,28,79.6,68.1,79.7,5,14,593,100.0,100.0,97.7,4,23,4,1147,0,1142,0,1147,626,626,5,0,521,0
