player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Brandon Brooks,7078,G,PHI,14,100.0,0,24,82.4,87.7,75.5,2,14,565,100.0,100.0,98.4,3,17,1,989,0,0,0,989,600,600,989,0,389,0
Taylor Lewan,8646,T,TEN,16,99.6,2,31,87.0,85.1,87.5,0,22,510,99.2,99.3,97.5,14,24,2,987,0,3,937,991,560,564,0,0,427,48
Joe Hawley,5641,C,TB,15,100.0,0,30,71.3,71.3,70.2,5,13,549,100.0,100.0,97.8,5,21,3,978,978,0,0,978,596,596,0,0,382,0
Jeff Allen,7642,G,HST,16,100.0,1,13,56.3,71.9,48.1,3,21,530,100.0,100.0,96.8,5,29,5,968,0,0,0,968,566,566,968,0,402,0
Joe Barksdale,6244,T,SD,15,100.0,2,27,56.3,65.9,52.8,7,32,556,100.0,100.0,94.9,10,48,9,967,0,0,46,967,592,592,0,921,375,0
T.J. Lang,5032,G,GB,16,100.0,1,12,81.1,91.9,70.0,0,11,619,100.0,100.0,99.1,5,11,0,964,0,0,0,964,659,659,964,0,305,0
Kevin Pamphile,8784,G,TB,14,100.0,0,30,56.1,68.3,49.1,7,28,543,100.0,100.0,96.4,3,37,2,957,0,896,0,957,590,590,0,61,367,0
Joe Haeg,10789,G,IND,14,100.0,0,14,67.9,59.7,72.9,12,32,569,100.0,100.0,94.6,4,53,9,952,0,123,0,952,615,615,332,495,337,1
Laurent Duvernay-Tardif,8834,G,KC,15,100.0,2,16,72.0,79.0,60.9,2,15,561,100.0,100.0,98.3,5,18,1,946,0,0,0,946,591,591,946,0,355,0
Clint Boling,6253,G,CIN,14,100.0,0,7,66.2,78.8,57.2,2,17,548,100.0,100.0,97.7,2,22,3,942,0,937,0,942,581,581,0,4,361,0
Demar Dotson,5410,T,TB,13,100.0,1,30,74.2,71.3,77.5,7,22,532,100.0,100.0,96.7,12,32,3,942,0,0,0,942,582,582,0,942,360,0
Garry Gilliam,9137,T,SEA,16,100.0,1,29,56.7,58.6,54.3,8,39,562,100.0,100.0,95.5,5,49,2,939,0,0,0,939,598,598,0,934,341,4
Rob Havenstein,9490,T,LA,15,100.0,0,26,72.2,71.2,66.6,6,30,556,100.0,100.0,95.3,4,44,8,934,0,0,0,934,592,592,0,927,342,7
Germain Ifedi,10665,G,SEA,15,100.0,1,29,52.0,38.4,66.7,5,31,563,100.0,100.0,95.9,9,41,5,926,0,0,0,926,596,596,925,0,330,0
