player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,16,51,51,4.14,41.88,49.04,8.8,0,0,5,8,1,44.7,12,62,3,0,58.8,265,30,51,211.37,2136,5,2501
Dustin Colquitt,2316,P,CLV,11,48,48,4.11,39.1,44.46,9.4,1,0,5,10,8,57.1,15,66,9,0,43.8,197,21,49,197.29,1877,3,2134
Robbie Gould,2607,K,SF,1,2,2,4.03,45.0,45.0,,0,0,1,1,28,58.6,1,47,0,0,0.0,0,0,2,8.05,90,0,90
Sam Koch,3148,P,BLT,17,71,71,4.26,40.01,44.35,7.4,0,0,10,16,3,67.0,28,61,10,0,43.7,228,31,71,302.65,2841,4,3149
Brett Kern,4580,P,TEN,14,47,47,4.1,40.43,44.79,10.3,0,0,7,11,31,64.5,18,59,10,0,38.3,185,18,47,192.48,1900,1,2105
Kevin Huber,5066,P,CIN,16,66,66,4.21,41.05,46.42,8.4,0,0,7,15,7,57.4,24,61,10,0,42.4,235,28,66,278.01,2709,6,3064
Thomas Morstead,5088,P,ATL,14,45,45,4.25,42.04,47.18,10.1,0,0,4,17,2,68.7,21,64,3,0,42.2,191,19,45,191.33,1892,2,2123
Bryan Anger,7072,P,DAL,17,65,65,4.47,44.62,48.35,6.5,0,0,7,24,9,74.9,26,63,5,0,38.5,163,25,65,290.81,2900,4,3143
Johnny Hekker,7252,P,LA,17,51,51,4.2,42.59,44.16,6.7,0,0,8,25,26,64.8,23,59,8,0,17.6,60,9,51,214.23,2172,1,2252
Sam Martin,7947,P,DEN,17,67,67,4.17,42.82,46.01,6.4,0,0,7,24,10,72.2,31,68,9,0,35.8,154,24,67,279.63,2869,3,3083
Tress Way,8358,P,WAS,15,60,60,4.31,42.07,48.35,9.1,1,0,8,14,32,63.1,22,66,5,1,43.3,237,26,61,258.88,2524,7,2901
Pat O'Donnell,8826,P,CHI,17,62,62,4.09,38.55,46.21,11.0,0,0,7,13,6,57.0,20,72,3,0,54.8,375,34,62,253.87,2390,5,2865
Michael Palardy,9277,P,MIA,17,78,78,4.14,40.09,44.73,8.7,0,0,12,27,17,54.7,31,65,4,0,38.5,262,30,78,323.27,3127,5,3489
