player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,14,61,61,4.31,41.89,47.77,9.0,1,1,5,15,1,60.5,22,64,6,1,50.8,279,31,62,262.97,2555,4,2914
Dustin Colquitt,2316,P,KC,16,48,48,4.4,41.19,44.29,4.7,1,0,11,14,16,63.5,23,68,1,0,39.6,89,19,49,211.4,1977,3,2126
Sam Koch,3148,P,BLT,15,40,40,4.2,40.8,46.38,9.5,1,0,5,10,3,67.0,21,62,6,0,37.5,143,15,41,167.86,1632,4,1855
Brett Kern,4580,P,TEN,16,78,78,4.23,43.12,47.08,9.0,0,0,8,19,31,90.3,39,70,19,0,38.5,269,30,78,330.2,3363,2,3672
Kevin Huber,5066,P,CIN,16,75,75,4.31,42.11,45.25,5.4,0,0,9,30,7,63.9,32,63,6,0,33.3,136,25,75,323.15,3158,5,3394
Thomas Morstead,5088,P,NO,16,60,60,4.3,43.07,46.17,6.9,0,0,7,21,20,71.0,33,64,7,0,40.0,166,24,60,258.12,2584,1,2770
Britton Colquitt,5192,P,MIN,15,62,62,4.47,42.65,45.19,6.9,0,0,9,24,18,74.1,24,59,6,0,37.1,158,23,62,277.29,2644,0,2802
Matt Bosher,6344,P,ATL,3,9,9,4.61,40.78,41.89,5.0,1,0,0,7,2,61.5,2,52,0,0,22.2,10,2,10,41.45,367,0,377
Chris Jones,6798,P,DAL,16,50,50,4.48,37.7,41.58,8.6,1,0,9,18,9,68.7,18,58,3,0,36.0,154,18,51,224.14,1885,2,2079
Bryan Anger,7072,P,HST,13,45,45,4.43,44.47,46.53,3.1,0,0,9,16,13,70.6,26,71,1,0,37.8,53,17,45,199.36,2001,2,2094
Johnny Hekker,7252,P,LA,16,66,66,4.31,42.95,47.3,8.1,1,0,10,14,26,69.4,26,69,14,0,34.8,187,23,67,284.72,2835,5,3122
Sam Martin,7947,P,DET,16,76,76,4.33,41.79,45.33,4.4,0,0,13,22,11,60.2,31,62,5,0,38.2,129,29,76,329.01,3176,7,3445
Ryan Allen,8242,P,ATL,8,28,28,3.91,37.5,41.86,7.8,0,0,5,8,2,62.2,14,59,4,0,28.6,62,8,28,109.54,1050,3,1172
Tress Way,8358,P,WAS,16,79,79,4.36,44.11,49.61,9.1,0,0,12,19,32,71.3,31,79,5,0,49.4,354,39,79,344.77,3485,4,3919
Pat O'Donnell,8826,P,CHI,16,80,80,4.23,41.24,44.83,7.1,1,0,13,26,6,55.3,27,75,4,1,43.8,247,35,81,338.38,3299,2,3586
Kasey Redfern,9155,P,ATL,3,9,9,4.41,36.89,41.22,7.8,0,0,0,3,2,60.2,3,54,1,0,55.6,39,5,9,39.68,332,0,371
Michael Palardy,9277,P,CAR,16,75,75,4.33,38.73,46.03,12.2,0,0,7,16,5,59.7,28,62,9,0,53.3,487,40,75,324.9,2905,3,3452
Bradley Pinion,9598,P,TB,16,57,57,4.48,38.28,43.23,8.9,0,0,9,18,30,70.6,23,63,2,0,43.9,222,25,57,255.33,2182,3,2464
Ty Long,9728,K,LAC,15,48,48,4.06,40.92,47.0,7.6,0,0,3,8,27,52.8,20,60,2,0,68.8,252,33,48,195.01,1964,2,2256
Matt Wile,9972,P,ATL,2,6,6,4.53,44.67,48.33,5.5,0,0,0,0,2,63.7,3,60,2,0,66.7,22,4,6,27.16,268,0,290
Jordan Berry,10236,P,PIT,16,74,74,4.44,40.85,45.51,9.1,0,0,12,24,25,64.0,27,69,5,0,39.2,265,29,74,328.33,3023,4,3368
Riley Dixon,10862,P,NYG,16,69,69,4.35,43.51,46.06,5.7,2,0,17,17,21,67.0,32,62,9,0,34.8,136,24,71,300.03,3002,2,3178
Lachlan Edwards,10869,P,NYJ,16,87,87,4.19,41.63,45.87,7.0,0,0,18,13,22,57.7,30,63,9,0,50.6,309,44,87,364.16,3622,3,3991
Ka'imi Fairbairn,11161,K,HST,1,1,1,3.88,26.0,26.0,,0,0,0,0,13,60.0,1,26,1,0,0.0,0,0,1,3.88,26,0,26
Zane Gonzalez,11979,K,ARZ,1,2,2,4.25,42.0,42.0,,0,0,1,1,1,59.7,0,44,0,0,0.0,0,0,2,8.49,84,0,84
Rigoberto Sanchez,12130,P,IND,16,59,59,4.33,41.24,44.39,5.9,0,0,9,15,14,73.4,25,60,6,0,47.5,166,28,59,255.51,2433,1,2619
Matt Haack,12212,P,MIA,16,69,69,4.3,41.1,44.97,7.8,0,0,12,20,17,60.1,27,62,6,0,42.0,227,29,69,296.82,2836,2,3103
Cameron Johnston,12255,P,PHI,16,71,71,4.22,42.32,46.37,6.5,0,0,9,19,24,57.0,33,61,7,0,45.1,207,32,71,299.31,3005,4,3292
Austin Seibert,13701,K,CLV,1,1,1,3.57,37.0,37.0,,0,0,1,0,8,60.0,1,37,0,0,0.0,0,0,1,3.57,37,0,37
Corey Bojorquez,27626,P,BUF,16,79,79,4.54,38.18,41.94,8.7,1,0,13,26,4,67.8,35,67,15,0,22.8,157,18,80,358.55,3016,7,3313
Logan Cooke,29214,P,JAX,16,75,75,4.42,44.53,46.76,5.3,0,0,11,26,15,70.2,29,66,12,0,32.0,127,24,75,331.3,3340,2,3507
Ryan Winslow,30026,P,ARZ,2,6,6,4.15,44.17,48.5,1.5,0,0,1,0,1,53.8,2,55,0,0,66.7,6,4,6,24.88,265,1,291
Jake Bailey,33963,P,NE,16,81,81,4.39,41.27,44.91,6.3,0,0,12,18,19,73.3,39,65,17,0,34.6,175,28,81,355.37,3343,6,3638
Michael Dickson,35381,P,SEA,16,74,74,4.4,40.92,45.15,6.3,0,0,9,18,29,64.5,37,63,8,0,45.9,213,34,74,325.8,3028,5,3341
AJ Cole,36038,P,OAK,16,67,67,4.27,39.45,45.99,10.6,0,0,8,20,23,58.9,35,74,3,1,44.8,318,30,67,286.08,2643,6,3081
Colby Wadman,38062,P,DEN,16,78,78,4.37,39.36,44.33,9.6,0,0,9,21,10,63.8,31,60,12,0,41.0,308,32,78,340.9,3070,4,3458
JK Scott,38809,P,GB,16,77,77,4.46,39.91,43.97,9.0,0,0,10,25,12,77.1,29,66,12,0,33.8,233,26,77,343.21,3073,4,3386
Trevor Daniel,38843,P,HST,2,11,11,4.12,40.91,43.55,4.1,0,0,1,3,13,58.8,2,54,0,0,63.6,29,7,11,45.33,450,0,479
