player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Maurice Jones-Drew,3005,HB,JAX,16,343,47,17,26.8,431,0,1606,3,10,47,954,41.1,43,75,15,6,0,58.3,74.5,87.0,,79.1,62.8,72.5,63.8,56,0,374,43,302,381,0,0,56,386,8,1606,954,2.78,4.7,1.24,0
Ray Rice,4369,HB,BLT,18,333,18,13,32.5,485,0,1491,6,14,18,810,18.8,31,56,3,3,0,74.0,75.7,66.8,54.1,61.3,86.3,70.5,58.2,70,1,735,81,412,373,0,0,108,414,12,1491,810,2.43,4.5,1.78,0
Arian Foster,5398,HB,HST,15,329,30,22,33.9,512,0,1509,4,13,30,846,28.4,39,71,13,7,0,40.1,82.5,60.0,,76.8,74.4,79.7,57.6,43,1,674,61,305,350,0,0,70,390,13,1509,846,2.57,4.6,2.21,0
Michael Turner,1873,HB,ATL,17,316,63,21,42.6,593,0,1393,4,5,63,954,61.5,36,66,2,3,0,68.9,71.0,82.9,,76.3,39.7,73.0,61.4,81,1,173,18,188,335,0,0,25,334,11,1393,954,3.02,4.4,0.92,0
Frank Gore,2282,HB,SF,18,311,28,16,33.0,452,0,1368,7,3,28,832,24.3,34,60,28,3,0,72.1,63.5,37.3,,67.1,36.5,67.8,66.8,55,2,197,30,260,351,0,0,42,341,8,1368,832,2.68,4.4,0.76,0
Willis McGahee,1339,HB,DEN,17,285,38,19,32.8,440,0,1340,2,2,38,783,37.0,39,59,10,6,0,34.4,76.0,50.0,,64.9,38.9,78.2,59.2,60,1,51,12,143,334,0,0,17,297,5,1340,783,2.75,4.7,0.36,0
Marshawn Lynch,3628,HB,SEA,15,285,50,15,26.7,322,0,1204,2,5,50,722,44.5,30,63,29,4,0,66.7,76.4,50.7,52.6,58.3,56.2,78.3,56.5,47,2,212,28,185,310,0,0,36,313,12,1204,722,2.53,4.2,1.15,0
Cedric Benson,2221,HB,CIN,16,280,22,8,18.8,205,0,1090,4,1,22,576,16.0,24,54,7,5,0,50.8,66.1,84.1,,78.9,30.9,69.6,57.3,42,0,80,16,200,311,0,0,23,296,7,1090,576,2.06,3.9,0.4,0
LeSean McCoy,4976,HB,PHI,15,273,48,19,38.7,507,0,1309,5,9,48,684,44.5,48,84,24,1,0,76.9,73.8,88.0,,48.0,52.9,80.7,60.1,60,1,315,48,388,313,0,0,61,321,17,1309,684,2.51,4.8,0.81,0
Chris Johnson,4338,HB,TEN,16,262,29,16,36.9,389,0,1053,4,9,29,553,25.1,27,48,31,3,0,67.2,64.1,86.8,,68.1,57.2,64.6,57.2,48,2,418,57,328,298,0,0,75,319,4,1053,553,2.11,4.0,1.27,0
Steven Jackson,1745,HB,SL,15,260,23,19,35.3,404,0,1145,2,4,23,663,22.8,32,50,26,2,0,75.5,69.7,86.7,,72.7,57.3,69.9,57.1,47,0,333,42,292,282,0,0,56,302,5,1145,663,2.55,4.4,1.14,0
Michael Bush,3716,HB,OAK,16,256,19,8,21.3,209,0,980,1,6,19,606,20.2,21,54,23,1,0,85.9,70.0,85.2,,71.7,79.6,64.2,60.0,44,0,418,37,241,315,0,0,43,293,7,980,606,2.37,3.8,1.73,0
Shonn Greene,4988,HB,NYJ,16,253,22,9,17.4,183,0,1054,5,5,22,570,21.5,22,46,22,1,0,64.2,63.8,83.0,,72.7,43.1,66.1,58.8,31,0,211,30,183,296,0,0,40,283,6,1054,570,2.25,4.2,1.15,0
Beanie Wells,4954,HB,ARZ,14,245,23,7,23.0,241,0,1049,3,0,23,648,23.9,18,48,1,5,0,47.9,56.4,52.3,,64.5,32.4,61.3,58.1,71,1,52,10,190,262,0,0,14,255,10,1049,648,2.64,4.3,0.27,0
