player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Bobby Wagner,7050,LB,SEA,17,50,0,81.7,0,0,29,1,0,60.0,82.4,85.7,75.1,91.5,90.2,2,11,0,0,30,4.8,9,3,1,113.5,49,4,0,1096,2,615,1170,7,0,0,7,0,8,1163,81,474,57,71,130,7,60,17,2,515,332,10.5
Lavonte David,7060,LB,TB,17,28,0,76.0,2,2,30,0,0,68.6,72.3,35.2,70.9,75.0,74.8,0,16,0,0,33,7.2,11,4,4,94.0,73,6,0,878,18,629,1086,94,0,0,94,0,2,992,91,366,94,70,114,15,96,22,1,578,329,7.9
Demario Davis,7079,LB,NO,17,36,0,66.0,1,1,20,1,0,85.4,89.6,88.4,73.9,82.8,75.7,3,12,0,0,26,9.0,11,2,1,89.3,31,7,0,908,8,567,1074,83,0,0,83,0,8,991,78,429,67,48,75,6,47,22,2,204,116,6.6
Rodney McLeod,7271,S,CLV,10,6,0,50.0,0,0,8,0,0,52.5,54.1,83.0,52.5,61.3,50.3,0,1,0,0,17,17.2,5,1,0,63.3,5,0,0,48,12,169,280,15,0,0,15,0,136,265,5,106,69,11,18,2,10,1,0,47,31,9.4
Tashaun Gipson Sr.,7288,S,SF,19,18,0,52.8,1,1,28,0,0,63.8,67.8,53.0,52.4,84.6,67.2,0,7,0,1,52,11.9,10,3,5,72.2,19,1,0,216,15,802,1194,19,0,0,19,0,701,1175,18,374,243,15,56,3,36,8,1,246,93,12.9
Brandon Bolden,7469,HB,LV,1,0,0,,0,0,23,0,0,60.7,70.2,60.4,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Harrison Smith,7641,S,MIN,17,21,1,65.3,0,3,18,0,0,69.5,68.9,88.3,58.6,66.2,61.2,3,6,0,0,36,12.4,12,1,1,78.8,32,3,0,390,39,593,1111,185,0,0,185,0,346,926,99,419,151,30,64,0,49,12,0,262,173,8.2
Josh Norman,7649,CB,BUF,1,0,0,,0,0,4,0,0,,47.5,70.1,,54.4,70.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,1,0,5,4,0,0,4,0,0,1,0,5,0,0,1,0,0,0,0,0,0,
Justin Bethel,7654,CB,MIA,10,3,0,88.9,0,0,17,0,0,62.0,67.6,79.9,90.9,65.6,85.2,0,1,0,0,24,0.0,0,0,0,142.8,8,1,0,30,5,86,126,0,0,0,0,0,1,126,5,35,88,5,9,2,9,2,3,79,19,9.9
Darius Slay,7817,CB,PHI,13,4,0,64.3,0,0,24,0,0,65.4,66.0,88.1,,62.8,66.6,0,0,1,2,39,10.3,7,7,3,84.3,54,0,0,34,797,616,874,5,0,0,5,0,1,869,0,258,37,15,57,2,84,0,2,618,252,11.4
