player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Drew Brees,802,QB,NO,17,77.7,676,718,7.9,0.0,11,44,5.9,67.8,487,0,209,7.2,747,38,259,20,83.1,87.1,87.0,36.0,3,22,776,5,12.4,91.2,3.5,26,3,5,23,35,22,2.8,5024,7.0
Peyton Manning,327,QB,IND,17,74.8,690,705,8.9,0.0,6,35,4.8,66.4,468,0,185,9.3,723,48,266,14,91.2,90.2,89.5,41.2,4,17,746,3,9.2,92.5,2.4,17,1,0,5,34,20,2.7,4925,7.0
Aaron Rodgers,2241,QB,GB,19,76.6,578,607,9.6,0.0,6,55,8.6,66.2,402,0,198,9.3,695,41,264,12,83.0,91.3,91.6,59.7,2,13,728,7,19.7,103.2,5.6,39,49,2,19,37,20,2.7,5029,8.3
Matt Ryan,4317,QB,ATL,17,72.2,564,600,8.7,0.0,5,35,5.4,62.8,377,0,202,7.4,650,30,214,2,74.7,83.6,85.7,32.2,9,11,700,2,13.9,89.9,4.3,28,22,1,21,29,13,1.9,3891,6.5
Mark Sanchez,4928,QB,NYJ,18,68.1,555,595,9.5,0.0,17,29,4.7,55.8,332,0,177,12.2,639,46,202,22,69.8,71.4,72.1,44.0,6,14,664,4,16.9,78.5,4.7,30,14,5,12,22,27,4.1,3907,6.6
Sam Bradford,5526,QB,SL,16,72.9,535,590,6.8,0.0,17,24,3.9,60.0,354,0,219,9.2,640,36,184,26,74.6,65.1,65.7,41.0,17,15,672,2,15.5,76.5,5.3,34,16,3,18,18,22,3.3,3521,6.0
Carson Palmer,1317,QB,CIN,16,71.5,550,586,8.9,0.0,11,29,4.7,61.8,362,0,173,7.9,621,31,208,7,74.7,72.0,75.5,27.8,5,19,655,4,15.0,83.1,4.2,26,9,2,18,26,26,4.0,3970,6.8
Matt Schaub,1811,QB,HST,16,75.3,523,574,8.0,0.0,10,26,4.3,63.6,365,0,185,7.4,611,29,225,13,73.6,84.5,84.1,43.1,12,12,645,1,17.3,92.0,5.2,32,5,4,25,24,14,2.2,4372,7.6
Joe Flacco,4332,QB,BLT,18,72.0,511,553,9.4,0.0,8,33,5.6,62.7,347,0,203,5.7,618,21,208,3,57.7,73.2,78.1,28.3,6,11,655,4,24.1,93.7,7.9,49,16,0,28,28,22,3.4,4083,7.4
Philip Rivers,1725,QB,SD,16,75.5,502,541,8.9,0.0,7,35,6.2,66.0,357,0,206,5.8,591,22,240,27,67.1,91.6,92.8,32.1,8,13,612,13,18.4,101.8,6.4,38,12,1,23,30,9,1.5,4710,8.7
Eli Manning,1722,QB,NYG,16,74.3,513,539,9.5,0.0,6,36,6.3,62.9,339,0,174,11.0,565,42,195,21,79.6,81.1,82.4,39.2,5,25,597,4,9.2,85.3,2.8,16,10,1,14,31,23,3.9,4002,7.4
Tom Brady,698,QB,NE,17,77.6,514,537,8.0,0.0,6,24,4.2,65.7,353,0,171,11.5,572,46,211,19,87.9,87.0,88.5,35.5,6,5,602,2,17.5,109.2,5.2,30,5,0,11,38,8,1.3,4199,7.8
Matt Hasselbeck,408,QB,SEA,16,69.4,497,525,8.9,0.0,7,27,4.9,59.8,314,0,141,9.0,566,31,170,29,79.0,74.1,73.4,55.3,3,18,592,3,22.7,77.7,5.7,32,9,1,17,19,20,3.4,3528,6.7
Kyle Orton,2323,QB,DEN,13,67.2,469,498,9.8,0.0,9,27,5.1,58.8,293,0,171,7.0,545,22,180,10,77.9,68.0,70.7,36.2,5,9,574,7,19.9,87.6,6.2,34,13,2,13,20,17,3.0,3658,7.3
