player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Charles Woodson,330,S,OAK,16,10,0,78.9,0,2,23,2,1,71.3,73.2,84.0,70.6,73.1,62.3,1,3,0,1,51,14.7,16,3,0,119.2,30,2,0,99,7,620,1068,0,0,0,0,0,925,1068,23,425,37,22,83,3,38,6,3,339,144,11.3
London Fletcher,424,LB,WAS,16,26,0,73.8,0,1,32,0,0,63.4,45.3,74.3,58.2,29.4,54.3,2,3,0,0,24,13.2,14,2,3,109.8,31,2,0,826,1,454,917,75,0,0,75,0,4,842,55,408,11,29,66,2,42,7,2,306,230,9.9
Champ Bailey,442,CB,DEN,8,1,0,65.7,0,0,10,0,0,66.2,63.4,83.8,45.1,46.7,50.0,0,0,0,0,37,10.7,3,3,0,96.1,23,0,0,13,159,223,326,0,0,0,0,0,0,326,8,95,154,4,24,0,35,0,1,250,109,10.9
John Abraham,591,ED,ARZ,16,2,1,50.0,0,4,1,0,0,80.7,77.3,64.6,76.5,61.4,76.6,8,47,0,0,15,12.9,4,1,3,63.5,2,12,1,244,0,76,862,617,0,0,617,0,0,245,493,293,1,31,25,6,4,67,0,19,9,9.5
Paris Lenon,751,LB,DEN,15,3,1,78.6,0,0,10,0,0,28.8,37.5,81.7,72.6,60.0,44.1,0,3,0,0,27,16.1,5,1,1,100.9,11,0,0,292,3,134,301,5,0,0,5,0,0,296,11,156,0,12,23,0,14,3,0,115,68,10.5
Justin Smith,776,DI,SF,19,11,0,,0,1,28,0,0,63.1,62.8,68.1,62.6,60.0,71.4,11,47,0,0,,7.3,4,0,2,0.0,0,7,0,61,0,4,913,852,0,11,120,721,0,61,558,351,0,37,40,3,0,65,0,0,0,
Andre Carter,779,ED,NE,11,1,0,100.0,0,0,19,0,0,59.4,56.6,82.3,52.7,67.5,72.0,6,8,0,0,2,0.0,0,0,0,79.2,1,2,0,9,0,5,195,182,3,21,39,119,0,13,159,31,3,4,2,0,1,16,0,2,1,2.0
Ryan Pickett,799,DI,GB,17,5,2,,0,0,12,0,0,60.4,61.5,85.5,48.1,67.0,78.4,0,5,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,5,534,534,80,26,2,426,0,0,225,304,0,19,24,2,0,5,0,0,0,
Shaun Rogers,828,DI,NYG,7,1,0,,1,0,21,0,0,60.0,63.0,27.0,62.6,65.6,72.5,6,5,0,0,,11.1,1,0,2,0.0,0,0,0,0,0,0,223,223,12,198,0,13,0,0,122,101,0,6,7,1,0,11,0,0,0,
Julius Peppers,1010,ED,CHI,16,5,3,0.0,0,2,6,1,1,65.3,65.5,56.6,67.2,58.8,55.4,6,26,0,1,,12.5,5,0,3,0.0,0,7,0,0,0,22,851,851,0,42,47,762,0,0,457,372,0,26,30,3,1,39,0,0,0,
Quentin Jammer,1013,CB,DEN,11,1,0,61.5,0,0,10,1,0,65.3,67.7,32.4,59.0,86.4,85.2,0,0,0,0,49,0.0,0,3,3,132.9,16,0,0,9,212,175,242,0,0,0,0,0,0,242,1,66,20,7,16,0,26,0,4,249,46,15.6
Dwight Freeney,1019,ED,SD,4,0,0,100.0,0,0,27,0,0,48.8,67.2,80.9,77.0,46.8,70.6,3,15,0,0,13,0.0,0,0,0,118.8,1,1,0,10,0,9,168,158,0,0,42,116,0,10,114,45,0,1,1,0,1,19,0,13,11,13.0
Edward Reed,1031,S,NYJ,14,11,0,85.7,1,0,22,0,0,44.9,48.1,13.8,40.3,69.8,69.1,0,0,0,3,64,13.0,6,1,2,118.8,6,0,0,62,6,378,629,0,0,0,0,0,547,629,14,237,14,2,29,1,7,0,1,136,63,22.7
Will Witherspoon,1079,LB,SL,7,3,0,90.9,0,0,26,0,0,62.4,63.8,70.7,63.0,62.5,83.2,0,1,0,1,24,0.0,0,0,0,89.8,10,0,0,126,2,60,136,5,0,0,5,0,0,131,7,69,3,8,11,1,11,1,1,81,36,8.1
Larry Foote,1126,LB,PIT,1,1,0,,0,0,25,0,0,65.2,44.8,79.4,54.6,41.9,32.6,0,1,0,0,,28.6,2,0,0,0.0,0,0,0,55,0,13,58,3,0,0,3,0,0,55,10,35,0,2,4,1,0,1,0,0,0,
Justin Bannan,1134,DI,DET,3,0,0,,0,0,11,0,0,,62.0,75.2,76.3,52.3,66.8,0,3,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,29,29,0,26,0,3,0,0,12,17,0,0,1,0,0,3,0,0,0,
Brett Keisel,1204,DI,PIT,12,11,1,,0,1,25,2,0,57.9,56.7,84.7,61.4,51.5,69.4,4,19,0,0,,8.6,3,0,0,0.0,0,4,0,49,0,4,565,516,5,2,51,458,0,49,308,253,0,18,21,1,0,27,0,0,0,
Ryan Clark,1229,S,PIT,16,16,0,62.5,0,0,25,1,0,67.9,67.2,66.9,50.2,66.2,72.1,0,4,0,2,61,12.5,13,1,2,101.4,15,0,0,122,6,630,1063,0,0,0,0,0,901,1063,14,419,33,17,75,0,24,4,3,244,132,16.3
James Harrison,1251,LB,CIN,16,2,0,90.0,0,0,7,1,0,75.4,78.5,17.9,57.3,89.0,65.5,3,14,0,1,22,10.3,3,0,2,58.3,9,2,0,334,0,88,402,56,0,0,55,1,0,346,150,164,12,17,24,3,10,19,0,75,58,8.3
Terence Newman,1321,CB,CIN,13,1,0,60.0,1,0,7,1,1,71.6,72.5,87.8,,68.1,52.8,0,0,0,2,43,13.8,8,6,5,86.0,48,0,0,36,778,535,819,0,0,0,0,0,1,819,0,284,4,14,49,4,80,0,3,612,208,12.8
Kevin Williams,1325,DI,MIN,15,4,4,100.0,1,0,18,1,0,57.1,66.5,68.0,61.8,69.5,48.4,8,14,0,1,7,16.7,4,0,2,56.3,1,4,0,0,0,6,722,721,10,707,1,3,0,1,480,236,0,16,16,0,1,26,0,7,5,7.0
Terrell Suggs,1326,ED,BLT,16,10,0,100.0,1,0,3,1,0,63.1,73.8,61.1,66.5,75.8,79.4,14,37,0,0,19,6.2,4,0,4,116.7,2,10,0,98,0,56,903,802,0,0,628,174,0,101,501,346,3,50,51,5,2,61,0,24,16,12.0
Troy Polamalu,1332,S,PIT,16,12,1,52.1,0,6,25,1,0,90.1,83.8,0.0,67.9,65.6,70.6,0,3,1,2,57,12.2,10,6,5,60.2,25,2,0,618,4,599,1072,0,0,0,0,0,274,1072,51,422,175,29,60,5,48,5,1,290,155,11.6
Calvin Pace,1334,ED,NYJ,16,9,1,88.2,1,2,22,0,0,78.6,73.1,53.1,61.2,71.9,56.6,3,21,0,0,26,15.6,7,2,3,85.8,15,11,0,365,1,239,872,459,0,1,280,178,0,413,295,338,47,29,29,0,17,35,0,78,78,5.2
Nick Barnett,1345,LB,WAS,9,2,0,100.0,0,0,32,0,0,41.1,54.4,80.3,63.8,73.8,35.7,0,1,0,0,8,20.0,2,0,0,91.7,3,0,0,57,0,35,70,7,0,0,7,0,0,63,6,29,5,3,6,1,3,1,0,18,3,6.0
Nnamdi Asomugha,1347,CB,SF,3,0,0,36.4,0,0,28,0,0,52.7,49.6,80.5,59.4,37.6,25.0,0,0,0,0,31,57.1,4,1,1,86.6,4,0,0,3,127,86,137,0,0,0,0,0,3,137,1,50,4,0,3,0,11,0,1,63,9,15.8
Charles Tillman,1351,CB,CHI,8,4,0,57.8,0,3,6,0,0,53.2,57.6,0.0,60.0,88.8,64.2,0,0,0,3,45,12.8,6,2,5,98.1,26,0,0,38,386,240,432,0,0,0,0,0,0,432,1,191,8,11,37,4,45,0,7,389,152,15.0
Rashean Mathis,1355,CB,DET,15,4,0,48.7,1,0,11,0,0,72.7,72.8,89.1,,63.6,53.2,0,0,0,0,47,11.5,6,10,4,83.9,37,0,0,45,654,486,771,0,0,0,0,0,1,771,0,285,71,11,42,2,76,0,3,513,122,13.9
Drayton Florence,1362,CB,CAR,15,4,0,52.5,0,0,5,0,0,75.3,74.4,87.0,58.0,55.5,58.7,0,0,1,2,60,10.3,3,5,6,66.6,31,0,0,21,591,464,621,0,0,0,0,0,1,621,3,154,7,7,22,0,59,0,1,413,165,13.3
Osi Umenyiora,1371,ED,ATL,16,5,1,100.0,1,2,2,0,0,70.7,70.8,64.0,63.8,70.3,72.2,4,29,1,1,17,2.9,1,1,2,79.2,1,7,0,46,0,26,728,681,0,1,144,536,0,47,441,261,1,23,28,2,1,40,0,17,6,17.0
Cory Redding,1381,DI,IND,17,12,2,,1,0,14,1,0,66.0,67.4,66.7,55.7,73.8,56.9,8,24,0,0,,17.0,8,0,2,0.0,0,5,1,14,0,1,731,717,13,57,148,499,0,14,429,301,0,23,27,5,0,37,0,0,0,
Lance Briggs,1383,LB,CHI,9,10,0,73.3,0,2,6,0,0,55.0,58.0,40.8,71.6,59.1,48.3,3,1,0,0,29,21.2,18,4,1,101.0,33,3,0,542,2,264,557,1,0,0,1,0,0,556,47,246,12,35,57,8,45,7,1,328,232,9.9
Chris Crocker,1399,CB,CIN,13,8,0,59.2,1,0,7,0,0,72.8,72.8,9.6,63.3,74.0,61.1,1,5,1,2,21,17.0,8,2,4,64.4,29,2,0,69,4,361,549,0,0,0,0,0,41,549,26,162,435,14,31,3,49,8,2,193,121,6.7
Jarret Johnson,1421,ED,SD,13,4,2,88.2,0,2,27,0,0,62.7,70.9,56.3,61.0,77.0,60.9,1,11,0,0,30,9.1,4,1,2,122.8,15,5,0,90,0,101,515,419,0,0,302,117,0,96,184,230,6,29,36,1,17,17,1,149,103,9.9
Asante Samuel,1432,CB,ATL,11,0,0,74.3,0,1,2,0,0,63.2,63.6,86.0,54.9,61.1,65.9,0,1,0,1,59,10.0,3,2,1,113.7,26,0,0,35,427,278,499,0,0,0,0,0,5,499,2,219,32,8,27,0,35,1,1,444,116,17.1
Ike Taylor,1437,CB,PIT,16,6,0,62.8,2,0,25,0,0,49.6,53.6,90.4,60.0,71.3,41.9,0,0,0,0,81,17.6,13,12,6,110.6,71,0,0,54,948,640,1048,0,0,0,0,0,2,1048,1,407,43,9,55,1,113,0,6,1043,328,14.7
Robert Mathis,1447,ED,IND,18,4,2,66.7,0,9,14,0,0,83.0,90.8,80.9,91.0,69.1,76.5,7,47,0,0,14,14.6,7,0,2,88.2,2,21,0,76,0,43,966,886,0,0,710,176,0,80,549,374,4,49,37,5,3,75,0,22,11,11.0
Aubrayo Franklin,1455,DI,IND,18,3,2,,0,0,14,0,0,62.0,56.9,83.8,54.9,55.9,79.4,0,4,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,4,382,381,247,88,0,46,0,1,147,231,0,18,25,3,0,4,0,0,0,
Yeremiah Bell,1513,S,ARZ,16,13,0,62.1,0,0,1,0,0,65.3,65.4,17.4,47.0,75.8,75.6,2,5,0,2,61,8.3,7,6,3,110.7,36,1,0,406,38,658,1070,0,0,0,0,0,512,1070,59,353,114,19,64,5,58,8,7,441,145,12.3
Chris Clemons,1585,ED,SEA,17,3,4,,2,3,29,0,0,77.0,64.9,16.7,67.6,61.5,67.7,9,36,0,0,,16.7,5,0,8,0.0,0,6,0,7,0,21,707,700,0,0,188,512,0,7,470,216,0,17,22,3,0,51,0,0,0,
Colin Cole,1589,DI,CAR,16,2,0,,1,0,5,0,0,63.1,53.0,64.3,51.5,55.1,75.5,1,4,0,0,,15.8,3,0,1,0.0,0,1,0,0,0,1,329,329,24,254,1,50,0,0,173,155,0,13,14,1,0,6,0,0,0,
Israel Idonije,1632,ED,DET,15,1,0,,0,0,11,0,0,60.3,61.9,63.9,59.8,63.0,74.0,2,23,0,0,,9.1,1,0,1,0.0,0,1,0,4,0,2,333,329,2,18,20,289,0,4,212,119,0,9,9,3,0,26,0,0,0,
Cullen Jenkins,1637,DI,NYG,16,5,0,,1,2,21,2,0,62.5,61.9,76.3,60.1,59.9,67.1,6,27,0,0,,27.6,8,0,1,0.0,0,5,0,2,0,3,698,696,25,530,4,137,0,2,466,229,0,18,16,2,0,38,0,0,0,
Quintin Mikell,1662,S,CAR,15,7,1,67.6,0,2,5,1,0,60.5,65.0,50.7,91.8,61.2,71.7,0,3,0,0,39,12.9,8,5,1,131.3,23,3,0,246,17,425,706,0,0,0,0,0,368,706,27,254,75,20,47,1,34,6,6,271,85,11.8
DeAngelo Hall,1729,CB,WAS,16,10,0,63.8,0,2,32,1,1,71.0,68.4,7.4,60.0,63.9,41.4,0,0,2,4,35,18.8,18,9,4,84.0,60,0,0,79,883,580,998,0,0,0,0,0,3,998,1,417,33,16,68,1,94,0,4,727,301,12.1
Dunta Robinson,1731,CB,KC,9,1,0,73.3,0,0,16,1,0,46.7,45.6,22.6,57.3,52.6,28.0,0,2,0,0,69,32.0,8,4,1,130.0,22,0,0,7,24,195,282,0,0,0,0,0,11,282,10,77,240,8,16,1,30,2,2,321,157,14.6
Jonathan Vilma,1733,LB,NO,1,0,0,,0,0,20,0,0,43.0,33.7,67.8,59.2,49.0,74.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,10,0,4,12,2,0,0,2,0,0,10,1,7,0,0,1,0,0,0,0,0,0,
D.J. Williams,1738,LB,CHI,6,7,0,69.2,0,1,6,0,0,60.0,59.9,75.7,71.6,55.8,65.2,0,1,0,0,22,14.7,5,0,1,103.0,9,2,0,211,0,96,213,1,0,0,1,0,0,212,16,101,1,14,22,3,13,3,1,55,47,6.1
Vince Wilfork,1742,DI,NE,4,2,0,,0,0,19,0,0,60.0,53.3,81.1,48.0,60.1,72.5,0,3,0,0,,12.5,1,0,0,0.0,0,0,0,0,0,1,172,172,38,92,0,42,0,0,100,71,0,4,5,0,0,3,0,0,0,
Jason Babin,1748,ED,JAX,16,5,0,100.0,1,1,15,0,0,67.3,62.6,0.0,71.2,57.6,63.9,17,34,0,0,4,11.1,4,0,10,79.2,2,8,0,11,0,24,764,752,0,0,74,678,0,12,474,266,1,25,27,7,2,59,0,6,9,3.0
Karlos Dansby,1754,LB,ARZ,16,7,4,65.0,0,1,1,1,0,87.5,81.0,69.9,65.4,66.5,71.8,4,11,2,4,47,9.8,12,10,2,75.0,52,8,0,971,4,568,1078,92,0,0,91,1,7,986,158,352,4,63,103,6,80,23,3,520,333,10.0
Daryl Smith,1760,LB,BLT,16,34,0,58.9,0,2,3,0,0,81.2,72.2,46.7,74.9,53.9,82.7,2,10,1,3,23,6.5,7,8,2,76.0,43,6,0,1033,3,555,1071,27,0,1,24,2,3,1044,88,428,5,34,67,5,73,18,4,415,212,9.7
Dwan Edwards,1772,DI,CAR,12,9,0,,0,0,5,2,0,62.2,63.5,67.2,66.2,54.8,76.1,7,16,0,0,,0.0,0,0,1,0.0,0,3,0,0,0,4,368,368,6,270,0,92,0,0,252,112,0,11,11,0,0,26,0,0,0,
Darnell Dockett,1785,DI,ARZ,16,3,2,0.0,0,0,1,0,0,73.3,56.7,42.3,51.1,58.9,67.1,13,22,0,0,,11.6,5,0,5,39.6,0,5,0,6,0,1,866,860,60,95,16,689,0,6,578,287,0,30,35,10,1,40,0,0,0,
Randy Starks,1792,DI,MIA,16,9,1,,0,1,17,1,0,54.3,78.7,67.3,70.9,78.6,63.7,6,30,0,0,,9.4,5,0,2,0.0,0,4,0,0,0,9,729,729,27,594,2,106,0,0,407,313,0,35,39,5,0,40,0,0,0,
Shaun Phillips,1819,ED,DEN,19,3,4,75.0,0,2,10,0,0,87.3,73.1,68.1,61.1,74.3,76.8,4,36,0,1,13,19.5,8,0,2,43.8,3,13,0,197,1,51,912,710,0,0,456,254,0,202,561,300,4,33,30,4,4,53,0,18,32,6.0
Isaac Sopoaga,1825,DI,NE,14,3,1,,0,0,19,0,0,60.3,54.5,83.2,58.9,50.8,76.4,1,7,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,1,356,356,263,35,0,58,0,0,178,177,0,6,9,1,0,10,0,0,0,
Will Allen,1832,S,PIT,13,6,0,71.1,0,1,25,1,0,53.2,57.1,84.1,47.5,72.3,52.7,0,2,0,2,70,18.4,9,2,0,111.2,27,0,0,121,10,389,534,0,0,0,0,0,325,534,12,133,77,11,34,1,38,2,3,415,148,15.4
Robert Geathers,1838,ED,CIN,2,0,0,,0,0,7,0,0,,54.3,74.4,53.3,57.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,22,22,0,2,0,20,0,0,11,11,0,0,0,0,0,0,0,0,0,
Jared Allen,1847,ED,MIN,16,4,5,66.7,0,2,18,0,0,51.3,65.8,61.3,66.1,66.4,44.2,18,34,0,0,19,18.2,8,0,3,104.9,2,13,0,1,0,14,1062,1059,0,5,21,1033,0,3,686,362,0,32,32,6,3,65,0,34,25,17.0
