player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Ray Lewis,167,LB,BLT,18,16,0,72.7,0,3,3,3,0,84.1,80.1,46.3,59.3,73.5,72.7,3,9,1,2,22,9.1,12,1,1,87.0,40,3,0,1126,2,584,1145,6,0,0,6,0,4,1139,146,415,7,60,104,4,55,15,2,361,182,9.0
Lawyer Milloy,171,S,SEA,18,14,0,55.9,0,1,29,0,0,55.2,61.8,53.9,62.1,73.4,71.4,2,5,0,0,58,11.1,11,2,2,123.5,19,4,0,507,11,643,1197,0,0,0,0,0,622,1197,86,468,57,30,74,3,34,11,5,288,164,15.2
Brian Dawkins,181,S,DEN,11,6,1,69.0,0,2,10,0,0,54.7,65.0,47.5,67.5,81.0,86.1,1,7,0,1,58,4.6,3,2,2,131.8,20,2,0,374,15,328,678,0,0,0,0,0,276,678,48,302,13,16,56,1,29,10,3,396,205,19.8
Phillip Daniels,191,DI,WAS,14,3,0,,0,0,32,0,0,60.0,55.5,81.3,60.8,51.2,76.5,1,3,0,0,,5.6,1,0,0,0.0,0,2,0,0,0,0,245,245,6,10,0,229,0,0,113,132,0,12,14,1,0,6,0,0,0,
James Farrior,234,LB,PIT,19,21,3,71.7,1,1,25,1,0,76.3,81.5,52.7,74.3,73.6,71.9,2,20,0,0,21,9.4,11,3,1,95.3,33,7,0,968,0,506,1074,97,0,0,97,0,0,977,220,348,9,58,85,5,46,29,1,289,139,8.8
Trevor Pryce,243,DI,NYJ,16,3,0,,0,0,22,0,0,58.6,64.2,43.8,78.3,44.1,29.8,6,17,0,0,,30.0,3,0,2,0.0,0,2,1,0,0,2,300,300,148,76,0,75,0,0,226,72,0,6,4,1,0,25,0,0,0,
Darren Sharper,258,S,NO,9,4,0,42.9,1,1,20,1,0,58.3,51.8,0.0,37.1,57.3,60.6,0,0,0,0,32,16.0,4,1,2,66.4,3,0,0,24,0,201,320,0,0,0,0,0,293,320,13,106,3,1,17,0,7,0,0,48,16,16.0
Ronde Barber,261,CB,TB,16,12,1,57.7,1,0,30,0,0,69.2,75.0,23.0,85.6,82.3,53.7,4,9,0,3,36,13.3,12,9,4,73.1,41,0,0,174,442,518,987,0,0,0,0,0,14,987,51,418,357,28,66,8,71,13,3,450,285,11.0
Jason Taylor,264,ED,NYJ,19,4,4,75.0,1,2,22,2,0,58.6,60.3,34.8,59.1,67.3,53.3,3,17,0,0,24,13.9,5,1,3,113.5,3,5,1,113,0,98,715,601,5,0,118,467,0,114,402,215,1,25,27,6,4,25,0,47,17,15.7
Mike Vrabel,268,ED,KC,17,14,0,85.7,0,1,16,0,0,62.8,61.7,75.3,59.4,59.4,57.9,5,12,0,0,35,15.8,9,1,2,120.2,18,0,0,235,7,264,796,532,0,0,530,2,0,264,165,367,22,19,34,3,21,17,1,190,145,10.6
