player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Shaq Mason,9564,G,NE,19,100.0,0,19,81.6,68.1,82.3,13,20,773,100.0,100.0,97.5,1,36,3,1356,0,0,0,1356,835,835,1356,0,521,0
Joe Thuney,10712,G,NE,19,100.0,0,19,74.4,74.9,68.8,10,31,773,100.0,100.0,96.7,3,46,5,1354,0,1354,0,1354,835,835,0,0,519,0
Nate Solder,6169,T,NE,19,100.0,1,19,75.5,72.4,73.5,10,46,765,100.0,100.0,95.8,9,60,4,1334,0,0,1312,1334,827,827,0,0,507,22
Jason Kelce,6343,C,PHI,19,100.0,0,24,94.1,75.3,94.8,5,15,719,100.0,100.0,98.3,6,22,2,1281,1281,0,0,1281,765,765,0,0,516,0
Brandon Brooks,7078,G,PHI,19,100.0,0,24,86.2,86.4,79.1,3,19,716,100.0,100.0,98.5,2,22,0,1279,0,0,0,1279,761,761,1279,0,518,0
Joe Berger,2424,G,MIN,18,100.0,0,18,74.0,79.0,68.4,3,22,664,100.0,100.0,97.7,3,28,3,1259,97,0,0,1259,717,717,1162,0,542,0
A.J. Cann,9500,G,JAX,18,100.0,0,15,61.7,66.9,56.7,4,20,629,100.0,100.0,97.9,3,25,1,1228,0,0,0,1228,666,666,1227,0,562,0
David Andrews,9948,C,NE,17,100.0,0,19,83.5,81.6,81.3,4,20,700,100.0,100.0,98.0,2,26,2,1207,1207,0,0,1207,757,757,0,0,450,0
Lane Johnson,7786,T,PHI,18,100.0,0,24,80.6,78.9,81.3,5,17,662,100.0,100.0,97.9,11,25,3,1166,0,0,16,1166,704,704,0,1150,462,0
Max Unger,4972,C,NO,18,100.0,0,20,63.1,72.0,56.8,3,11,636,100.0,100.0,98.6,0,16,2,1164,1163,0,0,1164,668,668,0,0,496,0
Ryan Ramczyk,11787,T,NO,18,100.0,3,20,81.4,77.0,78.1,6,18,636,100.0,100.0,97.6,7,27,3,1164,0,0,117,1164,668,668,0,1043,496,3
Jake Matthews,8641,T,ATL,18,100.0,0,2,80.3,80.5,72.6,9,31,642,100.0,100.0,96.1,4,45,5,1159,0,0,1158,1159,675,675,0,0,484,1
Alex Mack,4944,C,ATL,18,100.0,1,2,91.5,81.8,90.8,1,12,642,100.0,100.0,98.7,2,15,2,1158,1158,0,0,1158,675,675,0,0,483,0
Alejandro Villanueva,9091,T,PIT,17,100.0,1,25,76.1,77.2,67.2,10,34,666,100.0,100.0,95.6,6,51,7,1155,0,0,1155,1155,713,713,0,0,442,0
Riley Reiff,7029,T,MIN,17,100.0,2,18,63.6,69.4,57.8,8,34,610,100.0,100.0,96.1,7,45,3,1153,0,0,1132,1153,659,659,0,0,494,21
Ben Jones,7099,C,TEN,18,100.0,1,31,71.6,67.9,73.7,2,23,638,100.0,100.0,97.6,8,28,3,1153,1153,0,0,1153,678,678,0,0,475,0
Josh Kline,8230,G,TEN,18,99.8,0,31,69.5,81.2,60.1,0,20,637,99.8,99.7,98.1,2,22,2,1150,0,8,0,1152,676,678,1142,0,474,0
Wes Schweitzer,10829,G,ATL,18,100.0,0,2,63.6,61.7,63.6,6,22,636,100.0,100.0,96.7,6,35,7,1149,0,2,0,1149,669,669,1147,0,480,0
Daryl Williams,9535,T,CAR,17,100.0,0,5,78.0,78.0,69.3,4,31,611,100.0,100.0,96.5,2,39,4,1140,0,0,7,1140,651,651,0,1133,489,0
Andrew Norwell,9126,G,CAR,17,100.0,2,5,76.3,92.3,65.1,0,15,611,100.0,100.0,98.8,2,15,0,1140,0,1140,0,1140,651,651,0,0,489,0
Matt Kalil,7010,T,CAR,17,100.0,3,5,63.1,71.4,53.3,8,31,610,100.0,100.0,95.7,10,46,7,1138,0,0,1100,1138,650,650,0,0,488,38
Eric Wood,4951,C,BUF,17,100.0,0,4,70.9,75.2,67.2,3,14,616,100.0,100.0,98.1,4,20,3,1130,1130,0,0,1130,650,650,0,0,480,0
Matt Paradis,8841,C,DEN,16,100.0,0,10,74.9,80.1,68.9,4,12,655,100.0,100.0,98.8,1,16,0,1128,1127,0,0,1128,698,698,0,0,430,0
David DeCastro,7640,G,PIT,16,100.0,1,25,89.0,89.7,83.9,2,14,651,100.0,100.0,98.8,6,16,0,1125,0,0,0,1125,698,698,1125,0,427,0
A.Q. Shipley,5150,C,ARZ,16,100.0,1,1,61.3,77.9,54.3,3,10,664,100.0,100.0,98.3,5,18,5,1120,1120,0,0,1120,713,713,0,0,407,0
Brandon Linder,8728,C,JAX,16,99.9,0,15,82.7,82.7,80.7,3,7,580,100.0,99.8,99.1,3,10,0,1118,1038,0,0,1119,613,614,80,0,505,0
Maurkice Pouncey,5543,C,PIT,16,100.0,2,25,72.8,82.3,68.6,4,17,650,100.0,100.0,98.2,6,22,1,1114,1114,0,0,1114,697,697,0,0,417,0
Richie Incognito,2298,G,BUF,17,100.0,0,4,74.4,84.6,63.7,2,11,606,100.0,100.0,98.6,6,15,2,1109,0,1109,0,1109,640,640,0,0,469,0
Garett Bolles,11775,T,DEN,16,100.0,3,10,72.9,70.5,74.2,10,33,650,100.0,100.0,95.5,15,51,8,1107,0,0,1106,1107,692,692,0,0,415,0
Jordan Mills,7945,T,BUF,17,100.0,2,4,62.1,70.8,52.3,4,21,602,100.0,100.0,96.9,6,31,6,1101,0,0,0,1101,636,636,0,1101,465,0
Jack Conklin,10642,T,TEN,18,100.0,2,31,72.4,73.8,69.0,8,21,594,100.0,100.0,97.2,8,31,2,1099,0,0,27,1099,632,632,2,1070,467,0
Daniel Kilgore,6315,C,SF,16,100.0,3,28,66.8,72.2,64.4,5,15,666,100.0,100.0,97.9,7,24,4,1098,1098,0,0,1098,695,695,0,0,403,0
Jamon Brown,9505,G,LA,17,100.0,1,26,64.7,63.6,64.5,7,30,598,100.0,100.0,96.7,6,38,1,1097,0,0,0,1097,631,631,1097,0,466,0
Breno Giacomini,4464,T,HST,16,100.0,4,13,45.6,46.5,50.0,8,64,602,100.0,100.0,92.5,9,81,9,1095,0,0,0,1095,662,662,0,1095,433,0
Ryan Jensen,7985,C,BLT,16,100.0,2,3,72.3,66.7,72.4,1,8,596,100.0,100.0,98.7,4,12,3,1085,1085,0,0,1085,625,625,0,0,460,0
James Hurst,9001,G,BLT,16,99.9,2,3,55.1,76.1,44.9,3,15,595,99.8,99.8,98.0,6,21,3,1084,0,1005,76,1085,624,625,0,1,460,2
Brandon Fusco,6324,G,SF,16,100.0,1,28,69.4,73.7,67.0,3,21,654,100.0,100.0,97.4,6,29,5,1083,0,0,0,1083,683,683,1083,0,400,0
Mitchell Schwartz,7041,T,KC,17,100.0,0,16,72.9,74.1,65.7,3,27,656,100.0,100.0,97.3,4,33,3,1083,0,0,0,1083,690,690,0,1080,393,2
Pat Elflein,11825,C,MIN,16,100.0,2,18,66.6,67.6,64.3,7,15,556,100.0,100.0,97.3,3,26,4,1081,1081,0,0,1081,600,600,0,0,481,0
Cam Robinson,11789,T,JAX,18,100.0,4,15,52.4,62.0,48.4,14,33,550,100.0,100.0,95.2,14,50,3,1080,0,0,1079,1080,580,580,0,0,500,0
Austin Howard,5847,T,BLT,16,99.9,1,3,66.3,65.5,62.2,7,25,592,99.8,99.8,96.8,4,35,3,1080,0,0,11,1081,621,622,7,1062,459,0
Jermey Parnell,5426,T,JAX,16,100.0,1,15,72.5,74.8,65.7,6,26,543,100.0,100.0,96.9,4,33,1,1078,0,0,0,1078,572,572,0,1077,506,0
Xavier Su'a-Filo,8668,G,HST,16,100.0,0,13,53.7,56.7,51.2,9,27,591,100.0,100.0,95.6,4,44,8,1075,0,1075,0,1075,648,648,0,0,427,0
Germain Ifedi,10665,T,SEA,16,100.0,3,29,51.7,67.6,46.9,3,45,653,100.0,100.0,95.7,19,52,4,1068,0,0,0,1068,715,715,0,1067,353,0
J.C. Tretter,7904,C,CLV,16,100.0,0,8,69.1,80.4,60.7,3,21,679,100.0,100.0,98.1,2,25,1,1068,1068,0,0,1068,731,731,0,0,337,0
Joel Bitonio,8670,G,CLV,16,100.0,0,8,75.4,87.8,62.0,7,11,679,100.0,100.0,97.8,0,24,6,1068,0,1068,0,1068,731,731,0,0,337,0
Kevin Zeitler,7032,G,CLV,16,100.0,0,8,73.2,81.8,62.9,7,20,679,100.0,100.0,97.7,3,29,2,1068,0,0,0,1068,731,731,1068,0,337,0
Taylor Lewan,8646,T,TEN,18,100.0,4,31,76.4,85.3,64.9,6,17,580,100.0,100.0,97.0,11,29,6,1066,0,4,1032,1066,617,617,0,0,449,29
