player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jonathan Taylor,57488,HB,IND,17,332,66,23,38.7,700,0,1811,3,9,66,1272,77.2,50,106,14,4,115,62.6,87.1,63.5,,31.2,62.5,90.0,55.5,83,1,360,40,292,381,0,0,48,372,18,1811,1272,3.83,5.5,1.23,210
Najee Harris,57121,HB,PIT,17,307,57,9,16.8,202,1,1200,7,35,57,913,71.8,28,62,25,0,117,91.6,70.7,71.8,,68.5,66.1,71.4,38.1,37,1,467,74,467,353,0,0,94,381,7,1200,913,2.97,3.9,1.0,176
Joe Mixon,11803,HB,CIN,16,292,41,12,21.2,256,0,1205,1,5,41,903,42.6,26,60,7,2,102,78.0,79.5,88.0,,31.5,64.1,82.4,56.2,32,0,314,42,300,327,0,0,47,334,13,1205,903,3.09,4.1,1.05,184
Antonio Gibson,78050,HB,WAS,16,258,39,12,21.7,225,1,1035,4,8,39,728,44.2,24,65,32,6,70,33.2,63.3,29.2,,45.4,57.8,65.6,58.9,27,2,294,42,247,298,0,0,53,300,7,1035,728,2.82,4.0,1.19,182
Dalvin Cook,11796,HB,MIN,13,250,47,19,37.6,436,0,1159,5,7,47,682,51.9,36,56,18,3,59,74.0,65.8,86.4,,52.7,51.6,68.8,60.4,66,0,224,34,263,274,0,0,43,284,6,1159,682,2.73,4.6,0.85,175
Alvin Kamara,11822,HB,NO,13,240,45,6,14.5,130,0,898,7,7,45,671,50.7,21,42,20,0,92,91.2,63.2,61.7,,12.3,65.8,65.9,57.0,30,1,439,47,271,311,0,0,65,287,4,898,671,2.8,3.7,1.62,134
Ezekiel Elliott,10638,HB,DAL,17,237,19,6,14.7,147,1,1002,2,7,19,646,25.0,24,55,9,1,94,84.8,68.9,67.3,60.1,38.1,56.3,76.0,52.5,47,1,287,47,420,282,0,0,63,284,10,1002,646,2.73,4.2,0.68,134
Nick Chubb,45783,HB,CLV,14,228,57,17,36.1,454,0,1258,0,6,57,967,107.7,41,62,8,2,139,71.2,81.7,84.6,,80.5,63.7,80.6,59.3,70,0,174,20,185,250,0,0,25,248,8,1258,967,4.24,5.5,0.94,85
David Montgomery,45719,HB,CHI,13,225,38,7,19.1,162,0,849,2,9,38,569,44.5,21,55,6,1,52,83.7,69.8,89.5,37.2,76.6,69.2,67.7,68.6,41,0,301,42,289,258,0,0,49,267,7,849,569,2.53,3.8,1.04,167
Derrick Henry,10679,HB,TEN,8,219,32,9,28.2,264,0,937,0,3,32,728,49.1,20,49,31,1,97,82.5,75.3,41.3,70.7,54.4,69.4,72.8,72.2,76,1,154,18,120,239,0,0,20,237,10,937,728,3.32,4.3,1.28,122
Josh Jacobs,45953,HB,LV,15,217,57,7,15.4,134,0,872,5,13,57,617,73.4,21,45,23,2,55,73.0,77.7,57.9,,74.6,59.9,81.5,47.8,28,1,348,54,297,259,0,0,64,271,9,872,617,2.84,4.0,1.17,157
Sony Michel,27589,HB,LA,17,208,39,8,19.1,161,0,845,2,7,39,597,57.7,21,49,26,1,74,81.4,66.1,56.1,,64.9,44.0,73.5,60.4,39,1,128,21,253,224,0,0,31,229,4,845,597,2.87,4.1,0.51,134
Elijah Mitchell,57272,HB,SF,11,207,37,8,22.8,220,0,963,0,5,37,765,68.7,29,48,28,0,65,90.8,76.3,85.5,,65.8,62.0,76.0,57.6,39,0,137,19,151,255,0,0,20,226,5,963,765,3.7,4.7,0.91,142
Austin Ekeler,12164,HB,LAC,16,206,37,9,18.1,165,0,911,5,16,37,621,57.9,22,53,27,4,85,50.1,75.3,89.7,,57.8,62.6,79.9,58.8,28,0,647,70,417,236,0,0,88,276,12,911,621,3.01,4.4,1.55,111
Melvin Gordon III,9448,HB,DEN,16,203,45,6,21.0,193,1,918,3,4,45,633,66.1,23,49,10,3,76,53.0,77.8,51.1,,41.4,52.9,83.4,60.0,70,1,213,28,247,218,0,0,34,231,8,918,633,3.12,4.5,0.86,124
Javonte Williams,77803,HB,DEN,17,203,63,9,25.2,228,0,903,4,8,63,694,98.7,25,53,10,2,95,69.7,75.9,87.5,,63.3,64.8,76.0,80.9,49,0,316,43,262,221,0,0,51,246,4,903,694,3.42,4.4,1.21,104
James Conner,11860,HB,ARZ,15,202,40,7,19.7,148,0,752,0,12,40,568,61.2,15,53,1,2,65,68.8,82.9,90.5,,88.5,86.2,73.2,81.3,35,0,380,37,236,268,0,0,39,239,15,752,568,2.81,3.7,1.61,123
Damien Harris,35134,HB,NE,15,202,37,12,34.1,317,0,929,0,5,37,555,52.5,22,55,19,2,143,67.5,87.8,82.8,,50.8,70.2,85.8,60.3,64,0,132,18,114,241,0,0,20,220,15,929,555,2.75,4.6,1.16,43
Devin Singletary,40485,HB,BUF,17,188,45,13,33.4,291,0,870,4,10,45,587,75.3,20,44,4,5,85,31.9,64.7,63.9,,49.0,39.7,77.8,44.4,46,1,228,40,378,227,0,0,49,228,7,870,587,3.12,4.6,0.6,97
AJ Dillon,57165,HB,GB,17,187,31,4,11.6,93,0,803,1,9,31,595,57.6,9,50,12,2,62,66.9,86.7,51.0,,57.7,65.5,90.0,48.5,36,1,313,34,199,211,0,0,37,221,5,803,595,3.18,4.3,1.57,122
Leonard Fournette,11759,HB,TB,14,180,29,7,20.8,169,0,812,7,11,29,567,50.6,15,45,30,1,120,81.6,73.9,87.4,60.0,52.2,63.0,79.2,43.1,47,0,454,69,361,208,0,0,83,249,8,812,567,3.15,4.5,1.26,58
Myles Gaskin,45914,HB,MIA,17,173,19,7,21.1,129,0,612,2,10,19,378,28.5,12,25,17,2,85,66.7,64.8,88.6,,50.5,70.6,63.4,41.7,30,0,234,49,288,187,0,0,62,222,3,612,378,2.18,3.5,0.81,82
Chuba Hubbard,57373,HB,CAR,17,172,22,7,22.1,135,0,612,5,6,22,452,37.4,13,36,5,1,69,78.1,64.9,49.4,,52.7,51.4,68.6,64.1,26,1,174,25,178,223,0,0,34,197,5,612,452,2.63,3.6,0.98,100
Aaron Jones,11937,HB,GB,15,171,39,8,26.7,213,1,799,4,9,39,543,68.4,16,37,12,2,44,66.9,82.8,91.4,,68.9,72.5,83.9,78.3,57,1,391,52,316,193,0,0,64,223,4,799,543,3.18,4.7,1.24,123
James Robinson,22425,HB,JAX,14,164,28,7,22.7,174,1,767,4,5,28,539,55.6,19,41,15,4,63,35.4,67.4,55.3,,53.0,41.8,77.1,67.3,58,1,222,31,261,201,0,0,44,195,8,767,539,3.29,4.7,0.85,99
Saquon Barkley,45791,HB,NYG,13,162,20,5,21.6,128,0,593,6,7,20,435,35.7,9,27,21,2,74,63.9,59.1,56.1,,34.3,49.2,65.7,53.2,41,1,263,41,257,192,0,0,57,203,2,593,435,2.69,3.7,1.02,81
Mark Ingram II,6180,HB,NO,14,160,24,2,9.4,52,0,554,1,8,24,450,48.1,9,23,20,1,81,77.0,67.6,84.8,,85.2,76.2,61.9,57.8,28,0,162,27,148,188,0,0,31,187,2,554,450,2.81,3.5,1.09,78
Cordarrelle Patterson,7810,HB,ATL,16,153,22,3,13.8,85,0,618,0,12,22,452,49.0,20,29,2,1,39,80.1,81.3,89.0,60.0,53.0,91.4,63.7,66.4,39,0,548,52,245,179,0,0,63,205,6,618,452,2.95,4.0,2.24,113
Jamaal Williams,11889,HB,DET,13,153,24,2,6.5,39,0,601,2,4,24,420,42.9,13,42,11,1,76,76.0,69.8,32.4,,70.4,68.0,68.4,59.6,20,1,157,26,115,168,0,0,28,179,3,601,420,2.75,3.9,1.37,71
D'Andre Swift,57212,HB,DET,13,151,17,8,30.8,190,1,617,5,20,17,363,41.8,21,28,11,2,62,65.0,58.0,60.5,60.0,28.2,58.5,61.3,38.4,57,2,452,62,320,171,0,0,76,213,5,617,363,2.4,4.1,1.41,69
