player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Marshawn Lynch,3628,HB,SEA,19,366,97,18,27.0,418,0,1550,1,11,97,956,70.0,43,82,29,4,52,65.5,90.7,65.9,,82.0,62.5,90.6,60.7,43,1,319,37,315,413,0,0,46,403,16,1550,956,2.61,4.2,1.01,0
LeSean McCoy,4976,HB,PHI,17,335,58,26,34.7,585,1,1684,3,20,58,783,46.6,48,86,24,1,82,90.6,87.0,70.5,,45.3,76.8,87.1,57.2,57,2,554,56,428,396,0,0,64,391,10,1684,783,2.34,5.0,1.29,0
Frank Gore,2282,HB,SF,19,324,28,18,33.7,436,1,1292,1,2,28,661,17.8,34,63,28,3,201,69.3,69.8,64.8,,92.7,51.9,65.5,74.5,51,1,177,19,294,386,0,0,31,343,10,1292,661,2.04,4.0,0.6,0
Eddie Lacy,7842,HB,GB,16,305,62,9,20.3,255,0,1259,3,5,62,693,44.5,29,68,12,2,73,88.3,88.9,87.8,,88.4,62.5,85.9,64.6,60,0,264,37,252,331,0,0,44,342,11,1259,693,2.27,4.1,1.05,0
Ryan Mathews,5537,HB,SD,18,302,28,12,23.1,307,0,1329,2,5,28,689,22.8,28,57,27,2,84,78.0,71.5,48.4,,59.9,74.7,68.8,56.9,51,1,201,28,133,333,0,0,31,330,6,1329,689,2.28,4.4,1.51,0
Matt Forte,4358,HB,CHI,16,289,39,20,36.8,493,0,1339,5,18,39,684,37.2,41,74,6,3,94,79.6,72.4,89.3,,67.7,79.9,67.1,58.0,55,0,594,74,433,319,0,0,86,363,9,1339,684,2.37,4.6,1.37,0
Knowshon Moreno,4935,HB,DEN,19,283,24,14,24.0,287,0,1196,6,14,24,564,21.7,30,64,10,2,73,78.5,73.6,23.4,,64.6,75.0,72.1,65.9,31,5,602,66,396,300,0,0,79,349,11,1196,564,1.99,4.2,1.52,0
Chris Johnson,4338,HB,TEN,16,279,20,14,25.2,271,1,1077,4,6,20,513,14.9,23,53,31,3,119,67.3,62.4,65.0,,70.7,47.3,66.2,43.5,30,3,348,42,379,304,0,0,51,321,6,1077,513,1.84,3.9,0.92,0
Adrian Peterson,3623,HB,MIN,14,279,58,16,36.3,459,0,1266,3,9,58,829,64.6,31,60,18,5,70,48.4,79.7,85.8,,73.7,54.3,80.1,59.4,78,0,171,29,260,298,0,0,37,308,10,1266,829,2.97,4.5,0.66,0
Alfred Morris,7165,HB,WAS,16,276,46,17,32.7,417,0,1275,2,4,46,748,47.5,29,57,32,5,38,42.8,80.4,51.9,,76.6,45.2,80.8,64.6,45,1,78,9,173,346,0,0,11,285,7,1275,748,2.71,4.6,0.45,0
Jamaal Charles,4387,HB,KC,16,263,41,20,33.5,435,1,1297,10,22,41,588,42.3,37,74,16,4,75,57.9,84.9,66.7,,77.6,70.0,85.9,64.1,46,3,693,70,396,310,0,0,95,333,12,1297,588,2.24,4.9,1.75,0
Zac Stacy,7942,HB,SL,14,250,29,10,24.9,243,0,976,2,1,29,612,26.6,23,47,26,1,137,84.3,69.6,84.6,,86.9,53.4,68.9,65.7,40,0,141,26,215,268,0,0,33,276,7,976,612,2.45,3.9,0.66,0
