player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
D'Brickashaw Ferguson,2949,T,NYJ,19,99.9,0,22,83.3,83.3,77.2,9,18,654,100.0,99.9,97.5,7,30,3,1306,0,0,1274,1307,685,686,0,0,621,33
Josh Sitton,4449,G,GB,20,100.0,0,12,90.1,81.6,89.8,3,18,770,100.0,100.0,98.6,3,21,0,1294,0,0,0,1294,811,811,1294,0,483,0
Scott Wells,1965,C,GB,20,100.0,0,12,84.6,76.0,84.8,3,15,769,100.0,100.0,98.6,2,20,2,1282,1282,0,0,1282,810,810,0,0,472,0
Matt Slauson,5117,G,NYJ,19,100.0,0,22,71.5,62.0,73.0,9,18,632,100.0,100.0,96.8,7,34,7,1268,0,1268,0,1268,664,664,0,0,604,0
Brandon Moore,1284,G,NYJ,19,100.0,0,22,77.6,83.7,70.6,1,12,637,100.0,100.0,98.8,4,14,1,1249,0,0,0,1249,668,668,1249,0,581,0
Daryn Colledge,2992,G,GB,20,100.0,0,12,71.7,68.9,74.6,4,19,723,100.0,100.0,97.7,8,28,5,1228,0,1228,0,1228,762,762,0,0,466,0
Nick Mangold,2974,C,NYJ,19,100.0,0,22,88.1,82.7,86.2,1,10,630,100.0,100.0,99.0,3,12,1,1227,1227,0,0,1227,660,660,0,0,567,0
Chad Clifton,614,T,GB,20,100.0,1,12,71.7,74.9,63.7,7,30,742,100.0,100.0,96.4,7,45,8,1219,0,0,1218,1219,783,783,0,1,436,0
Harvey Dahl,2553,G,ATL,17,100.0,0,2,79.7,74.6,79.3,4,14,655,100.0,100.0,98.2,7,21,3,1211,0,0,0,1211,707,707,1211,0,504,0
Justin Blalock,3655,G,ATL,17,100.0,0,2,77.7,71.4,75.1,7,16,655,100.0,100.0,97.8,0,26,3,1211,0,1211,0,1211,707,707,0,0,504,0
Sam Baker,4335,T,ATL,17,99.7,2,2,67.2,67.0,63.7,7,33,651,99.4,99.4,95.4,8,50,10,1207,0,0,1193,1211,703,707,0,0,504,18
Todd McClure,536,C,ATL,17,100.0,0,2,74.9,66.6,75.0,4,23,648,100.0,100.0,97.6,1,29,2,1193,1193,0,0,1193,699,699,0,0,494,0
Carl Nicks,4478,G,NO,17,100.0,1,20,87.4,77.7,90.2,5,14,747,100.0,100.0,98.2,5,23,4,1192,0,1192,0,1192,781,781,0,0,411,0
Jahri Evans,3053,G,NO,17,100.0,2,20,74.1,75.3,69.6,4,13,747,100.0,100.0,98.2,12,22,5,1192,0,0,0,1192,781,781,1192,0,411,0
Ben Grubbs,3645,G,BLT,18,100.0,0,3,82.7,72.4,82.3,3,23,618,100.0,100.0,97.7,2,27,1,1191,0,1191,0,1191,655,655,0,0,536,0
Tyson Clabo,2011,T,ATL,17,99.7,0,2,80.8,73.9,79.2,5,24,646,99.5,99.6,96.8,0,35,6,1190,0,0,18,1193,697,700,0,1161,493,14
Matt Birk,404,C,BLT,18,100.0,0,3,81.0,87.7,76.1,0,6,619,100.0,100.0,99.4,2,7,1,1186,1186,0,0,1186,656,656,0,0,530,0
Jermon Bushrod,3741,T,NO,17,100.0,2,20,67.4,70.6,60.4,9,47,744,100.0,100.0,95.7,8,60,4,1185,0,0,1183,1185,778,778,0,0,407,2
Jon Stinchcomb,1353,T,NO,17,100.0,2,20,70.5,60.4,81.8,6,48,742,100.0,100.0,95.4,10,61,7,1179,0,0,0,1179,776,776,0,1175,403,4
Jonathan Goodwin,1146,C,NO,17,100.0,0,20,68.6,75.6,64.0,3,16,742,100.0,100.0,98.5,1,21,2,1178,1178,0,0,1178,776,776,0,0,402,0
Jeff Saturday,431,C,IND,17,100.0,0,14,83.9,87.8,79.1,2,6,723,100.0,100.0,99.4,5,8,0,1176,1176,0,0,1176,746,746,0,0,430,0
Marshal Yanda,3702,T,BLT,18,98.7,2,3,80.5,72.8,85.0,3,25,602,97.4,97.6,97.0,5,32,4,1175,0,0,0,1191,639,655,67,1073,536,51
Michael Oher,4946,T,BLT,18,99.8,1,3,69.5,66.6,77.6,12,28,595,99.7,99.7,95.1,12,49,9,1144,0,0,1140,1146,632,634,0,0,512,6
Casey Wiegmann,227,C,KC,17,100.0,1,16,73.8,70.9,71.2,10,14,546,100.0,100.0,97.8,2,24,0,1143,1143,0,0,1143,579,579,0,0,564,0
Chris Spencer,2243,C,SEA,18,100.0,0,29,68.9,70.4,68.3,5,11,681,100.0,100.0,98.4,5,19,3,1129,1129,0,0,1129,715,715,0,0,414,0
Olin Kreutz,369,C,CHI,18,100.0,1,6,60.1,75.9,55.5,2,11,629,100.0,100.0,98.6,8,15,2,1123,1123,0,0,1123,667,667,0,0,456,0
Ryan Diem,867,T,IND,16,100.0,0,14,62.3,63.2,65.1,9,38,696,100.0,100.0,95.9,10,52,5,1121,0,0,0,1121,719,719,0,1121,402,0
Frank Omiyale,2380,T,CHI,18,99.5,0,6,61.4,53.2,72.4,6,39,623,99.0,99.1,94.1,10,59,14,1117,0,0,1014,1123,661,667,0,85,456,24
Mike McGlynn,4423,C,PHI,17,100.0,0,24,66.6,67.2,65.1,6,21,695,100.0,100.0,97.8,3,29,2,1110,1110,0,0,1110,736,736,0,0,374,0
Dominic Raiola,820,C,DET,16,100.0,0,11,64.7,66.3,66.1,1,22,679,100.0,100.0,98.0,5,25,2,1107,1107,0,0,1107,717,717,0,0,390,0
Rob Sims,3073,G,DET,16,100.0,0,11,72.4,73.7,67.7,4,18,679,100.0,100.0,97.9,2,25,3,1107,0,1107,0,1107,717,717,0,0,390,0
Sean Locklear,1805,T,SEA,18,100.0,1,29,72.6,75.6,62.3,4,17,665,100.0,100.0,97.7,7,26,5,1103,0,0,0,1103,698,698,0,1103,405,0
Jeff Backus,788,T,DET,16,100.0,1,11,77.6,75.4,71.2,9,33,678,100.0,100.0,96.3,4,46,4,1102,0,0,1102,1102,716,716,0,0,386,0
Bobbie Williams,628,G,CIN,16,100.0,0,7,75.6,83.7,71.6,4,6,625,100.0,100.0,98.7,7,13,3,1094,0,0,0,1094,661,661,1094,0,433,0
Jason Brown,2341,C,SL,16,100.0,1,26,66.2,79.5,61.5,0,11,637,100.0,100.0,99.0,6,12,1,1094,1094,0,0,1094,673,673,0,0,421,0
Kyle Cook,3914,C,CIN,16,100.0,0,7,78.5,72.8,78.0,3,12,625,100.0,100.0,98.3,3,18,3,1094,1094,0,0,1094,661,661,0,0,433,0
Bryan Bulaga,5548,T,GB,18,100.0,1,12,63.7,60.0,68.6,7,33,652,100.0,100.0,94.9,10,53,13,1088,0,0,32,1088,680,680,0,1056,408,0
Cooper Carlisle,658,G,OAK,16,99.9,0,23,66.0,62.0,65.6,4,32,564,99.8,99.8,96.3,4,39,3,1083,0,0,0,1084,611,612,1084,0,472,0
Brian Waters,575,G,KC,17,100.0,0,16,82.8,81.4,77.0,4,11,503,100.0,100.0,98.3,1,16,1,1083,0,1078,5,1083,533,533,0,0,550,0
Andrew Whitworth,3000,T,CIN,16,98.9,0,7,90.9,81.3,91.4,9,14,614,98.4,98.2,97.6,7,26,3,1081,0,0,1029,1093,648,660,0,0,433,64
Chris Kemoeatu,2421,G,PIT,18,100.0,2,25,63.5,54.9,69.9,6,30,556,100.0,100.0,95.7,10,42,6,1080,0,1080,0,1080,590,590,0,0,490,0
Dan Koppen,1471,C,NE,17,100.0,0,19,74.4,68.2,75.2,2,16,580,100.0,100.0,97.9,3,21,3,1080,1080,0,0,1080,610,610,0,0,470,0
Barry Richardson,4484,T,KC,17,100.0,2,16,71.2,56.5,83.6,8,32,501,100.0,100.0,95.0,11,45,5,1080,0,0,93,1080,531,531,0,987,549,0
Jacob Bell,1859,G,SL,16,100.0,0,26,73.7,78.1,69.3,2,17,627,100.0,100.0,98.0,4,22,3,1079,0,1079,0,1079,663,663,0,0,416,0
