player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Adam Vinatieri,226,K,IND,15,0,6,4,66.7,6,5,83.3,14,63.6,0,0,,47,44,93.6,0,7,6,85.7,27,23,85.2,8,8,100.0
Phil Dawson,422,K,ARZ,8,0,1,0,0.0,3,1,33.3,1,48.2,0,0,,15,15,100.0,0,2,2,100.0,8,5,62.5,2,2,100.0
Sebastian Janikowski,595,K,SEA,16,0,5,3,60.0,9,8,88.9,29,63.6,0,0,,51,48,94.1,0,11,9,81.8,27,22,81.5,2,2,100.0
Matt Bryant,1223,K,ATL,13,0,5,4,80.0,7,7,100.0,2,83.0,0,0,,35,33,94.3,0,5,5,100.0,21,20,95.2,4,4,100.0
Mike Nugent,2264,K,OAK,3,0,1,1,100.0,2,2,100.0,23,65.8,0,0,,5,4,80.0,0,0,0,,6,6,100.0,3,3,100.0
Robbie Gould,2607,K,SF,16,0,2,2,100.0,10,9,90.0,28,75.1,0,0,,29,27,93.1,0,13,13,100.0,34,33,97.1,9,9,100.0
Stephen Gostkowski,3063,K,NE,16,0,5,2,40.0,6,4,66.7,19,67.3,0,0,,50,49,98.0,0,10,10,100.0,32,27,84.4,11,11,100.0
Matt Prater,3471,K,DET,16,0,5,3,60.0,7,5,71.4,11,67.9,0,0,,30,30,100.0,0,12,12,100.0,32,28,87.5,8,8,100.0
Mason Crosby,3809,K,GB,15,0,7,5,71.4,15,11,73.3,12,53.7,0,0,,36,34,94.4,0,11,10,90.9,37,30,81.1,4,4,100.0
Stephen Hauschka,4655,K,BUF,15,0,7,4,57.1,10,7,70.0,4,64.1,0,0,,26,25,96.2,0,8,8,100.0,28,22,78.6,3,3,100.0
Ryan Succop,5180,K,TEN,15,0,4,3,75.0,7,5,71.4,31,61.2,0,0,,31,28,90.3,0,13,13,100.0,30,26,86.7,6,5,83.3
Graham Gano,5443,K,CAR,12,0,4,3,75.0,4,4,100.0,5,65.1,0,0,,33,30,90.9,0,5,4,80.0,16,14,87.5,3,3,100.0
