player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Forrest Lamp,11793,G,LAC,16,100.0,0,27,49.4,60.7,42.8,14,22,685,100.0,100.0,97.1,1,38,2,1174,0,1174,0,1174,729,729,0,0,445,0
Dan Feeney,11826,C,LAC,16,100.0,0,27,48.2,51.5,47.2,5,24,685,100.0,100.0,97.3,2,33,4,1174,1174,0,0,1174,729,729,0,0,445,0
Connor Williams,46216,G,DAL,16,100.0,0,9,71.2,66.6,70.8,2,24,710,100.0,100.0,97.6,4,30,4,1146,0,1146,0,1146,739,739,0,0,407,0
D.J. Humphries,9457,T,ARZ,16,100.0,0,1,88.3,79.9,90.8,2,18,648,100.0,100.0,98.0,7,23,3,1129,0,0,1127,1129,695,695,0,0,434,2
Kelvin Beachum,7229,T,ARZ,16,100.0,0,1,69.0,76.8,59.0,3,19,646,100.0,100.0,97.8,6,25,3,1126,0,0,1,1126,693,693,1,1121,433,3
Jason Kelce,6343,C,PHI,16,100.0,0,24,69.6,62.0,79.0,3,13,707,100.0,100.0,98.3,10,20,4,1126,1124,0,0,1126,756,756,0,0,370,0
Chris Lindstrom,46692,G,ATL,16,100.0,0,2,77.1,70.3,76.6,7,18,685,100.0,100.0,97.6,2,29,4,1122,0,0,0,1122,724,724,1122,0,398,0
Austin Blythe,10882,C,LA,16,100.0,0,26,69.3,52.5,73.2,8,17,637,100.0,100.0,97.4,1,29,4,1120,1120,0,0,1120,661,661,0,0,459,0
Austin Corbett,46290,G,LA,16,100.0,0,26,70.9,60.0,73.4,6,17,637,100.0,100.0,98.0,4,24,1,1120,0,0,0,1120,661,661,1120,0,459,0
Rob Havenstein,9490,T,LA,16,100.0,1,26,80.2,71.8,82.1,5,18,634,100.0,100.0,97.6,5,27,4,1117,0,0,0,1117,658,658,0,1117,459,0
Jake Matthews,8641,T,ATL,16,100.0,0,2,75.5,84.0,57.5,6,20,685,100.0,100.0,97.7,3,29,3,1113,0,0,1112,1113,724,724,0,0,389,1
