player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Stefon Diggs,9579,WR,BUF,16,10.5,20,78.4,60.0,12,20,0,5.2,7,73,4,0,77.4,85.4,89.4,,90.0,0.0,0,2,55,0.0,0,659,6,127,92.7,611,31.9,210,117.5,162,8,68.0,448,1535,474,3.7,12.1,2.51
DeAndre Hopkins,7808,WR,ARZ,16,9.0,21,74.7,50.0,13,26,1,0.9,1,75,1,3,91.5,38.3,87.1,,88.0,0.0,0,2,60,0.0,0,664,6,115,94.3,626,10.2,68,110.0,154,6,89.6,595,1407,521,4.5,12.2,2.25
Allen Robinson II,8696,WR,CHI,16,10.2,12,68.0,42.9,21,49,0,1.0,1,68,6,0,91.2,83.8,88.4,65.6,88.3,0.2,1,6,42,0.2,1,626,0,102,96.8,606,28.9,181,90.1,150,6,70.8,443,1250,326,3.2,12.3,2.06
Davante Adams,8688,WR,GB,14,9.4,4,78.8,45.8,11,24,1,0.9,1,73,12,1,91.0,61.6,92.2,,92.2,0.0,0,3,56,0.0,0,491,3,115,94.5,464,31.2,153,136.9,146,18,68.4,336,1374,584,5.1,11.9,2.96
Darren Waller,9637,TE,LV,16,8.1,9,76.4,73.1,19,26,0,1.8,2,69,23,2,90.8,34.2,86.5,58.2,90.9,54.4,341,3,38,11.2,70,627,2,107,83.6,524,20.4,128,113.9,140,9,24.1,151,1196,594,5.6,11.2,2.28
Diontae Johnson,33441,WR,PIT,15,8.5,11,63.3,41.7,5,12,1,13.7,14,45,25,1,33.3,60.6,69.4,,69.1,0.0,0,2,47,0.0,0,557,1,88,94.1,524,14.0,78,93.3,139,7,86.0,479,923,402,4.6,10.5,1.76
Travis Kelce,7844,TE,KC,15,9.3,14,75.5,31.3,5,16,0,1.9,2,79,16,1,90.8,59.7,93.5,47.6,93.3,35.0,227,3,45,6.6,43,648,7,105,87.3,566,25.2,163,124.9,139,11,37.8,245,1416,590,5.6,13.5,2.5
Keenan Allen,7857,WR,LAC,14,7.3,11,72.5,56.3,18,32,1,2.0,2,61,27,3,90.1,58.1,84.9,73.3,85.0,0.4,2,5,28,0.4,2,555,2,100,93.7,520,51.7,287,96.6,138,8,47.7,265,992,444,4.4,9.9,1.91
Calvin Ridley,48262,WR,ATL,15,15.2,12,65.7,40.9,9,22,0,8.2,8,65,2,1,66.9,56.3,84.9,,84.7,0.2,1,6,63,0.0,0,594,3,90,94.6,562,11.4,68,102.3,137,9,88.2,524,1374,276,3.1,15.3,2.44
Robbie Chosen,11254,WR,CAR,16,9.8,4,70.9,35.0,7,20,0,4.0,4,49,5,1,79.9,58.2,75.1,,76.0,0.5,3,2,75,0.0,0,583,1,95,94.5,551,32.6,190,96.5,134,3,66.7,389,1096,501,5.3,11.5,1.99
Tyler Lockett,9502,WR,SEA,16,10.2,4,75.2,63.6,7,11,0,6.5,7,57,29,1,71.1,57.8,76.4,,77.2,1.2,8,1,47,0.0,0,662,3,100,94.7,627,59.8,396,119.7,133,10,38.7,256,1054,336,3.4,10.5,1.68
Tyreek Hill,10799,WR,KC,15,13.4,17,66.4,46.7,7,15,0,9.4,9,57,16,0,56.8,84.4,83.2,66.3,83.0,1.4,9,1,75,0.2,1,629,4,87,94.1,592,57.9,364,133.0,131,15,39.4,248,1276,428,4.9,14.7,2.16
Amari Cooper,9437,WR,DAL,16,9.5,8,71.9,60.0,9,15,1,3.2,3,54,9,0,88.0,83.6,75.9,,77.6,0.2,1,4,69,0.0,0,638,3,92,96.7,617,27.0,172,98.2,128,5,72.9,465,1114,408,4.4,12.1,1.81
Terry McLaurin,48229,WR,WAS,15,9.9,14,68.0,42.9,9,21,0,3.3,3,51,32,1,87.0,54.8,78.0,,77.1,0.0,0,3,68,0.0,0,625,3,87,95.7,598,32.0,200,95.8,128,4,67.8,424,1118,490,5.6,12.9,1.87
JuJu Smith-Schuster,11817,WR,PIT,16,6.0,4,77.6,46.2,12,26,0,3.0,3,48,25,3,90.0,32.4,68.2,,67.7,0.0,0,5,31,0.0,0,687,0,97,93.4,642,84.7,582,101.7,125,9,15.3,105,831,404,4.2,8.6,1.29
D.K. Metcalf,47864,WR,SEA,16,13.9,17,66.9,50.0,13,26,0,10.8,10,63,29,1,53.7,46.8,82.7,68.7,82.7,0.1,1,4,62,0.4,3,667,2,83,94.6,631,16.3,109,115.1,124,10,83.5,557,1303,368,4.4,15.7,2.06
Justin Jefferson,61398,WR,MIN,16,12.0,13,72.7,54.5,12,22,0,4.3,4,58,18,1,82.3,55.0,90.4,,90.5,0.0,0,4,71,0.0,0,564,2,88,93.3,526,30.3,171,116.4,121,7,69.5,392,1400,450,5.1,15.9,2.66
Robert Woods,7822,WR,LA,16,6.8,8,75.6,42.9,6,14,1,4.3,4,46,26,1,82.6,62.5,71.3,67.9,71.8,0.2,1,4,56,1.5,9,612,5,90,95.6,585,48.0,294,100.7,119,6,51.8,317,936,509,5.7,10.4,1.6
Cooper Kupp,11824,WR,LA,15,6.3,21,78.0,66.7,6,9,0,5.2,5,45,26,0,78.1,64.7,80.8,73.1,77.0,0.0,0,3,55,1.7,9,542,0,92,94.8,514,62.0,336,98.9,118,3,38.0,206,974,533,5.8,10.6,1.89
Brandin Cooks,8655,WR,HST,15,12.5,3,70.4,38.1,8,21,0,5.8,5,52,13,0,74.5,82.3,81.1,,80.5,0.0,0,4,57,0.0,0,584,1,81,95.9,560,29.6,173,105.3,115,6,70.2,410,1150,336,4.1,14.2,2.05
Marvin Jones Jr.,7158,WR,DET,16,13.1,6,66.7,57.7,15,26,0,5.0,4,52,11,0,77.6,81.8,73.6,65.6,75.3,0.7,5,4,43,0.1,1,667,2,76,93.0,620,31.3,209,105.1,114,9,67.9,453,978,200,2.6,12.9,1.58
DJ Moore,48267,WR,CAR,15,13.7,15,58.4,47.8,11,23,0,9.6,7,53,5,0,61.5,81.6,79.1,,79.1,0.0,0,8,74,0.0,0,568,3,66,94.2,535,22.7,129,77.0,113,4,77.3,439,1193,390,5.9,18.1,2.23
Jerry Jeudy,61103,WR,DEN,16,14.6,9,47.3,41.7,10,24,0,18.8,12,39,10,2,28.5,38.1,65.2,,64.8,0.0,0,6,92,0.0,0,545,2,52,94.5,515,33.4,182,60.3,110,3,66.6,363,856,260,5.0,16.5,1.66
CeeDee Lamb,61570,WR,DAL,16,10.3,6,67.9,29.4,5,17,0,10.8,9,46,9,1,48.2,67.2,71.6,77.3,72.6,0.0,0,2,52,0.7,4,541,4,74,95.4,516,93.2,504,102.0,109,5,6.5,35,935,312,4.2,12.6,1.81
