player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Nate Solder,6169,T,NE,18,99.9,2,19,81.0,73.0,80.7,10,30,760,99.7,99.8,96.8,5,44,4,1383,0,0,1372,1385,808,810,0,0,575,13
Ryan Wendell,4602,C,NE,18,100.0,0,19,84.9,70.5,86.8,2,20,764,100.0,100.0,97.8,2,28,6,1383,1383,0,0,1383,813,813,0,0,570,0
Michael Oher,4946,T,BLT,20,100.0,1,3,66.7,71.3,58.0,9,33,734,100.0,100.0,95.6,10,53,11,1340,0,0,981,1340,786,786,0,355,554,4
Matt Birk,404,C,BLT,20,100.0,0,3,82.2,69.2,83.3,6,17,706,100.0,100.0,97.9,2,26,3,1299,1299,0,0,1299,757,757,0,0,542,0
Kelechi Osemele,7062,T,BLT,20,100.0,0,3,72.5,67.7,76.5,6,26,697,100.0,100.0,96.7,8,39,7,1299,0,282,0,1299,747,747,0,1017,552,0
Chris Myers,2417,C,HST,18,100.0,1,13,84.0,85.2,79.9,2,9,674,100.0,100.0,98.9,4,13,2,1284,1284,0,0,1284,704,704,0,0,580,0
Wade Smith,1393,G,HST,18,100.0,0,13,74.9,67.3,72.9,5,22,668,100.0,100.0,97.7,2,29,2,1270,0,1270,0,1270,697,697,0,0,573,0
Duane Brown,4340,T,HST,18,100.0,1,13,90.1,84.3,88.5,6,12,669,100.0,100.0,98.1,6,22,4,1265,0,0,1265,1265,699,699,0,0,566,0
Anthony Castonzo,6174,T,IND,17,100.0,2,14,78.2,67.4,84.7,13,35,757,100.0,100.0,95.5,6,58,10,1259,0,0,1259,1259,814,814,0,0,445,0
Mike McGlynn,4423,G,IND,17,100.0,0,14,59.8,58.7,58.9,10,35,757,100.0,100.0,96.5,3,49,4,1258,92,0,0,1258,814,814,1166,0,444,0
Sebastian Vollmer,4981,T,NE,17,100.0,2,19,76.3,72.7,74.3,7,26,709,100.0,100.0,96.7,5,40,7,1248,0,0,2,1248,756,756,0,1241,492,5
Zane Beadles,5570,G,DEN,17,100.0,0,10,74.2,71.2,72.1,7,13,656,100.0,100.0,98.3,5,21,1,1236,0,1236,0,1236,700,700,0,0,536,0
Marshall Newhouse,5692,T,GB,18,100.0,1,12,67.6,72.5,55.1,8,37,722,100.0,100.0,95.6,6,54,9,1229,0,0,1229,1229,780,780,0,0,449,0
Josh Sitton,4449,G,GB,18,100.0,0,12,77.4,79.6,73.1,2,16,721,100.0,100.0,98.3,7,21,3,1227,0,0,0,1227,779,779,1226,0,448,1
Orlando Franklin,6198,T,DEN,17,100.0,3,10,76.2,74.9,76.0,5,19,653,100.0,100.0,97.4,10,29,5,1226,0,0,0,1226,697,697,0,1226,529,0
Ryan Clady,4326,T,DEN,17,100.0,1,10,81.1,85.7,68.7,6,15,652,100.0,100.0,97.9,7,24,3,1206,0,0,1206,1206,696,696,0,0,510,0
Dominic Raiola,820,C,DET,16,100.0,0,11,73.1,80.3,67.7,2,12,784,100.0,100.0,98.7,2,17,3,1199,1199,0,0,1199,815,815,0,0,384,0
Stephen Peterman,1804,G,DET,16,100.0,0,11,76.5,62.7,81.2,4,37,784,100.0,100.0,96.7,4,46,5,1199,0,0,0,1199,815,815,1199,0,384,0
Rob Sims,3073,G,DET,16,100.0,0,11,77.5,79.9,72.6,1,25,784,100.0,100.0,98.3,5,26,0,1199,0,1199,0,1199,815,815,0,0,384,0
Anthony Davis,5536,T,SF,19,100.0,0,28,80.1,69.5,85.7,5,31,611,100.0,100.0,95.6,4,45,9,1198,0,1,6,1198,640,640,1,1190,558,0
Gosder Cherilus,4331,T,DET,16,100.0,0,11,74.7,75.2,72.4,7,27,783,100.0,100.0,97.3,9,38,4,1198,0,0,0,1198,814,814,0,1198,384,0
Alex Boone,5372,G,SF,19,100.0,0,28,82.4,73.9,81.8,5,13,610,100.0,100.0,97.9,3,22,4,1195,0,0,47,1195,639,639,1148,0,556,0
Marshal Yanda,3702,G,BLT,18,100.0,1,3,84.2,82.8,82.4,4,10,649,100.0,100.0,98.9,7,14,0,1194,0,0,0,1194,697,697,1194,0,497,0
Justin Blalock,3655,G,ATL,18,100.0,0,2,68.4,71.9,62.8,9,21,743,100.0,100.0,97.8,2,31,1,1189,0,1189,0,1189,778,778,0,0,411,0
Sam Baker,4335,T,ATL,18,100.0,1,2,75.6,74.8,65.3,9,37,743,100.0,100.0,96.1,1,52,6,1189,0,0,1187,1189,778,778,0,0,411,2
Tyson Clabo,2011,T,ATL,18,100.0,1,2,77.9,68.6,82.4,10,25,739,100.0,100.0,97.0,5,40,5,1179,0,0,1,1179,774,774,0,1178,405,0
Todd McClure,536,C,ATL,18,100.0,0,2,73.7,73.3,72.6,5,14,741,100.0,100.0,98.0,4,24,5,1175,1175,0,0,1175,776,776,0,0,399,0
Mike Iupati,5542,G,SF,19,100.0,0,28,81.8,63.2,86.6,7,20,603,100.0,100.0,97.3,9,30,3,1173,0,1172,1,1173,631,631,0,0,542,0
Jonathan Goodwin,1146,C,SF,19,100.0,0,28,78.8,76.5,76.6,5,16,609,100.0,100.0,98.3,3,21,0,1171,1171,0,0,1171,638,638,0,0,533,0
Joe Staley,3644,T,SF,19,100.0,2,28,92.2,82.5,92.4,1,18,589,100.0,100.0,96.9,7,28,9,1152,0,0,1130,1152,618,618,0,1,534,19
Breno Giacomini,4464,T,SEA,18,100.0,1,29,63.3,62.0,67.5,2,36,558,100.0,100.0,95.7,12,43,5,1144,0,0,0,1144,597,597,0,1139,547,5
Paul McQuistan,3014,G,SEA,18,100.0,2,29,66.6,63.3,64.5,1,23,559,100.0,100.0,97.5,6,26,2,1130,0,563,0,1130,597,597,567,0,533,0
Evan Mathis,2296,G,PHI,16,100.0,0,24,92.8,82.7,92.9,7,12,705,100.0,100.0,98.5,4,20,1,1124,0,1124,0,1124,746,746,0,0,378,0
T.J. Lang,5032,G,GB,17,99.9,2,12,67.7,67.1,65.7,5,12,667,99.9,99.9,97.4,6,26,9,1124,0,918,0,1125,721,722,0,206,403,0
Max Unger,4972,C,SEA,18,100.0,1,29,86.2,77.6,87.0,3,11,556,100.0,100.0,98.7,4,14,0,1115,1115,0,0,1115,592,592,0,0,523,0
Brian De La Puente,4679,C,NO,16,100.0,0,20,84.4,79.2,83.4,4,10,697,100.0,100.0,98.7,3,16,2,1107,1107,0,0,1107,728,728,0,0,379,0
Ben Grubbs,3645,G,NO,16,100.0,0,20,81.6,75.2,80.4,4,16,697,100.0,100.0,98.1,1,23,3,1107,0,1107,0,1107,728,728,0,0,379,0
