player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Charles Woodson,330,S,OAK,16,9,0,63.2,1,1,23,3,0,92.1,90.1,85.9,53.3,60.0,54.0,0,0,0,5,40,14.6,13,4,1,47.1,12,0,0,142,8,732,1109,13,0,0,13,0,885,1096,5,372,61,10,67,1,19,0,0,146,66,12.2
Julius Peppers,1010,ED,GB,18,8,0,100.0,1,2,12,0,0,51.1,63.7,62.3,73.8,47.6,48.1,10,43,0,0,14,15.6,5,0,3,140.4,5,12,0,20,1,52,779,751,5,96,568,82,0,28,494,233,7,24,19,3,5,65,1,41,33,8.2
Dwight Freeney,1019,ED,ARZ,13,1,0,100.0,0,3,1,0,0,46.2,77.7,89.1,77.2,56.3,59.7,4,29,0,0,41,66.7,2,0,0,118.8,1,8,0,10,0,9,308,297,0,5,289,3,0,11,268,31,1,8,0,0,1,41,0,41,42,41.0
James Harrison,1251,ED,PIT,17,7,2,71.4,0,2,25,0,0,79.5,86.0,37.6,81.2,77.9,69.4,11,30,0,1,15,13.0,6,1,5,48.2,10,7,0,53,0,124,698,612,0,0,611,1,0,86,334,240,32,32,33,6,14,48,0,55,45,5.5
Terence Newman,1321,CB,MIN,17,9,0,60.6,0,0,18,0,0,64.9,68.2,87.4,68.3,75.0,67.6,0,2,0,3,72,9.1,6,9,5,85.9,57,0,0,97,830,623,994,10,0,0,10,0,44,984,2,369,13,12,51,2,94,2,4,731,233,12.8
Kevin Williams,1325,DI,NO,16,7,2,,0,2,20,0,0,55.7,68.1,61.5,63.7,69.2,51.7,2,19,0,0,,12.1,4,0,2,0.0,0,0,0,0,0,0,553,553,13,524,1,15,0,0,274,279,0,18,22,5,0,21,0,0,0,
Terrell Suggs,1326,ED,BLT,1,0,0,,0,0,3,0,0,75.1,62.5,77.6,64.3,44.8,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,7,48,48,0,0,48,0,0,0,27,14,0,0,0,0,0,1,0,0,0,
Calvin Pace,1334,ED,NYJ,16,0,1,63.6,0,2,22,1,0,62.5,64.0,75.5,60.4,63.6,56.5,4,10,0,0,14,18.8,3,1,1,78.2,7,3,0,8,0,74,519,494,0,0,490,4,1,25,227,218,16,11,13,1,11,17,0,61,33,8.7
Charles Tillman,1351,CB,CAR,12,9,0,52.2,1,2,5,1,0,58.1,62.6,60.4,68.4,84.7,74.6,1,0,0,2,48,7.0,4,5,3,69.5,35,0,0,40,627,484,711,8,0,0,8,0,7,703,6,221,28,10,44,0,67,1,1,504,133,14.4
Rashean Mathis,1355,CB,DET,7,2,0,80.0,0,0,11,0,0,62.5,63.6,85.9,54.7,64.7,68.8,0,0,0,1,50,11.1,4,2,1,107.6,32,0,0,28,388,248,434,4,0,0,4,0,1,430,2,184,13,13,30,5,40,0,1,413,173,12.9
