player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Roddy White,2244,WR,ATL,17,9.9,5,68.8,,0,0,1,6.9,9,77,2,1,66.6,63.3,82.8,,83.6,0.5,3,4,46,0.0,0,658,5,121,92.9,611,10.9,72,105.0,176,11,87.5,576,1446,387,3.2,12.0,2.37
Reggie Wayne,800,WR,IND,17,11.3,5,64.7,,0,0,0,7.4,9,72,14,1,66.7,61.0,75.7,72.6,74.9,0.0,0,4,50,0.4,3,738,1,112,96.5,712,15.4,114,90.6,173,6,84.6,624,1356,410,3.7,12.1,1.9
Larry Fitzgerald,1724,WR,ARZ,16,13.0,4,53.6,,0,0,1,3.2,3,59,1,0,82.3,82.8,78.4,,77.5,0.2,1,8,41,0.0,0,638,3,90,96.9,618,18.8,120,67.0,168,6,80.7,515,1137,213,2.4,12.6,1.84
Greg Jennings,2997,WR,GB,20,14.4,13,63.0,,0,0,0,7.6,8,64,12,2,67.5,56.9,75.0,,74.6,0.0,0,7,86,0.0,0,758,1,97,95.3,722,34.6,262,108.4,154,14,65.4,496,1568,508,5.2,16.2,2.17
Brandon Lloyd,1436,WR,DEN,16,18.4,2,52.4,,0,0,0,4.9,4,72,10,0,82.8,81.9,90.7,73.3,90.6,0.0,0,4,71,1.1,7,610,1,77,93.6,571,8.7,53,100.4,147,11,91.3,557,1448,195,2.5,18.8,2.54
Santana Moss,786,WR,WAS,16,10.0,13,65.5,,0,0,0,7.9,8,61,32,3,63.8,27.2,76.1,71.2,75.4,0.9,6,6,56,0.3,2,662,2,93,94.7,627,46.5,308,85.9,142,6,52.3,346,1115,511,5.5,12.0,1.78
Steve Johnson,4538,WR,BUF,16,10.4,12,59.0,,0,0,1,13.7,13,62,4,1,31.3,52.5,76.1,,75.8,0.0,0,10,45,0.0,0,583,4,82,96.7,564,20.2,118,77.4,139,10,79.8,465,1073,424,5.2,13.1,1.9
Marques Colston,3197,WR,NO,16,11.0,8,65.7,,0,0,1,10.2,10,61,20,0,47.0,82.8,74.4,66.8,73.2,0.0,0,3,43,0.2,1,641,1,88,96.6,619,64.7,415,98.8,134,7,35.3,226,1089,323,3.7,12.4,1.76
Terrell Owens,188,WR,CIN,14,14.4,9,54.5,,0,0,0,10.0,8,47,7,0,48.9,81.6,69.9,66.5,69.4,0.5,3,10,78,0.2,1,554,2,72,94.0,521,17.3,96,69.7,132,9,82.1,455,983,283,3.9,13.7,1.89
Brandon Marshall,3064,WR,MIA,14,11.1,9,65.2,,0,0,1,13.1,13,57,17,2,36.1,63.4,77.1,,75.7,0.0,0,7,46,0.0,0,515,5,86,95.9,494,21.6,111,73.9,132,3,78.3,403,1014,231,2.7,11.8,2.05
Andre Johnson,1319,WR,HST,13,12.2,1,65.6,,0,0,1,6.5,6,59,13,1,76.4,63.6,84.9,,84.1,0.6,3,5,60,0.0,0,524,4,86,94.7,496,24.8,130,99.9,131,8,74.6,391,1216,338,3.9,14.1,2.45
Calvin Johnson,3618,WR,DET,15,14.6,6,58.8,,0,0,0,7.2,6,57,11,1,73.7,54.2,83.2,,82.4,0.0,0,6,87,0.0,0,652,1,77,95.6,623,21.2,138,98.1,131,12,78.8,514,1120,337,4.4,14.5,1.8
Wes Welker,2204,WR,NE,16,5.3,6,73.2,,0,0,0,13.1,14,52,19,0,31.7,83.1,76.4,75.3,76.1,0.0,0,1,35,0.4,2,497,1,93,95.0,472,69.0,343,107.9,127,7,30.4,151,905,448,4.8,9.7,1.92
Mike Williams,2227,WR,SEA,15,10.9,5,58.3,,0,0,0,8.6,7,45,29,0,59.0,81.7,75.4,,75.2,0.0,0,4,68,0.0,0,470,0,74,95.3,448,13.0,61,78.0,127,5,87.0,409,834,234,3.2,11.3,1.86
Pierre Garcon,4519,WR,IND,15,12.7,12,57.1,,0,0,1,15.3,13,44,14,0,29.5,81.6,67.1,,65.9,0.0,0,4,57,0.0,0,640,3,72,96.6,618,6.7,43,84.6,126,7,93.3,597,896,303,4.2,12.4,1.45
Hakeem Nicks,4952,WR,NYG,13,12.5,7,62.7,,0,0,0,7.1,6,55,21,1,65.6,61.3,80.6,,79.4,0.0,0,7,46,0.0,0,478,3,79,94.8,453,5.6,27,95.1,126,11,94.4,451,1052,297,3.8,13.3,2.32
Dwayne Bowe,3639,WR,KC,17,14.2,6,57.6,,0,0,2,11.1,9,55,16,1,49.3,81.8,78.7,68.4,77.5,0.0,0,3,75,0.4,2,547,5,72,95.1,520,13.3,73,118.4,125,15,86.7,474,1162,379,5.3,16.1,2.23
Jason Witten,1384,TE,DAL,16,7.2,13,76.4,,0,0,1,3.1,3,49,9,1,89.9,57.2,90.3,74.3,86.7,78.5,509,3,33,14.4,93,648,6,94,81.5,528,12.8,83,113.9,123,9,1.4,9,1002,394,4.2,10.7,1.9
Mike Williams,5625,WR,TB,16,14.3,11,52.5,,0,0,0,14.7,11,45,30,3,32.5,23.5,74.7,,72.7,0.2,1,3,58,0.0,0,572,1,64,96.0,549,5.6,32,98.2,122,11,94.2,539,955,336,5.3,14.9,1.74
Davone Bess,4694,WR,MIA,16,7.8,11,67.8,,0,0,0,7.0,6,43,17,0,68.8,82.3,77.9,,77.5,0.0,0,5,29,0.0,0,464,2,80,95.9,445,41.2,191,83.9,118,5,58.2,270,817,330,4.1,10.2,1.84
Mike Wallace,5007,WR,PIT,19,16.1,7,61.9,,0,0,0,11.0,9,53,25,1,59.5,82.5,76.9,,76.8,0.0,0,4,56,0.0,0,666,0,73,95.2,634,16.2,108,119.0,118,11,83.8,558,1372,436,6.0,18.8,2.16
Chad Johnson,806,WR,CIN,14,12.1,4,56.8,,0,0,0,10.7,8,47,7,0,51.1,81.2,70.2,,70.1,0.0,0,3,42,0.0,0,573,3,67,94.1,539,4.9,28,79.4,118,4,95.1,545,831,195,2.9,12.4,1.54
Chris Cooley,1802,TE,WAS,16,6.3,12,66.4,,0,0,0,9.4,8,40,32,3,44.2,25.2,67.6,41.4,62.6,70.2,463,2,35,10.2,67,660,2,77,85.2,562,23.2,153,89.3,116,3,2.0,13,849,405,5.3,11.0,1.51
Dustin Keller,4344,TE,NYJ,18,9.0,7,60.0,,0,0,0,14.8,12,39,22,0,29.4,81.3,66.9,79.4,63.5,52.2,303,3,41,2.9,17,580,4,69,92.9,539,37.1,215,85.0,115,5,6.6,38,808,294,4.3,11.7,1.5
Miles Austin,3211,WR,DAL,16,11.2,5,60.0,,0,0,0,13.8,11,51,9,1,36.5,82.3,68.1,,68.0,0.0,0,6,69,0.0,0,629,7,69,95.2,599,55.6,350,88.5,115,7,44.2,278,1045,432,6.3,15.1,1.74
Danny Amendola,4717,WR,SL,16,4.9,7,74.6,,0,0,0,6.6,6,35,26,1,71.4,57.5,72.1,,71.6,0.0,0,1,36,0.0,0,460,3,85,95.2,438,85.2,392,94.5,114,3,13.5,62,689,386,4.5,8.1,1.57
Anquan Boldin,1369,WR,BLT,18,12.3,3,61.9,,0,0,1,5.4,4,48,3,1,74.8,49.8,71.7,70.5,72.0,0.0,0,4,61,0.2,1,631,4,70,94.1,594,59.3,374,95.7,113,8,40.4,255,899,268,3.8,12.8,1.51
Jeremy Maclin,4942,WR,PHI,17,13.6,5,64.6,,0,0,0,9.9,8,48,24,1,49.0,51.5,70.2,73.3,68.6,0.0,0,4,83,0.6,4,701,1,73,94.7,664,17.3,121,108.9,113,10,82.6,579,1037,310,4.2,14.2,1.56
Santonio Holmes,2970,WR,NYJ,15,13.1,3,56.5,,0,0,1,11.6,8,43,22,0,53.3,28.4,77.3,,80.1,0.2,1,4,52,0.0,0,462,3,61,96.8,447,8.9,41,92.1,108,8,90.9,420,873,266,4.4,14.3,1.95
Johnny Knox,5064,WR,CHI,18,15.1,4,52.8,,0,0,0,9.5,6,48,6,1,55.2,53.5,71.4,,69.8,0.0,0,13,67,0.0,0,640,0,57,94.2,603,12.8,82,63.1,108,5,87.2,558,1068,269,4.7,18.7,1.77
Braylon Edwards,2220,WR,NYJ,19,16.2,4,57.9,,0,0,1,6.1,4,48,22,2,71.8,26.5,70.0,68.7,70.2,0.7,4,3,74,0.2,1,604,9,62,95.7,578,14.6,88,105.2,107,8,84.8,512,1068,323,5.2,17.2,1.85
Tony Gonzalez,237,TE,ATL,17,8.2,5,66.4,,0,0,0,7.8,6,39,2,0,64.6,81.5,68.7,68.8,65.8,33.9,218,4,34,7.0,45,644,3,71,86.5,557,55.1,355,86.3,107,6,10.1,65,663,191,2.7,9.3,1.19
Jabar Gaffney,1040,WR,DEN,16,12.3,4,61.3,,0,0,0,7.1,5,42,10,1,60.8,56.5,68.7,75.9,67.8,0.0,0,3,50,1.2,7,573,2,65,93.5,536,24.6,141,82.3,106,2,75.4,432,881,207,3.2,13.6,1.64
Hines Ward,380,WR,PIT,19,9.7,8,68.3,,0,0,0,9.0,7,42,25,1,58.8,27.7,74.7,70.6,70.0,0.5,3,2,43,0.8,5,600,3,71,94.5,567,68.8,413,108.3,104,7,30.5,183,872,296,4.2,12.3,1.54
Percy Harvin,4945,WR,MIN,14,9.5,11,68.3,,0,0,2,6.6,5,42,18,0,70.4,83.7,87.6,,87.0,0.0,0,5,53,0.0,0,389,5,71,93.6,364,70.4,274,89.9,104,5,27.0,105,871,453,6.4,12.3,2.39
Brandon Pettigrew,4943,TE,DET,16,5.5,7,68.9,,0,0,0,14.5,12,35,11,0,32.1,81.4,65.0,71.8,55.5,86.0,504,2,35,12.5,73,586,10,71,83.3,488,9.7,57,93.6,103,4,0.3,2,722,378,5.3,10.2,1.48
Lance Moore,2718,WR,NO,17,9.1,3,69.3,,0,0,0,4.1,3,43,20,1,81.2,48.9,75.8,,74.4,0.0,0,4,80,0.0,0,513,0,70,96.3,494,25.7,132,103.2,101,8,74.3,381,812,318,4.5,11.6,1.64
Derrick Mason,271,WR,BLT,18,14.3,2,61.4,,0,0,1,6.1,4,45,3,0,71.7,80.7,74.8,,75.8,0.0,0,2,42,0.0,0,571,5,62,94.2,538,7.0,40,101.6,101,7,93.0,531,813,137,2.2,13.1,1.51
Donald Driver,533,WR,GB,19,9.7,9,65.0,,0,0,0,9.7,7,37,12,1,54.0,44.9,61.7,68.1,60.9,0.0,0,3,61,0.2,1,606,0,65,94.7,574,71.1,431,87.7,100,4,28.9,175,734,240,3.7,11.3,1.28
Mike Thomas,5030,WR,JAX,16,11.5,8,66.7,,0,0,0,5.7,4,38,15,0,73.6,82.6,73.9,,72.7,0.0,0,5,50,0.0,0,491,2,66,95.3,468,64.6,317,84.4,99,4,35.2,173,816,309,4.7,12.4,1.74
