player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Shaq Mason,9564,G,TB,17,100.0,0,30,68.9,72.9,61.9,9,15,763,100.0,100.0,98.3,2,25,1,1200,0,0,0,1200,813,813,1200,0,387,0
Charles Leno Jr.,8880,T,WAS,17,100.0,0,32,71.6,80.9,55.9,9,20,629,100.0,100.0,96.4,4,37,8,1189,0,0,1182,1189,669,669,0,7,520,0
Matt Feiler,9289,G,LAC,17,100.0,1,27,53.3,62.8,49.0,3,30,774,100.0,100.0,97.2,6,38,5,1189,0,1189,0,1189,804,804,0,0,385,0
Zion Johnson,99681,G,LAC,17,100.0,1,27,64.8,52.6,69.5,7,28,769,100.0,100.0,97.1,6,40,5,1184,0,0,0,1184,799,799,1184,0,385,0
Kelvin Beachum,7229,T,ARZ,17,99.9,1,1,70.6,76.4,59.6,8,33,736,99.9,99.9,96.5,7,46,5,1177,0,0,16,1178,785,786,0,1158,392,4
Robert Hainsey,59980,C,TB,17,100.0,1,30,66.7,73.0,60.9,7,13,750,100.0,100.0,98.7,2,20,0,1175,1175,0,0,1175,800,800,0,0,375,0
Joel Bitonio,8670,G,CLV,17,100.0,0,8,87.5,80.2,84.4,6,13,616,100.0,100.0,98.3,4,20,1,1172,0,1172,0,1172,667,667,0,0,505,0
Ed Ingram,59819,G,MIN,17,100.0,1,18,57.1,44.4,63.4,18,29,729,100.0,100.0,95.3,4,58,11,1168,0,0,0,1168,775,775,1168,0,393,0
Kevin Dotson,46735,G,PIT,17,100.0,1,25,65.4,77.6,61.1,4,8,639,100.0,100.0,98.4,12,16,4,1160,0,1158,1,1160,686,686,1,0,474,0
James Daniels,45576,G,PIT,17,100.0,2,25,66.9,73.2,60.0,3,17,639,100.0,100.0,98.4,5,20,0,1160,0,1,1,1160,686,686,1157,1,474,0
Dan Moore Jr.,60120,T,PIT,17,100.0,1,25,62.4,67.3,56.1,10,22,639,100.0,100.0,96.4,10,39,7,1160,0,1,1153,1160,686,686,1,1,474,4
