player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,16,58,58,4.22,39.64,44.83,9.1,0,0,9,20,1,59.7,23,61,2,0,37.9,201,22,58,244.81,2299,5,2600
Dustin Colquitt,2316,P,JAX,6,26,26,4.26,38.08,43.58,7.4,0,0,2,8,15,58.8,10,59,0,0,53.8,103,14,26,110.79,990,2,1133
Sam Koch,3148,P,BLT,14,51,51,4.31,42.47,44.47,4.8,0,0,5,20,3,70.8,22,59,8,0,33.3,82,17,51,219.91,2166,1,2268
Brett Kern,4580,P,TEN,13,37,37,4.2,41.49,45.81,7.7,0,0,5,11,31,71.1,25,66,5,0,35.1,100,13,37,155.56,1535,3,1695
Kevin Huber,5066,P,CIN,15,71,71,4.25,42.82,47.18,5.9,0,0,15,16,7,57.2,21,72,4,0,40.8,170,29,71,301.93,3040,7,3350
Thomas Morstead,5088,P,NO,14,62,62,4.44,41.65,43.13,2.6,0,0,5,29,20,62.6,25,58,6,0,32.3,52,20,62,275.51,2582,2,2674
Britton Colquitt,5192,P,MIN,16,54,54,4.32,38.04,45.09,9.7,2,0,6,11,18,56.5,12,59,1,0,61.1,321,33,56,233.2,2054,3,2435
Chris Jones,6798,P,DAL,8,24,24,4.44,40.21,42.58,6.2,0,0,0,15,9,60.7,5,54,2,0,25.0,37,6,24,106.59,965,1,1022
Bryan Anger,7072,P,HST,16,54,54,4.4,41.8,46.39,6.7,0,0,4,21,13,71.2,23,67,4,0,35.2,128,19,54,237.49,2257,6,2505
Johnny Hekker,7252,P,LA,15,68,68,4.37,39.74,45.57,12.9,1,0,9,20,26,64.0,32,63,11,0,33.8,297,23,69,297.06,2702,5,3099
Sam Martin,7947,P,DEN,16,65,65,4.13,42.06,46.77,8.1,1,0,4,13,10,69.9,22,69,16,0,43.1,226,28,66,268.28,2734,4,3040
Ryan Allen,8242,P,IND,3,14,14,3.78,38.57,48.57,10.0,0,0,1,0,14,55.0,3,65,1,0,71.4,100,10,14,52.89,540,2,680
Tress Way,8358,P,WAS,16,73,73,4.43,44.32,48.0,5.8,0,0,9,25,32,67.6,28,65,0,0,49.3,209,36,73,323.58,3235,3,3504
Pat O'Donnell,8826,P,CHI,16,64,64,4.16,39.53,45.69,11.8,0,0,10,22,6,55.5,28,64,2,0,39.1,294,25,64,266.12,2530,5,2924
Bradley Pinion,9598,P,TB,14,55,55,4.37,40.18,45.2,10.3,0,0,6,15,30,82.6,21,62,9,0,41.8,236,23,55,240.6,2210,2,2486
Ty Long,9728,K,LAC,16,57,57,4.18,35.88,46.82,15.2,3,0,4,8,27,55.8,13,63,5,0,64.9,564,37,60,238.18,2045,3,2669
Jordan Berry,10236,P,PIT,11,57,57,4.4,40.47,45.77,11.0,0,0,4,21,25,66.1,25,62,7,0,38.6,242,22,57,251.03,2307,3,2609
Riley Dixon,10862,P,NYG,16,65,65,4.36,39.37,44.78,9.3,1,0,14,18,21,64.0,28,71,2,0,38.5,232,25,66,283.08,2559,6,2911
Ka'imi Fairbairn,11161,K,HST,1,1,1,3.68,26.0,26.0,,0,0,1,0,13,60.0,1,26,0,0,0.0,0,0,1,3.68,26,0,26
Aldrick Rosas,11331,K,JAX,1,3,3,3.67,29.0,36.67,11.5,0,0,0,0,15,50.6,0,44,1,0,66.7,23,2,3,11.02,87,0,110
Jake Elliott,11908,K,PHI,1,2,2,3.58,38.5,38.5,0.0,0,0,0,0,24,58.8,1,42,0,0,100.0,0,2,2,7.16,77,0,77
Rigoberto Sanchez,12130,P,IND,13,42,42,4.25,40.93,46.19,7.4,1,0,6,10,14,69.3,18,60,3,0,45.2,141,19,43,178.68,1719,4,1940
