player,player_id_2018,position_2018,team_name_2018,player_game_count_2018,attempts_2018,avoided_tackles_2018,breakaway_attempts_2018,breakaway_percent_2018,breakaway_yards_2018,declined_penalties_2018,designed_yards_2018,drops_2018,elu_recv_mtf_2018,elu_rush_mtf_2018,elu_yco_2018,elusive_rating_2018,explosive_2018,first_downs_2018,franchise_id_2018,fumbles_2018,gap_attempts_2018,grades_hands_fumble_2018,grades_offense_2018,grades_offense_penalty_2018,grades_pass_2018,grades_pass_block_2018,grades_pass_route_2018,grades_run_2018,grades_run_block_2018,longest_2018,penalties_2018,rec_yards_2018,receptions_2018,routes_2018,run_plays_2018,scramble_yards_2018,scrambles_2018,targets_2018,total_touches_2018,touchdowns_2018,yards_2018,yards_after_contact_2018,yco_attempt_2018,ypa_2018,yprr_2018,zone_attempts_2018,player_id_2019,position_2019,team_name_2019,player_game_count_2019,attempts_2019,avoided_tackles_2019,breakaway_attempts_2019,breakaway_percent_2019,breakaway_yards_2019,declined_penalties_2019,designed_yards_2019,drops_2019,elu_recv_mtf_2019,elu_rush_mtf_2019,elu_yco_2019,elusive_rating_2019,explosive_2019,first_downs_2019,franchise_id_2019,fumbles_2019,gap_attempts_2019,grades_hands_fumble_2019,grades_offense_2019,grades_offense_penalty_2019,grades_pass_2019,grades_pass_block_2019,grades_pass_route_2019,grades_run_2019,grades_run_block_2019,longest_2019,penalties_2019,rec_yards_2019,receptions_2019,routes_2019,run_plays_2019,scramble_yards_2019,scrambles_2019,targets_2019,total_touches_2019,touchdowns_2019,yards_2019,yards_after_contact_2019,yco_attempt_2019,ypa_2019,yprr_2019,zone_attempts_2019,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,player_id_2021,position_2021,team_name_2021,player_game_count_2021,attempts_2021,avoided_tackles_2021,breakaway_attempts_2021,breakaway_percent_2021,breakaway_yards_2021,declined_penalties_2021,designed_yards_2021,drops_2021,elu_recv_mtf_2021,elu_rush_mtf_2021,elu_yco_2021,elusive_rating_2021,explosive_2021,first_downs_2021,franchise_id_2021,fumbles_2021,gap_attempts_2021,grades_hands_fumble_2021,grades_offense_2021,grades_offense_penalty_2021,grades_pass_2021,grades_pass_block_2021,grades_pass_route_2021,grades_run_2021,grades_run_block_2021,longest_2021,penalties_2021,rec_yards_2021,receptions_2021,routes_2021,run_plays_2021,scramble_yards_2021,scrambles_2021,targets_2021,total_touches_2021,touchdowns_2021,yards_2021,yards_after_contact_2021,yco_attempt_2021,ypa_2021,yprr_2021,zone_attempts_2021,player_id_2022,position_2022,team_name_2022,player_game_count_2022,attempts_2022,avoided_tackles_2022,breakaway_attempts_2022,breakaway_percent_2022,breakaway_yards_2022,declined_penalties_2022,designed_yards_2022,drops_2022,elu_recv_mtf_2022,elu_rush_mtf_2022,elu_yco_2022,elusive_rating_2022,explosive_2022,first_downs_2022,franchise_id_2022,fumbles_2022,gap_attempts_2022,grades_hands_fumble_2022,grades_offense_2022,grades_offense_penalty_2022,grades_pass_2022,grades_pass_block_2022,grades_pass_route_2022,grades_run_2022,grades_run_block_2022,longest_2022,penalties_2022,rec_yards_2022,receptions_2022,routes_2022,run_plays_2022,scramble_yards_2022,scrambles_2022,targets_2022,total_touches_2022,touchdowns_2022,yards_2022,yards_after_contact_2022,yco_attempt_2022,ypa_2022,yprr_2022,zone_attempts_2022
Detrez Newsome,45695.0,HB,LAC,3.0,11.0,1.0,1.0,32.7,16.0,0.0,49.0,0.0,1.0,1.0,39.0,54.5,2.0,3.0,27.0,0.0,5.0,74.4,80.3,74.8,,73.1,70.5,78.5,60.0,16.0,0.0,19.0,2.0,14.0,14.0,0.0,0.0,2.0,13.0,0.0,49.0,39.0,3.55,4.5,1.36,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Hoyer,5277.0,QB,NE,5.0,11.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,74.4,64.9,75.9,55.5,,,67.3,60.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,11.0,0.0,-8.0,0.0,0.0,-0.7,,0.0,5277.0,QB,IND,4.0,8.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,83.5,69.4,81.6,70.3,,,49.9,60.0,6.0,0.0,0.0,0.0,0.0,54.0,7.0,2.0,0.0,6.0,0.0,2.0,14.0,1.75,0.3,,0.0,5277.0,QB,NE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,1.0,19.0,1.0,0.0,25.2,58.8,78.1,56.3,,,63.9,60.0,8.0,0.0,0.0,0.0,0.0,24.0,8.0,1.0,0.0,0.0,0.0,8.0,6.0,6.0,8.0,,0.0,5277.0,QB,NE,5.0,11.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,76.7,83.6,77.3,81.9,,,67.7,60.0,2.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,11.0,0.0,-8.0,0.0,0.0,-0.7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Cooks,8655.0,WR,LA,16.0,10.0,0.0,1.0,25.0,17.0,0.0,68.0,1.0,7.0,0.0,14.0,10.9,2.0,5.0,26.0,1.0,0.0,55.7,79.7,91.2,,,80.5,55.0,58.4,17.0,2.0,1204.0,80.0,583.0,369.0,0.0,0.0,110.0,90.0,1.0,68.0,14.0,1.4,6.8,2.07,0.0,8655.0,WR,LA,14.0,6.0,0.0,1.0,51.9,27.0,0.0,52.0,5.0,0.0,0.0,13.0,0.0,1.0,3.0,26.0,0.0,0.0,79.7,68.1,89.5,,62.4,66.8,72.8,56.7,27.0,1.0,583.0,42.0,452.0,218.0,0.0,0.0,67.0,48.0,0.0,52.0,13.0,2.17,8.7,1.29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8655.0,WR,HST,16.0,2.0,0.0,1.0,76.2,16.0,1.0,21.0,4.0,6.0,0.0,8.0,26.1,1.0,1.0,13.0,0.0,0.0,83.1,77.4,89.4,,,77.3,62.6,52.5,16.0,2.0,1037.0,90.0,528.0,264.0,0.0,0.0,130.0,92.0,0.0,21.0,8.0,4.0,10.5,1.96,0.0,8655.0,WR,HST,13.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,0.0,2.0,1.7,0.0,0.0,13.0,0.0,0.0,80.6,72.3,89.4,,,71.9,53.6,62.5,5.0,1.0,699.0,56.0,427.0,207.0,0.0,0.0,88.0,58.0,0.0,7.0,2.0,1.0,3.5,1.64,0.0
Nathan Peterman,11926.0,QB,BUF,4.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,85.5,32.9,82.1,31.6,,,58.9,60.0,24.0,1.0,0.0,0.0,0.0,42.0,48.0,8.0,0.0,2.0,1.0,50.0,32.0,3.2,5.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11926.0,QB,LV,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,1.0,23.0,0.0,0.0,70.3,60.2,72.9,54.4,,,63.9,60.0,9.0,0.0,0.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,0.0,9.0,4.0,4.0,9.0,,0.0,11926.0,QB,LV,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,64.5,57.7,69.2,,,,58.4,60.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,,0.0,11926.0,QB,CHI,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,6.0,0.0,0.0,77.0,66.7,77.7,68.0,,,54.5,60.0,6.0,1.0,0.0,0.0,0.0,16.0,7.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,3.5,,0.0
Isaiah McKenzie,11927.0,WR,BUF,8.0,10.0,1.0,2.0,45.5,30.0,0.0,66.0,1.0,5.0,1.0,14.0,30.0,3.0,4.0,4.0,0.0,0.0,51.3,67.0,82.6,,,66.4,63.8,57.4,15.0,0.0,179.0,18.0,144.0,66.0,0.0,0.0,29.0,28.0,2.0,66.0,14.0,1.4,6.6,1.24,0.0,11927.0,WR,BUF,15.0,8.0,2.0,1.0,32.7,16.0,0.0,49.0,2.0,4.0,2.0,22.0,47.1,3.0,4.0,4.0,0.0,1.0,80.1,68.8,87.4,,,66.0,73.7,66.8,16.0,1.0,254.0,27.0,237.0,204.0,0.0,0.0,38.0,35.0,0.0,49.0,22.0,2.75,6.1,1.07,0.0,11927.0,WR,BUF,16.0,10.0,1.0,0.0,0.0,0.0,1.0,9.0,1.0,6.0,1.0,8.0,14.0,1.0,2.0,4.0,0.0,0.0,80.5,72.1,52.1,60.0,25.0,78.8,46.7,46.0,14.0,2.0,282.0,30.0,142.0,116.0,0.0,0.0,33.0,40.0,0.0,9.0,8.0,0.8,0.9,1.99,0.0,11927.0,WR,BUF,15.0,9.0,2.0,0.0,0.0,0.0,0.0,47.0,1.0,3.0,2.0,28.0,53.6,1.0,5.0,4.0,0.0,3.0,55.0,69.4,85.7,,,73.1,65.4,31.3,10.0,0.0,178.0,20.0,148.0,101.0,0.0,0.0,26.0,29.0,1.0,47.0,28.0,3.11,5.2,1.2,0.0,11927.0,WR,BUF,15.0,9.0,4.0,1.0,32.7,18.0,0.0,55.0,5.0,7.0,4.0,17.0,40.7,1.0,3.0,4.0,0.0,1.0,81.6,65.8,86.1,,,65.7,62.8,52.0,18.0,0.0,423.0,42.0,383.0,149.0,0.0,0.0,62.0,51.0,1.0,55.0,17.0,1.89,6.1,1.1,0.0
Stefon Diggs,9579.0,WR,MIN,15.0,10.0,0.0,1.0,32.3,20.0,0.0,62.0,1.0,12.0,0.0,13.0,13.9,2.0,3.0,18.0,0.0,1.0,84.5,81.1,65.7,,66.3,81.0,65.4,60.3,20.0,4.0,1021.0,102.0,595.0,247.0,0.0,0.0,141.0,112.0,0.0,62.0,13.0,1.3,6.2,1.72,0.0,9579.0,WR,MIN,15.0,5.0,3.0,1.0,44.3,27.0,0.0,53.0,6.0,5.0,3.0,26.0,77.6,3.0,3.0,18.0,4.0,0.0,23.1,78.8,49.6,49.8,,78.4,79.0,68.6,27.0,4.0,1132.0,63.0,421.0,318.0,8.0,1.0,91.0,67.0,0.0,61.0,47.0,9.4,12.2,2.69,0.0,9579.0,WR,BUF,16.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,20.0,1.0,2.0,32.8,0.0,0.0,4.0,0.0,0.0,85.4,89.4,47.3,,,90.0,56.2,60.4,1.0,6.0,1535.0,127.0,611.0,308.0,0.0,0.0,162.0,128.0,0.0,1.0,2.0,2.0,1.0,2.51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9579.0,WR,BUF,16.0,1.0,0.0,0.0,0.0,0.0,2.0,-3.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,59.7,90.1,53.1,,,90.1,,60.9,-3.0,5.0,1429.0,108.0,573.0,226.0,0.0,0.0,149.0,109.0,0.0,-3.0,0.0,0.0,-3.0,2.49,0.0
Colt McCoy,5609.0,QB,WAS,3.0,10.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,4.0,44.4,3.0,4.0,32.0,1.0,0.0,46.0,60.1,80.7,51.2,,,87.4,60.0,15.0,0.0,0.0,0.0,0.0,28.0,55.0,7.0,0.0,3.0,0.0,63.0,46.0,4.6,6.3,,1.0,5609.0,QB,WAS,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,1.0,32.0,2.0,0.0,20.5,44.7,78.6,43.1,,,63.4,60.0,9.0,0.0,0.0,0.0,0.0,19.0,14.0,2.0,0.0,0.0,0.0,14.0,15.0,7.5,7.0,,0.0,5609.0,QB,NYG,4.0,9.0,4.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,21.0,1.0,1.0,83.7,60.6,82.0,62.8,,,45.6,60.0,4.0,0.0,0.0,0.0,0.0,67.0,13.0,4.0,0.0,5.0,0.0,12.0,35.0,3.89,1.3,,0.0,5609.0,QB,ARZ,7.0,22.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,6.0,1.7,1.0,6.0,1.0,4.0,1.0,27.5,55.8,83.4,56.8,,58.4,52.5,60.0,11.0,0.0,0.0,0.0,1.0,93.0,13.0,3.0,0.0,19.0,0.0,37.0,15.0,0.68,1.7,0.0,2.0,5609.0,QB,ARZ,4.0,14.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,48.1,62.1,83.8,66.9,,,33.2,60.0,9.0,1.0,0.0,0.0,0.0,65.0,34.0,8.0,0.0,6.0,0.0,36.0,31.0,2.21,2.6,,3.0
Nick Foles,7089.0,QB,PHI,5.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,24.0,4.0,0.0,41.3,73.8,31.2,71.1,,90.6,70.5,60.1,4.0,3.0,10.0,1.0,1.0,135.0,6.0,2.0,1.0,8.0,0.0,17.0,6.0,0.67,1.9,10.0,1.0,7089.0,QB,JAX,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,15.0,2.0,0.0,39.0,65.7,82.9,64.8,,,60.0,60.0,13.0,1.0,0.0,0.0,0.0,47.0,20.0,3.0,0.0,1.0,0.0,23.0,4.0,1.0,5.8,,0.0,7089.0,QB,CHI,9.0,16.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,6.0,3.0,1.0,72.4,66.5,45.8,66.9,,,51.9,60.4,7.0,4.0,0.0,0.0,0.0,146.0,11.0,4.0,0.0,12.0,1.0,1.0,6.0,0.38,0.1,,0.0,7089.0,QB,CHI,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,29.6,60.2,79.5,59.4,,,60.1,60.3,8.0,0.0,0.0,0.0,0.0,31.0,8.0,1.0,0.0,3.0,0.0,8.0,0.0,0.0,2.0,,0.0,7089.0,QB,IND,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,80.9,34.0,79.9,35.3,,,53.6,60.0,8.0,0.0,0.0,0.0,0.0,30.0,8.0,1.0,0.0,1.0,0.0,8.0,2.0,1.0,4.0,,0.0
Zach Line,8420.0,FB,NO,16.0,9.0,1.0,0.0,0.0,0.0,0.0,41.0,3.0,0.0,1.0,23.0,18.3,0.0,6.0,20.0,0.0,4.0,74.9,61.0,32.5,,55.8,33.5,79.3,72.0,9.0,1.0,14.0,5.0,65.0,140.0,0.0,0.0,10.0,14.0,0.0,41.0,23.0,2.56,4.6,0.22,0.0,8420.0,FB,NO,12.0,7.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,13.0,28.6,0.0,5.0,20.0,0.0,0.0,73.6,62.2,84.7,,83.7,49.9,71.0,60.8,5.0,0.0,36.0,6.0,69.0,119.0,0.0,0.0,10.0,13.0,0.0,20.0,13.0,1.86,2.9,0.52,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dede Westbrook,11865.0,WR,JAX,16.0,9.0,3.0,2.0,64.3,63.0,0.0,98.0,6.0,8.0,3.0,20.0,32.6,4.0,5.0,15.0,2.0,0.0,43.8,71.3,76.5,60.0,61.6,70.0,84.9,50.6,43.0,3.0,717.0,66.0,554.0,227.0,0.0,0.0,96.0,75.0,0.0,98.0,20.0,2.22,10.9,1.29,0.0,11865.0,WR,JAX,15.0,5.0,2.0,0.0,0.0,0.0,1.0,27.0,4.0,9.0,2.0,25.0,77.5,0.0,0.0,15.0,0.0,0.0,67.8,63.5,73.9,,,63.9,55.8,52.0,8.0,3.0,660.0,66.0,550.0,149.0,0.0,0.0,97.0,71.0,0.0,27.0,25.0,5.0,5.4,1.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Langford,9539.0,HB,ATL,1.0,9.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,20.0,24.7,0.0,1.0,2.0,0.0,2.0,72.7,54.4,71.1,,68.8,54.8,55.8,,7.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,9.0,0.0,25.0,20.0,2.22,2.8,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keenan Allen,7857.0,WR,LAC,16.0,9.0,2.0,3.0,85.3,64.0,0.0,75.0,3.0,7.0,2.0,23.0,21.7,3.0,4.0,27.0,2.0,0.0,61.7,90.3,51.7,37.7,,90.5,70.2,75.4,28.0,5.0,1196.0,97.0,478.0,284.0,0.0,0.0,125.0,106.0,0.0,75.0,23.0,2.56,8.3,2.5,0.0,7857.0,WR,LAC,16.0,3.0,0.0,1.0,112.5,18.0,0.0,16.0,5.0,7.0,0.0,24.0,52.3,1.0,1.0,27.0,0.0,0.0,84.1,80.8,90.4,,70.0,81.7,58.0,49.1,18.0,3.0,1199.0,104.0,596.0,289.0,0.0,0.0,147.0,107.0,0.0,16.0,24.0,8.0,5.3,2.01,0.0,7857.0,WR,LAC,14.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,2.0,11.0,0.0,1.0,10.9,0.0,0.0,27.0,3.0,0.0,58.1,84.9,77.7,48.9,73.3,85.0,,67.8,-1.0,2.0,992.0,100.0,520.0,319.0,0.0,0.0,138.0,101.0,0.0,-1.0,1.0,1.0,-1.0,1.91,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7857.0,WR,LAC,10.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,27.0,1.0,0.0,45.4,84.8,86.3,,72.2,84.8,,52.9,8.0,0.0,752.0,66.0,356.0,145.0,0.0,0.0,85.0,67.0,0.0,8.0,2.0,2.0,8.0,2.11,0.0
Julian Edelman,5156.0,WR,NE,12.0,9.0,0.0,4.0,65.4,70.0,1.0,107.0,8.0,5.0,0.0,24.0,16.1,5.0,7.0,19.0,0.0,0.0,87.5,75.2,48.7,61.6,,74.1,78.3,67.3,20.0,5.0,850.0,74.0,436.0,287.0,0.0,0.0,105.0,83.0,0.0,107.0,24.0,2.67,11.9,1.95,0.0,5156.0,WR,NE,16.0,8.0,0.0,0.0,0.0,0.0,0.0,27.0,10.0,7.0,0.0,11.0,8.9,0.0,2.0,19.0,3.0,0.0,37.2,72.0,36.5,71.8,71.4,73.6,50.8,57.6,9.0,7.0,1117.0,100.0,610.0,346.0,0.0,0.0,147.0,108.0,0.0,27.0,11.0,1.38,3.4,1.83,0.0,5156.0,WR,NE,6.0,2.0,0.0,1.0,104.5,23.0,0.0,22.0,4.0,1.0,0.0,1.0,2.2,1.0,1.0,19.0,0.0,0.0,75.8,68.8,84.9,61.6,,69.3,62.6,49.8,23.0,0.0,315.0,21.0,167.0,90.0,0.0,0.0,35.0,23.0,0.0,22.0,1.0,0.5,11.0,1.89,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Armah,11948.0,FB,CAR,16.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,5.0,0.0,0.0,73.1,62.7,82.6,,81.3,54.2,63.1,59.4,4.0,0.0,5.0,1.0,13.0,89.0,0.0,0.0,1.0,10.0,2.0,15.0,11.0,1.22,1.7,0.38,0.0,11948.0,FB,CAR,16.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,5.0,0.0,2.0,72.3,50.9,83.6,,77.6,55.3,50.8,49.5,4.0,0.0,6.0,2.0,22.0,84.0,0.0,0.0,2.0,8.0,1.0,11.0,7.0,1.17,1.8,0.27,0.0,11948.0,FB,CAR,16.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,73.1,57.0,81.4,,86.0,30.3,79.2,64.0,3.0,0.0,18.0,5.0,40.0,100.0,0.0,0.0,8.0,11.0,0.0,9.0,4.0,0.67,1.5,0.45,0.0,11948.0,FB,WAS,11.0,5.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,14.0,46.7,0.0,4.0,32.0,0.0,0.0,72.4,57.4,80.3,,74.8,51.9,70.3,53.0,9.0,0.0,1.0,1.0,17.0,52.0,0.0,0.0,1.0,6.0,0.0,21.0,14.0,2.8,4.2,0.06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taquan Mizzell Sr.,45675.0,HB,CHI,9.0,9.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,6.0,0.0,2.0,78.2,64.0,83.0,,33.1,77.7,51.2,37.5,7.0,0.0,78.0,8.0,43.0,21.0,0.0,0.0,10.0,17.0,0.0,16.0,20.0,2.22,1.8,1.81,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Gabriel,9002.0,WR,CHI,16.0,9.0,0.0,1.0,32.8,20.0,2.0,61.0,2.0,6.0,0.0,21.0,18.4,2.0,3.0,6.0,1.0,0.0,51.6,68.9,41.9,,65.3,69.8,62.4,59.0,20.0,4.0,688.0,67.0,481.0,314.0,0.0,0.0,91.0,76.0,0.0,61.0,21.0,2.33,6.8,1.43,0.0,9002.0,WR,CHI,9.0,3.0,1.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,1.0,8.0,8.3,1.0,1.0,6.0,0.0,0.0,77.4,62.0,87.6,,62.4,61.5,54.8,61.6,14.0,1.0,353.0,29.0,292.0,131.0,0.0,0.0,48.0,32.0,0.0,20.0,8.0,2.67,6.7,1.21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Garoppolo,8697.0,QB,SF,3.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,28.0,4.0,0.0,33.3,62.6,83.2,60.5,,,63.2,60.0,13.0,0.0,0.0,0.0,0.0,81.0,33.0,5.0,0.0,3.0,0.0,33.0,26.0,3.25,4.1,,0.0,8697.0,QB,SF,16.0,46.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,16.0,0.0,1.0,13.0,28.0,10.0,1.0,51.6,77.9,68.4,75.7,72.2,,69.8,60.1,11.0,3.0,0.0,0.0,0.0,487.0,56.0,12.0,0.0,34.0,1.0,62.0,74.0,1.61,1.3,,3.0,8697.0,QB,SF,6.0,10.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,28.0,2.0,0.0,88.6,67.5,84.9,65.4,,,66.3,60.2,9.0,0.0,0.0,0.0,0.0,146.0,21.0,4.0,0.0,6.0,0.0,25.0,15.0,1.5,2.5,,0.0,8697.0,QB,SF,15.0,38.0,2.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,1.0,19.0,1.9,0.0,15.0,28.0,8.0,0.0,51.4,74.9,89.4,73.0,60.9,52.8,64.4,60.0,7.0,1.0,0.0,0.0,2.0,410.0,22.0,6.0,0.0,32.0,3.0,51.0,46.0,1.21,1.3,0.0,6.0,8697.0,QB,SF,11.0,23.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,12.0,0.0,0.0,11.0,28.0,3.0,1.0,64.7,71.4,70.4,69.5,,60.0,67.4,60.0,6.0,2.0,0.0,0.0,1.0,263.0,11.0,3.0,0.0,20.0,2.0,33.0,22.0,0.96,1.4,0.0,1.0
Brock Osweiler,7059.0,QB,MIA,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,0.0,90.1,52.7,56.8,53.4,,60.0,50.9,60.6,7.0,1.0,0.0,0.0,1.0,129.0,21.0,4.0,0.0,4.0,0.0,21.0,18.0,2.25,2.6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
