,QB,RB/FB,WR,TE,OL,DL,LB,DB,K/P/LS,Team
0,5.502257336343115,3.3408577878103833,4.683972911963883,1.1681715575620766,15.107223476297968,6.704288939051918,17.257336343115124,8.391647855530474,4.35665914221219,Titans
1,14.198645598194132,1.1738148984198644,11.128668171557562,4.001128668171558,12.816027088036117,11.51805869074492,2.020316027088036,5.519187358916479,2.7200902934537248,Colts
2,0.20880361173814896,2.8160270880361176,3.250564334085779,3.408577878103838,13.442437923250564,14.667042889390519,5.3386004514672685,13.002257336343115,1.935665914221219,Commanders
3,3.5722347629796842,2.4209932279909707,6.77765237020316,7.195259593679458,15.818284424379234,19.571106094808126,9.034988713318286,13.984198645598195,1.7437923250564333,Chiefs
4,12.528216704288939,0.8860045146726861,13.707674943566591,1.2189616252821671,17.60158013544018,9.390519187358915,4.418735891647856,16.709932279909705,3.036117381489842,Falcons
5,5.711060948081264,1.704288939051919,11.314898419864559,1.4954853273137698,10.118510158013544,21.580135440180587,7.703160270880362,9.12528216704289,0.9537246049661399,Dolphins
6,14.836343115124153,3.781038374717833,4.50902934537246,3.7358916478555306,19.41309255079007,13.239277652370204,8.250564334085778,7.9063205417607225,2.1670428893905194,Saints
7,13.888261851015802,1.162528216704289,6.788939051918735,2.799097065462754,14.870203160270881,10.406320541760723,7.562076749435666,13.81489841986456,1.4503386004514673,Steelers
8,12.454853273137697,0.47404063205417607,14.215575620767495,6.049661399548533,17.793453724604966,1.489841986455982,8.391647855530474,5.558690744920993,3.544018058690745,Packers
9,7.133182844243792,1.9864559819413092,19.001128668171557,4.3453724604966135,12.923250564334085,27.62979683972912,6.309255079006772,7.516930022573363,2.1952595936794586,Buccaneers
10,5.981941309255079,1.3826185101580135,14.81941309255079,5.648984198645598,13.91647855530474,11.540632054176072,17.33634311512415,11.376975169300225,3.3521444695259595,Bears
11,12.934537246049663,3.9503386004514676,7.962753950338601,8.318284424379232,9.734762979683973,9.604966139954852,8.668171557562076,21.376975169300223,4.435665914221219,Patriots
12,15.558690744920995,1.0609480812641083,6.794582392776524,2.6693002257336342,11.738148984198645,6.224604966139955,11.39390519187359,23.487584650112865,5.496613995485328,Ravens
13,12.979683972911966,2.62979683972912,14.06884875846501,3.724604966139955,15.519187358916477,5.880361173814898,14.785553047404063,10.564334085778782,1.0045146726862302,Chargers
14,15.361173814898422,3.7528216704288937,2.240406320541761,2.313769751693002,8.803611738148984,3.769751693002257,6.794582392776524,14.537246049661402,3.86568848758465,Lions
15,13.820541760722346,2.923250564334086,10.485327313769751,1.5124153498871333,12.629796839729119,5.993227990970654,14.650112866817155,6.636568848758465,1.805869074492099,Seahawks
16,6.089164785553047,5.440180586907449,6.85665914221219,0.8069977426636569,2.7483069977426635,30.2313769751693,5.028216704288939,21.151241534988714,0.6094808126410836,Jaguars
17,4.881489841986456,4.746049661399549,7.071106094808126,1.4841986455981941,16.56884875846501,23.73589164785553,7.917607223476297,18.826185101580137,4.27765237020316,Rams
18,1.0270880361173815,4.27765237020316,4.356659142212189,0.9311512415349887,19.87020316027088,19.14785553047404,10.840857787810384,5.366817155756207,1.6365688487584649,Cowboys
19,0.47404063205417607,3.45372460496614,4.040632054176072,0.8408577878103838,14.051918735891647,20.095936794582393,6.738148984198646,10.959367945823928,2.6693002257336342,Bengals
20,8.89390519187359,0.6376975169300225,4.452595936794582,0.7392776523702032,15.225733634311512,9.204288939051917,5.530474040632054,15.773137697516932,1.0835214446952597,Jets
21,12.13882618510158,1.4841986455981941,9.01805869074492,3.769751693002257,19.571106094808126,16.173814898419863,8.256207674943566,5.4627539503386,0.948081264108352,Eagles
22,2.539503386004515,4.898419864559819,8.690744920993227,1.8961625282167043,10.349887133182845,11.433408577878104,16.867945823927766,21.501128668171557,1.1343115124153498,Texans
23,12.183972911963883,2.7765237020316027,6.845372460496614,0.7674943566591422,14.029345372460497,24.27765237020316,8.17155756207675,7.1613995485327315,1.399548532731377,Panthers
24,14.932279909706548,4.255079006772009,8.448081264108351,5.016930022573363,12.821670428893906,24.50902934537246,10.355530474040632,18.560948081264108,1.8284424379232507,Vikings
25,2.9345372460496613,3.481941309255079,11.439051918735892,4.667042889390519,1.4672686230248306,12.020316027088036,8.600451467268623,13.865688487584652,2.0711060948081266,Cardinals
26,13.211060948081263,3.5722347629796842,6.597065462753951,3.9672686230248306,8.515801354401805,3.374717832957111,17.076749435665914,8.498871331828441,1.247178329571106,Giants
27,14.616252821670429,1.580135440180587,8.380361173814899,6.506772009029345,10.05079006772009,6.896162528216704,5.553047404063205,9.723476297968398,0.7110609480812641,Raiders
28,2.804740406320542,6.455981941309255,1.7212189616252822,5.705417607223477,6.422121896162528,18.290067720090292,4.571106094808126,9.452595936794582,2.1162528216704293,Bills
29,13.66252821670429,3.148984198645598,10.067720090293454,3.6625282167042887,19.593679458239276,9.02370203160271,8.06997742663657,11.089164785553047,2.0767494356659144,Browns
30,0.6772009029345373,0.6772009029345373,4.514672686230249,2.0428893905191874,19.04627539503386,13.978555304740405,4.243792325056433,6.450338600451468,1.7663656884875847,49ers
31,8.820541760722348,0.8239277652370203,1.4841986455981941,0.6659142212189616,7.748306997742664,16.890519187358915,13.363431151241533,12.042889390519187,2.539503386004515,Broncos
