,Team,Year,Position,Value_cap_space,Value_draft_data,Previous_AV,Current_AV,Previous_PFF,Current_PFF,Total DVOA,win-loss-pct,Net EPA,position,weighted_avg_avg_depth_of_target,weighted_avg_avoided_tackles,weighted_avg_caught_percent,weighted_avg_contested_catch_rate,weighted_avg_contested_receptions,weighted_avg_contested_targets,weighted_avg_declined_penalties,weighted_avg_drop_rate,weighted_avg_drops,weighted_avg_first_downs,weighted_avg_franchise_id,weighted_avg_fumbles,weighted_avg_grades_hands_drop,weighted_avg_grades_hands_fumble,weighted_avg_grades_offense,weighted_avg_grades_pass_block,weighted_avg_grades_pass_route,weighted_avg_inline_rate,weighted_avg_inline_snaps,weighted_avg_interceptions,weighted_avg_longest,weighted_avg_pass_block_rate,weighted_avg_pass_blocks,weighted_avg_pass_plays,weighted_avg_penalties,weighted_avg_receptions,weighted_avg_route_rate,weighted_avg_routes,weighted_avg_slot_rate,weighted_avg_slot_snaps,weighted_avg_targeted_qb_rating,weighted_avg_targets,weighted_avg_touchdowns,weighted_avg_wide_rate,weighted_avg_wide_snaps,weighted_avg_yards,weighted_avg_yards_after_catch,weighted_avg_yards_after_catch_per_reception,weighted_avg_yards_per_reception,weighted_avg_yprr,Previous_avg_depth_of_target,Previous_avoided_tackles,Previous_caught_percent,Previous_contested_catch_rate,Previous_contested_receptions,Previous_contested_targets,Previous_declined_penalties,Previous_drop_rate,Previous_drops,Previous_first_downs,Previous_franchise_id,Previous_fumbles,Previous_grades_hands_drop,Previous_grades_hands_fumble,Previous_grades_offense,Previous_grades_pass_block,Previous_grades_pass_route,Previous_inline_rate,Previous_inline_snaps,Previous_interceptions,Previous_longest,Previous_pass_block_rate,Previous_pass_blocks,Previous_pass_plays,Previous_penalties,Previous_receptions,Previous_route_rate,Previous_routes,Previous_slot_rate,Previous_slot_snaps,Previous_targeted_qb_rating,Previous_targets,Previous_touchdowns,Previous_wide_rate,Previous_wide_snaps,Previous_yards,Previous_yards_after_catch,Previous_yards_after_catch_per_reception,Previous_yards_per_reception,Previous_yprr
0,Buccaneers,2019,TE,5.658873538788523,168.5002825747667,6.0,6.0,64.18221957040573,56.75054229934924,1.50%,0.4375,0.072,TE,9.232291666666669,2.3090277777777777,64.77430555555556,43.953472222222224,6.152777777777778,12.819444444444445,0.3923611111111111,11.75138888888889,3.048611111111111,20.381944444444443,30.0,0.5243055555555556,56.91423611111111,50.67083333333333,58.39305555555556,56.99895833333333,60.12256944444445,54.21597222222223,211.94791666666663,1.4409722222222223,32.986111111111114,9.421527777777778,41.09027777777778,377.93402777777777,3.013888888888889,32.11805555555556,85.21909722222223,317.1736111111111,33.4875,125.50694444444444,88.78125,48.083333333333336,2.09375,11.45659722222222,38.21875,364.84722222222223,121.85069444444444,3.59375,11.535763888888887,1.0936458333333334,9.781912144702842,1.8733850129198968,66.72093023255815,43.24935400516796,5.434108527131783,12.937984496124033,0.6124031007751938,7.842635658914729,2.514211886304909,21.04392764857881,30.0,0.5839793281653747,63.92583979328165,48.00361757105944,66.21912144702843,71.64366925064598,66.14909560723514,37.30051679586563,126.73385012919896,2.6666666666666665,40.78294573643411,5.720671834625323,15.361757105943152,350.1421188630491,3.408268733850129,30.483204134366925,88.3906976744186,312.5503875968992,51.63488372093023,186.6847545219638,104.75891472868216,45.91989664082687,5.377260981912145,9.21937984496124,33.798449612403104,381.9431524547804,114.99741602067184,3.588113695090439,12.080103359173126,1.3163049095607235
1,Packers,2019,TE,8.485653560042508,74.89144738055205,7.0,6.0,58.965723981900446,60.29861982434128,7.70%,0.8125,0.089,TE,10.167078189300414,3.5473251028806585,65.73251028806584,37.69423868312757,2.707818930041152,7.954732510288066,0.0,6.615637860082305,2.633744855967078,20.50617283950617,12.0,0.8600823045267489,65.26748971193416,34.388477366255145,56.34732510288066,70.3761316872428,55.18189300411522,42.5,160.4897119341564,0.0,44.69547325102881,7.223456790123457,23.045267489711936,416.6625514403292,2.7818930041152266,34.22633744855967,85.28271604938271,361.0164609053498,40.78559670781894,181.8230452674897,106.11728395061728,51.97119341563786,2.707818930041152,15.8,70.83127572016461,400.2098765432099,225.08230452674897,6.274897119341564,11.446090534979424,1.113292181069959,9.577092511013214,5.022026431718062,68.58942731277533,41.36123348017621,6.790748898678414,17.67180616740088,0.0,5.451101321585903,2.0198237885462555,27.82819383259912,12.0,0.0,70.14317180616739,78.54559471365639,59.58700440528634,53.87180616740088,58.96453744493392,26.473127753303963,129.23348017621146,1.6740088105726871,50.81057268722467,4.8317180616740085,18.993392070484585,534.7533039647577,1.6872246696035242,48.10132158590309,89.52841409691631,484.9955947136564,57.50550660792952,323.8810572687225,93.96277533039648,72.07268722466961,1.830396475770925,13.774669603524227,76.36563876651982,553.4427312775331,228.431718061674,4.745814977973568,11.8284140969163,1.1761013215859029
2,Giants,2019,TE,0.4091392136025505,155.15509733723542,8.0,6.0,68.38470290771176,60.82100737100737,-17.50%,0.25,-0.137,TE,6.133673469387755,1.5051020408163265,71.16122448979593,43.96122448979592,5.005102040816326,12.0,0.5714285714285714,6.604591836734694,2.5306122448979598,17.122448979591837,21.0,0.5816326530612245,67.70357142857142,61.398979591836735,61.235204081632645,64.81224489795919,63.2219387755102,63.29081632653061,180.0765306122449,0.1173469387755102,56.005102040816325,8.922448979591836,22.98469387755102,293.4387755102041,2.316326530612245,36.31122448979592,85.27755102040817,253.14795918367344,26.914285714285715,83.35714285714286,105.24336734693878,52.04081632653061,2.704081632653061,9.17142857142857,28.316326530612244,364.6173469387755,180.7908163265306,4.711734693877551,9.761734693877552,1.398214285714286,5.77915057915058,4.308880308880309,73.52316602316603,30.07722007722008,1.942084942084942,7.694980694980695,0.0579150579150579,6.304633204633205,2.4903474903474905,18.05019305019305,21.0,0.0,63.833976833976834,77.76602316602317,71.1907335907336,66.26254826254826,68.43629343629344,50.78455598455599,161.53667953667954,0.0579150579150579,43.86486486486486,11.651737451737452,35.729729729729726,328.3127413127413,1.77992277992278,36.1969111969112,84.26409266409267,278.74517374517376,36.946332046332046,125.26254826254826,112.54903474903476,49.69111969111969,2.212355212355212,10.62818532818533,36.01544401544402,446.11196911196913,281.988416988417,7.234749034749035,11.976447876447876,1.534864864864865
3,Commanders,2019,TE,0.6110520722635494,30.87004413872264,7.0,7.0,63.83604060913705,51.43892617449664,-25.70%,0.1875,-0.213,TE,6.770491803278689,2.237704918032787,61.86229508196721,36.9,1.5163934426229508,4.745901639344262,0.918032786885246,8.960655737704917,1.598360655737705,8.811475409836065,32.0,0.5163934426229508,60.17295081967213,47.99262295081967,50.78688524590164,62.47049180327869,52.27131147540984,61.02950819672131,166.34426229508196,1.836065573770492,33.122950819672134,11.258196721311476,31.30327868852459,260.155737704918,4.418032786885246,18.098360655737704,81.85655737704919,211.78688524590163,22.979508196721312,53.03278688524591,68.74098360655739,28.631147540983605,1.0,15.37704918032787,39.26229508196721,182.29508196721312,86.90163934426229,5.586885245901638,10.8,0.9440983606557376,7.957370517928287,5.386454183266932,69.13824701195219,33.03466135458167,3.633466135458167,10.239043824701197,0.0,4.22390438247012,1.816733067729084,21.382470119521912,32.0,0.6573705179282868,76.45617529880477,51.79521912350599,67.55219123505975,44.17689243027888,72.18964143426294,44.68964143426295,132.96812749003985,1.5657370517928286,37.02788844621514,8.164940239043824,21.55776892430279,322.3545816733068,3.119521912350597,42.23107569721115,86.37051792828686,283.7808764940239,36.72589641434264,126.38645418326692,96.2131474103586,60.79282868525896,1.908366533864542,17.550597609561752,59.68525896414343,462.6852589641434,203.77290836653387,5.074900398406374,11.211952191235062,1.578844621513944
4,Patriots,2019,TE,1.4240170031880977,5.331185563593877,6.0,3.0,68.01126331811264,52.24048780487805,29.90%,0.75,0.227,TE,8.405594405594405,1.867132867132867,72.55000000000001,81.11888111888112,2.1503496503496504,2.339160839160839,0.0,9.31048951048951,1.6223776223776225,7.206293706293707,19.0,0.0,56.95,72.48391608391609,52.41048951048951,61.36713286713287,53.391258741258746,39.69230769230769,87.56993006993007,0.2832167832167832,28.265734265734267,16.78041958041958,36.6993006993007,234.51398601398603,2.867132867132867,13.79020979020979,79.21713286713288,189.0979020979021,46.61783216783217,112.86013986013988,103.2888111888112,19.034965034965037,0.472027972027972,11.581818181818182,29.234265734265733,149.96503496503496,69.3076923076923,5.379370629370629,11.833216783216782,0.847062937062937,11.255305466237942,1.4662379421221865,68.78971061093247,36.65594855305466,5.131832797427653,10.311897106109324,0.0,3.970418006430868,1.5144694533762058,25.459807073954984,19.0,0.7331189710610932,74.48199356913183,42.911254019292606,68.18006430868168,63.37684887459808,69.47459807073955,38.747588424437296,146.28295819935693,1.4662379421221865,36.491961414791,15.17942122186495,51.28938906752411,386.2090032154341,3.8842443729903535,35.30546623794212,80.8797427652733,317.9163987138264,46.79903536977492,182.7427652733119,98.59292604501609,53.167202572347264,2.1993569131832795,13.30225080385852,54.745980707395496,508.3987138263665,137.43729903536976,5.026688102893892,13.22508038585209,1.398006430868167
5,Vikings,2019,TE,2.784272051009564,141.59360931948208,6.0,8.0,62.26584463625155,67.62519863791147,15.40%,0.625,0.123,TE,6.639130434782608,1.201086956521739,80.53641304347826,74.11684782608695,4.635869565217392,6.706521739130435,0.0543478260869565,3.658152173913044,1.3804347826086956,18.66304347826087,18.0,0.6902173913043478,77.35108695652174,43.94673913043479,66.42934782608695,62.64728260869565,66.45326086956521,58.84619565217392,211.34782608695653,0.0,29.27717391304348,10.466847826086957,36.01086956521739,354.33152173913044,1.3641304347826086,35.244565217391305,84.70489130434783,300.6576086956522,28.7875,100.20652173913044,116.1554347826087,43.98913043478261,2.9130434782608696,11.80108695652174,40.83152173913044,311.55434782608694,145.34782608695653,4.025,8.733695652173912,1.0275543478260871,7.276898734177215,3.772151898734177,83.65917721518989,54.3746835443038,6.658227848101266,12.35759493670886,0.9430379746835444,2.1015822784810125,0.9841772151898734,30.332278481012654,18.0,0.0,88.01329113924051,80.35379746835443,63.28101265822784,58.434810126582285,65.59651898734177,46.60189873417722,279.6455696202532,0.9430379746835444,43.05696202531646,12.72753164556962,70.59493670886076,618.4018987341772,5.674050632911392,60.63924050632912,82.46962025316456,517.4905063291139,44.00221518987341,281.6392405063291,112.90411392405062,72.05379746835443,3.772151898734177,8.776582278481012,53.30379746835443,601.623417721519,232.68987341772151,3.912658227848101,10.083544303797469,1.174303797468354
6,Broncos,2019,TE,3.57066950053135,293.0708708774035,5.0,6.0,60.32710674157303,54.13324572930355,-9.00%,0.4375,-0.053,TE,7.959374999999999,4.575,68.61749999999999,35.030625,5.95,12.7875,1.4875,7.88125,2.4875,18.41875,10.0,0.74375,63.45,41.144375,52.73,37.698125,59.47687499999999,61.46062499999999,220.5875,2.34375,60.625,11.32375,38.88125,361.43125,6.9,32.28125,82.7825,301.3375,23.73375,92.7125,95.843125,47.45625,2.4875,11.71,40.7875,437.9,254.99375,7.03125,12.419375,1.313875,5.755504587155963,2.1559633027522938,69.96422018348623,15.412844036697248,0.7706422018348624,3.403669724770642,0.0,5.115596330275229,1.5871559633027523,10.678899082568808,10.0,0.0,68.96743119266056,75.13899082568807,60.04266055045871,60.58899082568807,58.6045871559633,50.23577981651376,130.90825688073394,1.4724770642201834,35.821100917431195,17.375229357798165,46.96330275229358,255.0,0.6743119266055045,23.472477064220183,77.03256880733944,193.8440366972477,30.29724770642202,76.57798165137615,78.51513761467889,33.34403669724771,1.201834862385321,15.185779816513762,37.41284403669725,226.6605504587156,127.68348623853213,5.543577981651376,9.55045871559633,1.161422018348624
7,Falcons,2019,TE,2.582359192348566,30.34904473135109,7.0,7.0,64.89791921664626,72.88832951945079,-5.00%,0.4375,-0.03,TE,7.497049180327869,6.3475409836065575,82.03311475409835,73.30426229508198,9.439344262295082,14.065573770491802,0.0,2.249508196721312,1.5573770491803278,32.97049180327869,2.0,0.0229508196721311,85.67639344262297,77.99704918032786,75.24196721311476,66.39409836065575,75.15409836065574,48.33245901639344,219.47213114754095,1.580327868852459,38.38688524590164,6.377377049180328,29.432786885245903,451.3508196721312,2.721311475409836,59.61311475409836,87.28622950819671,394.34098360655736,43.08688524590164,193.11803278688524,120.35639344262296,73.77049180327869,4.81311475409836,8.26,37.20327868852459,636.2786885245902,263.3016393442623,5.036721311475409,11.69049180327869,1.537573770491803,6.817768595041323,6.190082644628099,80.76033057851238,57.21404958677687,9.727272727272728,15.206611570247937,0.8842975206611571,4.869421487603306,1.9421487603305785,26.87603305785124,2.0,0.0,81.97768595041323,79.92479338842976,66.22644628099174,71.63388429752067,64.69628099173553,49.49669421487604,247.53719008264463,0.8842975206611571,33.85950413223141,11.876859504132232,54.42561983471074,524.7933884297521,3.6818181818181817,63.47933884297521,83.08512396694215,443.404958677686,34.85950413223141,191.26446280991732,106.99752066115704,77.0909090909091,3.566115702479338,13.35702479338843,74.06198347107438,590.4338842975206,207.3099173553719,3.3723140495867763,9.349173553719009,1.277809917355372
8,Bengals,2019,TE,5.770456960680128,171.8152692280327,7.0,5.0,59.38285714285715,58.046674727932285,-25.20%,0.125,-0.193,TE,7.919140624999999,0.2734375,70.373828125,50.98046875,8.359375,15.35546875,0.0,7.916015625,3.5546875,21.39453125,7.0,0.0,61.55,77.599609375,62.98515625,75.69140625,63.59140625,34.433984375,122.58984375,1.640625,27.66796875,10.214453125,34.55078125,385.2890625,0.1796875,39.109375,84.00078125,327.95703125,43.9203125,177.2890625,94.9875,55.96875,2.7578125,20.54765625,81.4453125,391.6328125,110.8671875,2.91796875,9.78515625,1.1612890625,8.25342019543974,2.553745928338762,70.87980456026058,52.98306188925081,6.03257328990228,11.133550488599347,0.7850162866449512,8.192182410423452,3.338762214983713,18.384364820846905,7.0,0.0,55.01921824104235,77.01433224755701,59.60521172638436,55.4400651465798,57.47198697068404,41.35960912052117,188.89576547231272,0.2019543973941368,28.495114006514655,9.397068403908795,44.20846905537459,448.52768729641696,3.95114006514658,36.56677524429968,83.19674267100976,371.3485342019544,44.35439739413681,199.21498371335505,102.61889250814332,52.87947882736157,2.547231270358306,10.143973941368078,40.25081433224756,377.7361563517915,167.57980456026058,4.453420195439739,10.449511400651463,1.1485016286644951
9,Colts,2019,TE,3.538788522848034,105.74605547312756,11.0,8.0,68.57776497695853,69.45623409669211,-5.00%,0.4375,0.009,TE,8.18416149068323,2.375776397515528,62.52111801242236,22.36024844720497,2.6832298136645965,9.031055900621118,0.4472049689440994,8.498136645962735,3.2732919254658386,24.15527950310559,14.0,0.5186335403726708,57.66366459627329,54.42546583850932,69.98478260869565,69.57453416149069,67.15310559006211,36.41832298136647,131.90372670807454,2.37888198757764,34.11180124223603,6.843788819875776,23.47826086956522,331.5496894409938,2.5217391304347827,36.43788819875776,86.96521739130435,287.11801242236027,48.057453416149066,151.38509316770185,84.91614906832298,58.52173913043478,3.4161490683229814,15.057453416149066,46.18633540372671,403.2267080745341,194.1770186335404,5.412732919254658,11.201242236024845,1.4656521739130437,9.513970588235294,2.142156862745098,66.45882352941176,53.17916666666666,10.622549019607844,21.54901960784314,0.7034313725490197,5.631372549019607,3.5808823529411766,29.875,14.0,0.1887254901960784,64.28480392156862,45.97573529411764,68.64338235294119,73.23112745098038,70.82941176470588,32.41225490196078,104.33578431372548,2.3308823529411766,43.68627450980392,4.903676470588235,10.786764705882351,390.5196078431373,4.147058823529412,52.044117647058826,89.06421568627451,354.07598039215685,51.84240196078432,218.36274509803923,110.97230392156864,83.02941176470588,9.779411764705882,14.598774509803922,64.63235294117646,583.1838235294117,195.6936274509804,3.758823529411765,11.05686274509804,1.6354656862745098
