Team,Abbr,EPA/play,Success Rate (SR),Dropback EPA,Dropback SR,Rush EPA,Rush SR,Net
32,ARI,0.079,46.80%,0.154,50.40%,-0.037,41.30%,0.141
31,ATL,-0.076,41.20%,-0.028,46.70%,-0.162,31.50%,-0.156
30,BAL,0.009,46.40%,0.041,47.60%,-0.045,44.30%,-0.069
29,BUF,0.091,47.40%,0.165,51.10%,-0.05,40.30%,0.202
28,CAR,-0.132,41.20%,-0.158,41.10%,-0.089,41.40%,-0.101
27,CHI,-0.087,41.40%,-0.077,43.60%,-0.105,37.70%,-0.119
26,CIN,0.063,44.60%,0.161,48.30%,-0.094,38.60%,0.077
25,CLE,0.014,43.70%,0.013,45.00%,0.015,42.00%,-0.005
24,DAL,0.084,46.80%,0.168,50.10%,-0.062,41.10%,0.173
23,DEN,0.021,44.70%,0.1,46.40%,-0.093,42.20%,0.016
22,DET,-0.061,42.10%,-0.022,45.70%,-0.123,36.50%,-0.163
21,GB,0.136,48.90%,0.222,51.10%,-0.003,45.30%,0.116
20,HOU,-0.134,37.60%,-0.086,43.00%,-0.213,29.00%,-0.211
19,IND,0.06,44.60%,0.055,45.70%,0.065,43.00%,0.06
18,JAX,-0.079,44.00%,-0.061,44.90%,-0.113,42.30%,-0.19
17,KC,0.14,51.10%,0.216,53.30%,-0.024,46.40%,0.102
16,LAR,0.082,46.60%,0.183,50.20%,-0.089,40.60%,0.107
15,LAC,0.088,47.40%,0.167,50.30%,-0.075,41.50%,0.044
14,LV,-0.001,45.20%,0.089,47.80%,-0.162,40.50%,-0.062
13,MIA,-0.046,41.80%,0.028,47.00%,-0.18,32.30%,-0.019
12,MIN,0.018,41.60%,0.102,45.30%,-0.111,35.90%,0.022
11,NE,0.07,48.60%,0.133,50.80%,-0.012,45.70%,0.133
10,NO,-0.063,41.10%,0.002,44.20%,-0.147,37.20%,0.038
9,NYG,-0.141,40.20%,-0.146,41.10%,-0.133,38.60%,-0.169
8,NYJ,-0.072,42.10%,-0.066,42.80%,-0.084,40.70%,-0.211
7,PHI,0.061,46.40%,0.091,45.20%,0.025,47.90%,0.052
6,PIT,-0.051,40.20%,-0.037,41.70%,-0.078,37.30%,-0.057
5,SEA,0.042,43.80%,0.053,45.20%,0.026,41.50%,0.018
4,SF,0.085,45.50%,0.174,47.70%,-0.024,42.80%,0.081
3,TB,0.143,49.90%,0.197,51.60%,0.024,46.30%,0.205
2,TEN,0.025,44.70%,0.092,50.60%,-0.054,37.80%,0.043
1,WAS,-0.036,44.80%,-0.018,45.50%,-0.062,43.80%,-0.116
