RK,TEAM,"TOTAL DVOA","LAST YEAR","WEI. DVOA",RK,W-L,"OFF. DVOA","OFF. RK","DEF. DVOA","DEF. RK","S.T. DVOA","S.T. RK"
1,NO,33.30%,2,34.30%,2,12-4,10.70%,7,-19.00%,2,3.60%,5
2,TB,31.50%,14,33.60%,3,11-5,19.80%,3,-14.60%,5,-2.90%,26
3,GB,25.90%,9,31.40%,4,13-3,29.10%,1,0.50%,17,-2.70%,25
4,BUF,23.80%,13,34.50%,1,13-3,15.60%,5,-2.20%,12,5.90%,4
5,SEA,20.10%,8,22.00%,5,12-4,13.70%,6,0.40%,16,6.80%,3
6,KC,19.50%,4,19.40%,6,14-2,23.90%,2,4.90%,22,0.50%,17
7,BAL,18.60%,1,15.70%,7,11-5,4.30%,11,-6.90%,9,7.40%,2
8,PIT,16.80%,19,13.50%,10,12-4,-4.70%,22,-20.20%,1,1.40%,14
9,LAR,15.40%,12,14.10%,8,10-6,4.40%,10,-17.00%,4,-5.90%,30
10,IND,14.30%,20,13.50%,9,11-5,2.80%,12,-9.50%,7,2.00%,10
11,SF,5.40%,5,4.30%,11,6-10,-2.40%,20,-9.90%,6,-2.10%,23
12,MIA,4.60%,32,3.50%,14,10-6,-2.10%,18,-3.30%,11,3.40%,6
13,ARI,3.60%,17,1.20%,16,8-8,-2.40%,19,-6.60%,10,-0.60%,19
14,TEN,2.90%,10,4.30%,12,11-5,18.40%,4,11.10%,29,-4.40%,28
15,CHI,-0.50%,18,1.80%,15,8-8,-10.60%,25,-7.50%,8,2.60%,8
16,WAS,-2.30%,30,3.60%,13,7-9,-21.80%,32,-18.30%,3,1.10%,15
17,ATL,-4.20%,15,-0.60%,17,4-12,-3.10%,21,-0.10%,14,-1.20%,21
18,CLE,-5.60%,24,-0.70%,18,11-5,5.40%,9,7.40%,25,-3.60%,27
19,LV,-6.30%,25,-10.00%,21,8-8,1.80%,14,9.60%,28,1.60%,13
20,MIN,-6.40%,7,-12.90%,24,7-9,6.40%,8,3.40%,18,-9.30%,31
21,CAR,-6.70%,29,-10.00%,20,5-11,-0.20%,17,7.40%,24,0.80%,16
22,NE,-7.10%,3,-7.70%,19,7-9,-7.30%,23,8.00%,26,8.10%,1
23,DAL,-11.10%,6,-10.90%,22,6-10,-8.50%,24,6.00%,23,3.40%,7
24,HOU,-12.50%,16,-15.60%,25,4-12,2.70%,13,14.30%,30,-1.00%,20
25,NYG,-13.80%,27,-11.80%,23,6-10,-11.80%,26,3.80%,19,1.80%,12
26,LAC,-14.70%,22,-17.40%,27,7-9,1.50%,15,4.40%,20,-11.80%,32
27,DET,-15.70%,21,-21.00%,29,5-11,0.00%,16,17.70%,32,1.90%,11
28,PHI,-18.80%,11,-16.50%,26,4-11-1,-16.90%,28,0.20%,15,-1.60%,22
29,DEN,-22.10%,23,-20.50%,28,5-11,-20.30%,30,-0.20%,13,-2.10%,23
30,CIN,-24.70%,31,-23.70%,30,4-11-1,-18.20%,29,9.10%,27,2.60%,9
31,JAX,-27.90%,28,-32.60%,32,1-15,-12.60%,27,15.20%,31,-0.10%,18
32,NYJ,-30.50%,26,-30.00%,31,2-14,-20.50%,31,4.80%,21,-5.30%,29
