player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Ross Dwelley,20994,TE,SF,16,56.4,0,28,56.1,51.8,51.9,0,2,19,11.7,13.3,89.5,0,3,1,203,0,0,0,360,24,181,0,0,179,201
Tyler Conklin,47124,TE,MIN,15,74.1,1,18,53.7,69.5,51.2,1,3,33,32.0,32.4,93.9,3,4,0,203,0,0,0,274,34,105,0,0,169,250
Jacob Hollister,12051,TE,SEA,11,39.2,0,29,67.3,62.6,65.6,1,4,34,10.4,10.3,89.7,1,6,1,202,0,0,0,515,36,349,0,0,166,252
Alex Erickson,11107,WR,CIN,16,32.7,0,7,67.1,70.5,62.3,0,0,3,0.8,0.7,100.0,0,0,0,201,0,0,0,615,3,412,0,0,198,20
Julio Jones,6158,WR,ATL,15,24.6,0,2,90.6,,80.4,0,0,0,0.0,0.0,,2,0,0,200,0,0,0,812,0,610,0,1,200,7
Darius Slayton,25578,WR,NYG,14,28.2,0,21,70.3,,57.6,0,0,0,0.0,0.0,,2,0,0,198,0,0,0,701,0,503,0,0,198,11
Hunter Henry,10669,TE,LAC,12,32.0,0,27,73.2,57.3,56.8,0,1,13,3.2,3.5,96.2,5,1,0,197,0,0,0,615,15,433,0,0,182,275
Charles Clay,6326,TE,ARZ,15,49.5,0,1,64.7,54.1,64.3,0,5,24,11.5,11.5,89.6,1,5,0,196,0,0,2,396,26,226,0,1,170,242
Matthew Stafford,4924,QB,DET,8,36.0,0,11,82.6,,60.0,0,0,0,0.0,0.0,,3,0,0,195,0,0,0,542,0,336,0,0,195,0
Diontae Johnson,33441,WR,PIT,16,29.9,0,25,67.9,,65.3,0,0,0,0.0,0.0,,7,0,0,195,0,0,0,652,0,453,0,0,195,0
Isaiah McKenzie,11927,WR,BUF,15,43.0,0,4,68.8,,66.8,0,0,0,0.0,0.0,,1,0,0,194,0,0,0,451,0,247,0,0,194,0
James Hurst,9001,T,BLT,12,100.0,0,3,68.0,78.0,59.4,1,2,71,100.0,100.0,96.5,1,4,1,194,0,0,159,194,74,74,16,0,120,18
Kenny Stills,7926,WR,HST,13,32.9,1,13,72.2,71.8,58.6,0,0,2,0.5,0.5,100.0,1,0,0,193,0,0,0,587,2,396,0,0,191,0
Brandon Parker,34693,T,OAK,9,99.5,0,23,39.3,39.0,47.2,2,6,110,99.1,99.1,93.6,2,11,3,192,0,0,0,193,116,117,0,177,76,16
Anthony Miller,48160,WR,CHI,16,28.0,2,6,66.0,,63.3,0,0,0,0.0,0.0,,5,0,0,192,0,0,0,686,0,493,0,0,192,21
Trevon Wesco,42018,TE,NYJ,16,88.3,0,22,64.4,29.4,64.0,1,2,35,62.5,61.3,90.0,0,5,2,189,0,0,0,214,38,62,0,0,151,152
Josh Reynolds,11872,WR,LA,16,39.4,0,26,65.9,75.6,57.0,0,0,4,1.5,1.4,100.0,1,0,0,189,0,0,0,480,4,290,0,0,185,5
Alex Redmond,11113,G,CIN,3,100.0,0,7,50.6,47.6,54.2,2,3,131,100.0,100.0,96.6,1,7,2,189,0,0,0,189,140,140,189,0,49,0
Ben Koyack,9662,TE,JAX,11,73.0,1,15,55.7,78.7,59.6,0,2,34,35.4,34.6,97.1,1,2,0,189,0,0,0,259,37,107,0,0,152,229
Alshon Jeffery,7048,WR,PHI,10,38.1,0,24,74.8,,57.5,0,0,0,0.0,0.0,,1,0,0,188,0,0,0,493,0,305,0,0,188,2
James Washington,47792,WR,PIT,15,29.7,0,25,69.3,73.1,70.5,0,0,2,0.5,0.4,100.0,3,0,0,188,0,0,0,634,2,448,0,0,186,22
Adam Thielen,8288,WR,MIN,10,43.1,1,18,75.9,,62.9,0,0,0,0.0,0.0,,3,0,0,188,0,0,0,436,0,244,0,0,188,9
Daniel Brown,10144,TE,NYJ,16,62.8,0,22,49.2,62.2,45.9,0,0,30,22.9,22.0,93.3,1,2,2,186,0,0,1,296,31,141,0,0,155,219
Tajae Sharpe,10774,WR,TEN,15,42.9,0,31,74.2,71.3,56.9,0,0,2,0.9,0.8,100.0,1,0,0,185,0,0,0,431,2,248,0,0,183,1
Kelechi Osemele,7062,G,NYJ,3,100.0,0,22,56.2,57.7,53.8,1,3,110,100.0,100.0,97.3,1,5,1,185,0,185,0,185,121,121,0,0,64,0
Javon Wims,41406,WR,CHI,16,37.8,0,6,52.0,70.4,67.6,0,0,1,0.3,0.7,100.0,3,0,0,184,0,0,0,487,2,305,0,0,182,8
Rhett Ellison,7128,TE,NYG,10,56.8,0,21,65.6,72.6,65.4,0,2,38,23.0,23.5,97.4,0,2,0,184,0,0,0,324,43,183,0,0,141,289
Marquez Valdes-Scantling,47809,WR,GB,16,33.8,0,12,57.0,,61.4,0,0,0,0.0,0.0,,1,0,0,183,0,0,0,542,0,357,0,0,183,2
Kaden Smith,40973,TE,NYG,9,41.7,0,21,54.5,56.2,52.0,0,1,22,8.4,8.7,97.7,2,1,0,181,0,0,2,434,24,277,0,1,157,344
Sterling Shepard,10674,WR,NYG,10,30.0,1,21,75.8,67.1,75.2,0,0,1,0.3,0.2,100.0,2,0,0,181,0,0,0,603,1,417,0,0,180,15
Jimmy Graham,5619,TE,GB,16,29.1,0,12,55.0,70.9,58.3,0,0,21,5.0,4.5,95.2,3,1,1,181,0,0,0,622,21,462,0,0,160,305
Geronimo Allison,11141,WR,GB,16,28.2,1,12,54.1,48.3,78.9,0,0,1,0.2,0.2,100.0,3,0,0,180,0,0,0,638,1,458,0,0,179,3
T.Y. Hilton,7092,WR,IND,10,37.7,2,14,75.1,,63.6,0,0,0,0.0,0.0,,4,0,0,180,0,0,0,478,0,298,0,0,180,0
Mason Rudolph,46569,QB,PIT,10,33.8,0,25,53.5,,61.1,0,0,0,0.0,0.0,,3,0,0,177,0,0,0,523,0,335,0,0,177,0
Gerald Everett,11799,TE,LA,12,40.0,0,26,76.0,44.3,58.8,1,1,34,12.1,11.4,94.1,1,3,1,176,0,0,0,440,34,298,0,0,142,281
Andre Patton,12043,WR,LAC,12,34.3,0,27,45.7,65.9,67.1,0,0,1,0.3,0.3,100.0,1,0,0,174,0,0,0,507,1,334,0,0,173,3
Spencer Long,8713,G,BUF,7,100.0,0,4,56.8,66.4,51.6,1,6,88,100.0,100.0,94.9,0,8,1,173,0,4,0,173,93,93,169,0,80,0
Tyreek Hill,10799,WR,KC,12,30.6,0,16,85.5,,55.2,0,0,0,0.0,0.0,,1,0,0,172,0,0,0,563,0,384,0,0,172,10
Seth DeValve,10772,TE,JAX,12,52.6,0,15,57.9,82.4,46.9,0,1,17,10.4,9.9,97.1,0,1,0,171,0,0,0,325,17,171,0,0,154,154
Breshad Perriman,9459,WR,TB,14,26.5,0,30,72.8,,57.2,0,0,0,0.0,0.0,,2,0,0,171,0,0,0,645,0,472,0,0,171,7
Kelvin Harmon,47931,WR,WAS,16,35.5,0,32,63.9,70.0,59.8,0,0,4,1.4,1.3,100.0,2,0,0,171,0,0,0,482,4,315,0,0,167,25
Mack Hollins,11873,WR,MIA,15,41.5,2,17,49.5,67.6,54.0,0,0,2,0.9,0.8,100.0,5,0,0,171,0,0,0,412,2,243,0,0,169,0
Golden Tate,5585,WR,NYG,11,27.2,0,21,74.0,,66.3,0,0,0,0.0,0.0,,1,0,0,170,0,0,0,624,0,453,0,0,170,5
Johnny Mundt,12206,TE,LA,11,79.8,0,26,63.8,77.1,72.4,2,2,43,51.8,50.6,95.3,0,4,0,170,0,0,0,213,44,87,0,0,126,150
Nick O'Leary,9627,TE,JAX,12,52.8,0,15,51.6,87.5,52.4,0,0,41,22.9,21.8,100.0,0,0,0,169,0,0,0,320,42,193,0,0,127,185
Ted Larsen,5728,G,CHI,7,100.0,0,6,55.4,43.3,58.4,1,4,96,100.0,100.0,96.4,0,6,1,168,0,0,0,168,104,104,159,0,64,9
Hale Hentges,47150,TE,WAS,11,73.0,0,32,63.8,60.6,60.1,0,0,11,15.3,17.3,90.9,0,1,1,168,0,0,0,230,13,75,0,0,155,197
Phillip Dorsett,9462,WR,NE,14,30.0,0,19,66.9,65.7,60.0,0,0,1,0.3,0.3,100.0,0,0,0,167,0,0,0,557,1,388,0,0,166,1
