player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Quincy Enunwa,8843,WR,NYJ,16,9.5,13,58.6,33.3,3,9,1,17.1,12,37,22,0,31.8,80.5,70.0,76.7,68.9,4.9,28,4,69,0.4,2,571,1,58,94.6,540,74.6,426,83.6,99,4,19.4,111,857,360,6.2,14.8,1.59
Cole Beasley,7330,WR,DAL,17,6.3,4,81.4,85.7,6,7,0,2.5,2,52,9,0,89.5,84.2,85.9,61.6,86.1,0.4,2,1,47,0.2,1,462,0,79,94.6,437,84.0,388,117.3,97,5,15.2,70,878,411,5.2,11.1,2.01
Willie Snead IV,8999,WR,NO,15,7.6,10,75.0,100.0,2,2,0,6.5,5,50,20,2,71.0,29.5,79.6,84.7,76.7,2.1,11,3,49,0.6,3,518,1,72,94.0,487,76.4,396,104.3,96,4,19.9,103,895,387,5.4,12.4,1.84
Delanie Walker,3120,TE,TEN,15,10.2,11,67.7,0.0,0,3,0,5.8,4,35,31,1,73.5,46.9,76.0,76.4,77.1,22.9,111,3,47,4.8,23,484,7,65,88.2,427,56.4,273,104.5,96,7,19.6,95,800,263,4.0,12.3,1.87
Cameron Meredith,10008,WR,CHI,14,9.9,10,69.5,100.0,3,3,0,10.8,8,43,6,3,50.5,22.6,73.7,,73.0,0.0,0,3,50,0.0,0,456,3,66,93.9,428,51.5,235,99.8,95,4,48.2,220,888,294,4.5,13.5,2.07
A.J. Green,6156,WR,CIN,10,13.1,7,69.5,80.0,8,10,1,5.7,4,41,7,0,73.5,81.0,90.0,,90.1,0.6,2,0,54,0.0,0,361,4,66,93.4,337,21.1,76,116.3,95,4,78.4,283,964,269,4.1,14.6,2.86
James White,8765,HB,NE,19,1.8,15,82.1,75.0,3,4,0,4.9,4,33,19,0,75.0,87.1,72.7,76.5,86.1,0.4,2,0,61,12.0,57,476,1,78,80.7,384,4.8,23,121.4,95,7,19.1,91,688,612,7.8,8.8,1.79
Le'Veon Bell,7829,HB,PIT,15,-0.1,14,83.2,100.0,1,1,1,7.1,6,31,25,1,68.2,65.3,78.2,86.7,66.5,0.4,2,0,32,13.3,73,547,6,79,80.3,439,11.5,63,100.8,95,2,10.6,58,619,696,8.8,7.8,1.41
Anquan Boldin,1369,WR,DET,17,6.3,7,73.4,100.0,6,6,0,6.8,5,42,11,0,69.4,81.4,64.9,74.4,66.3,0.3,2,2,35,0.6,4,626,8,69,93.0,582,82.4,516,109.7,94,8,17.1,107,608,248,3.6,8.8,1.04
Alshon Jeffery,7048,WR,CHI,12,14.5,1,56.5,75.0,6,8,1,8.8,5,41,6,0,66.3,79.6,74.5,,73.8,0.0,0,7,54,0.0,0,462,4,52,95.0,439,17.5,81,61.9,92,2,82.5,381,821,192,3.7,15.8,1.87
