player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
A.J. Green,6156,WR,CIN,17,14.1,14,56.1,,0,0,0,9.8,11,67,7,1,58.9,58.4,81.4,,80.7,0.0,0,12,82,0.0,0,703,4,101,95.9,674,19.1,134,75.2,180,11,80.9,569,1460,399,4.0,14.5,2.17
Andre Johnson,1319,WR,HST,16,11.7,8,61.9,,0,0,0,8.4,10,69,13,0,64.8,84.0,89.4,,88.7,0.3,2,8,62,0.0,0,635,0,109,96.4,612,23.6,150,77.5,176,5,76.1,483,1407,414,3.8,12.9,2.3
Demaryius Thomas,5547,WR,DEN,19,10.4,14,68.2,,0,0,0,7.7,10,79,10,2,62.3,42.1,84.2,,82.2,0.0,0,5,78,0.0,0,821,1,120,94.0,772,13.8,113,120.4,176,17,86.1,707,1736,831,6.9,14.5,2.25
Pierre Garcon,4519,WR,WAS,16,9.3,15,64.9,,0,0,0,8.9,11,60,32,1,58.2,60.9,82.2,,81.2,0.0,0,8,53,0.0,0,632,4,113,97.0,613,18.8,119,78.9,174,5,81.2,513,1346,675,6.0,11.9,2.2
Julian Edelman,5156,WR,NE,18,8.5,10,72.0,,0,0,1,9.7,13,62,19,0,58.2,58.1,81.2,68.9,80.8,0.7,5,1,44,0.4,3,703,4,121,94.2,662,49.9,351,104.0,168,7,49.2,346,1229,545,4.5,10.2,1.86
Antonio Brown,5718,WR,PIT,16,10.8,16,69.2,,0,0,1,6.8,8,69,25,0,71.0,90.0,89.1,,89.8,0.0,0,3,56,0.0,0,630,4,110,95.9,604,12.1,76,107.9,159,8,87.5,551,1499,658,6.0,13.6,2.48
Brandon Marshall,3064,WR,CHI,16,12.7,13,63.3,,0,0,1,13.0,15,70,6,0,35.3,87.4,91.6,55.9,90.0,0.5,3,4,44,0.3,2,641,3,100,94.5,606,44.5,285,103.7,158,12,54.6,350,1295,283,2.8,13.0,2.14
T.Y. Hilton,7092,WR,IND,18,12.4,12,62.7,,0,0,0,6.6,7,60,14,0,70.4,87.2,82.0,,82.0,0.0,0,4,73,0.0,0,659,2,99,94.2,621,48.7,321,95.7,158,7,51.3,338,1410,475,4.8,14.2,2.27
Dez Bryant,5549,WR,DAL,16,12.3,15,59.6,,0,0,1,10.6,11,68,9,3,49.6,25.5,82.2,,83.3,0.0,0,3,79,0.0,0,647,5,93,94.4,611,11.3,73,104.9,156,13,88.7,574,1249,526,5.7,13.4,2.04
Vincent Jackson,2278,WR,TB,16,13.3,9,50.0,,0,0,0,13.3,12,60,30,1,31.6,56.0,79.1,,79.5,0.5,3,10,60,0.0,0,591,5,78,93.2,551,37.6,222,64.7,156,7,61.9,366,1224,330,4.2,15.7,2.22
Eric Decker,5611,WR,DEN,19,11.5,8,62.5,,0,0,1,8.7,9,71,10,2,65.3,43.8,77.2,66.2,74.1,0.0,0,4,61,0.1,1,810,5,95,93.8,760,33.6,272,105.7,152,11,66.4,538,1399,438,4.6,14.7,1.84
Anquan Boldin,1369,WR,SF,19,10.3,13,67.3,,0,0,1,7.3,8,73,28,0,67.3,83.9,90.5,,90.5,0.3,2,1,63,0.0,0,585,7,101,95.0,556,47.2,276,112.2,150,8,52.0,304,1406,502,5.0,13.9,2.53
Josh Gordon,7618,WR,CLV,14,14.3,10,58.4,,0,0,0,10.3,10,64,8,0,40.9,83.1,82.7,,81.0,0.0,0,2,95,0.0,0,632,2,87,97.2,614,12.2,77,111.3,149,9,87.8,555,1646,633,7.3,18.9,2.68
Calvin Johnson,3618,WR,DET,14,15.0,13,56.8,,0,0,1,10.6,10,69,11,1,53.7,53.2,89.9,,89.5,0.0,0,9,87,0.0,0,565,2,84,96.5,545,26.2,148,93.1,148,12,73.8,417,1492,475,5.7,17.8,2.74
