player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Kevin Zeitler,7032,G,BLT,17,100.0,0,3,75.1,79.7,68.7,0,16,724,100.0,100.0,98.8,7,17,1,1221,0,0,0,1221,771,771,1221,0,450,0
Alejandro Villanueva,9091,T,BLT,17,100.0,1,3,65.4,58.7,65.9,9,36,717,100.0,100.0,95.6,11,54,9,1205,0,0,1130,1205,764,764,0,68,441,7
Tyler Biadasz,41178,C,DAL,17,100.0,0,9,64.8,67.7,69.4,4,17,704,100.0,100.0,98.5,11,21,0,1202,1202,0,0,1202,764,764,0,0,438,0
Trey Smith,62960,G,KC,17,100.0,1,16,72.3,63.6,75.9,8,37,752,100.0,100.0,96.5,10,49,4,1194,0,0,0,1194,805,805,1194,0,389,0
David Quessenberry,7957,T,TEN,17,100.0,1,31,80.7,61.6,89.3,11,21,599,100.0,100.0,95.5,2,43,11,1184,0,0,0,1184,635,635,1,1181,549,2
Creed Humphrey,59996,C,KC,17,100.0,1,16,91.4,80.4,92.5,1,8,752,100.0,100.0,99.3,6,10,1,1184,1184,0,0,1184,805,805,0,0,379,0
Joe Thuney,10712,G,KC,17,100.0,2,16,80.5,88.8,71.3,2,13,752,100.0,100.0,98.9,8,16,1,1184,0,1129,55,1184,805,805,0,0,379,0
Tristan Wirfs,64818,T,TB,17,100.0,1,30,84.6,84.2,74.6,2,10,762,100.0,100.0,99.0,3,14,2,1182,0,0,0,1182,796,796,0,1182,386,0
Alex Cappa,66578,G,TB,17,100.0,0,30,73.4,69.6,71.2,7,20,762,100.0,100.0,97.6,1,32,5,1182,0,0,0,1182,796,796,1182,0,386,0
Daryl Williams,9535,G,BUF,17,100.0,0,4,67.5,72.4,60.3,9,27,731,100.0,100.0,97.0,6,40,4,1172,0,0,1,1172,778,778,600,571,394,0
Mitch Morse,9482,C,BUF,17,100.0,1,4,63.4,69.9,60.0,2,21,731,100.0,100.0,98.2,5,25,2,1167,1167,0,0,1167,779,779,0,0,388,0
Ben Jones,7099,C,TEN,17,100.0,1,31,77.8,64.8,81.5,7,18,595,100.0,100.0,97.7,5,26,1,1160,1160,0,0,1160,631,631,0,0,529,0
Robert Hunt,46139,G,MIA,17,100.0,1,17,67.4,68.3,65.6,3,26,688,100.0,100.0,97.6,8,31,2,1153,0,0,0,1153,740,740,1153,0,413,0
Ryan Jensen,7985,C,TB,17,100.0,2,30,69.9,61.7,76.1,5,14,754,100.0,100.0,98.5,5,21,2,1151,1151,0,0,1151,786,786,0,0,365,0
Taylor Moton,11819,T,CAR,17,100.0,0,5,77.5,79.4,70.7,4,22,679,100.0,100.0,97.9,5,27,1,1149,0,0,71,1149,713,713,0,1078,436,0
Donovan Smith,9467,T,TB,17,100.0,2,30,83.3,84.7,70.0,4,25,752,100.0,100.0,97.9,8,30,1,1147,0,0,1147,1147,784,784,0,0,363,0
Brian O'Neill,46854,T,MIN,17,100.0,0,18,73.4,77.5,66.1,2,19,652,100.0,100.0,98.2,5,22,1,1140,0,0,0,1140,695,695,0,1138,445,2
Ezra Cleveland,41973,G,MIN,17,100.0,0,18,68.6,55.5,71.9,6,27,652,100.0,100.0,97.3,3,34,1,1140,0,1140,0,1140,695,695,0,0,445,0
Kolton Miller,47013,T,LV,17,100.0,2,23,84.0,84.4,76.3,5,25,686,100.0,100.0,97.2,5,34,4,1139,0,0,1139,1139,730,730,0,0,409,0
Andre James,47058,C,LV,17,100.0,0,23,64.1,67.2,61.7,3,12,686,100.0,100.0,98.6,7,17,2,1139,1139,0,0,1139,730,730,0,0,409,0
Orlando Brown Jr.,46227,T,KC,16,100.0,3,16,75.4,76.1,67.0,12,20,715,100.0,100.0,97.2,7,36,4,1127,0,0,1127,1127,765,765,0,0,362,0
Bradley Bozeman,27934,C,BLT,16,100.0,0,3,73.6,73.8,71.1,3,15,673,100.0,100.0,98.2,1,21,3,1125,1125,0,0,1125,718,718,0,0,407,0
James Daniels,45576,G,CHI,17,100.0,2,6,71.8,68.3,72.9,4,33,658,100.0,100.0,96.7,9,40,3,1121,0,0,0,1121,701,701,1121,0,420,0
Charles Leno Jr.,8880,T,WAS,17,100.0,0,32,81.2,87.3,63.5,7,23,633,100.0,100.0,96.7,1,36,6,1121,0,0,1115,1121,678,678,0,6,443,0
Sam Mustipher,13026,C,CHI,17,100.0,0,6,51.0,61.7,46.4,3,24,658,100.0,100.0,97.8,5,28,1,1121,1121,0,0,1121,701,701,0,0,420,0
Cody Whitehair,10690,G,CHI,17,100.0,1,6,66.2,61.3,66.3,5,24,658,100.0,100.0,97.2,5,33,4,1121,0,1121,0,1121,701,701,0,0,420,0
Matt Feiler,9289,G,LAC,16,100.0,0,27,74.0,62.2,78.5,7,13,689,100.0,100.0,97.8,6,25,5,1119,0,1118,1,1119,737,737,0,0,382,0
Rashawn Slater,59971,T,LAC,16,100.0,0,27,83.6,80.3,80.2,6,16,698,100.0,100.0,97.9,6,26,4,1116,0,1,1110,1116,752,752,0,0,364,5
John Simpson,41715,G,LV,17,100.0,1,23,52.6,62.7,46.5,5,29,666,100.0,100.0,97.0,10,37,3,1112,0,1112,0,1112,710,710,0,0,402,0
Liam Eichenberg,41851,T,MIA,17,100.0,3,17,50.8,46.9,57.9,8,45,655,100.0,100.0,94.6,10,62,9,1108,0,0,943,1108,704,704,0,164,404,1
