player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Ray Lewis,167,LB,BLT,14,14,1,69.8,0,2,3,0,0,66.5,82.8,86.8,70.5,89.0,89.7,5,6,0,1,31,7.1,8,4,2,81.4,30,2,0,892,5,440,916,8,0,0,8,0,7,908,88,388,4,59,90,3,43,13,0,319,160,10.6
Brian Dawkins,181,S,DEN,14,5,2,56.5,0,1,10,0,0,58.0,69.8,53.1,75.8,86.0,76.8,1,9,0,0,50,9.4,5,2,1,114.8,13,3,0,299,17,417,773,0,0,0,0,0,416,773,51,305,41,21,43,3,23,13,2,202,93,15.5
James Farrior,234,LB,PIT,15,12,0,82.1,0,0,25,0,0,54.5,54.5,60.8,53.6,60.1,63.0,1,12,0,0,73,10.8,10,1,2,117.2,32,2,0,738,0,330,767,20,0,0,20,0,4,747,127,310,5,43,71,0,39,15,1,393,193,12.3
Ronde Barber,261,CB,TB,16,9,0,64.8,0,1,30,1,0,43.0,44.6,90.5,40.3,58.4,37.9,0,1,0,3,42,21.0,21,4,5,86.8,46,1,1,363,300,500,968,0,0,0,0,0,2,968,41,427,303,27,70,5,71,2,3,583,340,12.7
Jason Taylor,264,ED,MIA,16,4,2,50.0,0,1,17,0,0,53.0,57.2,49.3,63.2,51.5,73.5,12,16,0,0,15,6.3,1,0,2,69.3,4,7,0,92,0,53,514,416,0,0,86,330,2,98,345,116,4,11,11,1,8,35,0,49,27,12.3
Al Harris,282,CB,SL,9,2,0,58.6,0,0,26,1,0,75.5,75.1,86.1,49.0,66.3,73.7,0,0,0,0,93,5.6,1,4,0,104.4,17,0,0,30,322,230,352,0,0,0,0,0,0,352,2,120,0,3,15,0,29,0,1,292,133,17.2
Charles Woodson,330,CB,GB,16,7,2,63.1,1,1,12,1,0,69.2,66.5,24.8,49.8,68.7,35.4,0,10,1,7,62,19.8,18,8,9,66.1,53,2,0,194,306,586,1050,0,0,0,0,0,55,1050,91,373,495,29,66,2,84,12,4,611,245,11.5
Keith Brooking,336,LB,DAL,16,13,0,66.7,0,0,9,0,0,49.2,48.8,84.3,60.6,50.9,67.1,1,2,0,0,39,9.6,5,2,0,95.0,20,0,0,359,3,187,395,31,0,0,31,0,0,364,29,179,2,15,34,2,30,3,0,269,202,13.5
Takeo Spikes,337,LB,SD,16,27,1,76.6,0,0,27,0,0,61.9,62.6,87.4,56.8,61.9,82.5,1,4,0,1,34,6.1,7,2,2,116.9,36,1,0,897,0,467,918,4,0,0,4,0,1,914,51,400,16,40,80,5,47,6,4,355,229,9.9
Vonnie Holliday,340,DI,ARZ,16,1,1,,0,0,1,0,0,67.2,73.6,79.2,60.6,68.4,76.0,3,4,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,152,152,13,6,0,132,0,0,82,70,0,11,14,4,0,7,0,0,0,
