player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Julius Peppers,1010,ED,CAR,17,3,0,,0,2,5,2,0,61.6,74.2,79.0,63.9,79.8,61.6,5,16,0,0,,14.3,3,0,1,0.0,0,13,0,1,0,7,531,530,1,36,461,32,0,1,369,155,0,26,15,4,0,34,0,0,0,
Dwight Freeney,1019,ED,DET,9,0,1,,0,0,11,0,0,60.1,68.0,88.0,69.9,37.1,36.7,2,14,0,0,,100.0,1,0,0,0.0,0,3,0,0,0,2,227,227,1,4,219,3,0,0,198,27,0,3,0,0,0,19,0,0,0,
James Harrison,1251,ED,NE,9,2,0,80.0,0,1,19,0,0,59.3,66.0,82.4,80.3,44.0,39.2,4,9,0,0,24,26.7,4,0,0,95.0,4,4,0,5,2,39,193,180,0,0,180,0,0,13,83,71,6,7,9,0,5,17,0,34,25,8.5
Terence Newman,1321,CB,MIN,18,9,0,57.4,0,0,18,0,0,63.9,66.6,84.4,58.1,73.0,66.3,0,2,0,1,53,9.1,4,3,1,92.2,35,0,0,68,53,405,611,11,0,0,11,0,14,600,14,192,465,17,31,3,61,2,4,400,165,11.4
Terrell Suggs,1326,ED,BLT,16,7,3,100.0,1,4,3,0,0,90.0,81.0,43.6,73.5,77.6,67.8,8,57,0,0,8,14.3,6,1,5,95.8,2,12,0,3,0,14,845,842,0,0,841,1,0,3,525,306,0,33,29,4,2,77,0,14,18,7.0
DeAngelo Hall,1729,S,WAS,4,2,0,71.4,0,0,32,0,0,54.5,46.4,80.5,,32.0,36.0,0,0,0,0,24,29.4,5,2,0,144.0,5,0,0,16,5,110,158,1,0,0,1,0,127,157,0,48,9,1,10,0,7,0,1,72,19,14.4
Karlos Dansby,1754,LB,ARZ,16,18,0,73.4,0,0,1,1,0,58.2,63.0,64.7,66.3,65.8,59.6,2,8,0,1,35,12.0,13,2,1,93.2,47,1,0,843,4,491,921,34,0,0,34,0,2,887,69,361,37,48,77,5,64,11,2,400,259,8.5
Mike Adams,1972,S,CAR,17,6,0,66.7,0,2,5,2,0,80.3,75.9,69.4,58.5,65.5,73.7,2,3,0,3,33,10.3,8,7,3,93.3,34,0,0,268,22,642,1022,108,0,0,108,0,483,914,36,344,141,24,64,2,51,5,5,336,195,9.9
Adam Jones,2223,CB,CIN,9,0,0,50.0,1,0,7,0,0,56.9,55.9,0.0,,65.7,65.3,0,0,0,1,20,12.0,3,4,5,60.7,15,0,0,13,281,188,299,2,0,0,2,0,0,297,0,111,3,3,22,0,30,0,1,142,27,9.5
Thomas Davis Sr.,2231,LB,CAR,16,11,0,79.3,1,0,5,1,0,61.6,64.1,27.3,66.9,66.0,73.2,3,17,0,0,24,9.9,8,0,4,125.6,46,2,0,617,8,429,849,147,0,0,147,0,0,702,125,295,77,37,62,4,58,22,5,421,260,9.2
