player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Robbie Gould,2607,K,SF,17,0,2,2,100.0,11,7,63.6,28,69.7,0,0,,51,50,98.0,0,5,5,100.0,32,27,84.4,14,13,92.9
Matt Prater,3471,K,ARZ,13,0,6,5,83.3,8,6,75.0,1,74.0,0,0,,18,17,94.4,0,10,10,100.0,25,22,88.0,1,1,100.0
Nick Folk,3794,K,NE,17,0,5,4,80.0,14,10,71.4,19,59.0,1,1,100.0,35,32,91.4,0,8,8,100.0,37,32,86.5,9,9,100.0
Mason Crosby,3809,K,GB,17,0,4,1,25.0,7,6,85.7,12,72.4,0,0,,39,37,94.9,0,8,8,100.0,29,25,86.2,10,10,100.0
Ryan Succop,5180,K,TB,17,0,7,2,28.6,12,12,100.0,30,69.3,0,0,,25,24,96.0,0,8,7,87.5,38,31,81.6,11,10,90.9
Graham Gano,5443,K,NYG,17,0,9,8,88.9,11,10,90.9,21,90.4,0,0,,34,32,94.1,0,10,9,90.0,32,29,90.6,2,2,100.0
Randy Bullock,7154,K,TEN,15,0,2,1,50.0,8,6,75.0,31,67.3,0,0,,28,28,100.0,0,5,5,100.0,20,17,85.0,5,5,100.0
Greg Zuerlein,7163,K,NYJ,17,0,11,6,54.5,11,9,81.8,22,71.3,0,0,,29,28,96.6,0,10,10,100.0,37,30,81.1,5,5,100.0
Justin Tucker,7604,K,BLT,17,0,14,9,64.3,5,4,80.0,3,90.4,0,0,,32,31,96.9,0,11,11,100.0,43,37,86.0,13,13,100.0
Dustin Hopkins,7958,K,LAC,5,0,0,0,,2,1,50.0,27,70.2,0,0,,12,12,100.0,0,6,6,100.0,10,9,90.0,2,2,100.0
Brandon McManus,8437,K,DEN,17,0,13,8,61.5,10,10,100.0,10,64.7,0,0,,27,25,92.6,0,6,4,66.7,36,28,77.8,7,6,85.7
Brett Maher,8585,K,DAL,17,1,11,9,81.8,7,6,85.7,9,90.2,0,0,,53,50,94.3,1,5,5,100.0,32,29,90.6,9,9,100.0
Cairo Santos,8932,K,CHI,16,0,5,4,80.0,7,6,85.7,6,48.5,0,0,,32,27,84.4,0,7,7,100.0,23,21,91.3,4,4,100.0
Chris Boswell,8990,K,PIT,12,0,9,7,77.8,10,5,50.0,25,66.1,0,0,,18,18,100.0,0,5,4,80.0,28,20,71.4,4,4,100.0
Josh Lambo,10133,K,TEN,1,0,0,0,,0,0,,31,47.2,0,0,,4,3,75.0,0,0,0,,0,0,,0,0,
Jason Myers,10207,K,SEA,17,0,6,6,100.0,6,4,66.7,29,78.0,0,0,,42,41,97.6,0,16,15,93.8,37,34,91.9,9,9,100.0
Wil Lutz,11096,K,NO,17,0,6,4,66.7,8,4,50.0,20,70.4,0,0,,33,33,100.0,0,11,9,81.8,31,23,74.2,6,6,100.0
Ka'imi Fairbairn,11161,K,HST,17,0,6,6,100.0,10,9,90.0,13,84.3,0,0,,24,24,100.0,0,8,7,87.5,31,29,93.5,7,7,100.0
Taylor Bertolet,11182,K,LAC,2,0,0,0,,0,0,,27,66.6,0,0,,6,6,100.0,0,0,0,,3,3,100.0,3,3,100.0
Jake Elliott,11908,K,PHI,16,0,6,5,83.3,2,1,50.0,24,73.5,0,0,,53,51,96.2,0,9,8,88.9,23,20,87.0,6,6,100.0
Harrison Butker,11988,K,KC,13,0,7,3,42.9,5,4,80.0,16,55.4,0,0,,41,38,92.7,0,5,4,80.0,24,18,75.0,7,7,100.0
Younghoe Koo,12042,K,ATL,17,0,11,7,63.6,10,9,90.0,2,81.6,0,0,,35,33,94.3,0,7,7,100.0,37,32,86.5,9,9,100.0
Tristan Vizcaino,13076,K,NE,1,0,0,0,,1,1,100.0,19,67.9,0,0,,3,3,100.0,0,1,1,100.0,2,2,100.0,0,0,
Austin Seibert,13701,K,DET,3,0,1,0,0.0,3,2,66.7,11,58.2,0,0,,12,12,100.0,0,1,1,100.0,5,3,60.0,0,0,
Greg Joseph,22842,K,MIN,17,0,10,4,40.0,8,7,87.5,18,60.5,0,0,,46,40,87.0,0,5,5,100.0,33,26,78.8,10,10,100.0
Daniel Carlson,28121,K,LV,16,0,13,11,84.6,4,3,75.0,23,90.8,0,0,,36,35,97.2,0,11,11,100.0,37,34,91.9,9,9,100.0
Jason Sanders,29578,K,MIA,17,0,6,2,33.3,13,12,92.3,17,60.6,0,0,,44,41,93.2,0,7,7,100.0,32,26,81.3,6,5,83.3
Tyler Bass,33010,K,BUF,16,0,3,2,66.7,11,10,90.9,4,69.9,0,0,,50,48,96.0,0,13,11,84.6,31,27,87.1,4,4,100.0
Chase McLaughlin,33285,K,IND,15,0,12,9,75.0,11,9,81.8,14,81.1,0,0,,21,21,100.0,0,6,5,83.3,36,30,83.3,7,7,100.0
Dominik Eberle,33789,K,DET,1,0,0,0,,1,1,100.0,11,36.2,0,0,,4,2,50.0,0,0,0,,1,1,100.0,0,0,
Rodrigo Blankenship,34038,K,ARZ,2,0,1,1,100.0,2,1,50.0,1,42.6,0,0,,5,4,80.0,0,0,0,,5,4,80.0,2,2,100.0
Matt Ammendola,34039,K,ARZ,4,0,0,0,,1,0,0.0,1,28.4,1,1,100.0,7,5,71.4,0,2,1,50.0,7,5,71.4,3,3,100.0
Joey Slye,39235,K,WAS,16,0,6,4,66.7,10,8,80.0,32,53.7,1,1,100.0,28,24,85.7,0,5,4,80.0,30,25,83.3,8,8,100.0
Michael Badgley,39417,K,DET,13,0,3,2,66.7,11,9,81.8,11,64.7,0,0,,33,33,100.0,0,7,7,100.0,28,24,85.7,7,6,85.7
Matthew Wright,39675,K,KC,6,0,2,2,100.0,8,6,75.0,16,63.6,0,0,,15,15,100.0,0,7,6,85.7,18,15,83.3,1,1,100.0
Eddy Pineiro,44140,K,CAR,17,0,2,2,100.0,14,13,92.9,5,75.0,0,0,,32,30,93.8,0,17,16,94.1,35,33,94.3,2,2,100.0
Mitch Wishnowsky,44663,P,SF,1,0,0,0,,0,0,,28,44.5,0,0,,2,1,50.0,0,0,0,,0,0,,0,0,
Caleb Shudak,44789,K,TEN,1,0,0,0,,0,0,,31,49.0,0,0,,1,1,100.0,0,3,2,66.7,4,3,75.0,1,1,100.0
Justin Reid,49048,S,KC,1,0,0,0,,0,0,,16,44.5,0,0,,2,1,50.0,0,0,0,,0,0,,0,0,
Riley Patterson,57556,K,JAX,17,0,3,2,66.7,13,10,76.9,15,72.9,0,0,,37,36,97.3,0,11,10,90.9,35,30,85.7,8,8,100.0
Matt Gay,57643,K,LA,17,0,9,7,77.8,4,4,100.0,26,90.0,0,0,,32,31,96.9,0,8,8,100.0,30,28,93.3,9,9,100.0
Nick Sciba,77043,K,PIT,1,0,0,0,,0,0,,25,63.6,0,0,,1,1,100.0,0,1,1,100.0,2,2,100.0,1,1,100.0
Cameron Dicker,77069,K,LAC,11,0,1,0,0.0,7,7,100.0,27,82.2,0,0,,24,24,100.0,0,7,7,100.0,22,21,95.5,7,7,100.0
Evan McPherson,82583,K,CIN,16,0,5,5,100.0,13,9,69.2,7,55.9,1,1,100.0,44,40,90.9,0,4,4,100.0,29,24,82.8,6,5,83.3
