player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Wes Welker,2204,WR,NE,19,7.5,12,73.1,,0,0,0,9.6,15,86,19,0,49.7,86.3,89.2,65.9,87.8,0.0,0,1,99,0.1,1,753,2,141,95.4,718,72.1,543,115.6,193,10,27.2,205,1737,799,5.7,12.3,2.42
Roddy White,2244,WR,ATL,17,11.6,8,56.5,,0,0,1,13.2,16,79,2,0,35.6,84.1,80.9,70.7,81.0,0.0,0,7,43,0.1,1,700,8,105,93.7,656,13.6,95,78.0,186,8,85.9,601,1348,366,3.5,12.8,2.05
Hakeem Nicks,4952,WR,NYG,19,13.6,15,61.9,,0,0,0,7.1,8,72,21,1,68.2,58.6,89.2,,89.2,0.0,0,5,72,0.0,0,775,4,104,95.6,741,5.7,44,103.7,168,11,94.3,731,1637,562,5.4,15.7,2.21
Calvin Johnson,3618,WR,DET,17,15.0,19,65.1,,0,0,0,6.1,7,87,11,1,79.5,60.0,91.2,,91.0,0.0,0,4,73,0.0,0,766,2,108,95.2,729,19.8,152,130.0,166,18,80.2,614,1896,617,5.7,17.6,2.6
Jimmy Graham,5619,TE,NO,18,9.8,11,67.5,,0,0,0,6.0,7,83,20,1,74.9,60.5,90.1,55.6,90.5,39.2,279,5,66,8.6,61,712,2,110,87.5,623,39.5,281,111.5,163,14,19.5,139,1459,529,4.8,13.3,2.34
Victor Cruz,5827,WR,NYG,20,12.7,16,68.2,,0,0,0,11.2,13,76,21,1,40.5,33.7,82.1,,82.3,0.0,0,3,99,0.0,0,701,2,103,95.6,670,70.5,494,122.5,151,10,29.5,207,1805,657,6.4,17.5,2.69
Larry Fitzgerald,1724,WR,ARZ,16,13.5,14,53.0,,0,0,0,3.6,3,62,1,0,84.9,82.2,89.8,,89.1,0.0,0,9,73,0.0,0,661,3,80,95.0,628,21.6,143,78.0,151,8,78.1,516,1411,505,6.3,17.6,2.25
Brandon Lloyd,1436,WR,SL,15,15.2,1,48.6,,0,0,0,9.1,7,46,26,1,58.9,59.4,82.4,,83.1,0.0,0,7,44,0.0,0,512,2,70,94.1,482,8.6,44,61.9,144,5,91.4,468,966,146,2.1,13.8,2.0
Rob Gronkowski,5567,TE,NE,19,9.9,15,74.8,,0,0,0,7.0,8,83,19,0,69.8,84.1,92.9,61.4,91.9,44.6,338,4,52,10.7,81,757,6,107,85.3,646,48.5,367,138.5,143,20,5.3,40,1585,743,6.9,14.8,2.45
Brandon Marshall,3064,WR,MIA,16,13.1,9,58.7,,0,0,0,14.7,14,54,17,1,29.2,53.0,77.1,,77.5,0.0,0,3,65,0.0,0,534,3,81,95.9,512,21.3,114,93.1,138,6,78.7,420,1214,311,3.8,15.0,2.37
