,Player,Team,Position,Cap_Space,year
108,Aaron Smith,Steelers,DE,5.365853658536586,2010
109,Chris Kelsay,Bills,DE,5.349593495934959,2010
110,D'Brickashaw Ferguson,Jets,LT/T,5.338752845528455,2010
111,Kris Dielman,Chargers,G,5.317073170731708,2010
112,Ike Taylor,Steelers,CB,5.308943089430895,2010
113,Aaron Rodgers,Packers,QB,5.284552845528456,2010
114,Antoine Winfield,Vikings,CB,5.284552845528456,2010
115,Tony Gonzalez,Falcons,TE,5.284552845528456,2010
116,Marcus Stroud,Bills,DT,5.2777772357723585,2010
117,Chris Canty,Giants,DE,5.2439024390243905,2010
118,Max Starks,Steelers,LT/T,5.219512195121951,2010
119,Antonio Smith,Texans,DE,5.203252032520325,2010
120,Dunta Robinson,Falcons,CB,5.203252032520325,2010
121,Maurice Jones-Drew,Jaguars,RB,5.203252032520325,2010
122,Michael Vick,Eagles,QB,5.203252032520325,2010
123,James Harrison,Steelers,OLB/LB,5.166666666666667,2010
124,Frank Gore,49ers,RB,5.166565040650407,2010
125,Knowshon Moreno,Broncos,RB,5.084390243902439,2010
126,Chris Gamble,Panthers,CB,5.08130081300813,2010
127,Jake Delhomme,Browns,QB,5.08130081300813,2010
128,Domonique Foxworth,Ravens,CB,5.040650406504065,2010
129,Jacob Bell,Rams,G,5.0382747967479675,2010
130,Michael Roos,Titans,LT/T,5.013821138211382,2010
131,Casey Hampton,Steelers,DT,5.0135504065040655,2010
132,Travelle Wharton,Panthers,G,5.0,2010
133,Larry English,Chargers,OLB/LB,4.997967479674797,2010
134,Willis McGahee,Ravens,RB,4.959349593495935,2010
135,Justin Smith,49ers,DE,4.939024390243903,2010
136,Antrel Rolle,Giants,SS/S,4.878048780487805,2010
137,Antonio Gates,Chargers,TE,4.867886178861788,2010
138,Ty Warren,Patriots,DT,4.86449756097561,2010
139,Todd Heap,Ravens,TE,4.8516260162601625,2010
140,Pat Williams,Vikings,DT,4.8272357723577235,2010
141,E.J. Henderson,Vikings,LB,4.804878048780488,2010
142,Ray Lewis,Ravens,LB,4.796747967479675,2010
143,Jake Scott,Titans,G,4.776422764227642,2010
144,Robert Mathis,Colts,OLB/LB,4.772357723577236,2010
145,Levi Brown,Cardinals,LT/T,4.770325203252033,2010
146,Keith Rivers,Bengals,OLB/LB,4.767614634146342,2010
147,Tommie Harris,Bears,DT,4.764227642276423,2010
148,Braylon Edwards,Jets,WR,4.7439024390243905,2010
149,Antonio Bryant,Bengals,WR,4.715447154471545,2010
150,Karlos Dansby,Dolphins,ILB/LB,4.715447154471545,2010
151,Trent Cole,Eagles,OLB/LB,4.695121951219512,2010
152,Ryan Grant,Packers,RB,4.6875,2010
153,Greg Jennings,Packers,WR,4.6849593495934965,2010
154,Brandon Jacobs,Giants,RB,4.67479674796748,2010
155,Chris Snee,Giants,G,4.67479674796748,2010
156,Adrian Peterson,Vikings,RB,4.630081300813008,2010
157,Gosder Cherilus,Lions,RT/T,4.5772357723577235,2010
158,Ron Bartell,Rams,CB,4.5772357723577235,2010
159,Glenn Dorsey,Chiefs,DE,4.528861788617887,2010
160,Brian Orakpo,Commanders,OLB/LB,4.513821138211382,2010
161,Scott Fujita,Browns,LB,4.512195121951219,2010
162,Jeremy Shockey,Saints,TE,4.491869918699187,2010
163,Eric Winston,Texans,RT/T,4.471544715447155,2010
164,Osi Umenyiora,Giants,OLB/LB,4.471544715447155,2010
165,Deion Branch,Patriots,WR,4.4471544715447155,2010
166,Nnamdi Asomugha,Raiders,CB,4.408455284552845,2010
167,Anquan Boldin,Ravens,WR,4.395325203252033,2010
168,Vernon Gholston,Jets,LB,4.392953658536585,2010
169,Sedrick Ellis,Saints,DT,4.391869918699188,2010
170,Brian Waters,Chiefs,G,4.380081300813008,2010
171,Nate Burleson,Lions,WR,4.329268292682927,2010
172,Donte Whitner,Bills,SS/S,4.32,2010
173,Ricky Williams,Dolphins,RB,4.308943089430894,2010
174,Robert Geathers,Bengals,DE,4.2953926829268285,2010
175,Nick Barnett,Packers,ILB/LB,4.284552845528456,2010
176,Jarret Johnson,Ravens,OLB/LB,4.2804878048780495,2010
177,Jamaal Anderson,Falcons,DE,4.242073170731707,2010
178,Robert Ayers,Broncos,DE,4.212398373983739,2010
179,Jason Witten,Cowboys,TE,4.1796747967479675,2010
180,Mike Iupati,49ers,G,4.160131707317073,2010
181,Malcolm Jenkins,Saints,FS/S,4.152845528455284,2010
182,Brandon Stokley,Broncos,WR,4.116313008130081,2010
183,Bradie James,Cowboys,LB,4.105691056910569,2010
184,Kerry Rhodes,Cardinals,S,4.0894308943089435,2010
185,Dan Koppen,Patriots,C,4.0650406504065035,2010
186,David Stewart,Titans,RT/T,4.0650406504065035,2010
187,Jeff Faine,Buccaneers,C,4.0650406504065035,2010
188,Justin Tuck,Giants,DE,4.0650406504065035,2010
189,Kevin Williams,Vikings,DT,4.057452032520325,2010
190,Kyle Vanden Bosch,Lions,DE,4.014227642276423,2010
191,Jerod Mayo,Patriots,ILB,4.004065040650406,2010
192,D.J. Williams,Broncos,ILB/LB,4.0,2010
193,Bo Scaife,Titans,TE,3.990406504065041,2010
194,Randy Moss,Vikings,WR,3.9789569105691056,2010
195,Josh Freeman,Buccaneers,QB,3.9634146341463414,2010
196,Bryan Thomas,Jets,LB,3.9430894308943087,2010
197,Thomas Jones,Chiefs,RB,3.9430894308943087,2010
198,Channing Crowder,Dolphins,LB,3.930081300813008,2010
199,Donald Penn,Buccaneers,RT/T,3.9295390243902437,2010
200,Charles Tillman,Bears,CB,3.915988617886179,2010
201,Corey Williams,Lions,DT,3.902439024390244,2010
202,David Diehl,Giants,RT/T,3.892276422764228,2010
203,Chris Cooley,Commanders,TE,3.8685634146341465,2010
204,Madieu Williams,Vikings,S,3.862330894308943,2010
205,Darren McFadden,Raiders,RB,3.8560975609756096,2010
206,Andre' Goodman,Broncos,CB,3.8536585365853657,2010
207,Brian Cushing,Texans,ILB,3.838259349593496,2010
208,Heath Miller,Steelers,TE,3.819512195121951,2010
209,Santana Moss,Commanders,WR,3.8128455284552847,2010
210,Bob Sanders,Colts,S,3.808265040650406,2010
211,Andre Gurode,Cowboys,C,3.794038211382114,2010
212,Shaun Phillips,Chargers,DE/OLB,3.794038211382114,2010
213,Andrew Whitworth,Bengals,LT/T,3.7723577235772363,2010
214,Andre Carter,Commanders,DE,3.7710016260162598,2010
215,Bernard Berrian,Vikings,WR,3.766937398373984,2010
216,Jason Avant,Eagles,WR,3.7560975609756095,2010
217,Hines Ward,Steelers,WR,3.7479674796747973,2010
218,Matt Light,Patriots,T,3.7398373983739837,2010
219,Vince Wilfork,Patriots,DT,3.7398373983739837,2010
220,Cullen Jenkins,Packers,DE,3.7154471544715446,2010
221,Darnell Dockett,Cardinals,DE,3.699186991869919,2010
222,Brandon Manumaleuna,Bears,TE,3.6626016260162606,2010
223,Michael Turner,Falcons,RB,3.6585365853658534,2010
224,Terrence McGee,Bills,CB,3.6585365853658534,2010
225,Robert Gallery,Raiders,T,3.646340650406504,2010
226,Chad Greenway,Vikings,OLB/LB,3.6158536585365852,2010
227,Jeff Saturday,Colts,C,3.604335772357724,2010
228,Drayton Florence,Bills,CB,3.5975609756097557,2010
229,Marques Colston,Saints,WR,3.561991869918699,2010
230,Isaac Sopoaga,49ers,DT,3.5548780487804876,2010
231,Rashean Mathis,Jaguars,CB,3.547967479674797,2010
232,Jon Stinchcomb,Saints,T,3.5162601626016263,2010
233,Jovan Haye,Titans,DT,3.495934959349593,2010
234,Randy Starks,Dolphins,DE,3.4756097560975614,2010
235,Sheldon Brown,Browns,CB,3.4688349593495933,2010
236,Vince Manuwai,Jaguars,G,3.4552845528455287,2010
237,Eugene Amano,Titans,C,3.4512195121951224,2010
238,Wes Welker,Patriots,WR,3.4349593495934956,2010
239,Derrick Dockery,Commanders,G,3.3821138211382116,2010
240,Eric Berry,Chiefs,SS/S,3.3796747967479677,2010
241,Domata Peko,Bengals,DT,3.373983739837398,2010
242,Michael Boley,Giants,LB,3.373983739837398,2010
243,Shawntae Spencer,49ers,CB,3.373983739837398,2010
244,Jeremy Maclin,Eagles,WR,3.3587398373983737,2010
245,Davin Joseph,Buccaneers,G,3.349593495934959,2010
246,Oshiomogho Atogwe,Rams,S,3.3333333333333335,2010
247,Mike Jenkins,Cowboys,CB,3.3243902439024393,2010
248,Jonathan Babineaux,Falcons,DT,3.309421138211382,2010
249,Cedric Griffin,Vikings,CB,3.2926829268292686,2010
250,Michael Huff,Raiders,S,3.2886178861788613,2010
251,Charlie Whitehurst,Seahawks,QB,3.2520325203252036,2010
252,Kevin Walter,Texans,WR,3.2520325203252036,2010
253,Matt Birk,Ravens,C,3.2520325203252036,2010
254,Kyle Kosier,Cowboys,G,3.2439024390243905,2010
255,Ronnie Brown,Dolphins,RB,3.227023577235772,2010
256,Brandon Moore,Jets,G,3.2198504065040647,2010
257,Daryl Smith,Jaguars,ILB/LB,3.2113821138211383,2010
258,Ronde Barber,Buccaneers,CB/FS,3.2113821138211383,2010
259,Jonathan Goodwin,Saints,C,3.1978317073170732,2010
260,Brett Keisel,Steelers,DE,3.191056910569106,2010
261,Anthony Davis,49ers,RT/T,3.1776967479674796,2010
262,Cortland Finnegan,Titans,CB,3.1707317073170733,2010
263,Joe Flacco,Ravens,QB,3.1707317073170733,2010
264,Kris Jenkins,Jets,DT,3.1707317073170733,2010
265,Larry Foote,Steelers,ILB/LB,3.1707317073170733,2010
266,Quentin Jammer,Chargers,S,3.1707317073170733,2010
267,David Carr,49ers,QB,3.1504065040650406,2010
268,Brandon Pettigrew,Lions,TE,3.133943089430894,2010
269,Mike Peterson,Falcons,LB,3.1300813008130084,2010
270,Jacques Reeves,Texans,CB,3.089430894308943,2010
271,Marc Bulger,Ravens,QB,3.089430894308943,2010
272,Shawne Merriman,Bills,LB,3.0643983739837397,2010
273,Colin Cole,Seahawks,DT,3.048780487804878,2010
