,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Team,Year,weighted_grade,weighted_average_grade
26,John Henderson,OAK,DI,264,1017,9,4,3,0,0,23,0,0,90.0,59.3,66.5,90.9,76.5,2,4,0.0,0,1,0.0,0,264,14,250,0,0,24,26,2,6,Raiders,2010,23760.0,
27,Albert Haynesworth,WAS,DI,204,1022,8,0,1,0,0,32,0,0,80.6,82.2,75.3,69.2,76.5,2,10,0.0,0,0,0.0,2,204,79,26,0,66,10,10,3,14,Commanders,2010,16442.399999999998,
28,Justin Bannan,DEN,DI,774,1134,16,8,5,0,1,10,0,0,57.0,77.6,53.7,58.1,77.7,7,6,0.0,0,1,81.3,1,774,68,131,0,554,15,21,1,14,Broncos,2010,44118.0,
29,Rocky Bernard,NYG,DI,321,1139,14,2,4,0,0,21,0,0,68.1,85.8,70.7,59.2,75.9,1,9,0.0,0,0,0.0,2,321,6,305,0,10,13,16,1,12,Giants,2010,21860.1,
30,Kenyon Coleman,CLV,DI,557,1140,16,9,0,0,0,8,3,0,64.8,58.7,56.8,67.1,74.5,1,8,6.0,4,2,79.2,3,556,0,15,1,539,45,54,1,12,Browns,2010,36093.6,
31,Howard Green,GB,DI,252,1173,14,1,0,0,0,12,0,0,56.5,81.8,58.8,54.3,74.3,2,4,16.7,2,0,0.0,1,252,16,58,0,178,7,9,1,7,Packers,2010,14238.0,
32,Brett Keisel,PIT,DI,609,1204,14,6,5,0,2,25,1,0,68.9,86.3,56.0,72.0,74.0,4,14,5.9,2,0,0.0,3,609,13,35,0,434,20,26,1,21,Steelers,2010,41960.100000000006,
33,Ma'ake Kemoeatu,WAS,DI,362,1267,14,5,0,0,0,32,0,0,43.1,63.3,54.3,44.2,70.3,1,3,3.8,1,1,0.0,0,362,349,13,0,0,13,20,1,4,Commanders,2010,15602.2,
34,Kevin Williams,MIN,DI,895,1325,16,8,9,0,1,18,0,0,75.6,38.2,71.8,71.2,78.4,5,30,10.6,5,6,79.2,2,895,20,873,0,1,27,34,8,37,Vikings,2010,67662.0,
35,Jimmy Kennedy,MIN,DI,147,1328,9,1,0,0,0,18,0,0,60.0,81.9,59.5,57.3,72.8,1,2,20.0,2,0,0.0,1,147,0,147,0,0,5,7,1,4,Vikings,2010,8820.0,
