,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Team,Year,weighted_grade,weighted_average_grade
656,Corvey Irvin,DAL,DI,117,5016,6,1,0,0,0,9,0,0,41.7,33.0,56.4,43.4,41.1,1,1,16.7,1,1,0.0,0,117,4,93,1,19,2,4,0,2,Cowboys,2013,4878.900000000001,
657,Henry Melton,CHI,DI,123,5028,3,1,0,0,0,6,1,0,44.9,81.5,53.1,43.0,71.0,0,2,0.0,0,0,0.0,0,122,0,120,0,2,3,4,0,2,Bears,2013,5522.7,
658,Vaughn Martin,MIA,DI,32,5036,3,0,0,0,0,17,0,0,46.0,76.6,63.4,54.6,68.7,1,0,0.0,0,0,0.0,0,32,1,22,2,7,1,2,0,1,Dolphins,2013,1472.0,
659,Sammie Lee Hill,TEN,DI,384,5038,13,6,4,0,0,31,1,0,68.1,85.5,60.1,65.0,60.4,0,6,6.3,2,0,0.0,0,383,0,357,1,25,23,24,1,6,Titans,2013,26150.399999999998,
660,Jarius Wynn,DAL,DI,362,5106,15,3,2,1,0,9,0,0,46.8,15.8,56.4,49.0,27.4,2,6,47.1,8,5,0.0,3,362,2,122,29,209,8,6,2,11,Cowboys,2013,16941.6,
661,Vance Walker,OAK,DI,767,5134,15,12,0,0,0,23,0,0,60.2,86.1,54.0,63.9,80.4,6,32,11.9,5,0,0.0,3,766,92,89,25,560,24,25,4,41,Raiders,2013,46173.4,
662,Ricky Jean Francois,IND,DI,500,5168,12,5,2,0,0,14,0,0,60.3,69.2,53.4,65.6,68.4,2,9,4.5,1,1,39.6,4,494,36,96,8,354,18,16,2,15,Colts,2013,30150.0,
663,Clinton McDonald,SEA,DI,655,5173,18,7,0,0,0,29,1,0,66.9,87.4,65.7,60.2,78.6,12,22,5.6,2,0,57.6,6,646,42,510,0,94,29,27,3,40,Seahawks,2013,43819.50000000001,
664,Chris Baker,WAS,DI,411,5188,15,3,1,0,0,32,0,0,49.4,47.8,50.7,54.7,59.1,5,7,14.8,4,3,0.0,1,410,64,4,5,337,15,20,6,13,Commanders,2013,20303.399999999998,
665,Desmond Bryant,CLV,DI,581,5204,12,6,0,0,0,8,0,0,53.2,56.6,55.4,53.0,64.0,11,18,12.0,3,2,0.0,4,576,13,28,19,516,15,16,2,33,Browns,2013,30909.2,
666,Steve McLendon,PIT,DI,350,5232,14,9,0,0,1,25,0,0,69.4,68.5,57.8,69.9,79.7,1,7,0.0,0,1,0.0,0,349,288,16,0,45,15,19,1,8,Steelers,2013,24290.000000000004,
667,Ronald Talley,ARZ,DI,75,5396,6,2,0,0,0,1,0,0,47.8,77.6,49.9,52.2,71.0,0,1,0.0,0,0,0.0,0,75,4,29,1,41,3,3,0,1,Cardinals,2013,3585.0,
668,Ndamukong Suh,DET,DI,878,5527,16,13,4,1,1,11,0,0,80.1,24.3,87.5,68.9,74.0,13,54,6.1,3,9,0.0,5,867,10,745,9,103,32,33,6,72,Lions,2013,70327.79999999999,
669,Gerald McCoy,TB,DI,963,5528,16,5,3,1,0,30,2,0,84.5,10.3,90.0,70.8,68.8,14,56,10.3,4,11,0.0,10,963,49,504,10,400,36,30,7,80,Buccaneers,2013,81373.5,
670,Tyson Alualu,JAX,DI,743,5535,16,6,1,0,0,15,0,0,62.0,75.4,53.8,64.0,74.6,8,10,2.2,1,1,0.0,2,743,0,94,1,648,23,39,3,20,Jaguars,2013,46066.0,
671,Dan Williams,ARZ,DI,286,5551,14,4,1,0,0,1,0,0,74.6,17.3,64.3,78.8,68.5,4,8,11.5,3,3,0.0,1,286,164,66,0,56,15,19,1,13,Cardinals,2013,21335.6,
672,Jared Odrick,MIA,DI,856,5553,16,2,2,0,1,17,0,0,67.4,61.4,65.3,65.8,64.5,13,28,13.2,5,3,158.3,5,855,27,579,18,231,29,31,6,46,Dolphins,2013,57694.4,
673,Linval Joseph,NYG,DI,578,5571,15,10,0,0,1,21,1,0,73.4,64.0,63.5,74.1,73.4,8,11,6.5,3,2,0.0,4,578,15,520,0,43,27,33,4,23,Giants,2013,42425.200000000004,
674,Terrence Cody,BLT,DI,234,5582,12,8,0,1,0,3,0,0,52.4,54.2,46.6,58.2,76.4,0,1,0.0,0,1,0.0,0,234,74,50,0,110,6,9,1,1,Ravens,2013,12261.6,
675,Alex Carrington,BUF,DI,163,5597,3,2,0,0,0,4,0,0,55.7,81.1,43.8,69.2,32.9,1,1,22.2,2,0,0.0,0,160,6,19,14,121,2,5,1,2,Bills,2013,9079.1,
676,D'Anthony Smith,DET,DI,46,5599,2,1,0,0,0,11,0,0,61.8,77.1,52.6,69.2,69.9,1,0,0.0,0,0,0.0,0,46,5,32,0,9,1,2,0,1,Lions,2013,2842.7999999999997,
677,Earl Mitchell,HST,DI,535,5605,16,11,0,0,0,13,0,0,59.9,70.5,63.1,56.5,75.4,3,9,4.8,2,1,0.0,4,535,400,15,1,119,23,29,1,16,Texans,2013,32046.5,
678,Corey Peters,ATL,DI,656,5607,15,8,2,0,0,2,0,0,67.4,76.1,52.8,73.1,56.4,2,8,9.3,4,1,0.0,5,655,94,501,1,59,32,31,0,15,Falcons,2013,44214.4,
679,Corey Wootton,CHI,DI,846,5633,16,4,5,0,1,6,2,0,61.4,52.3,57.3,65.6,77.2,4,25,0.0,0,4,0.0,3,845,2,548,7,288,21,24,5,32,Bears,2013,51944.4,
680,Geno Atkins,CIN,DI,455,5643,9,1,0,0,0,7,0,0,78.8,86.4,73.1,71.0,74.1,8,20,22.2,2,0,0.0,6,454,12,432,1,9,10,6,0,34,Bengals,2013,35854.0,
681,Al Woods,PIT,DI,217,5646,15,1,2,0,0,25,0,0,61.5,51.8,55.3,69.0,60.6,1,1,8.3,1,1,0.0,2,216,124,4,5,83,10,10,0,4,Steelers,2013,13345.5,
682,Cam Thomas,SD,DI,532,5669,18,7,1,0,0,27,0,0,57.6,57.3,54.0,60.3,56.9,5,7,16.1,5,2,0.0,1,530,191,113,17,209,15,19,4,13,Chargers,2013,30643.2,
683,Austen Lane,DET,DI,28,5676,2,0,0,0,0,11,0,0,58.6,73.7,56.4,60.7,,1,1,,0,0,0.0,0,28,0,0,0,28,0,0,0,2,Lions,2013,1640.8,
684,Arthur Jones,BLT,DI,521,5680,14,12,0,0,0,3,0,0,69.6,71.5,61.9,70.1,64.4,5,15,11.8,6,1,0.0,5,521,30,84,19,388,30,33,4,25,Ravens,2013,36261.6,
685,Clifton Geathers,PHI,DI,257,5709,17,0,0,0,0,24,0,0,60.0,83.1,50.7,65.8,74.7,4,4,13.3,2,0,0.0,0,257,26,13,10,208,10,13,1,8,Eagles,2013,15420.0,
686,C.J. Wilson,GB,DI,127,5753,9,0,0,0,0,12,0,0,55.5,79.4,55.2,56.2,53.9,0,5,11.1,1,0,0.0,0,127,0,6,11,110,3,8,1,5,Packers,2013,7048.5,
687,Sean Lissemore,SD,DI,213,5757,15,4,0,0,0,27,0,0,73.3,81.5,56.7,74.1,67.4,1,4,5.3,1,0,0.0,2,213,45,51,8,109,14,14,1,7,Chargers,2013,15612.9,
688,Ricardo Mathews,IND,DI,477,5761,18,6,0,0,0,14,0,0,50.1,86.3,51.1,47.4,78.1,3,13,0.0,0,0,0.0,1,474,7,27,104,336,8,16,2,17,Colts,2013,23897.7,
689,Brandon Deaderick,JAX,DI,302,5769,13,1,0,0,1,15,1,0,55.1,84.5,65.8,48.9,73.4,0,3,33.3,4,0,0.0,1,302,13,273,2,14,4,7,0,4,Jaguars,2013,16640.2,
690,Kyle Love,JAX,DI,40,5806,2,0,0,0,0,15,0,0,64.9,76.8,52.4,68.4,69.4,0,0,0.0,0,0,0.0,0,40,8,32,0,0,2,3,1,0,Jaguars,2013,2596.0,
691,Jermelle Cudjo,SL,DI,212,5814,13,1,1,0,0,26,0,0,42.0,5.8,49.4,51.8,32.8,0,0,22.2,2,3,0.0,0,212,9,196,0,7,5,6,1,0,Rams,2013,8904.0,
692,Nate Collins,CHI,DI,191,5825,5,4,0,0,1,6,0,0,63.7,82.8,60.9,62.1,74.0,2,5,0.0,0,0,0.0,1,191,0,185,0,6,6,10,0,8,Bears,2013,12166.7,
693,Andre Neblett,NE,DI,5,5915,1,0,0,0,0,19,0,0,53.3,69.2,58.5,57.3,,0,0,,0,0,0.0,0,5,5,0,0,0,0,0,0,0,Patriots,2013,266.5,
694,Jay Ross,BUF,DI,48,6008,5,0,0,0,0,4,0,0,45.3,76.9,51.4,47.3,69.9,0,1,0.0,0,0,0.0,0,46,7,25,0,14,0,2,0,1,Bills,2013,2174.3999999999996,
695,Mitch Unrein,DEN,DI,407,6031,19,6,1,0,0,10,0,0,59.7,84.6,54.5,64.6,37.3,3,12,23.1,6,0,79.2,0,407,34,174,3,196,9,14,2,15,Broncos,2013,24297.9,
696,Brian Sanford,CLV,DI,105,6056,6,0,0,0,0,8,0,0,53.8,78.9,48.7,65.4,72.6,0,2,0.0,0,0,0.0,0,105,2,5,2,96,6,6,3,2,Browns,2013,5649.0,
697,Marcell Dareus,BUF,DI,823,6155,16,13,1,1,1,4,0,0,82.8,58.8,69.8,85.6,83.2,4,30,4.6,3,3,0.0,9,807,241,328,26,212,45,49,2,43,Bills,2013,68144.4,
698,J.J. Watt,HST,DI,960,6163,16,8,6,1,3,13,2,0,93.2,57.1,90.3,93.3,80.9,36,38,8.8,7,5,0.0,11,956,3,103,199,651,67,65,16,85,Texans,2013,89472.0,
699,Nick Fairley,DET,DI,670,6165,15,6,1,1,1,11,1,1,62.3,0.0,67.2,60.2,76.7,14,21,0.0,0,11,0.0,6,663,9,598,6,50,22,21,3,41,Lions,2013,41741.0,
700,Corey Liuget,SD,DI,822,6170,18,17,3,0,1,27,0,0,50.2,27.8,57.4,48.6,81.4,9,25,2.4,1,6,0.0,7,809,54,167,45,543,21,24,3,41,Chargers,2013,41264.4,
701,Phil Taylor Sr.,CLV,DI,547,6173,15,4,1,0,0,8,0,0,68.7,56.9,55.8,73.7,79.6,4,5,10.7,3,2,0.0,2,545,322,30,0,193,19,21,6,11,Browns,2013,37578.9,
702,Muhammad Wilkerson,NYJ,DI,1041,6182,16,14,2,1,1,22,0,0,70.2,18.4,64.3,73.7,66.2,9,32,13.8,9,10,0.0,11,1027,115,244,75,593,40,42,5,52,Jets,2013,73078.2,
703,Cameron Heyward,PIT,DI,830,6183,16,11,5,1,0,25,1,0,62.5,66.5,55.3,62.1,76.5,7,34,7.8,4,2,0.0,6,762,29,11,66,656,23,36,2,47,Steelers,2013,51875.0,
704,Jarvis Jenkins,WAS,DI,331,6193,12,3,0,0,0,32,0,0,55.6,82.6,50.2,60.4,58.9,0,5,15.8,3,0,0.0,3,331,2,2,5,322,7,13,0,8,Commanders,2013,18403.600000000002,
705,Marvin Austin,DAL,DI,42,6204,3,1,0,0,0,9,0,0,66.3,77.2,57.1,69.5,69.4,0,0,0.0,0,0,0.0,0,42,2,38,0,2,2,2,1,0,Cowboys,2013,2784.6,
706,Stephen Paea,CHI,DI,474,6205,13,7,3,0,0,6,0,0,55.2,71.5,61.3,49.9,60.6,1,14,12.1,4,2,0.0,2,474,1,469,0,4,18,22,5,17,Bears,2013,26164.800000000003,
707,Terrell McClain,HST,DI,176,6217,16,1,0,0,0,13,1,0,62.7,45.0,54.9,67.8,74.4,0,3,0.0,0,1,0.0,0,176,78,10,0,88,5,7,0,3,Texans,2013,11035.2,
708,Jurrell Casey,TEN,DI,874,6229,15,7,2,0,1,31,1,0,79.4,71.7,82.5,65.7,70.1,7,36,13.7,7,2,85.4,11,865,70,724,0,71,39,37,4,54,Titans,2013,69395.6,
709,Allen Bailey,KC,DI,492,6238,16,6,3,0,0,16,0,0,66.0,70.4,53.3,74.4,78.9,4,21,5.9,2,1,39.6,1,492,2,12,50,428,19,26,0,26,Chiefs,2013,32472.0,
710,Drake Nevis,JAX,DI,270,6239,12,1,0,0,0,15,0,0,60.8,84.3,52.5,66.0,61.9,0,5,19.0,4,0,0.0,0,270,1,250,0,19,13,16,1,5,Jaguars,2013,16416.0,
711,Kenrick Ellis,NYJ,DI,208,6246,16,3,0,1,0,22,0,0,86.4,3.9,67.2,90.6,75.8,0,7,0.0,0,3,0.0,0,208,53,140,1,14,17,18,2,7,Jets,2013,17971.2,
712,Sione Fua,DEN,DI,65,6249,5,0,0,0,0,10,0,0,43.5,78.4,54.7,41.2,67.3,1,0,0.0,0,0,0.0,0,65,1,51,0,13,0,1,0,1,Broncos,2013,2827.5,
713,Karl Klug,TEN,DI,319,6294,16,1,2,0,2,31,1,1,78.2,84.2,76.3,64.4,61.6,4,15,8.3,1,0,0.0,2,319,2,170,35,112,8,10,0,21,Titans,2013,24945.8,
714,David Carter,DAL,DI,49,6336,3,0,0,0,0,9,0,0,44.8,77.8,49.8,48.2,,0,1,,0,0,0.0,0,49,0,45,0,4,0,0,0,1,Cowboys,2013,2195.2,
715,Jerrell Powe,KC,DI,40,6351,2,1,1,0,0,16,0,0,73.8,75.5,70.6,66.3,69.9,2,1,0.0,0,0,0.0,1,40,18,0,0,22,1,0,0,4,Chiefs,2013,2952.0,
716,Frank Kearse,DAL,DI,34,6383,2,1,0,0,0,9,0,0,53.3,76.3,59.3,52.6,68.7,0,1,0.0,0,0,0.0,0,34,1,25,0,8,0,1,0,1,Cowboys,2013,1812.1999999999998,
717,Lawrence Guy Sr.,SD,DI,206,6385,14,6,4,0,0,27,0,0,69.9,24.5,62.6,74.3,75.9,4,7,0.0,0,2,0.0,0,204,3,12,25,164,8,10,1,11,Chargers,2013,14399.400000000001,
718,Chris Neild,WAS,DI,96,6405,8,1,0,0,0,32,0,0,63.8,78.5,49.9,67.7,74.2,0,0,0.0,0,0,0.0,0,96,85,7,0,4,3,5,2,0,Commanders,2013,6124.799999999999,
719,Ian Williams,SF,DI,13,6472,2,0,0,0,0,28,0,0,28.3,72.2,57.8,29.4,69.9,0,0,0.0,0,0,0.0,0,13,8,0,0,5,1,1,0,0,49ers,2013,367.90000000000003,
720,Sealver Siliga,NE,DI,323,6483,7,3,0,0,0,19,0,0,70.4,83.7,51.4,80.9,77.1,1,7,8.7,2,0,0.0,2,323,20,94,1,208,17,18,1,10,Patriots,2013,22739.2,
721,Jordan Miller,JAX,DI,54,6568,2,0,0,0,0,15,0,0,54.3,77.8,52.6,56.4,69.0,0,0,0.0,0,0,0.0,0,54,4,50,0,0,2,2,0,0,Jaguars,2013,2932.2,
722,Cedric Thornton,PHI,DI,767,6607,17,10,2,1,0,24,0,0,65.4,46.2,45.7,85.6,58.2,2,18,13.0,9,4,0.0,1,762,156,94,16,496,36,50,8,21,Eagles,2013,50161.8,
723,Demarcus Dobbs,SF,DI,331,6655,18,4,1,1,0,28,0,0,49.5,60.7,51.8,53.2,58.6,3,9,9.1,1,1,0.0,1,323,6,13,9,295,2,6,0,13,49ers,2013,16384.5,
724,Corbin Bryant,BUF,DI,330,6825,15,1,0,0,0,4,0,0,44.1,83.5,49.2,46.9,74.8,2,2,8.3,1,0,0.0,1,327,5,36,20,266,10,10,2,5,Bills,2013,14553.0,
725,Ricky Lumpkin,OAK,DI,2,6837,1,0,0,0,0,23,0,0,43.4,66.7,59.7,60.0,,0,0,,0,0,0.0,0,2,0,1,0,1,0,0,0,0,Raiders,2013,86.8,
726,Isaako Aaitui,MIA,DI,35,6998,3,0,0,0,0,17,0,0,55.3,76.5,53.3,57.3,69.6,0,0,0.0,0,0,0.0,0,35,1,33,0,1,2,3,0,0,Dolphins,2013,1935.5,
727,Dontari Poe,KC,DI,1036,7017,16,8,4,0,0,16,0,0,72.3,79.2,58.8,75.2,77.7,3,33,3.7,2,1,0.0,5,1035,606,38,2,389,40,44,2,41,Chiefs,2013,74902.8,
728,Fletcher Cox,PHI,DI,948,7018,17,11,1,0,0,24,1,0,63.0,28.6,57.0,66.1,70.3,10,39,10.4,5,7,0.0,3,945,41,105,105,694,26,32,0,52,Eagles,2013,59724.0,
729,Michael Brockers,SL,DI,792,7020,16,5,0,0,1,26,0,0,64.0,87.5,55.1,67.5,70.9,6,8,15.0,6,1,118.8,6,792,9,702,0,81,32,29,2,20,Rams,2013,50688.0,
730,Derek Wolfe,DEN,DI,552,7040,11,8,0,0,0,10,1,0,54.8,61.2,55.3,56.3,67.7,6,28,10.5,2,2,0.0,4,547,9,64,145,329,10,9,2,38,Broncos,2013,30249.6,
731,Kendall Reyes,SD,DI,817,7052,18,7,2,0,0,27,0,0,44.4,82.1,51.9,42.1,52.4,9,23,14.7,5,1,0.0,5,813,12,139,118,544,16,22,0,37,Chargers,2013,36274.799999999996,
732,Devon Still,CIN,DI,130,7056,10,1,2,0,0,7,0,0,51.3,81.4,62.7,49.5,29.1,1,5,25.0,2,0,0.0,0,130,1,123,0,6,4,5,0,6,Bengals,2013,6669.0,
733,John Hughes,CLV,DI,398,7088,15,14,2,0,0,8,1,0,76.6,83.3,54.8,84.5,72.3,0,12,5.4,2,0,0.0,1,397,2,8,6,381,18,21,0,13,Browns,2013,30486.8,
734,Akiem Hicks,NO,DI,741,7090,18,8,0,0,0,20,0,0,67.5,70.5,57.5,71.3,76.0,2,15,5.2,3,2,0.0,6,738,29,339,60,310,44,47,6,23,Saints,2013,50017.5,
735,Brandon Thompson,CIN,DI,428,7093,17,5,1,0,0,7,0,0,50.7,37.6,54.6,54.2,53.1,0,8,10.7,3,3,0.0,2,428,4,413,0,11,15,20,0,10,Bengals,2013,21699.600000000002,
736,Alameda Ta'amu,ARZ,DI,225,7109,14,2,0,1,0,1,0,0,69.9,52.6,58.3,74.0,51.8,1,6,20.0,2,1,0.0,0,225,148,62,0,15,6,6,2,7,Cardinals,2013,15727.500000000002,
737,Jaye Howard Jr.,KC,DI,52,7114,4,2,0,0,0,16,0,0,67.3,76.1,63.3,64.4,73.9,0,3,0.0,0,0,0.0,0,52,7,0,0,45,4,7,0,3,Chiefs,2013,3499.6,
738,Jared Crick,HST,DI,268,7126,16,0,3,0,0,13,0,0,53.8,32.7,58.6,55.8,75.2,1,7,0.0,0,2,0.0,0,267,10,24,12,221,6,13,0,8,Texans,2013,14418.4,
739,Mike Daniels,GB,DI,542,7132,17,3,0,1,0,12,0,0,71.4,71.1,62.7,75.6,69.5,6,27,9.5,2,1,0.0,8,542,33,11,26,472,23,16,3,41,Packers,2013,38698.8,
740,Christo Bilukidi,CIN,DI,75,7178,8,0,0,0,0,7,0,0,56.4,78.1,53.6,52.7,73.1,0,0,0.0,0,0,0.0,1,75,19,23,0,33,5,4,0,1,Bengals,2013,4230.0,
741,Billy Winn,CLV,DI,312,7190,11,1,0,0,1,8,0,0,65.9,83.1,55.9,65.1,61.0,4,7,13.0,3,0,0.0,2,309,5,14,10,280,20,19,3,13,Browns,2013,20560.800000000003,
742,Jeris Pendleton,IND,DI,86,7212,3,0,0,0,0,14,0,0,61.5,78.1,55.8,58.9,72.0,0,2,20.0,1,0,0.0,0,85,6,14,2,63,3,4,0,2,Colts,2013,5289.0,
743,DeAngelo Tyson,BLT,DI,149,7220,13,2,0,1,0,3,0,0,61.3,40.7,58.3,59.8,53.4,1,2,7.7,1,1,0.0,2,149,5,15,17,112,10,10,0,5,Ravens,2013,9133.699999999999,
744,Markus Kuhn,NYG,DI,10,7223,1,0,0,0,0,21,0,0,41.8,72.4,57.8,46.5,67.3,0,1,0.0,0,0,0.0,0,10,0,8,0,2,0,1,0,1,Giants,2013,418.0,
745,Travian Robertson,ATL,DI,79,7230,5,0,0,0,0,2,0,0,52.4,78.9,55.5,52.3,69.8,0,1,0.0,0,0,0.0,0,79,21,51,0,7,2,3,0,1,Falcons,2013,4139.599999999999,
746,Matt Conrath,SL,DI,135,7258,8,0,0,0,0,26,0,0,51.7,81.9,59.5,51.4,45.9,2,3,28.6,2,0,0.0,1,135,0,120,1,14,4,5,0,6,Rams,2013,6979.5,
747,Damon Harrison Sr.,NYJ,DI,500,7355,16,13,1,1,0,22,0,0,90.8,57.3,53.7,93.0,70.8,0,9,6.6,4,2,0.0,1,500,151,319,0,30,39,44,7,10,Jets,2013,45400.0,
748,Chase Baker,MIN,DI,58,7376,4,2,0,0,0,18,0,0,51.4,78.4,55.9,51.5,71.0,0,1,0.0,0,0,0.0,0,58,0,58,0,0,2,3,0,1,Vikings,2013,2981.2,
749,Tony Jerod-Eddie,SF,DI,437,7432,18,8,1,0,0,28,1,0,61.2,84.8,49.7,56.9,63.2,3,17,8.8,3,0,0.0,1,426,31,16,5,374,15,23,2,21,49ers,2013,26744.4,
750,Tyrunn Walker,NO,DI,119,7459,7,1,1,0,0,20,0,0,70.9,31.2,65.0,78.5,71.7,3,9,16.7,1,1,0.0,1,115,12,80,1,22,5,4,0,13,Saints,2013,8437.1,
751,Tracy Robertson,CHI,DI,1,7594,1,0,0,0,0,6,0,0,60.0,65.7,,60.0,,0,0,,0,0,0.0,0,1,0,1,0,0,0,0,0,0,Bears,2013,60.0,
752,Mike Martin,TEN,DI,233,7644,13,3,1,0,0,31,0,0,62.9,56.0,61.2,65.5,74.8,2,8,0.0,0,1,0.0,1,233,16,187,0,30,9,11,3,11,Titans,2013,14655.699999999999,
753,Josh Chapman,IND,DI,300,7646,15,4,0,0,0,14,0,0,64.9,83.1,49.0,70.9,65.7,1,2,5.0,1,0,0.0,0,300,176,86,0,38,13,15,1,3,Colts,2013,19470.0,
754,Malik Jackson,DEN,DI,713,7647,19,4,5,0,0,10,0,0,70.8,43.6,60.1,79.7,68.7,8,31,18.2,8,4,0.0,7,707,89,129,74,415,30,32,5,46,Broncos,2013,50480.4,
755,Jerome Long,DAL,DI,46,7659,3,0,0,0,0,9,0,0,54.0,76.8,49.1,64.1,67.3,0,0,,0,0,0.0,0,46,1,32,0,13,0,0,0,0,Cowboys,2013,2484.0,
756,Marcus Forston,NE,DI,35,7709,3,0,0,0,0,19,0,0,57.0,74.9,54.2,58.5,71.9,0,0,0.0,0,0,0.0,0,35,25,2,0,8,2,3,2,0,Patriots,2013,1995.0,
757,Ishmaa'ily Kitchen,CLV,DI,190,7726,13,4,0,0,0,8,0,0,64.0,80.7,51.9,67.0,59.9,0,4,13.3,2,0,0.0,0,190,128,14,0,48,9,9,2,4,Browns,2013,12160.0,
758,Loni Fangupo,PIT,DI,13,7734,3,0,0,0,0,25,0,0,45.6,72.1,62.3,46.3,,0,1,,0,0,0.0,0,13,5,3,0,5,0,0,0,1,Steelers,2013,592.8000000000001,
759,Sheldon Richardson,NYJ,DI,882,7794,16,16,1,1,2,22,0,0,76.5,46.1,56.6,90.7,73.2,5,24,5.6,4,5,95.8,4,859,30,472,61,296,41,52,11,33,Jets,2013,67473.0,
760,Star Lotulelei,CAR,DI,653,7795,17,8,0,0,0,5,0,0,75.4,87.0,57.1,80.6,58.9,4,16,8.0,4,1,39.6,4,653,14,505,2,132,37,38,7,24,Panthers,2013,49236.200000000004,
761,Sharrif Floyd,MIN,DI,461,7804,16,5,2,0,0,18,0,0,62.1,71.7,60.7,59.5,44.0,4,12,16.7,3,2,0.0,3,460,3,456,0,1,11,10,3,19,Vikings,2013,28628.100000000002,
762,Datone Jones,GB,DI,269,7807,17,0,0,1,0,12,1,0,40.9,32.3,48.8,43.0,48.3,3,11,40.0,4,2,56.3,5,256,16,0,40,200,7,6,0,19,Packers,2013,11002.1,
763,Sylvester Williams,DEN,DI,390,7809,16,1,0,0,0,10,1,0,56.4,84.9,52.0,62.4,59.2,2,10,9.1,2,1,0.0,2,389,20,182,1,186,15,19,4,14,Broncos,2013,21996.0,
764,Kawann Short,CAR,DI,551,7825,17,4,0,0,1,5,1,0,76.5,77.4,62.4,79.5,77.6,10,25,14.3,5,1,39.6,2,551,18,400,0,133,22,26,4,37,Panthers,2013,42151.5,
765,Johnathan Hankins,NYG,DI,192,7830,11,3,0,0,0,21,0,0,78.2,82.8,53.7,82.6,62.6,2,1,6.3,1,0,0.0,0,192,3,177,0,12,11,12,2,3,Giants,2013,15014.400000000001,
766,Bennie Logan,PHI,DI,524,7848,17,6,1,0,0,24,1,0,60.2,70.1,55.0,61.0,67.9,4,15,3.1,1,1,0.0,3,523,316,46,11,150,21,25,1,22,Eagles,2013,31544.800000000003,
767,John Jenkins,NO,DI,478,7863,18,5,0,0,0,20,0,0,66.3,85.5,57.3,67.7,69.5,4,10,3.6,1,0,0.0,1,475,126,273,2,74,16,22,2,15,Saints,2013,31691.399999999998,
768,Jordan Hill,SEA,DI,64,7868,4,0,0,0,0,29,0,0,66.9,78.5,58.4,69.8,72.0,0,2,0.0,0,0,0.0,2,64,3,44,3,14,5,5,0,4,Seahawks,2013,4281.6,
769,Brandon Williams,BLT,DI,91,7875,7,1,0,0,0,3,1,0,76.8,78.7,60.0,73.9,73.5,0,1,0.0,0,0,0.0,1,91,33,32,0,26,6,6,1,2,Ravens,2013,6988.8,
770,Akeem Spence,TB,DI,695,7882,16,6,0,1,0,30,1,0,48.8,40.8,45.3,56.2,43.9,1,5,14.7,5,4,0.0,1,695,88,331,1,275,14,23,3,7,Buccaneers,2013,33916.0,
771,Montori Hughes,IND,DI,71,7921,4,2,0,0,0,14,0,0,64.5,77.7,54.8,66.9,72.9,0,1,16.7,1,0,0.0,0,70,28,8,0,34,2,3,0,1,Colts,2013,4579.5,
772,Quinton Dial,SF,DI,18,7939,3,0,0,0,0,28,0,0,54.9,73.2,51.6,62.6,68.6,0,0,0.0,0,0,0.0,0,18,7,1,0,10,0,1,0,0,49ers,2013,988.1999999999999,
773,Josh Boyd,GB,DI,116,7949,9,2,0,0,0,12,0,0,54.5,80.0,53.8,60.2,51.5,0,5,22.2,2,0,0.0,0,116,2,0,15,99,3,5,1,5,Packers,2013,6322.0,
774,Chris Jones,NE,DI,902,7979,15,15,1,0,0,19,0,0,35.7,78.2,45.1,35.5,71.3,1,15,9.4,5,1,0.0,8,901,100,285,28,488,29,33,2,24,Patriots,2013,32201.4,
775,Stacy McGee,OAK,DI,350,7987,15,7,0,0,0,23,1,0,52.9,63.7,52.5,55.6,77.3,4,1,0.0,0,1,0.0,1,350,128,118,0,104,9,13,2,6,Raiders,2013,18515.0,
776,Mike Catapano,KC,DI,94,7989,9,0,0,0,0,16,0,0,55.0,0.0,57.5,69.0,70.2,2,6,0.0,0,2,0.0,1,93,0,1,6,86,3,2,0,9,Chiefs,2013,5170.0,
777,Armonty Bryant,CLV,DI,188,7999,12,1,0,0,0,8,0,0,52.8,81.6,52.0,43.9,74.4,3,7,0.0,0,0,79.2,2,186,2,18,2,164,6,7,1,12,Browns,2013,9926.4,
778,Everett Dawkins,DAL,DI,19,8012,1,0,0,0,0,9,0,0,56.3,74.7,53.2,59.9,,0,0,,0,0,0.0,0,19,0,16,0,3,0,0,0,0,Cowboys,2013,1069.7,
779,Damion Square,PHI,DI,154,8042,11,1,1,0,0,24,0,0,37.0,40.0,50.3,42.9,36.6,0,3,33.3,2,1,0.0,0,154,113,9,0,32,2,3,0,3,Eagles,2013,5698.0,
780,Michael Brooks,SEA,DI,15,8145,1,1,0,0,0,29,0,0,60.5,73.1,60.8,59.0,68.1,0,1,0.0,0,0,0.0,0,15,0,7,0,8,0,0,0,1,Seahawks,2013,907.5,
781,Kwame Geathers,SD,DI,38,8175,7,1,0,0,0,27,0,0,37.7,76.0,51.8,50.1,26.9,0,0,25.0,1,0,0.0,0,38,18,9,0,11,0,2,0,0,Chargers,2013,1432.6000000000001,
