player_id,Year,Team,Cap_Space,position_x,age,adjusted_value,Net EPA,Win %,player,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,weighted_grade,weighted_average_grade
00-0033904,2020,Bills,4.120095862764884,,26.0,141.86368107815937,0.134,79.00%,Dion Dawkins,T,100.0,1.0,4.0,78.1,74.7,73.9,4.0,23.0,627.0,100.0,100.0,96.9,4.0,33.0,6.0,1034.0,0.0,0.0,1033.0,1034.0,674.0,674.0,0.0,0.0,360.0,1.0,80755.4,MISSING
00-0034951,2020,Bengals,0.3405650857719475,,23.0,0.0,-0.139,26.70%,Fred Johnson,T,100.0,0.0,7.0,48.4,47.4,49.1,5.0,13.0,274.0,100.0,100.0,96.0,3.0,20.0,2.0,491.0,0.0,0.0,278.0,491.0,293.0,293.0,124.0,77.0,198.0,11.0,23764.4,MISSING
00-0031622,2020,Bengals,3.424571140262361,,26.0,9.862662488597374,-0.139,26.70%,Bobby Hart,T,100.0,0.0,7.0,66.3,60.8,68.5,8.0,32.0,525.0,100.0,100.0,95.4,3.0,44.0,4.0,872.0,0.0,0.0,0.0,872.0,552.0,552.0,0.0,872.0,320.0,0.0,57813.6,MISSING
00-0036310,2020,Bengals,0.3344959636730575,,22.0,44.148250040318125,-0.139,26.70%,Hakeem Adeniji,T,100.0,0.0,7.0,51.6,53.6,53.3,2.0,6.0,143.0,100.0,100.0,94.4,2.0,12.0,4.0,233.0,0.0,0.0,165.0,233.0,150.0,150.0,0.0,63.0,83.0,5.0,12022.8,MISSING
00-0035629,2020,Bengals,2.021622603430878,,22.0,469.73216363524415,-0.139,26.70%,Jonah Williams,T,100.0,0.0,7.0,70.1,75.8,53.4,6.0,11.0,408.0,100.0,100.0,97.2,2.0,20.0,3.0,634.0,0.0,0.0,634.0,634.0,429.0,429.0,0.0,0.0,205.0,0.0,44443.399999999994,MISSING
00-0031095,2020,Bears,5.193743693239152,,28.0,5.756465132860768,-0.032,47.10%,Charles Leno Jr.,T,100.0,0.0,6.0,74.6,69.4,74.5,7.0,30.0,670.0,100.0,100.0,96.5,6.0,42.0,5.0,1066.0,0.0,0.0,1060.0,1066.0,694.0,694.0,0.0,0.0,372.0,6.0,79523.59999999999,66.27599293909972
00-0029528,2020,Bears,4.187689202825428,,31.0,20.404781122471448,-0.032,47.10%,Bobby Massie,T,99.8,1.0,6.0,72.6,70.8,64.7,3.0,10.0,301.0,99.7,99.7,96.8,1.0,16.0,3.0,469.0,0.0,0.0,0.0,470.0,313.0,314.0,0.0,470.0,156.0,0.0,34122.0,MISSING
00-0032766,2020,Bears,0.4162462159434914,,26.0,162.38675196627133,-0.032,47.10%,Jason Spriggs,T,100.0,0.0,6.0,41.6,12.5,69.8,0.0,3.0,43.0,100.0,100.0,91.9,0.0,5.0,2.0,70.0,0.0,0.0,5.0,70.0,44.0,44.0,0.0,65.0,26.0,0.0,2912.0,MISSING
00-0026814,2020,Broncos,1.379603935418769,,34.0,0.0,-0.112,31.30%,Demar Dotson,T,100.0,2.0,10.0,70.8,70.0,68.0,1.0,10.0,228.0,100.0,100.0,97.6,3.0,11.0,0.0,451.0,0.0,0.0,0.0,451.0,246.0,246.0,0.0,451.0,205.0,0.0,31930.8,MISSING
00-0034989,2020,49ers,0.3631251261352169,,23.0,38.332153248086094,0.025,37.50%,Justin Skule,T,100.0,0.0,28.0,45.4,30.4,54.8,4.0,8.0,143.0,100.0,100.0,94.4,3.0,14.0,2.0,255.0,0.0,0.0,137.0,255.0,150.0,150.0,113.0,2.0,105.0,1.0,11577.0,MISSING
