player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,sacks,snap_counts_box,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,stops,tackles,tackles_for_loss,targets,total_pressures,weighted_grade,weighted_average_grade
00-0027014,23.0,MISSING,257.90773919552834,2010,Bengals,-0.06,25.00%,Rey Maualuga,LB,611.0,16.0,10.0,0.0,0.0,7.0,0.0,56.2,67.9,73.3,56.3,74.4,75.5,2.0,2.0,2.0,5.9,4.0,0.0,0.0,1.0,572.0,611.0,59.0,349.0,32.0,54.0,4.0,27.0,5.0,41486.9,MISSING
00-0027044,23.0,4993.0,156.85018541682646,2010,Bengals,-0.06,25.00%,Michael Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027731,23.0,MISSING,81.04727498663136,2010,Bengals,-0.06,25.00%,Roddrick Muckelroy,LB,4.0,2.0,1.0,0.0,0.0,7.0,0.0,MISSING,83.6,68.8,MISSING,71.9,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,334.4,MISSING
00-0024356,27.0,MISSING,47.750685078100446,2010,Bengals,-0.06,25.00%,Brandon Johnson,LB,500.0,16.0,5.0,0.0,0.0,7.0,0.0,73.7,68.3,73.9,52.5,63.7,52.7,2.0,1.0,1.0,10.0,3.0,2.0,2.0,0.0,433.0,491.0,67.0,110.0,15.0,22.0,1.0,33.0,3.0,34150.0,MISSING
00-0019635,32.0,MISSING,5.10495108066649,2010,Bengals,-0.06,25.00%,Dhani Jones,LB,991.0,16.0,17.0,0.0,1.0,7.0,0.0,53.0,57.0,62.6,48.1,67.0,82.2,0.0,1.0,0.0,7.1,9.0,2.0,2.0,1.0,979.0,990.0,77.0,410.0,55.0,100.0,2.0,65.0,2.0,56487.0,MISSING
00-0027245,22.0,5811.0,0.0,2010,Bengals,-0.06,25.00%,Vincent Rey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026725,24.0,MISSING,0.0,2010,Bengals,-0.06,25.00%,Dan Skuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026987,22.0,MISSING,469.73216363524415,2010,Bills,-0.19,25.00%,Aaron Maybin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023446,26.0,MISSING,249.01506048021696,2010,Bills,-0.19,25.00%,Shawne Merriman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025421,25.0,MISSING,225.4076545865423,2010,Bills,-0.19,25.00%,Paul Posluszny,LB,932.0,14.0,28.0,0.0,0.0,4.0,0.0,51.6,58.8,82.9,73.9,60.8,90.7,3.0,3.0,0.0,2.9,4.0,3.0,1.0,3.0,920.0,930.0,51.0,474.0,51.0,104.0,4.0,51.0,9.0,54801.6,MISSING
00-0026212,25.0,MISSING,138.439076962173,2010,Bills,-0.19,25.00%,Chris Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021995,30.0,MISSING,66.021526493308,2010,Bills,-0.19,25.00%,Chris Kelsay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026295,25.0,MISSING,50.37293311686939,2010,Bills,-0.19,25.00%,Thomas Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027777,22.0,5701.0,45.60137429655471,2010,Bills,-0.19,25.00%,Arthur Moats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
