,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,Team,Year,weighted_grade,weighted_average_grade
623,Eric Weddle,SD,S,1020,3653,16,9,0,2,27,0,90.0,90.3,43.6,91.1,1,0,4.2,4,4,3,77.4,26,501,386,575,120,31,82,2,37,0,249,Chargers,2014,92106.0,
624,Usama Young,OAK,S,216,3682,4,5,0,0,23,0,60.1,67.6,82.5,69.2,0,0,12.5,3,1,0,141.1,5,135,65,116,10,3,16,1,7,1,67,Raiders,2014,14601.599999999999,
625,Dashon Goldson,TB,S,780,3742,14,9,1,0,30,1,29.9,31.6,89.4,41.5,0,0,22.2,20,0,1,127.2,23,631,64,452,76,12,61,1,33,2,371,Buccaneers,2014,24648.0,
626,Craig Dahl,SF,S,182,3920,12,2,0,0,28,0,58.9,56.0,85.9,55.8,1,0,16.7,3,1,1,110.0,7,139,25,120,13,2,13,0,9,1,99,49ers,2014,10192.0,
627,James Ihedigbo,DET,S,885,4147,14,12,0,3,11,1,80.3,79.9,49.4,52.0,4,0,18.9,17,5,3,71.2,31,565,182,574,131,28,61,7,45,2,366,Lions,2014,70711.5,
628,Charles Godfrey,ATL,S,205,4381,7,4,0,0,2,0,34.5,34.0,82.9,43.7,0,0,20.0,5,0,1,139.3,14,55,30,138,120,5,16,0,17,3,135,Falcons,2014,6970.0,
629,Thomas DeCoud,CAR,S,665,4412,12,6,0,0,5,0,61.9,55.9,22.9,56.8,1,0,14.9,7,2,3,88.2,10,549,90,403,21,5,34,0,17,3,90,Panthers,2014,37173.5,
630,Tyvon Branch,OAK,S,190,4414,3,3,0,0,23,0,58.6,64.9,81.1,73.2,0,0,12.9,4,0,0,100.0,4,108,66,80,15,10,24,0,5,0,40,Raiders,2014,12331.000000000002,
631,Dwight Lowery,ATL,S,1029,4427,16,10,0,1,2,1,62.0,67.4,91.1,67.9,2,0,10.1,10,1,0,79.6,45,425,379,588,199,18,79,3,71,0,621,Falcons,2014,69354.6,
632,Quintin Demps,NYG,S,629,4431,15,7,0,1,21,0,57.2,55.4,50.1,51.0,4,0,17.2,10,2,1,66.5,19,386,163,373,76,12,41,1,30,2,209,Giants,2014,34846.6,
633,Ryan Mundy,CHI,S,947,4508,16,22,1,0,6,1,75.7,75.4,37.5,89.2,4,1,7.1,8,0,2,75.9,34,432,354,552,145,32,82,0,50,3,366,Bears,2014,71403.8,
634,Husain Abdullah,KC,S,1025,4652,16,14,1,0,16,0,80.5,72.7,91.8,76.2,1,1,10.9,10,6,3,76.0,32,298,551,573,155,26,68,2,49,0,329,Chiefs,2014,74517.5,
635,Malcolm Jenkins,PHI,S,1158,4937,16,14,0,0,24,1,75.7,75.8,65.8,72.6,3,1,13.0,12,11,2,81.8,36,603,322,687,219,17,66,3,59,3,469,Eagles,2014,87776.4,
636,Louis Delmas,MIA,S,834,4956,13,10,1,0,17,2,63.7,65.6,60.5,58.6,1,1,13.5,10,2,2,96.5,13,509,215,486,99,24,54,3,18,2,88,Dolphins,2014,54710.399999999994,
637,Patrick Chung,NE,S,976,4957,19,11,0,0,19,0,70.9,77.6,65.5,74.5,1,0,11.6,11,4,3,109.5,36,239,437,557,248,35,73,4,59,6,421,Patriots,2014,75737.59999999999,
638,Jairus Byrd,NO,S,267,4965,4,5,1,1,20,0,58.8,53.1,85.1,37.2,0,0,25.0,7,1,1,93.8,5,222,40,155,5,5,16,1,8,0,76,Saints,2014,14177.7,
639,Mike Mitchell,PIT,S,1010,4970,17,13,1,2,25,0,46.4,52.5,17.7,77.0,0,0,10.8,9,0,5,143.8,20,851,114,638,33,9,61,0,26,3,244,Steelers,2014,53025.0,
640,William Moore,ATL,S,322,4978,7,7,0,2,2,0,40.5,42.3,82.8,47.0,0,0,22.2,6,0,1,109.0,9,202,88,188,27,1,14,0,12,0,128,Falcons,2014,13620.599999999999,
641,Sherrod Martin,JAX,S,135,4982,9,3,0,1,15,0,66.9,65.3,0.0,31.4,1,0,26.3,5,0,1,106.7,8,51,14,75,69,3,11,1,10,2,96,Jaguars,2014,8815.5,
642,Rashad Johnson,ARZ,S,1131,5018,17,9,0,0,1,2,55.2,56.9,89.5,50.8,4,2,16.7,19,2,0,86.4,33,815,242,704,65,22,86,3,44,1,610,Cardinals,2014,64353.9,
643,Glover Quin,DET,S,1100,5035,17,9,0,0,11,0,90.4,88.1,66.3,76.4,7,0,11.4,10,1,2,76.5,24,954,65,735,77,14,69,2,36,3,265,Lions,2014,96910.0,
644,David Bruton,DEN,S,228,5037,9,5,0,2,10,0,78.7,79.1,82.1,85.1,0,0,0.0,0,1,1,86.0,11,143,54,162,28,6,19,1,15,0,82,Broncos,2014,18034.8,
645,Don Carey,DET,S,133,5101,7,1,0,0,11,1,63.9,62.1,0.0,71.6,0,0,12.5,1,0,2,109.6,7,0,14,61,119,4,6,1,10,1,38,Lions,2014,8259.300000000001,
646,Jamarca Sanford,NO,S,109,5155,4,3,0,0,20,0,66.5,71.0,79.6,58.9,0,0,7.1,1,0,0,56.3,1,46,48,43,15,3,10,2,2,0,5,Saints,2014,7739.0,
647,Colt Anderson,IND,S,38,5242,8,0,0,0,14,0,67.2,66.8,77.4,80.6,0,0,0.0,0,0,0,0.0,0,15,7,21,16,0,2,0,0,0,0,Colts,2014,2538.4,
648,C.J. Spillman,DAL,S,79,5370,9,2,0,0,9,0,47.8,39.7,83.2,58.5,0,0,18.2,2,0,1,71.9,2,47,24,52,6,2,7,0,4,0,27,Cowboys,2014,3136.3,
649,Eric Berry,KC,S,361,5530,6,8,0,0,16,0,54.4,58.7,81.9,65.4,0,0,14.6,7,1,0,116.4,10,250,68,217,35,9,33,0,14,1,104,Chiefs,2014,21190.7,
650,Earl Thomas III,SEA,S,1166,5539,19,20,0,4,29,1,89.1,87.2,87.9,75.4,1,0,12.4,16,4,1,100.3,17,1080,50,714,31,25,93,2,30,4,182,Seahawks,2014,101675.2,
651,Devin McCourty,NE,S,1176,5552,19,10,0,1,19,0,90.2,90.0,88.4,83.4,3,0,8.6,7,4,0,62.6,16,956,111,738,85,8,64,0,28,2,193,Patriots,2014,105840.0,
652,Nate Allen,PHI,S,1081,5562,15,8,0,2,24,3,72.5,73.6,46.8,67.3,4,0,12.7,9,2,4,106.3,24,605,261,643,212,7,54,0,36,5,420,Eagles,2014,79561.59999999999,
653,T.J. Ward,DEN,S,1075,5563,16,14,0,0,10,0,55.4,63.7,89.7,54.8,2,0,19.4,20,2,5,99.7,60,389,495,700,171,31,69,5,84,6,487,Broncos,2014,68477.5,
654,Taylor Mays,CIN,S,60,5574,10,0,0,0,7,0,58.4,60.4,78.8,80.6,0,0,0.0,0,0,0,91.0,4,3,46,41,9,2,2,0,6,0,48,Bengals,2014,3624.0,
655,Morgan Burnett,GB,S,1070,5596,17,23,1,1,12,1,55.0,71.2,87.4,89.9,2,0,6.8,9,3,1,125.8,36,592,326,614,130,43,100,4,46,5,453,Packers,2014,76184.0,
656,Major Wright,TB,S,505,5600,11,4,2,0,30,0,53.6,59.8,42.6,71.9,0,0,11.5,6,1,3,130.2,11,335,133,290,34,12,42,2,16,4,120,Buccaneers,2014,30199.0,
657,Darrell Stuckey,SD,S,173,5634,12,1,0,0,27,1,62.9,66.6,83.2,53.0,0,0,9.1,1,1,0,48.3,4,99,53,128,18,3,9,1,11,0,42,Chargers,2014,11521.8,
658,Kam Chancellor,SEA,S,1044,5656,17,9,0,0,29,0,80.3,78.2,89.5,56.5,2,1,15.3,18,3,1,75.3,40,341,500,633,173,43,91,2,57,1,321,Seahawks,2014,81640.8,
659,Kendrick Lewis,HST,S,1077,5659,16,17,0,3,13,1,59.9,66.9,95.0,60.4,2,1,15.2,14,1,0,69.3,20,738,258,659,78,14,61,4,33,1,252,Texans,2014,72051.3,
660,Larry Asante,OAK,S,161,5683,6,2,0,1,23,0,56.1,60.2,80.4,50.9,0,0,22.7,5,0,0,42.4,1,134,15,101,11,3,15,0,3,0,2,Raiders,2014,9692.2,
661,Reshad Jones,MIA,S,757,5686,12,6,0,0,17,0,64.8,81.0,86.3,90.5,3,0,5.6,5,4,0,83.0,15,495,193,429,52,27,79,4,24,3,166,Dolphins,2014,61317.0,
662,Kurt Coleman,KC,S,391,5767,15,6,0,1,16,1,75.4,79.2,87.0,81.2,3,0,7.9,3,0,0,24.0,8,301,46,325,40,4,29,0,16,0,76,Chiefs,2014,30967.2,
663,Stevie Brown,NYG,S,576,5773,14,5,0,0,21,0,47.4,55.8,86.1,75.3,0,0,11.9,5,1,0,152.6,12,324,147,332,99,12,32,1,17,3,300,Giants,2014,32140.8,
664,Rafael Bush,NO,S,468,5779,10,4,0,0,20,0,49.4,57.2,87.6,88.5,0,0,5.7,3,2,2,117.1,9,388,46,300,31,9,46,2,21,3,200,Saints,2014,26769.600000000002,
665,Sergio Brown,IND,S,532,5803,15,7,0,0,14,1,68.8,70.7,81.7,60.3,0,0,15.4,6,4,1,64.9,14,326,151,305,47,11,26,1,25,0,97,Colts,2014,37612.4,
666,Jeromy Miles,BLT,S,355,5810,15,7,0,0,3,1,77.0,79.0,84.7,69.5,1,0,12.9,4,0,0,27.1,4,257,60,252,28,8,20,0,10,0,75,Ravens,2014,28045.0,
667,Darian Stewart,BLT,S,873,5820,18,5,0,1,3,1,70.1,73.7,90.0,60.3,2,0,14.5,9,2,0,87.1,21,511,187,523,139,15,48,2,33,2,293,Ravens,2014,64340.100000000006,
668,Chris Maragos,PHI,S,15,5906,2,0,0,0,24,0,49.6,47.5,73.6,,0,0,,0,0,0,0.0,0,12,1,12,2,0,0,0,0,0,0,Eagles,2014,712.5,
669,Barry Church,DAL,S,997,5924,18,14,0,2,9,1,62.7,68.8,90.5,70.4,2,0,12.3,15,3,2,89.1,27,729,194,613,60,35,93,3,40,2,335,Cowboys,2014,68593.59999999999,
670,Danny McCray,CHI,S,168,5929,6,5,0,0,6,1,40.5,46.1,82.0,78.4,0,0,5.6,1,0,1,139.6,4,133,22,104,13,4,12,0,5,2,40,Bears,2014,7744.8,
671,Andrew Sendejo,MIN,S,141,6118,10,2,0,1,18,0,64.5,71.9,81.1,82.2,0,0,11.8,2,0,0,147.0,5,107,15,85,19,7,13,0,7,2,77,Vikings,2014,10137.900000000001,
672,Ras-I Dowling,OAK,S,36,6185,3,0,0,0,23,0,54.3,56.2,74.3,79.0,0,0,0.0,0,0,0,95.8,1,25,10,27,1,2,2,0,2,1,1,Raiders,2014,2023.2,
673,Aaron Williams,BUF,S,901,6186,15,15,0,0,4,1,62.9,61.2,36.6,59.9,1,0,13.9,11,3,3,86.9,20,575,184,557,132,11,53,3,30,1,231,Bills,2014,55141.200000000004,
674,Rahim Moore,DEN,S,1126,6197,17,5,0,2,10,1,74.0,69.7,91.5,53.1,5,0,19.4,12,2,0,101.1,17,1020,62,772,34,10,45,0,22,3,183,Broncos,2014,78482.2,
675,Marcus Gilchrist,SD,S,987,6202,16,14,3,2,27,0,58.5,63.2,63.9,90.2,1,0,4.9,4,1,7,112.1,39,206,323,567,437,24,64,6,57,5,425,Chargers,2014,62378.4,
676,Jaiquawn Jarrett,NYJ,S,383,6206,14,5,1,1,22,1,83.0,81.3,29.4,56.2,2,0,18.2,6,1,1,44.6,6,282,74,211,26,3,22,1,14,1,76,Jets,2014,31137.899999999998,
677,Chris Conte,CHI,S,463,6245,12,4,0,0,6,0,64.1,67.4,85.9,69.1,3,0,14.0,7,0,0,109.7,12,395,38,284,26,1,39,0,18,4,250,Bears,2014,31206.200000000004,
678,Da'Norris Searcy,BUF,S,648,6252,15,10,0,0,4,1,66.1,75.0,91.6,84.3,3,0,9.2,6,1,0,21.5,9,400,150,401,89,17,49,2,19,0,89,Bills,2014,48600.0,
679,Quinton Carter,DEN,S,216,6260,9,4,0,1,10,0,51.4,49.2,83.3,57.4,0,0,15.0,3,1,1,142.9,11,125,52,176,37,4,13,0,13,1,158,Broncos,2014,10627.2,
680,Chris Prosinski,PHI,S,30,6273,4,1,0,0,24,0,31.1,32.9,75.6,80.6,0,0,0.0,0,0,0,158.3,2,16,9,22,4,1,3,1,2,2,70,Eagles,2014,987.0,
681,Jimmy Wilson,MIA,S,786,6387,14,2,0,0,17,0,64.1,60.6,9.2,52.7,1,0,15.6,10,1,5,108.0,32,273,103,452,383,15,52,1,41,2,347,Dolphins,2014,47631.6,
682,Jeron Johnson,SEA,S,98,6621,5,2,0,0,29,0,64.4,67.3,79.3,63.8,0,0,16.7,2,1,0,86.6,8,53,36,67,8,2,8,1,11,0,63,Seahawks,2014,6595.4,
683,Ron Parker,KC,S,1013,6625,16,6,0,1,16,0,68.9,63.8,65.7,42.4,1,0,20.0,22,9,4,93.3,52,467,123,612,130,14,82,1,84,4,579,Chiefs,2014,64629.399999999994,
684,Isa Abdul-Quddus,DET,S,303,6722,13,9,0,0,11,0,68.3,70.7,85.8,62.9,0,0,13.5,5,3,0,113.6,9,214,64,189,24,7,23,1,15,2,79,Lions,2014,21422.100000000002,
685,Brandian Ross,OAK,S,707,6755,13,9,1,1,23,0,53.2,54.8,56.0,41.9,2,0,20.8,15,3,2,44.4,19,426,119,430,153,11,48,1,39,0,216,Raiders,2014,38743.6,
686,Will Hill III,BLT,S,703,6999,12,7,0,0,3,0,83.8,83.9,56.4,74.2,1,1,10.4,5,4,1,76.3,11,522,101,478,57,14,36,3,26,3,103,Ravens,2014,58981.700000000004,
687,Mark Barron,SL,S,639,7013,15,13,0,0,26,1,58.2,56.7,18.3,64.9,0,0,12.9,9,2,2,98.7,20,328,199,362,101,18,48,0,33,1,285,Rams,2014,36231.3,
688,Tavon Wilson,NE,S,211,7051,17,1,0,0,19,0,71.7,79.5,83.2,69.2,0,0,12.0,3,2,0,83.9,11,93,87,133,25,10,21,1,16,0,94,Patriots,2014,16774.5,
689,Robert Blanton,MIN,S,948,7136,15,20,2,0,18,1,60.0,72.5,89.1,91.8,1,0,3.7,4,1,3,88.9,14,748,147,542,50,26,84,0,24,1,240,Vikings,2014,68730.0,
690,George Iloka,CIN,S,1184,7159,17,12,0,0,7,0,64.2,69.3,69.1,69.5,3,0,11.4,9,6,2,42.1,14,881,203,706,90,13,58,1,33,1,257,Bengals,2014,82051.2,
691,Keith Tandy,TB,S,67,7166,8,0,0,0,30,0,80.5,82.7,78.1,81.1,1,0,0.0,0,0,0,2.8,1,44,9,36,13,0,4,0,3,0,5,Buccaneers,2014,5540.900000000001,
692,Trenton Robinson,WAS,S,101,7170,9,4,0,0,32,0,65.4,63.3,81.0,74.4,1,0,6.3,1,0,0,72.9,7,45,14,75,41,3,11,0,10,0,126,Commanders,2014,6393.299999999999,
693,Winston Guy,JAX,S,234,7171,4,1,0,0,15,0,39.4,33.8,0.0,28.2,0,0,36.4,8,1,2,149.1,9,151,50,140,33,5,13,1,11,1,148,Jaguars,2014,7909.199999999999,
694,Josh Bush,DEN,S,13,7176,1,1,0,0,10,0,71.2,76.3,70.1,77.3,1,0,0.0,0,0,0,0.0,0,12,0,12,1,0,0,0,1,0,0,Broncos,2014,991.9,
695,Nate Ebner,NE,S,34,7193,6,1,0,0,19,0,71.1,72.4,76.9,79.7,0,0,0.0,0,0,0,88.5,3,5,20,28,8,2,3,0,4,0,23,Patriots,2014,2461.6000000000004,
696,Rodney McLeod,SL,S,1025,7271,16,7,0,2,26,2,71.2,67.1,89.3,62.0,2,0,17.2,15,2,1,94.9,24,910,57,608,55,15,65,3,33,2,295,Rams,2014,68777.5,
697,Michael Thomas,MIA,S,96,7279,7,1,0,0,17,0,65.0,66.1,79.4,82.4,0,0,0.0,0,0,0,80.2,2,22,17,58,57,1,6,0,4,0,35,Dolphins,2014,6345.599999999999,
698,Tashaun Gipson Sr.,CLV,S,772,7288,11,8,0,1,8,0,79.9,79.2,34.4,64.9,6,1,12.2,6,1,2,41.9,12,522,129,450,110,10,35,3,20,0,141,Browns,2014,61142.4,
699,Duke Ihenacho,WAS,S,4,7297,1,0,0,0,32,0,60.6,60.9,73.9,,0,0,,0,0,0,0.0,0,4,0,4,0,0,0,0,0,0,0,Commanders,2014,243.6,
700,Robert Golden,PIT,S,5,7303,4,0,0,0,25,0,61.2,61.9,70.3,,0,0,,0,0,0,0.0,0,4,1,4,0,0,0,0,0,0,0,Steelers,2014,309.5,
701,Kelcie McCray,KC,S,57,7396,13,3,0,0,16,0,61.3,54.5,78.0,55.9,0,0,16.7,1,0,0,112.5,1,24,22,43,10,0,2,0,1,0,11,Chiefs,2014,3106.5,
702,Sean Baker,ATL,S,17,7442,1,0,0,0,2,0,70.9,62.7,74.3,29.8,0,0,33.3,1,0,0,39.6,0,6,8,4,3,1,2,0,1,0,0,Falcons,2014,1065.9,
703,DeShawn Shead,SEA,S,94,7450,5,0,0,0,29,0,53.4,54.7,80.2,57.7,0,0,14.3,1,2,0,131.9,9,38,22,68,18,1,6,0,12,2,80,Seahawks,2014,5141.8,
704,Sean Richardson,GB,S,133,7456,14,0,0,0,12,0,51.7,56.1,83.7,80.5,0,0,7.7,1,0,0,121.9,4,54,61,66,15,6,12,2,8,1,74,Packers,2014,7461.3,
705,Eddie Pleasant,HST,S,60,7593,6,1,0,0,13,0,68.3,72.6,82.4,60.2,0,0,25.0,1,1,0,42.4,1,27,27,47,5,0,2,0,3,0,7,Texans,2014,4356.0,
706,Harrison Smith,MIN,S,1070,7641,16,21,1,1,18,0,74.8,87.4,90.1,84.5,5,1,9.7,11,3,4,67.9,26,614,304,593,137,25,81,5,40,2,332,Vikings,2014,93518.0,
707,Kenny Vaccaro,NO,S,980,7796,15,9,1,1,20,0,58.9,48.4,0.0,36.1,2,0,22.1,19,2,10,67.9,23,447,350,535,159,19,58,0,34,0,277,Saints,2014,47432.0,
708,Eric Reid,SF,S,879,7799,15,7,0,0,28,0,61.4,64.2,0.0,72.7,3,0,12.8,6,2,6,74.2,16,728,71,538,74,7,34,0,27,5,147,49ers,2014,56431.8,
709,Matt Elam,BLT,S,680,7813,18,8,2,1,3,0,33.9,40.8,86.0,27.6,0,0,28.6,18,2,6,120.0,38,193,85,395,387,11,37,2,53,3,500,Ravens,2014,27743.999999999996,
710,Johnathan Cyprien,JAX,S,985,7814,15,22,0,0,15,0,61.4,66.8,88.0,58.5,0,0,15.6,21,3,0,137.7,25,557,302,554,107,35,92,4,35,3,399,Jaguars,2014,65798.0,
711,D.J. Swearinger Sr.,HST,S,1018,7838,16,12,0,3,13,1,58.9,55.3,62.6,55.0,2,0,18.8,16,3,2,99.2,35,318,575,581,115,21,57,3,59,5,475,Texans,2014,56295.399999999994,
712,Tyrann Mathieu,ARZ,S,448,7850,14,4,0,0,1,1,73.3,68.1,40.1,66.3,1,0,16.0,8,3,1,93.8,21,167,143,298,134,18,38,3,29,1,238,Cardinals,2014,30508.799999999996,
713,T.J. McDonald,SL,S,1049,7852,16,15,0,0,26,1,54.7,61.3,65.9,77.3,1,0,8.8,10,3,3,125.0,43,460,456,596,107,47,89,7,59,6,500,Rams,2014,64303.7,
714,J.J. Wilcox,DAL,S,1109,7861,18,10,1,1,9,2,52.8,52.9,68.4,39.5,3,0,18.3,17,1,4,71.1,22,923,114,681,61,17,66,0,33,2,247,Cowboys,2014,58666.1,
715,Shawn Williams,CIN,S,27,7865,10,0,0,0,7,0,62.0,54.0,89.2,23.8,0,0,,0,0,0,0.0,0,14,12,14,0,0,0,0,0,0,0,Bengals,2014,1458.0,
716,Duron Harmon,NE,S,317,7872,19,4,0,0,19,1,72.4,71.6,0.0,89.0,2,0,0.0,0,0,2,0.0,0,300,17,248,0,0,7,0,1,0,0,Patriots,2014,22697.199999999997,
717,Duke Williams,BUF,S,528,7887,16,3,0,1,4,1,66.5,72.7,84.2,60.4,1,0,14.9,7,1,4,77.1,20,239,161,329,113,10,37,2,29,0,222,Bills,2014,38385.6,
718,Shamarko Thomas,PIT,S,2,7893,1,0,0,0,25,0,60.3,60.3,64.5,,0,0,,0,0,0,0.0,0,1,1,2,0,0,0,0,0,0,0,Steelers,2014,120.6,
719,Phillip Thomas,WAS,S,271,7901,6,3,0,0,32,1,38.8,38.3,85.0,31.3,0,0,25.0,8,0,0,95.6,12,88,108,150,71,11,21,0,15,0,104,Commanders,2014,10379.3,
720,Earl Wolff,PHI,S,76,7918,3,0,0,0,24,0,44.1,45.1,78.8,27.9,0,0,50.0,1,1,0,124.2,3,44,9,47,22,0,1,0,5,1,39,Eagles,2014,3427.6,
721,Micah Hyde,GB,S,796,7941,18,13,0,0,12,0,64.4,63.0,59.5,68.7,2,0,12.3,8,3,3,80.8,41,127,227,500,413,14,44,1,63,2,410,Packers,2014,50148.0,
722,Josh Evans,JAX,S,971,7951,16,12,0,0,15,2,43.8,43.2,89.6,42.0,0,0,20.0,21,2,0,99.8,19,694,189,545,88,15,72,1,31,1,267,Jaguars,2014,41947.200000000004,
723,Bacarri Rambo,BUF,S,128,7972,6,2,0,0,4,0,30.5,29.8,80.1,26.9,2,0,20.0,1,0,0,116.7,3,89,29,71,9,0,2,0,4,2,155,Bills,2014,3814.4,
724,Jordan Poyer,CLV,S,116,8000,9,6,0,0,8,0,65.6,71.3,80.4,73.4,0,0,7.7,1,0,0,70.1,2,64,15,82,32,1,6,0,3,0,8,Browns,2014,8270.8,
725,Kemal Ishmael,ATL,S,805,8026,16,22,0,1,2,1,50.5,61.1,88.6,90.5,4,1,7.5,8,2,1,108.9,27,542,211,487,48,14,77,2,38,4,516,Falcons,2014,49185.5,
726,Daimion Stafford,TEN,S,277,8031,11,2,0,0,31,0,48.8,53.7,83.2,40.1,1,0,25.9,7,1,1,96.5,10,181,78,185,12,9,18,1,13,2,71,Titans,2014,14874.900000000001,
727,Don Jones,MIA,S,1,8033,1,0,0,0,17,0,,60.0,89.4,,0,0,,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,Dolphins,2014,60.0,
728,Robert Lester,CAR,S,16,8045,1,0,0,0,5,0,47.8,57.5,72.2,27.4,0,0,50.0,1,0,0,118.8,1,11,3,4,2,1,1,0,1,0,25,Panthers,2014,920.0,
729,Jahleel Addae,SD,S,427,8117,11,12,0,2,27,1,61.6,64.6,85.3,68.0,0,0,13.7,7,1,2,104.2,10,339,61,288,21,9,32,0,11,0,99,Chargers,2014,27584.199999999997,
730,Bradley McDougald,TB,S,445,8220,14,3,0,0,30,0,71.1,67.8,85.1,56.1,1,0,21.8,12,6,0,86.9,18,244,141,245,43,15,40,1,28,1,230,Buccaneers,2014,30171.0,
731,Jordan Kovacs,MIA,S,33,8275,2,2,0,0,17,0,72.2,68.5,74.3,57.2,0,0,16.7,1,0,0,0.0,0,30,2,20,0,2,3,0,0,0,0,Dolphins,2014,2260.5,
732,Tony Jefferson,ARZ,S,727,8361,17,12,0,1,1,0,42.0,53.8,86.4,74.7,0,0,9.8,9,1,3,111.7,27,267,336,395,96,29,71,3,37,2,273,Cardinals,2014,39112.6,
733,Jeff Heath,DAL,S,156,8396,14,5,0,0,9,0,60.7,64.4,88.1,67.7,0,0,14.3,4,0,2,74.0,5,109,26,102,12,2,19,0,8,0,38,Cowboys,2014,10046.400000000001,
734,Jakar Hamilton,DAL,S,1,8408,1,0,0,0,9,0,,60.0,62.6,,0,0,,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Cowboys,2014,60.0,
735,Steven Terrell,SEA,S,24,8450,4,0,0,0,29,0,57.4,61.7,80.5,,0,0,,0,0,0,81.3,1,0,2,17,19,0,0,0,2,0,18,Seahawks,2014,1480.8000000000002,
736,Cody Davis,SL,S,16,8458,5,0,0,0,26,1,79.5,84.0,73.9,80.7,0,0,0.0,0,0,0,0.0,0,10,3,11,3,1,2,0,0,0,0,Rams,2014,1344.0,
737,Brynden Trawick,BLT,S,55,8471,11,2,0,0,3,0,57.7,62.1,77.6,82.3,0,0,0.0,0,0,0,118.8,2,23,21,24,7,0,2,0,2,0,33,Ravens,2014,3415.5,
738,Calvin Pryor,NYJ,S,680,8653,15,11,0,0,22,0,63.3,68.4,86.7,51.7,0,0,22.7,15,1,0,121.1,15,547,94,405,35,20,40,2,19,2,88,Jets,2014,46512.00000000001,
739,Ha Ha Clinton-Dix,GB,S,1069,8656,18,13,0,0,12,0,69.2,67.4,69.4,67.5,3,0,14.2,15,4,2,30.3,13,791,189,643,78,16,78,1,25,0,147,Packers,2014,72050.6,
740,Deone Bucannon,ARZ,S,712,8662,17,10,1,1,1,1,64.9,48.1,91.6,84.0,0,0,8.9,8,2,1,112.4,45,8,624,421,63,35,72,4,53,2,422,Cardinals,2014,34247.200000000004,
741,Dezmen Southward,ATL,S,251,8703,13,5,0,0,2,0,41.5,44.2,83.5,49.5,1,0,23.1,6,0,0,64.2,8,193,36,200,18,3,15,0,12,0,119,Falcons,2014,11094.2,
742,Terrence Brooks,BLT,S,234,8714,7,2,0,0,3,1,47.3,46.8,83.8,63.2,0,0,13.6,3,1,0,109.7,8,202,10,187,18,1,17,0,12,0,150,Ravens,2014,10951.199999999999,
743,Walt Aikens,MIA,S,66,8760,8,0,1,0,17,0,57.2,60.6,77.9,63.8,1,0,11.1,1,0,1,61.2,4,38,4,36,8,2,8,0,5,0,41,Dolphins,2014,3999.6,
744,Tre Boston,CAR,S,458,8763,11,7,0,0,5,0,67.2,73.9,87.9,81.0,2,1,6.3,2,2,0,96.4,8,374,64,285,18,4,23,0,14,2,157,Panthers,2014,33846.200000000004,
745,Brock Vereen,CHI,S,502,8766,13,5,0,1,6,0,65.3,63.6,86.0,62.2,1,0,18.4,7,0,0,8.3,2,457,25,313,20,1,26,0,5,0,7,Bears,2014,31927.2,
746,Nat Berhe,NYG,S,33,8787,6,1,0,0,21,0,68.2,71.3,99.9,85.9,0,0,0.0,0,0,0,0.0,0,21,10,24,0,0,3,0,0,0,0,Giants,2014,2352.9,
747,Vinnie Sunseri,NO,S,11,8802,4,0,0,0,20,0,72.6,74.9,73.2,77.2,0,0,0.0,0,0,0,39.6,0,2,6,7,2,0,1,0,1,0,0,Saints,2014,823.9000000000001,
748,Antone Exum Jr.,MIN,S,16,8817,2,0,0,0,18,0,63.5,68.7,73.9,80.6,0,0,0.0,0,0,0,0.0,0,14,0,11,1,0,1,0,0,0,0,Vikings,2014,1099.2,
749,Jonathan Dowling,OAK,S,13,8881,3,0,0,0,23,0,63.1,65.0,70.6,75.2,0,0,,0,0,0,0.0,0,11,1,6,1,0,0,0,0,0,0,Raiders,2014,845.0,
750,Dewey McDonald,IND,S,8,8913,2,0,0,0,14,0,60.3,61.3,71.2,,0,0,,0,0,0,0.0,0,8,0,3,0,0,0,0,0,0,0,Colts,2014,490.4,
751,Pierre Warren,NO,S,405,8996,6,6,0,1,20,1,76.4,71.8,86.0,37.8,2,0,27.0,10,0,0,56.1,7,361,24,239,17,1,21,0,11,0,107,Saints,2014,29079.0,
752,Akeem Davis,WAS,S,5,9127,2,0,0,0,32,0,61.9,66.6,70.4,79.3,0,0,0.0,0,0,0,0.0,0,2,2,1,1,1,2,0,0,0,0,Commanders,2014,333.0,
753,Adrian Phillips,SD,S,46,9177,3,1,0,0,27,0,72.4,71.6,76.7,36.5,0,0,50.0,1,1,0,39.6,0,38,7,31,1,0,0,0,1,0,0,Chargers,2014,3293.6,
754,Jerome Couplin III,PHI,S,11,9235,4,0,0,0,24,0,64.0,67.7,72.5,78.0,0,0,0.0,0,0,0,0.0,0,2,8,5,0,0,2,0,0,0,0,Eagles,2014,744.7,
