,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,Team,Year,weighted_grade,weighted_average_grade
28,Mike Adams,CLV,S,306,1972,15,2,0,0,8,0,56.3,61.0,85.0,74.6,2,0,8.6,3,3,0,96.0,29,18,119,234,141,10,30,0,40,3,282,Browns,2010,18666.0,
29,Jordan Babineaux,SEA,S,528,1980,18,6,1,1,29,0,62.0,63.9,87.1,59.3,2,0,15.9,7,3,1,83.9,31,62,209,339,230,17,31,3,50,3,322,Seahawks,2010,33739.2,
30,George Wilson,BUF,S,256,2210,15,0,0,0,4,0,69.6,70.3,81.3,40.2,2,0,26.3,5,2,0,38.4,5,146,100,109,5,9,14,0,9,0,64,Bills,2010,17996.8,
31,Antrel Rolle,NYG,S,991,2225,16,9,0,0,21,1,35.6,49.7,13.6,76.3,1,0,12.0,11,1,3,119.2,28,491,311,559,183,30,72,4,36,2,394,Giants,2010,49252.700000000004,
32,Brodney Pool,NYJ,S,929,2251,18,11,0,1,22,1,68.9,72.7,85.6,72.8,2,0,10.0,7,8,3,46.7,16,620,259,516,36,24,52,3,34,1,164,Jets,2010,67538.3,
33,Josh Bullocks,CHI,S,65,2257,6,0,0,0,6,0,60.3,59.9,74.7,59.8,0,0,14.3,1,0,0,97.9,2,55,10,43,0,2,6,1,2,0,15,Bears,2010,3893.5,
34,Nick Collins,GB,S,1208,2268,20,6,0,0,12,1,65.7,64.7,4.9,70.1,5,1,10.3,8,7,4,48.6,17,1038,159,730,6,13,64,1,41,2,347,Packers,2010,78157.6,
35,O.J. Atogwe,SL,S,975,2283,16,8,0,2,26,0,57.1,70.0,33.4,89.8,3,0,6.4,5,1,4,72.2,23,621,275,559,76,16,65,3,39,2,336,Rams,2010,68250.0,
36,Sean Considine,JAX,S,411,2319,11,6,0,1,15,1,42.3,45.8,81.7,47.0,1,0,20.0,10,1,1,116.9,19,300,95,245,9,14,34,0,22,2,205,Jaguars,2010,18823.8,
37,Kerry Rhodes,ARZ,S,1130,2340,16,8,0,0,1,4,73.0,65.7,39.9,61.6,4,0,14.7,15,7,2,55.0,18,815,258,576,43,15,79,1,31,1,248,Cardinals,2010,74241.0,
38,James Sanders,NE,S,810,2350,16,17,0,0,19,1,56.5,57.7,84.0,68.7,3,1,14.1,9,3,2,77.1,22,614,177,502,16,5,38,0,36,3,268,Patriots,2010,46737.0,
39,Matt Giordano,NO,S,10,2352,2,1,0,0,20,0,55.1,56.7,68.6,38.5,0,0,0.0,0,0,0,0.0,0,10,0,7,0,0,0,0,0,0,0,Saints,2010,567.0,
40,Gerald Sensabaugh,DAL,S,918,2374,16,3,0,0,9,0,61.9,68.8,85.8,66.0,5,0,10.0,7,3,0,47.0,24,575,307,536,17,30,60,1,42,1,292,Cowboys,2010,63158.399999999994,
41,Chris Harris,CHI,S,918,2398,18,7,0,0,6,2,39.1,56.6,83.9,68.0,5,0,11.7,9,1,0,76.5,22,761,143,562,10,16,61,1,37,3,332,Bears,2010,51958.8,
42,C.C. Brown,DET,S,585,2405,14,3,0,1,11,0,55.2,52.4,82.6,29.9,0,0,23.9,11,3,0,75.7,9,460,111,348,10,9,32,0,18,0,138,Lions,2010,30654.0,
43,Hamza Abdullah,ARZ,S,9,2448,2,1,0,0,1,0,61.5,68.9,69.4,76.7,0,0,0.0,0,0,0,0.0,0,6,2,7,0,0,0,0,0,0,0,Cardinals,2010,620.1,
44,Atari Bigby,GB,S,72,2496,4,0,0,0,12,1,59.7,62.6,76.1,80.7,0,0,25.0,1,0,0,88.2,4,47,23,42,2,1,3,0,6,0,44,Packers,2010,4507.2,
45,James Butler,SL,S,351,2517,12,2,0,1,26,1,58.6,63.9,80.5,90.2,2,0,0.0,0,1,0,75.3,8,285,62,246,4,6,18,1,14,4,86,Rams,2010,22428.899999999998,
46,Aaron Francisco,IND,S,797,2594,13,13,0,0,14,0,66.5,62.1,52.8,55.4,2,0,14.7,10,0,1,74.8,13,646,143,471,7,9,45,3,18,0,231,Colts,2010,49493.700000000004,
47,Jim Leonhard,NYJ,S,719,2694,11,2,0,0,22,1,54.6,57.9,85.4,84.5,1,0,6.7,4,1,1,121.9,19,413,265,398,31,11,54,1,28,3,285,Jets,2010,41630.1,
48,Ray Ventrone,CLV,S,105,2824,12,1,0,1,8,0,42.6,42.1,82.1,40.6,0,0,25.0,3,0,1,144.4,11,8,84,76,11,4,8,0,13,1,188,Browns,2010,4420.5,
49,Hiram Eugene,OAK,S,34,2935,5,0,0,0,23,0,63.9,58.9,73.3,57.5,0,0,25.0,1,0,0,0.0,0,24,7,11,0,0,3,0,0,0,0,Raiders,2010,2002.6,
50,Michael Huff,OAK,S,972,2952,16,7,0,4,23,0,81.9,90.1,85.0,87.6,3,0,6.5,5,4,1,82.5,20,692,174,517,9,23,65,5,33,3,297,Raiders,2010,87577.2,
51,Donte Whitner,BUF,S,1093,2953,16,23,0,1,4,1,35.9,59.0,61.7,91.9,1,0,3.7,5,5,2,125.9,28,819,250,527,15,25,107,1,39,6,328,Bills,2010,64487.0,
52,Danieal Manning,CHI,S,991,2987,18,9,1,0,6,0,71.4,75.4,84.3,90.6,1,0,3.6,3,6,2,67.3,24,797,159,637,19,22,71,1,44,1,229,Bears,2010,74721.40000000001,
53,Roman Harper,NO,S,913,2988,16,10,0,6,20,0,48.1,66.4,59.1,81.8,1,0,9.2,9,2,6,95.0,28,248,530,463,94,41,79,3,45,3,304,Saints,2010,60623.200000000004,
