player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,weighted_grade,weighted_average_grade
00-0027720,22.0,5643.0,91.22753062904772,2010,Bengals,-0.06,25.00%,Geno Atkins,DI,349.0,16.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,80.5,84.5,77.5,58.8,74.7,7.0,19.0,9.1,1.0,0.0,0.0,5.0,349.0,65.0,283.0,0.0,1.0,11.0,10.0,1.0,31.0,28094.5,MISSING
00-0022696,28.0,MISSING,90.71045147886922,2010,Bengals,-0.06,25.00%,Tank Johnson,DI,223.0,7.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,63.4,56.2,64.4,61.9,72.9,2.0,4.0,16.7,2.0,1.0,0.0,0.0,223.0,0.0,223.0,0.0,0.0,5.0,5.0,1.0,6.0,14138.2,MISSING
00-0024306,26.0,3036.0,88.39327117131042,2010,Bengals,-0.06,25.00%,Frostee Rucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022918,28.0,MISSING,77.59389344557198,2010,Bengals,-0.06,25.00%,Antwan Odom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024328,27.0,MISSING,66.77398831123945,2010,Bengals,-0.06,25.00%,Victor Adeyanju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024338,25.0,3068.0,59.246002745318634,2010,Bengals,-0.06,25.00%,Domata Peko Sr.,DI,647.0,16.0,9.0,1.0,0.0,0.0,7.0,0.0,0.0,54.0,79.2,58.8,49.6,59.1,2.0,9.0,5.1,2.0,1.0,70.1,0.0,647.0,19.0,627.0,0.0,1.0,25.0,28.0,5.0,11.0,34938.0,MISSING
00-0022867,27.0,MISSING,34.87104351587171,2010,Bengals,-0.06,25.00%,Robert Geathers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026964,23.0,5173.0,13.560632297941556,2010,Bengals,-0.06,25.00%,Clinton McDonald,DI,57.0,8.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,57.7,78.6,65.9,53.5,70.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,57.0,0.0,0.0,1.0,2.0,0.0,2.0,3288.9,MISSING
00-0023665,28.0,MISSING,9.006565467264338,2010,Bengals,-0.06,25.00%,Jonathan Fanene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027655,22.0,MISSING,271.7966755281675,2010,Bills,-0.19,25.00%,Torell Troup,DI,298.0,15.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,54.2,84.6,59.6,51.5,75.2,1.0,2.0,5.6,1.0,0.0,0.0,0.0,298.0,37.0,254.0,0.0,5.0,6.0,12.0,1.0,3.0,16151.6,MISSING
00-0024241,27.0,MISSING,237.2273204359716,2010,Bills,-0.19,25.00%,John McCargo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027677,23.0,MISSING,169.08987043874615,2010,Bills,-0.19,25.00%,Alex Carrington,DI,214.0,9.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,66.3,81.5,66.9,61.4,74.1,0.0,5.0,0.0,0.0,0.0,0.0,1.0,212.0,8.0,39.0,0.0,163.0,6.0,6.0,0.0,6.0,14188.2,MISSING
00-0022750,29.0,MISSING,85.1852565968352,2010,Bills,-0.19,25.00%,Dwan Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0020492,32.0,MISSING,72.61848664224573,2010,Bills,-0.19,25.00%,Marcus Stroud,DI,673.0,15.0,5.0,2.0,1.0,1.0,4.0,0.0,0.0,47.4,76.6,58.1,41.0,59.8,1.0,14.0,10.5,4.0,1.0,87.5,3.0,673.0,66.0,267.0,0.0,334.0,23.0,29.0,3.0,18.0,31900.2,MISSING
00-0024348,27.0,3079.0,52.297717417813494,2010,Bills,-0.19,25.00%,Kyle Williams,DI,897.0,16.0,10.0,1.0,2.0,0.0,4.0,2.0,0.0,85.8,43.3,75.4,83.1,78.1,8.0,28.0,6.8,5.0,5.0,79.2,6.0,897.0,258.0,525.0,0.0,109.0,50.0,58.0,12.0,42.0,76962.59999999999,MISSING
00-0027431,24.0,MISSING,0.0,2010,Bills,-0.19,25.00%,Kellen Heard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022610,28.0,MISSING,0.0,2010,Bills,-0.19,25.00%,Spencer Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025508,24.0,MISSING,67.03465478570683,2010,Broncos,-0.13,25.00%,Marcus Thomas,DI,523.0,16.0,5.0,1.0,1.0,0.0,10.0,0.0,0.0,61.2,59.4,49.8,68.6,78.6,2.0,9.0,0.0,0.0,2.0,0.0,1.0,520.0,94.0,11.0,8.0,380.0,23.0,27.0,2.0,12.0,32007.6,MISSING
00-0025519,26.0,MISSING,59.17633390185146,2010,Broncos,-0.13,25.00%,Ryan McBean,DI,445.0,16.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,41.8,31.0,53.5,41.7,76.3,1.0,9.0,15.8,3.0,3.0,0.0,0.0,445.0,9.0,12.0,0.0,423.0,8.0,14.0,0.0,10.0,18601.0,MISSING
00-0023571,28.0,MISSING,37.65491685392996,2010,Broncos,-0.13,25.00%,Ronald Fields,DI,298.0,16.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,54.7,59.6,58.5,54.8,64.2,1.0,4.0,5.6,1.0,2.0,0.0,0.0,298.0,229.0,57.0,0.0,12.0,8.0,11.0,0.0,5.0,16300.6,MISSING
00-0024420,28.0,MISSING,19.799316363543667,2010,Broncos,-0.13,25.00%,LeKevin Smith,DI,10.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,37.7,72.0,55.7,44.0,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,377.0,MISSING
00-0017813,34.0,MISSING,18.50258701655258,2010,Broncos,-0.13,25.00%,Jamal Williams,DI,563.0,16.0,7.0,0.0,0.0,0.0,10.0,0.0,0.0,61.5,71.6,58.9,61.2,81.2,0.0,7.0,2.3,1.0,1.0,0.0,0.0,563.0,404.0,119.0,0.0,40.0,32.0,36.0,1.0,7.0,34624.5,66.554321880651
00-0021092,31.0,MISSING,14.972490955106936,2010,Broncos,-0.13,25.00%,Justin Bannan,DI,774.0,16.0,8.0,5.0,0.0,1.0,10.0,0.0,0.0,57.0,77.6,53.7,58.1,77.7,7.0,6.0,0.0,0.0,1.0,81.3,1.0,774.0,68.0,131.0,0.0,554.0,15.0,21.0,1.0,14.0,44118.0,MISSING
00-0023648,27.0,MISSING,12.34243629172784,2010,Broncos,-0.13,25.00%,Kevin Vickerson,DI,432.0,15.0,6.0,1.0,0.0,1.0,10.0,0.0,0.0,53.2,47.7,51.6,53.9,79.7,1.0,7.0,8.1,3.0,2.0,0.0,2.0,432.0,21.0,19.0,0.0,389.0,22.0,28.0,2.0,10.0,22982.4,MISSING
00-0024745,26.0,MISSING,0.0,2010,Broncos,-0.13,25.00%,Louis Leonard,DI,63.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,51.7,78.9,52.9,53.5,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,63.0,0.0,0.0,0.0,1.0,0.0,0.0,3257.1000000000004,MISSING
00-0026330,24.0,4504.0,31.338309879825605,2010,Browns,-0.12,31.30%,Ahtyba Rubin,DI,722.0,16.0,20.0,1.0,0.0,0.0,8.0,0.0,0.0,49.2,85.7,58.6,44.3,75.7,1.0,7.0,3.5,3.0,0.0,39.6,2.0,722.0,682.0,34.0,0.0,4.0,37.0,63.0,0.0,10.0,35522.4,MISSING
00-0020528,31.0,MISSING,29.56527902741919,2010,Browns,-0.12,31.30%,Shaun Rogers,DI,395.0,15.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,57.8,0.0,74.6,56.1,47.5,12.0,15.0,12.5,2.0,6.0,0.0,3.0,395.0,185.0,49.0,1.0,150.0,14.0,13.0,1.0,30.0,22831.0,MISSING
00-0021262,31.0,MISSING,13.64158066678408,2010,Browns,-0.12,31.30%,Kenyon Coleman,DI,557.0,16.0,9.0,0.0,0.0,0.0,8.0,3.0,0.0,64.8,58.7,56.8,67.1,74.5,1.0,8.0,6.0,4.0,2.0,79.2,3.0,556.0,0.0,15.0,1.0,539.0,45.0,54.0,1.0,12.0,36093.6,MISSING
00-0019573,32.0,MISSING,3.825297329342824,2010,Browns,-0.12,31.30%,Robaire Smith,DI,180.0,5.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,67.9,79.9,61.9,66.5,76.3,1.0,6.0,5.9,1.0,0.0,0.0,0.0,180.0,1.0,13.0,0.0,163.0,7.0,11.0,1.0,7.0,12222.000000000002,MISSING
00-0027628,22.0,MISSING,0.0,2010,Browns,-0.12,31.30%,Brian Sanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027512,23.0,MISSING,0.0,2010,Browns,-0.12,31.30%,Ko Quaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027360,23.0,MISSING,0.0,2010,Browns,-0.12,31.30%,Travis Ivey,DI,21.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,30.5,0.0,53.8,44.3,67.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,640.5,MISSING
00-0023090,28.0,MISSING,0.0,2010,Browns,-0.12,31.30%,Derreck Robinson,DI,208.0,14.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,55.6,49.5,53.8,60.0,76.6,2.0,3.0,0.0,0.0,1.0,0.0,0.0,208.0,23.0,12.0,0.0,172.0,9.0,14.0,0.0,5.0,11564.8,MISSING
00-0026084,27.0,MISSING,0.0,2010,Browns,-0.12,31.30%,Brian Schaefering,DI,490.0,16.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,47.7,68.8,51.9,47.5,69.7,0.0,9.0,7.1,2.0,0.0,0.0,0.0,490.0,40.0,48.0,0.0,401.0,14.0,23.0,1.0,9.0,23373.0,MISSING
00-0023893,26.0,MISSING,0.0,2010,Browns,-0.12,31.30%,Jayme Mitchell,DI,10.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,54.2,71.8,62.5,53.6,67.4,0.0,0.0,MISSING,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,542.0,MISSING
00-0027856,22.0,5528.0,757.7830142513984,2010,Buccaneers,0.05,62.50%,Gerald McCoy,DI,669.0,13.0,5.0,4.0,0.0,1.0,30.0,0.0,0.0,66.1,54.6,71.7,58.1,77.0,7.0,19.0,12.0,3.0,3.0,0.0,4.0,669.0,68.0,497.0,0.0,104.0,14.0,17.0,3.0,30.0,44220.899999999994,MISSING
00-0027650,21.0,MISSING,299.88632631373446,2010,Buccaneers,0.05,62.50%,Brian Price,DI,110.0,5.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,51.0,30.9,60.8,50.2,71.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,110.0,41.0,69.0,0.0,0.0,2.0,4.0,0.0,4.0,5610.0,MISSING
00-0027042,23.0,MISSING,163.6474926526475,2010,Buccaneers,0.05,62.50%,Alex Magee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025443,25.0,MISSING,158.65054031430455,2010,Buccaneers,0.05,62.50%,Tim Crowder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027055,23.0,MISSING,135.72230004486286,2010,Buccaneers,0.05,62.50%,Roy Miller,DI,600.0,16.0,4.0,0.0,0.0,0.0,30.0,0.0,0.0,43.9,38.3,57.1,45.0,78.3,0.0,7.0,2.4,1.0,4.0,0.0,1.0,600.0,39.0,561.0,0.0,0.0,27.0,37.0,2.0,8.0,26340.0,MISSING
00-0021382,30.0,MISSING,128.2748149947132,2010,Buccaneers,0.05,62.50%,Ryan Sims,DI,110.0,6.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,44.8,80.7,55.4,43.8,69.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,110.0,1.0,106.0,0.0,3.0,2.0,3.0,0.0,1.0,4928.0,MISSING
