player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,weighted_grade,weighted_average_grade
00-0025408,26.0,3637.0,289.7795974451737,2010,Bengals,-0.06,25.00%,Reggie Nelson,S,489.0,11.0,9.0,0.0,1.0,7.0,0.0,50.3,55.2,81.0,82.7,2.0,0.0,6.3,3.0,4.0,2.0,30.4,9.0,427.0,38.0,295.0,22.0,5.0,36.0,0.0,20.0,0.0,146.0,26992.800000000003,MISSING
00-0024239,26.0,2969.0,246.66423575131813,2010,Bengals,-0.06,25.00%,Johnathan Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027697,23.0,MISSING,123.25792219873868,2010,Bengals,-0.06,25.00%,Brandon Ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021143,30.0,MISSING,117.25896767695144,2010,Bengals,-0.06,25.00%,Roy Williams,S,466.0,12.0,13.0,0.0,0.0,7.0,3.0,54.9,64.3,33.4,74.4,1.0,0.0,10.3,6.0,0.0,0.0,60.9,7.0,341.0,117.0,222.0,7.0,10.0,39.0,3.0,8.0,0.0,65.0,29963.8,MISSING
00-0025471,26.0,MISSING,106.8894754174256,2010,Bengals,-0.06,25.00%,Jonathan Wade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022928,29.0,MISSING,87.79734607225814,2010,Bengals,-0.06,25.00%,Keiwan Ratliff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025501,26.0,MISSING,72.67275667344681,2010,Bengals,-0.06,25.00%,Marvin White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025510,26.0,MISSING,65.47695924635613,2010,Bengals,-0.06,25.00%,Fred Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026928,24.0,MISSING,40.8960841292392,2010,Bengals,-0.06,25.00%,Morgan Trent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022167,30.0,MISSING,39.322440483671166,2010,Bengals,-0.06,25.00%,Chris Crocker,S,519.0,9.0,6.0,0.0,2.0,7.0,0.0,66.8,69.3,83.0,69.9,0.0,0.0,12.2,5.0,5.0,0.0,91.0,16.0,334.0,111.0,291.0,69.0,11.0,30.0,1.0,30.0,1.0,240.0,35966.7,MISSING
00-0025640,25.0,MISSING,10.691105641622046,2010,Bengals,-0.06,25.00%,Nedu Ndukwe,S,530.0,12.0,5.0,0.0,0.0,7.0,1.0,54.4,66.8,83.3,68.7,1.0,0.0,11.3,6.0,1.0,1.0,82.9,17.0,344.0,150.0,290.0,36.0,16.0,42.0,1.0,23.0,0.0,206.0,35404.0,MISSING
00-0027244,23.0,MISSING,0.0,2010,Bengals,-0.06,25.00%,Jeromy Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026721,23.0,MISSING,0.0,2010,Bengals,-0.06,25.00%,Tom Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026720,23.0,MISSING,0.0,2010,Bengals,-0.06,25.00%,Rico Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026151,24.0,MISSING,425.0312381121592,2010,Bills,-0.19,25.00%,Leodis McKelvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024223,25.0,MISSING,389.3134829268642,2010,Bills,-0.19,25.00%,Donte Whitner,S,1093.0,16.0,23.0,0.0,1.0,4.0,1.0,35.9,59.0,61.7,91.9,1.0,0.0,3.7,5.0,5.0,2.0,125.9,28.0,819.0,250.0,527.0,15.0,25.0,107.0,1.0,39.0,6.0,328.0,64487.0,MISSING
00-0027018,23.0,MISSING,241.76030598629904,2010,Bills,-0.19,25.00%,Jairus Byrd,S,897.0,16.0,17.0,0.0,3.0,4.0,1.0,56.2,65.8,83.7,90.2,1.0,1.0,3.8,3.0,3.0,0.0,99.0,16.0,749.0,127.0,457.0,18.0,14.0,59.0,1.0,27.0,3.0,168.0,59022.6,MISSING
00-0024285,26.0,MISSING,116.19747527409092,2010,Bills,-0.19,25.00%,Ashton Youboty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026254,26.0,MISSING,80.31581721188135,2010,Bills,-0.19,25.00%,Reggie Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021994,29.0,MISSING,68.20704292445734,2010,Bills,-0.19,25.00%,Drayton Florence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021951,29.0,MISSING,59.26755837793681,2010,Bills,-0.19,25.00%,Bryan Scott,S,309.0,15.0,5.0,0.0,0.0,4.0,2.0,56.4,58.7,87.6,37.9,0.0,0.0,22.6,7.0,4.0,1.0,97.6,20.0,16.0,249.0,218.0,42.0,15.0,19.0,2.0,29.0,1.0,185.0,18138.3,MISSING
00-0027126,23.0,MISSING,38.332153248086094,2010,Bills,-0.19,25.00%,Cary Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022008,29.0,MISSING,27.80059540746498,2010,Bills,-0.19,25.00%,Terrence McGee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
