,player,player_id,team_name,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,Team,Year,weighted_grade,weighted_average_grade
1160,Darren Fells,8549,HST,TE,7.8,6,75.0,25.0,1,4,0,0.0,0,16,13,0,84.1,74.6,69.5,68.9,66.1,61.8,199,0,44,21.7,70,322,0,21,75.5,243,32.9,106,150.6,28,4,2.5,8,312,171,8.1,14.9,1.28,70,216,313,Texans,2020,21753.5,
1330,Darren Fells,8549,TB,TE,5.0,1,80.0,,0,0,0,0.0,0,2,30,0,72.1,67.0,56.9,83.8,51.9,60.8,48,0,24,19.0,15,79,1,4,73.4,58,24.1,19,102.5,5,0,13.9,11,43,27,6.8,10.8,0.74,15,85,78,Buccaneers,2021,4438.2,
707,Darren Waller,9637,BLT,TE,8.9,2,66.7,,0,0,0,16.7,2,7,3,0,41.8,71.1,52.8,61.7,55.0,43.0,58,0,15,15.6,21,135,0,10,81.5,110,39.3,53,120.8,15,2,17.0,23,85,42,4.2,8.5,0.77,21,102,134,Ravens,2016,7075.2,
968,Darren Waller,9637,OAK,TE,2.7,2,100.0,100.0,1,1,0,0.0,0,4,23,0,74.6,69.8,70.4,64.9,71.2,48.4,15,0,44,3.2,1,31,0,6,93.5,29,16.1,5,118.8,6,0,32.3,10,75,59,9.8,12.5,2.59,1,10,30,Raiders,2018,2112.0,
996,Darren Waller,9637,OAK,TE,7.5,11,78.3,44.4,8,18,0,5.3,5,53,23,1,78.5,56.9,83.2,57.5,86.8,44.7,249,2,75,11.8,66,557,1,90,85.1,474,30.7,171,109.6,115,3,24.6,137,1146,594,6.6,12.7,2.42,66,363,557,Raiders,2019,46342.4,60.29861982434128
1114,Darren Waller,9637,LV,TE,8.1,9,76.4,73.1,19,26,0,1.8,2,69,23,2,90.8,34.2,86.5,58.2,90.9,54.4,341,3,38,11.2,70,627,2,107,83.6,524,20.4,128,113.9,140,9,24.1,151,1196,594,5.6,11.2,2.28,70,365,620,Raiders,2020,53630.0,67.50755667506299
1245,Darren Waller,9637,LV,TE,10.5,3,61.1,38.5,5,13,0,9.8,6,31,23,0,55.3,80.0,68.2,72.9,72.4,49.4,211,2,33,5.2,22,427,1,55,89.7,383,28.8,123,81.9,90,2,21.8,93,665,261,4.7,12.1,1.74,22,180,427,Raiders,2021,29121.4,
1390,Darren Waller,9637,LV,TE,14.0,0,66.7,42.9,3,7,1,6.7,2,18,23,0,66.6,76.3,72.4,36.0,74.5,17.4,46,2,34,1.9,5,265,2,28,92.8,246,61.9,164,100.1,42,3,20.0,53,388,77,2.8,13.9,1.58,5,80,263,Raiders,2022,19041.2,
1494,Darren Waller,9637,NYG,TE,7.9,3,72.2,43.8,7,16,0,1.9,1,25,21,0,86.9,79.5,69.4,57.6,73.1,26.0,103,2,29,5.3,21,396,0,52,89.6,355,52.0,206,87.3,72,1,21.5,85,552,217,4.2,10.6,1.55,21,172,394,Giants,2023,27343.600000000002,
32,Dave Thomas,3031,NO,TE,4.8,0,72.3,,0,0,0,2.9,1,13,20,0,79.4,77.1,68.0,56.2,62.0,43.6,156,1,22,25.7,92,358,1,34,71.5,256,24.0,86,90.5,47,2,9.2,33,257,145,4.3,7.6,1.0,92,239,275,Saints,2010,18700.0,
176,Dave Thomas,3031,NO,TE,3.4,0,55.6,,0,0,0,0.0,0,0,20,0,73.4,68.0,42.6,69.5,38.9,57.9,44,0,8,31.6,24,76,1,5,65.8,50,11.8,9,60.9,9,0,14.5,11,16,12,2.4,3.2,0.32,24,69,64,Saints,2011,2726.4,
265,Dave Thomas,3031,NO,TE,4.3,0,68.8,,0,0,0,8.3,1,6,20,0,60.6,71.5,61.3,50.9,53.6,45.6,83,1,20,26.4,48,182,6,11,70.9,129,29.1,53,95.3,16,4,13.2,24,86,42,3.8,7.8,0.67,48,198,160,Saints,2012,9808.0,
205,David Ausberry,6393,OAK,TE,6.5,0,100.0,,0,0,0,0.0,0,2,23,0,70.5,67.4,54.4,,58.7,47.5,19,0,10,0.0,0,40,1,2,92.5,37,17.5,7,95.8,2,0,32.5,13,14,1,0.5,7.0,0.38,0,2,39,Raiders,2011,2121.6,
275,David Ausberry,6393,OAK,TE,4.7,3,63.6,,0,0,0,0.0,0,5,23,0,75.6,69.5,73.8,74.1,76.8,61.3,38,0,31,12.9,8,62,1,7,85.5,53,21.0,13,90.0,11,0,12.9,8,92,54,7.7,13.1,1.74,8,36,59,Raiders,2012,4354.2,
520,David Ausberry,6393,OAK,TE,8.0,0,66.7,,0,0,0,0.0,0,0,23,0,68.3,64.0,53.7,71.7,51.7,30.0,9,1,7,10.0,3,30,0,2,86.7,26,70.0,21,37.5,3,0,0.0,0,14,1,0.5,7.0,0.54,3,6,30,Raiders,2014,1611.0,
958,David Grinnage,11148,JAX,TE,9.0,0,75.0,50.0,1,2,0,14.3,1,2,15,0,49.2,68.8,49.2,20.1,53.7,59.6,28,0,24,4.3,2,47,0,6,95.7,45,31.9,15,96.4,8,0,8.5,4,61,17,2.8,10.2,1.36,2,27,47,Jaguars,2018,2312.4,
160,David Johnson,5165,PIT,TE,2.6,4,75.0,,0,0,0,14.3,2,5,25,0,47.7,72.3,74.1,69.7,45.6,65.4,117,0,25,33.5,60,179,2,12,65.4,117,1.7,3,109.1,16,1,1.1,2,91,65,5.4,7.6,0.78,60,290,122,Steelers,2011,9040.199999999999,
397,David Johnson,5165,PIT,TE,7.3,1,66.7,,0,0,0,20.0,1,3,25,0,42.1,67.0,88.7,63.1,85.8,97.2,35,0,32,50.0,18,36,0,4,50.0,18,2.8,1,106.3,6,0,0.0,0,70,32,8.0,17.5,3.89,18,39,36,Steelers,2013,3193.2000000000003,
529,David Johnson,5165,SD,TE,3.0,0,100.0,,0,0,0,0.0,0,0,27,0,68.3,64.0,72.3,34.0,59.1,50.0,14,0,4,39.3,11,28,2,1,57.1,16,3.6,1,83.3,1,0,0.0,0,4,1,1.0,4.0,0.25,11,149,15,Chargers,2014,1084.5,
637,David Johnson,5165,SD,TE,0.0,0,100.0,,0,0,0,0.0,0,0,27,1,64.7,14.3,50.2,83.6,32.8,56.5,39,0,4,43.5,30,69,1,1,55.1,38,10.1,7,83.3,1,0,8.7,6,4,4,4.0,4.0,0.11,30,149,52,Chargers,2015,2610.4,
718,David Johnson,5165,PIT,TE,2.7,0,80.0,,0,0,1,0.0,0,5,25,0,77.3,70.6,68.6,70.0,64.1,74.7,71,1,26,23.2,22,95,3,8,68.4,65,13.7,13,60.8,10,0,2.1,2,81,51,6.4,10.1,1.25,22,207,86,Steelers,2016,5899.599999999999,
72,David Martin,916,BUF,TE,3.6,0,87.5,,0,0,0,0.0,0,3,4,0,75.6,69.5,64.6,61.4,51.7,90.3,130,0,15,31.9,46,144,1,7,65.3,94,4.9,7,128.6,8,1,2.1,3,43,20,2.9,6.1,0.46,46,201,140,Bills,2010,9044.0,
1713,David Martin-Robinson,77892,TEN,TE,0.0,0,100.0,,0,0,0,0.0,0,1,31,0,64.7,61.2,44.6,25.7,53.2,41.2,7,0,6,17.6,3,17,0,1,70.6,12,23.5,4,91.7,1,0,17.6,3,6,6,6.0,6.0,0.5,3,29,14,Titans,2024,624.4,
757,David Morgan,10822,MIN,TE,3.0,0,100.0,,0,0,0,0.0,0,0,18,0,64.7,67.8,61.3,76.2,53.9,75.0,9,0,4,41.7,5,12,0,1,58.3,7,16.7,2,83.3,1,0,8.3,1,4,1,1.0,4.0,0.57,5,51,12,Vikings,2016,735.5999999999999,
836,David Morgan,10822,MIN,TE,6.5,1,83.3,,0,0,0,0.0,0,5,18,0,79.6,71.8,85.5,57.7,78.3,76.8,109,0,23,35.2,50,142,2,10,59.9,85,17.6,25,127.4,12,1,0.7,1,95,58,5.8,9.5,1.12,50,289,135,Vikings,2017,11542.5,
966,David Morgan,10822,MIN,TE,2.2,0,83.3,100.0,1,1,0,0.0,0,2,18,0,73.4,68.0,55.4,73.4,60.5,94.5,86,0,13,56.0,51,91,1,5,42.9,39,5.5,5,91.7,6,0,0.0,0,36,26,5.2,7.2,0.92,51,140,91,Vikings,2018,5041.4,
783,David Njoku,11784,CLV,TE,10.8,2,55.2,33.3,6,18,2,8.6,3,17,8,0,59.7,77.1,66.4,32.8,71.1,68.1,231,2,34,9.7,33,339,7,32,83.8,284,20.9,71,84.4,58,4,9.7,33,386,148,4.6,12.1,1.36,33,160,335,Browns,2017,22244.000000000004,
880,David Njoku,11784,CLV,TE,9.0,10,67.5,57.1,12,21,0,12.5,8,27,8,0,42.3,79.9,66.3,51.7,65.3,71.3,420,3,66,9.0,53,589,5,56,84.6,498,20.0,118,91.4,83,4,8.1,48,639,315,5.6,11.4,1.28,53,282,586,Browns,2018,38851.799999999996,
1071,David Njoku,11784,CLV,TE,6.9,1,50.0,33.3,2,6,0,28.6,2,3,8,0,29.2,68.0,49.8,58.4,48.3,67.2,45,1,18,16.4,11,67,0,5,77.6,52,23.9,16,54.6,10,1,9.0,6,41,14,2.8,8.2,0.79,11,32,67,Browns,2019,3336.6,
1158,David Njoku,11784,CLV,TE,8.7,2,65.5,60.0,3,5,0,13.6,3,13,8,0,45.1,74.1,66.9,76.5,64.1,64.8,140,0,28,15.7,34,216,0,19,80.1,173,24.1,52,110.3,29,2,11.1,24,213,86,4.5,11.2,1.23,34,194,216,Browns,2020,14450.400000000001,
1261,David Njoku,11784,CLV,TE,9.3,5,67.9,42.9,6,14,0,5.3,2,17,8,0,72.6,78.0,70.9,72.4,70.0,55.3,207,1,71,14.7,55,374,6,36,81.6,305,31.6,118,113.3,53,4,12.6,47,475,252,7.0,13.2,1.56,55,295,372,Browns,2021,26374.800000000003,
1369,David Njoku,11784,CLV,TE,7.8,6,73.4,53.8,7,13,0,6.5,4,36,8,1,70.2,43.5,73.7,76.3,78.7,52.2,251,2,38,9.1,44,481,1,58,84.2,405,35.8,172,102.7,79,4,11.2,54,628,341,5.9,10.8,1.55,44,334,477,Browns,2022,35154.9,
1480,David Njoku,11784,CLV,TE,5.4,23,67.2,45.8,11,24,1,9.3,9,39,8,2,52.8,29.4,68.2,67.5,70.5,54.7,356,4,45,8.8,57,651,2,88,85.7,558,34.6,225,91.6,131,6,10.1,66,975,625,7.1,11.1,1.75,57,370,647,Browns,2023,44125.4,53.159947984395316
1601,David Njoku,11784,CLV,TE,5.6,6,71.1,54.2,13,24,0,8.6,6,23,8,0,55.4,80.9,64.0,78.5,65.3,56.7,236,3,29,3.1,13,416,2,64,91.1,379,30.0,125,89.4,90,5,13.0,54,505,254,4.0,7.9,1.33,13,174,415,Browns,2024,26560.0,
283,David Paulson,7660,PIT,TE,5.0,2,87.5,,0,0,0,0.0,0,0,25,1,75.6,17.7,51.7,51.1,37.7,92.3,144,0,9,32.7,51,156,0,7,63.5,99,3.8,6,93.2,8,0,1.9,3,51,26,3.7,7.3,0.52,51,157,153,Steelers,2012,7910.1,
383,David Paulson,7660,PIT,TE,8.7,1,60.0,,0,0,0,14.3,1,3,25,1,49.2,17.2,46.2,79.4,39.5,90.8,109,0,34,17.5,21,120,0,6,80.0,96,5.0,6,94.6,10,0,2.5,3,102,34,5.7,17.0,1.06,21,69,118,Steelers,2013,5451.6,
1580,David Wells,34985,TB,TE,0.0,1,100.0,,0,0,0,0.0,0,1,30,1,68.3,13.3,47.5,79.3,37.8,62.5,10,0,1,31.3,5,16,0,2,68.8,11,12.5,2,79.2,2,0,12.5,2,-10,-10,-5.0,-5.0,-0.91,5,27,14,Buccaneers,2023,665.0,
1548,Davis Allen,99697,LA,TE,2.5,4,92.3,,0,0,0,7.7,1,7,26,0,63.2,72.3,64.7,75.5,72.8,76.1,83,0,22,15.6,17,109,2,12,78.0,85,12.8,14,131.7,13,1,11.0,12,123,94,7.8,10.3,1.45,17,102,109,Rams,2023,7052.3,
1659,Davis Allen,99697,LA,TE,4.7,0,46.7,0.0,0,3,0,22.2,2,3,26,0,32.2,69.5,46.4,51.1,38.4,70.1,124,0,13,13.6,24,177,2,7,80.2,142,14.1,25,77.6,15,1,15.3,27,52,30,4.3,7.4,0.37,24,157,176,Rams,2024,8166.4,
1019,Dawson Knox,35883,BUF,TE,10.1,6,54.9,46.7,7,15,0,24.3,9,15,4,0,27.5,76.4,60.0,48.4,55.3,55.6,210,1,49,6.9,26,378,4,28,88.6,335,29.4,111,84.4,51,2,14.8,56,388,148,5.3,13.9,1.16,26,267,377,Bills,2019,22620.0,
1141,Dawson Knox,35883,BUF,TE,8.3,2,53.3,40.0,2,5,1,11.1,3,14,4,2,51.6,18.7,61.4,63.3,56.6,42.9,139,1,36,16.0,52,324,2,24,79.0,256,27.8,90,86.2,45,3,6.2,20,288,171,7.1,12.0,1.13,52,163,249,Bills,2020,15288.6,
1256,Dawson Knox,35883,BUF,TE,7.7,10,69.0,53.3,8,15,2,9.3,5,31,4,0,52.1,79.8,62.4,47.3,63.6,37.4,220,1,53,7.7,45,588,5,49,86.2,507,41.7,245,127.8,71,9,12.9,76,587,283,5.8,12.0,1.16,45,328,541,Bills,2021,33758.4,
1373,Dawson Knox,35883,BUF,TE,8.1,4,73.8,37.5,3,8,0,9.4,5,25,4,0,56.6,79.1,65.1,66.9,62.9,31.5,169,3,45,7.3,39,537,0,48,87.9,472,47.9,257,108.3,65,6,12.5,67,517,209,4.4,10.8,1.1,39,285,493,Bills,2022,32094.299999999996,
1514,Dawson Knox,35883,BUF,TE,7.1,1,63.2,0.0,0,6,0,14.3,4,15,4,0,34.9,75.7,54.5,79.5,56.5,39.6,126,2,17,8.5,27,318,4,24,85.8,273,39.0,124,80.9,38,3,16.7,53,199,102,4.3,8.3,0.73,27,227,303,Bills,2023,16513.5,
1631,Dawson Knox,35883,BUF,TE,10.3,0,70.3,42.9,3,7,1,3.7,1,14,4,0,65.2,75.9,57.1,61.8,56.4,47.9,190,1,39,6.5,26,397,4,26,86.1,342,37.5,149,98.5,37,1,13.4,53,356,111,4.3,13.7,1.04,26,344,392,Bills,2024,22383.2,
316,Dedrick Epps,5758,NYJ,TE,8.0,0,100.0,,0,0,0,0.0,0,1,22,1,64.7,18.6,27.4,20.9,25.1,83.3,5,0,9,33.3,2,6,0,1,66.7,4,0.0,0,104.2,1,0,0.0,0,9,1,1.0,9.0,2.25,2,27,5,Jets,2012,137.0,
37,Delanie Walker,3120,SF,TE,5.8,6,70.7,,0,0,0,12.1,4,13,28,1,47.7,28.1,69.4,53.3,65.9,35.7,75,0,38,3.8,8,210,3,29,92.4,194,46.2,97,94.7,41,0,11.4,24,331,172,5.9,11.4,1.71,8,162,196,49ers,2010,13602.400000000001,
142,Delanie Walker,3120,SF,TE,9.2,2,63.6,,0,0,0,8.7,2,10,28,1,51.6,31.2,65.5,66.5,52.1,51.3,154,0,29,11.0,33,300,4,21,83.3,250,24.0,72,115.0,33,3,10.3,31,234,77,3.7,11.1,0.94,33,280,257,49ers,2011,16833.5,
247,Delanie Walker,3120,SF,TE,12.5,2,54.2,,0,0,0,29.7,11,18,28,1,26.3,26.2,67.0,84.0,53.2,45.5,163,1,45,10.3,37,358,4,26,85.5,306,29.3,105,96.6,48,3,18.4,66,429,66,2.5,16.5,1.4,37,338,334,49ers,2012,22378.0,
330,Delanie Walker,3120,TEN,TE,8.8,6,75.9,,0,0,0,7.7,5,30,31,1,57.8,80.4,68.0,49.3,64.2,52.9,278,1,33,3.8,20,526,6,60,91.4,481,38.0,200,115.5,79,6,5.7,30,571,181,3.0,9.5,1.19,20,237,508,Titans,2013,34544.0,
433,Delanie Walker,3120,TEN,TE,9.8,18,63.0,,0,0,1,8.7,6,35,31,2,53.1,26.2,74.1,72.4,70.1,28.8,153,7,68,4.5,24,532,3,63,90.4,481,56.2,299,75.8,100,4,13.5,72,890,414,6.6,14.1,1.85,24,240,524,Titans,2014,38828.399999999994,
538,Delanie Walker,3120,TEN,TE,9.6,16,72.3,,0,0,1,5.1,5,52,31,0,79.0,83.2,88.0,77.2,84.8,26.3,138,4,61,2.5,13,524,2,94,92.0,482,55.0,288,99.8,130,6,17.9,94,1088,398,4.2,11.6,2.26,13,162,520,Titans,2015,45760.0,63.74028056112225
651,Delanie Walker,3120,TEN,TE,10.2,11,67.7,0.0,0,3,0,5.8,4,35,31,1,73.5,46.9,76.0,76.4,77.1,22.9,111,3,47,4.8,23,484,7,65,88.2,427,56.4,273,104.5,96,7,19.6,95,800,263,4.0,12.3,1.87,23,223,479,Titans,2016,36404.0,
764,Delanie Walker,3120,TEN,TE,10.0,4,70.3,71.4,15,21,1,4.6,4,48,31,2,80.5,29.1,78.0,67.8,77.5,31.6,182,5,42,6.1,35,576,4,83,88.4,509,51.4,296,84.4,118,3,16.1,93,930,308,3.7,11.2,1.83,35,271,571,Titans,2017,44538.0,65.14423076923077
965,Delanie Walker,3120,TEN,TE,7.1,2,57.1,100.0,1,1,0,0.0,0,4,31,0,72.1,67.0,79.4,,81.2,44.4,12,1,16,0.0,0,27,1,4,96.3,26,33.3,9,41.1,7,0,18.5,5,52,19,4.8,13.0,2.0,0,12,26,Titans,2018,2064.4,
1033,Delanie Walker,3120,TEN,TE,7.8,2,70.0,25.0,1,4,0,4.5,1,11,31,1,72.1,25.0,64.0,23.3,66.2,32.3,51,1,29,3.2,5,158,1,21,89.9,142,46.2,73,98.6,30,2,20.3,32,215,70,3.3,10.2,1.51,5,35,156,Titans,2019,9984.0,
513,Demetrius Harris,8524,KC,TE,6.5,0,75.0,,0,0,0,0.0,0,1,16,0,70.5,65.8,67.3,69.5,56.5,39.3,11,0,10,10.7,3,28,0,3,85.7,24,39.3,11,85.4,4,0,21.4,6,20,5,1.7,6.7,0.83,3,32,28,Chiefs,2014,1884.3999999999999,
609,Demetrius Harris,8524,KC,TE,7.4,2,61.5,,0,0,1,20.0,2,3,16,0,38.4,70.6,59.7,66.2,52.0,74.1,140,1,25,28.0,53,189,1,8,69.3,131,16.4,31,73.9,13,1,9.5,18,84,29,3.6,10.5,0.64,53,200,189,Chiefs,2015,11283.300000000001,
685,Demetrius Harris,8524,KC,TE,7.5,5,56.7,,0,0,0,26.1,6,9,16,1,28.2,25.1,47.3,55.7,44.9,51.0,129,0,13,19.0,48,253,3,17,77.1,195,31.2,79,77.5,30,1,17.8,45,123,49,2.9,7.2,0.63,48,223,253,Chiefs,2016,11966.9,
795,Demetrius Harris,8524,KC,TE,8.0,3,54.1,36.4,4,11,0,25.9,7,13,16,0,27.7,74.4,55.2,62.0,55.2,47.1,140,0,51,14.8,44,297,4,20,80.5,239,30.3,90,83.8,37,1,21.9,65,246,142,7.1,12.3,1.03,44,217,295,Chiefs,2017,16284.0,
917,Demetrius Harris,8524,KC,TE,8.9,1,48.0,0.0,0,1,1,20.0,3,9,16,0,33.8,73.1,61.1,76.4,56.1,67.7,151,1,35,22.4,50,223,4,12,74.0,165,13.0,29,92.3,25,3,17.9,40,164,77,6.4,13.7,0.99,50,148,220,Chiefs,2018,13442.0,
1034,Demetrius Harris,8524,CLV,TE,9.5,5,55.6,25.0,2,8,1,16.7,3,10,8,0,29.8,73.3,46.1,64.6,48.8,75.6,242,0,23,22.5,72,320,5,15,69.7,223,18.1,58,108.4,27,3,5.9,19,149,67,4.5,9.9,0.67,72,228,319,Browns,2019,14705.9,
1181,Demetrius Harris,8524,CHI,TE,6.8,0,50.0,0.0,0,1,1,22.2,2,2,6,0,31.8,72.6,58.5,65.3,48.0,70.0,77,1,9,30.0,33,110,1,7,67.3,74,10.9,12,27.4,14,0,18.2,20,45,28,4.0,6.4,0.61,33,106,109,Bears,2020,6376.5,
1336,Demetrius Harris,8524,ARZ,TE,4.8,1,75.0,,0,0,0,0.0,0,0,1,0,70.5,69.5,43.8,63.9,42.0,62.6,62,1,7,23.2,23,99,1,3,72.7,72,20.2,20,37.5,4,0,2.0,2,10,13,4.3,3.3,0.14,23,112,84,Cardinals,2021,3679.2,
84,Dennis Pitta,5638,BLT,TE,15.0,0,20.0,,0,0,0,0.0,0,0,3,0,64.7,61.2,63.2,77.3,56.8,78.4,29,0,1,32.4,12,37,0,1,62.2,23,10.8,4,39.6,5,0,0.0,0,1,1,1.0,1.0,0.04,12,47,33,Ravens,2010,2085.6,
129,Dennis Pitta,5638,BLT,TE,7.3,1,73.4,,0,0,1,0.0,0,33,3,0,90.4,79.0,76.8,67.6,80.7,32.8,125,0,39,9.7,37,381,5,47,85.3,325,50.1,191,115.0,64,4,5.2,20,475,203,4.3,10.1,1.46,37,252,336,Ravens,2011,25804.8,
217,Dennis Pitta,5638,BLT,TE,8.6,8,68.8,,0,0,0,6.3,5,39,3,0,71.6,81.7,78.5,62.1,79.3,30.6,173,3,61,7.4,42,566,2,75,86.7,491,59.2,335,110.3,109,10,4.6,26,832,347,4.6,11.1,1.69,42,257,534,Ravens,2012,41919.0,
363,Dennis Pitta,5638,BLT,TE,7.4,0,64.5,,0,0,0,13.0,3,11,3,0,46.8,74.4,62.3,83.3,63.1,14.5,20,1,18,3.6,5,138,0,20,92.0,127,76.8,106,75.9,31,1,4.3,6,169,54,2.7,8.5,1.33,5,20,132,Ravens,2013,8223.6,
482,Dennis Pitta,5638,BLT,TE,5.1,1,80.0,,0,0,0,5.9,1,7,3,0,68.5,73.8,67.9,61.3,70.9,63.2,67,0,24,12.3,13,106,1,16,84.9,90,34.9,37,92.7,20,0,1.9,2,125,61,3.8,7.8,1.39,13,60,106,Ravens,2014,7197.400000000001,
647,Dennis Pitta,5638,BLT,TE,6.4,4,74.1,75.0,3,4,0,5.5,5,37,3,1,76.2,53.8,61.8,33.8,62.6,33.8,207,3,30,7.2,44,612,2,86,87.9,538,59.2,362,85.0,116,2,5.9,36,729,312,3.6,8.5,1.36,44,198,605,Ravens,2016,37389.0,57.869547325102886
1091,Deon Yelder,29556,KC,TE,8.8,0,75.0,,0,0,0,0.0,0,2,16,0,72.1,15.0,61.5,24.5,62.6,69.6,16,0,24,17.4,4,23,0,3,69.6,16,8.7,2,116.7,4,0,21.7,5,50,33,11.0,16.7,3.13,4,24,23,Chiefs,2019,1414.5,
1185,Deon Yelder,29556,KC,TE,5.5,1,63.6,25.0,1,4,0,0.0,0,2,16,0,75.6,69.5,58.7,75.8,52.4,41.7,40,0,12,8.3,8,96,0,7,87.5,84,28.1,27,68.8,11,0,30.2,29,36,33,4.7,5.1,0.43,8,98,96,Chiefs,2020,5635.200000000001,
1357,Deon Yelder,29556,TB,TE,-4.0,0,100.0,,0,0,0,0.0,0,0,30,0,64.7,61.2,41.6,0.0,56.0,60.0,3,0,0,0.0,0,5,0,1,100.0,5,0.0,0,79.2,1,0,40.0,2,0,4,4.0,0.0,0.0,0,9,5,Buccaneers,2021,208.0,
490,Derek Carrier,7406,SF,TE,10.9,2,64.3,,0,0,0,0.0,0,4,28,1,77.3,20.2,69.2,75.9,59.0,67.6,69,1,23,12.7,13,102,1,9,81.4,83,23.5,24,57.1,14,0,5.9,6,105,39,4.3,11.7,1.27,13,85,99,49ers,2014,6850.8,
587,Derek Carrier,7406,WAS,TE,5.7,4,77.3,,0,0,0,5.6,1,4,32,0,68.7,73.9,63.8,79.3,61.9,68.2,133,1,20,23.1,45,195,2,17,73.8,144,22.6,44,89.4,22,1,6.2,12,141,82,4.8,8.3,0.98,45,207,189,Commanders,2015,12058.199999999999,
747,Derek Carrier,7406,WAS,TE,3.5,0,100.0,,0,0,0,0.0,0,0,32,0,68.3,64.0,53.2,74.5,50.4,72.0,18,0,6,24.0,6,25,2,2,64.0,16,12.0,3,87.5,2,0,8.0,2,10,3,1.5,5.0,0.63,6,55,23,Commanders,2016,1223.6000000000001,
837,Derek Carrier,7406,LA,TE,3.0,0,72.7,100.0,2,2,0,11.1,1,4,26,0,54.9,72.9,61.8,82.0,60.8,76.0,38,0,17,18.0,9,50,0,8,78.0,39,4.0,2,89.6,11,0,8.0,4,71,50,6.3,8.9,1.82,9,140,44,Rams,2017,2719.2,
944,Derek Carrier,7406,OAK,TE,9.9,0,63.6,100.0,1,1,0,0.0,0,3,23,0,76.5,70.1,59.1,58.9,52.9,73.2,82,1,23,11.6,13,112,1,7,84.8,95,14.3,16,72.9,11,1,11.6,13,67,20,2.9,9.6,0.71,13,121,111,Raiders,2018,6560.1,
1051,Derek Carrier,7406,OAK,TE,9.6,0,68.4,60.0,3,5,1,7.1,1,4,23,0,64.4,73.2,65.4,77.1,60.6,59.2,58,0,25,11.2,11,98,1,13,82.7,81,15.3,15,100.3,19,1,22.4,22,108,50,3.8,8.3,1.33,11,80,95,Raiders,2019,6213.000000000001,
1237,Derek Carrier,7406,LV,TE,-4.0,2,100.0,,0,0,0,0.0,0,1,23,0,68.3,64.0,87.9,67.1,90.3,60.0,3,0,14,20.0,1,5,0,1,60.0,3,0.0,0,118.8,1,0,20.0,1,14,18,18.0,14.0,4.67,1,4,4,Raiders,2020,351.6,
1350,Derek Carrier,7406,LV,TE,4.0,0,100.0,,0,0,0,0.0,0,0,23,0,68.3,64.0,59.5,72.2,58.9,68.2,15,0,9,4.5,1,22,0,2,90.9,20,4.5,1,93.8,2,0,27.3,6,13,5,2.5,6.5,0.65,1,23,22,Raiders,2021,1309.0,
100,Desmond Clark,529,CHI,TE,3.5,0,50.0,,0,0,0,50.0,1,1,6,0,28.8,61.2,39.0,75.8,34.8,0.0,0,0,12,57.1,4,7,0,1,42.9,3,14.3,1,68.8,2,0,14.3,1,12,9,9.0,12.0,4.0,4,10,2,Bears,2010,78.0,
1196,Devin Asiasi,40294,NE,TE,9.4,0,28.6,0.0,0,2,0,33.3,1,2,19,0,30.0,64.0,51.6,67.7,49.8,57.8,63,0,26,21.1,23,109,2,2,73.4,80,30.3,33,89.9,7,1,11.9,13,39,5,2.5,19.5,0.49,23,104,109,Patriots,2020,5624.400000000001,
1458,Devin Asiasi,40294,CIN,TE,13.8,0,50.0,,0,0,0,0.0,0,0,7,0,68.3,66.8,45.6,57.1,42.0,88.1,52,0,6,25.4,15,59,2,2,67.8,40,5.1,3,56.3,4,0,5.1,3,5,0,0.0,2.5,0.13,15,125,58,Bengals,2022,2644.8,
1683,Devin Culp,84080,TB,TE,11.8,1,83.3,,0,0,0,0.0,0,4,30,0,73.4,68.0,79.6,,77.8,24.1,7,0,26,0.0,0,29,0,5,96.6,28,44.8,13,118.8,6,0,31.0,9,88,30,6.0,17.6,3.14,0,12,29,Buccaneers,2024,2308.3999999999996,
390,Dion Sims,7888,MIA,TE,6.2,0,66.7,,0,0,0,14.3,1,3,17,0,49.7,68.8,54.9,59.9,53.9,76.7,99,0,8,37.2,48,129,0,6,62.0,80,19.4,25,109.5,9,1,2.3,3,32,6,1.0,5.3,0.4,48,150,127,Dolphins,2013,6972.3,
464,Dion Sims,7888,MIA,TE,8.1,2,70.6,,0,0,1,7.7,2,13,17,0,62.5,75.3,67.2,54.1,63.3,56.5,160,1,38,18.4,52,283,3,24,77.0,218,33.9,96,103.1,34,2,4.2,12,284,114,4.8,11.8,1.3,52,224,268,Dolphins,2014,18009.600000000002,
585,Dion Sims,7888,MIA,TE,6.6,0,72.0,,0,0,0,10.0,2,7,17,1,57.6,24.0,60.2,51.9,51.4,59.7,142,0,22,34.5,82,238,3,18,62.6,149,28.2,67,96.6,25,1,5.5,13,127,82,4.6,7.1,0.85,82,220,222,Dolphins,2015,13364.400000000001,
