,player,player_id,team_name,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,Team,Year,weighted_grade,weighted_average_grade
835,Austin Traylor,11411,DEN,TE,9.3,1,66.7,66.7,2,3,0,0.0,0,6,10,0,76.5,70.1,58.6,74.0,54.9,44.4,76,0,34,15.8,27,171,0,8,78.4,134,36.3,62,92.4,12,0,12.3,21,100,44,5.5,12.5,0.75,27,95,159,Broncos,2017,9317.4,
1710,Baylor Cupp,98500,KC,TE,-1.0,0,0.0,,0,0,0,100.0,1,0,16,0,27.9,,28.8,28.9,28.4,100.0,4,0,0,25.0,1,4,0,0,75.0,3,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0,1,2,4,Chiefs,2024,115.2,
155,Bear Pascoe,5108,NYG,TE,3.4,3,85.0,,0,0,0,0.0,0,10,21,0,82.2,73.6,65.7,65.1,63.1,50.6,124,0,22,22.9,56,245,5,17,73.9,181,15.5,38,119.8,20,1,6.1,15,175,118,6.9,10.3,0.97,56,260,177,Giants,2011,11628.9,
286,Bear Pascoe,5108,NYG,TE,4.3,1,66.7,,0,0,0,33.3,2,2,21,0,28.7,67.0,51.9,29.7,43.4,54.3,51,0,16,11.7,11,94,0,4,84.0,79,21.3,20,121.5,6,1,14.9,14,35,20,5.0,8.8,0.44,11,148,85,Giants,2012,4411.5,
371,Bear Pascoe,5108,NYG,TE,4.8,2,66.7,,0,0,0,14.3,2,3,21,0,46.3,72.5,72.6,57.4,58.7,45.5,61,0,14,21.6,29,134,0,12,76.1,102,9.7,13,76.4,18,0,11.2,15,81,53,4.4,6.8,0.79,29,198,89,Giants,2013,6461.4,
526,Bear Pascoe,5108,ATL,TE,5.5,0,100.0,,0,0,0,0.0,0,1,2,0,68.3,64.0,75.4,56.0,53.5,82.1,55,0,2,32.8,22,67,0,2,62.7,42,11.9,8,118.8,2,1,3.0,2,3,1,0.5,1.5,0.07,22,80,65,Falcons,2014,4901.0,
730,Ben Braunecker,11335,CHI,TE,7.2,0,66.7,,0,0,0,0.0,0,2,6,0,72.1,67.0,59.5,60.2,56.7,65.6,40,1,14,27.9,17,61,0,4,65.6,40,19.7,12,46.5,6,0,3.3,2,41,5,1.3,10.3,1.03,17,85,54,Bears,2016,3213.0,
972,Ben Braunecker,11335,CHI,TE,15.8,0,60.0,66.7,2,3,0,0.0,0,2,6,0,72.1,67.0,61.7,70.8,63.6,32.7,17,1,20,15.4,8,52,2,3,71.2,37,26.9,14,47.5,5,0,30.8,16,42,3,1.0,14.0,1.14,8,68,47,Bears,2018,2899.9,
1069,Ben Braunecker,11335,CHI,TE,10.5,1,54.5,33.3,1,3,0,14.3,1,5,6,0,49.2,68.8,55.7,45.2,55.9,41.1,39,0,18,11.6,11,95,0,6,82.1,78,44.2,42,100.2,11,1,13.7,13,59,25,4.2,9.8,0.76,11,47,94,Bears,2019,5235.8,
1205,Ben Ellefson,27766,JAX,TE,10.5,0,25.0,,0,0,0,50.0,1,1,15,0,29.9,64.0,55.0,80.8,52.9,79.2,38,1,10,35.4,17,48,0,1,58.3,28,14.6,7,0.0,4,0,6.3,3,10,3,3.0,10.0,0.36,17,85,48,Jaguars,2020,2640.0,
1355,Ben Ellefson,27766,MIN,TE,6.0,0,0.0,,0,0,0,100.0,1,0,18,0,27.9,,40.3,44.9,30.1,100.0,26,0,0,38.5,10,26,1,0,61.5,16,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0,10,55,26,Vikings,2021,1047.8,
