player_id,Year,Team,Cap_Space,position_x,age,adjusted_value,Net EPA,Win %,player,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,weighted_grade,weighted_average_grade,TE_Value,TE_Value_Score,Production_Score
00-0033288,2022,49ers,3.549149375600384,,28.0,34.08864649091059,0.196,75.00%,George Kittle,TE,7.7,10.0,75.0,56.3,9.0,16.0,1.0,3.2,2.0,36.0,28.0,1.0,84.4,44.4,82.0,36.8,84.0,57.7,290.0,2.0,54.0,6.8,34.0,503.0,5.0,60.0,88.1,443.0,30.0,151.0,133.6,80.0,11.0,10.5,53.0,765.0,388.0,6.5,12.8,1.73,34.0,354.0,494.0,40508.0,MISSING,15808.0,39.52,1345.0
00-0032214,2022,49ers,0.4658981748318924,,29.0,38.7423104925207,0.196,75.00%,Tyler Kroft,TE,10.7,0.0,66.7,MISSING,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,72.1,67.0,64.7,60.0,53.0,76.7,56.0,0.0,28.0,17.8,13.0,73.0,1.0,4.0,78.1,57.0,13.7,10.0,97.2,6.0,0.0,9.6,7.0,57.0,14.0,3.5,14.3,1.0,13.0,165.0,73.0,4723.1,MISSING,1073.1000000000001,2.6827500000000004,77.0
00-0034073,2021,49ers,0.8702657534246575,,26.0,0.0,0.081,60.00%,Ross Dwelley,TE,12.0,0.0,80.0,100.0,1.0,1.0,0.0,0.0,0.0,2.0,28.0,0.0,72.1,68.7,53.0,26.3,50.8,49.5,46.0,0.0,21.0,15.1,14.0,93.0,2.0,4.0,79.6,74.0,37.6,35.0,148.8,5.0,1.0,9.7,9.0,51.0,4.0,1.0,12.8,0.69,14.0,103.0,90.0,4770.0,MISSING,270.0,0.675,91.0
00-0036429,2021,49ers,0.4521956164383562,,23.0,34.634188700826,0.081,60.00%,Charlie Woerner,TE,8.5,0.0,83.3,0.0,0.0,1.0,1.0,0.0,0.0,3.0,28.0,0.0,73.4,68.0,74.6,74.3,63.5,78.6,66.0,0.0,27.0,21.4,18.0,84.0,2.0,5.0,73.8,62.0,16.7,14.0,102.8,6.0,0.0,4.8,4.0,52.0,10.0,2.0,10.4,0.84,18.0,165.0,84.0,6266.4,MISSING,2066.3999999999996,5.1659999999999995,82.0
00-0033288,2021,49ers,2.9863013698630136,,27.0,46.01485970410047,0.081,60.00%,George Kittle,TE,8.3,19.0,76.3,44.4,8.0,18.0,0.0,4.1,3.0,43.0,28.0,2.0,80.9,27.5,90.9,76.1,91.4,58.2,276.0,6.0,48.0,13.7,65.0,474.0,5.0,71.0,82.1,389.0,30.2,143.0,101.4,93.0,6.0,8.6,41.0,916.0,461.0,6.5,12.9,2.35,65.0,365.0,460.0,41814.0,MISSING,18814.000000000004,47.03500000000001,1466.0
00-0034073,2020,49ers,0.3784056508577195,,25.0,0.0,0.025,37.50%,Ross Dwelley,TE,7.7,2.0,86.4,100.0,3.0,3.0,0.0,0.0,0.0,10.0,28.0,0.0,83.2,74.7,61.3,50.3,70.3,71.1,172.0,0.0,36.0,21.9,53.0,242.0,6.0,19.0,74.8,181.0,21.1,51.0,128.2,22.0,1.0,4.5,11.0,245.0,103.0,5.4,12.9,1.35,53.0,260.0,234.0,14344.2,MISSING,2644.1999999999994,6.610499999999998,365.0
00-0036429,2020,49ers,0.3306039354187689,,22.0,38.276698123297095,0.025,37.50%,Charlie Woerner,TE,2.5,1.0,75.0,50.0,1.0,2.0,0.0,0.0,0.0,2.0,28.0,0.0,70.5,65.8,56.3,71.5,66.9,92.3,36.0,0.0,18.0,35.9,14.0,39.0,0.0,3.0,64.1,25.0,0.0,0.0,102.1,4.0,0.0,5.1,2.0,36.0,25.0,8.3,12.0,1.44,14.0,80.0,38.0,2139.4,MISSING,239.3999999999999,0.5984999999999997,56.0
00-0030472,2020,49ers,0.5297679112008072,,30.0,38.7423104925207,0.025,37.50%,Jordan Reed,TE,9.0,5.0,60.5,41.7,5.0,12.0,0.0,7.1,2.0,16.0,28.0,0.0,55.1,75.9,66.2,72.4,70.0,18.7,36.0,1.0,26.0,1.6,3.0,193.0,2.0,26.0,91.2,176.0,64.8,125.0,96.2,43.0,4.0,15.0,29.0,231.0,81.0,3.1,8.9,1.31,3.0,54.0,190.0,12578.0,MISSING,3078.0000000000005,7.695000000000001,471.0
00-0033288,2020,49ers,2.9301584258324924,,26.0,50.85428474430284,0.025,37.50%,George Kittle,TE,7.9,2.0,76.2,61.5,8.0,13.0,0.0,14.3,8.0,32.0,28.0,0.0,36.6,79.5,84.9,75.1,87.7,59.3,159.0,2.0,44.0,13.4,36.0,268.0,3.0,48.0,83.2,223.0,32.1,86.0,104.9,63.0,2.0,6.3,17.0,634.0,299.0,6.2,13.2,2.84,36.0,173.0,262.0,22243.800000000003,MISSING,9143.800000000001,22.859500000000004,994.0
00-0036140,2020,49ers,0.0042381432896064,,22.0,0.0,0.025,37.50%,Charlie Taumoepeau,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0
