player,Team,player_id,weighted_grade,weighted_grade_prev,Pred_XGB,Pred_Transformer,Ensemble_Pred,Error
George Kittle,49ers,00-0033288,55.3387,40.508,47.10474,45.203728,46.629486,8.709213916015628
Travis Kelce,Chiefs,00-0030506,59.389399999999995,60.2171,45.87123,48.51143,46.53128,12.85811948242187
Mark Andrews,Ravens,00-0034753,24.7432,36.6971,40.65753,48.286705,42.564827,-17.82162696533203
T.J. Hockenson,Vikings,00-0035229,44.3644,47.2446,37.377335,42.15734,38.572334,5.792065710449222
Dalton Schultz,Texans,00-0034383,37.609,31.933799999999998,32.707413,40.701958,34.706047,2.902952941894533
David Njoku,Browns,00-0033885,44.1254,35.154900000000005,31.15384,38.369713,32.95781,11.167590551757812
Dallas Goedert,Eagles,00-0034351,36.352,31.6992,29.024733,43.66526,32.684864,3.6671359558105436
Evan Engram,Jaguars,00-0033881,48.32999999999999,37.3516,30.465744,36.10225,31.87487,16.455129699707022
Cole Kmet,Bears,00-0036290,37.0711,34.138,30.926535,32.482597,31.31555,5.755550149536134
Noah Fant,Seahawks,00-0035644,22.015,26.202,31.015778,31.862858,31.227547,-9.21254669189453
Pat Freiermuth,Steelers,00-0036894,22.372,37.297,28.61427,37.89495,30.934439,-8.562438705444336
Gerald Everett,Chargers,00-0033895,23.8128,32.7448,29.535475,30.778774,29.846298,-6.033498217773438
Tyler Higbee,Rams,00-0033110,31.968,33.7326,24.053064,45.249054,29.352062,2.615937774658203
Darren Waller,Giants,00-0031610,27.343600000000002,19.0412,26.753077,36.037704,29.074234,-1.7306340087890604
Kyle Pitts,Falcons,00-0036970,33.7095,16.939100000000003,27.50809,26.68749,27.30294,6.406559631347655
Tyler Conklin,Jets,00-0034270,35.1616,33.284800000000004,24.576406,28.506454,25.558918,9.602682000732422
Mike Gesicki,Patriots,00-0034829,19.7178,23.420899999999996,22.7084,30.87806,24.750814,-5.0330144378662105
Juwan Johnson,Saints,00-0036040,20.2272,26.0741,27.865187,12.180926,23.94412,-3.7169204071044923
Isaiah Likely,Ravens,00-0037838,23.943999999999996,19.521600000000003,25.59394,17.118706,23.475132,0.4688680114746049
Greg Dulcich,Broncos,00-0037252,1.5387,20.8984,27.30606,11.244862,23.29076,-21.752060040283205
Hunter Henry,Patriots,00-0033090,28.6209,27.307,24.90938,15.902256,22.6576,5.963299597167968
Daniel Bellinger,Giants,00-0038115,17.381400000000003,19.493399999999998,22.898249,13.646033,20.585196,-3.203795541381833
Jonnu Smith,Falcons,00-0033858,25.1766,10.685799999999999,23.128202,11.797991,20.295649,4.880951425170899
Cade Otton,Buccaneers,00-0038129,42.4864,29.375400000000003,22.877583,10.631033,19.815947,22.67045342102051
Dawson Knox,Bills,00-0035689,16.5135,32.0943,21.072721,15.421818,19.659996,-3.1464960327148432
Chigoziem Okonkwo,Titans,00-0037809,27.8208,13.4966,18.83914,20.018845,19.134066,8.68673437194824
Brevin Jordan,Texans,00-0036556,12.861600000000001,8.7531,20.033014,15.746661,18.961426,-6.099825781249999
Hayden Hurst,Panthers,00-0034830,11.085600000000001,27.105,17.477764,22.59512,18.757103,-7.6715029663085925
Will Dissly,Seahawks,00-0034159,11.9071,20.7444,20.340656,12.409599,18.357891,-6.450791082763672
Colby Parkinson,Seahawks,00-0036244,14.0544,16.5675,19.15288,15.288464,18.186775,-4.132375207519532
Tommy Tremble,Panthers,00-0037005,15.846,13.365,18.184332,15.02696,17.394989,-1.548989013671875
Foster Moreau,Saints,00-0034981,11.281199999999998,25.417600000000004,18.556137,12.221615,16.972507,-5.691307476806642
Jake Ferguson,Cowboys,00-0038041,47.531,9.9864,18.71834,10.955961,16.777746,30.753253799438475
Mo Alie-Cox,Colts,00-0033217,12.3424,15.424,17.149334,13.963494,16.352875,-4.010474755859375
Noah Gray,Chiefs,00-0036637,27.3615,21.021,17.148073,13.762083,16.301577,11.059923385620117
