player,grade,model_grade,stats_grade,snaps,primary_team,teams,rank_overall,tier,rank_in_tier,position_key,position_label,season_year
Jason Kelce,97.3,94.1,95.26,1281.0,Eagles,Eagles,1,Elite,1,C,Center,2017
Alex Mack,96.63,91.5,95.88,1158.0,Falcons,Falcons,2,Elite,2,C,Center,2017
Travis Frederick,92.58,86.2,92.67,1065.0,Cowboys,Cowboys,3,Elite,3,C,Center,2017
Brandon Linder,89.93,82.7,90.58,1119.0,Jaguars,Jaguars,4,Elite,4,C,Center,2017
David Andrews,89.59,83.5,89.49,1207.0,Patriots,Patriots,5,Elite,5,C,Center,2017
Ali Marpet,88.56,78.42,91.16,723.0,Buccaneers,Buccaneers,6,Elite,6,C,Center,2017
Rodney Hudson,84.62,76.2,86.07,1007.0,Raiders,Raiders,7,Elite,7,C,Center,2017
Matt Paradis,82.8,74.9,83.9,1128.0,Broncos,Broncos,8,Elite,8,C,Center,2017
Ryan Jensen,81.74,72.3,83.86,1085.0,Ravens,Ravens,9,Elite,9,C,Center,2017
Weston Richburg,81.65,68.85,86.01,241.0,Giants,Giants,10,Elite,10,C,Center,2017
Maurkice Pouncey,81.64,72.8,83.37,1114.0,Steelers,Steelers,11,Elite,11,C,Center,2017
Ben Jones,81.24,71.6,83.5,1153.0,Titans,Titans,12,Elite,12,C,Center,2017
Eric Wood,79.83,70.9,81.62,1130.0,Bills,Bills,13,Good,1,C,Center,2017
John Sullivan,79.57,70.31,81.58,926.0,Rams,Rams,14,Good,2,C,Center,2017
Brett Jones,79.14,70.1,81.0,966.0,Giants,Giants,15,Good,3,C,Center,2017
J.C. Tretter,77.56,69.1,79.03,1068.0,Browns,Browns,16,Good,4,C,Center,2017
Corey Linsley,77.21,67.7,79.38,1047.0,Packers,Packers,17,Good,5,C,Center,2017
Daniel Kilgore,77.0,66.8,79.64,1098.0,49ers,49ers,18,Good,6,C,Center,2017
Russell Bodine,76.87,66.72,79.47,962.0,Bengals,Bengals,19,Good,7,C,Center,2017
Justin Britt,76.84,65.5,80.23,1062.0,Seahawks,Seahawks,20,Good,8,C,Center,2017
Pat Elflein,76.25,66.6,78.52,1081.0,Vikings,Vikings,21,Good,9,C,Center,2017
Tyler Larsen,75.82,66.16,78.1,720.0,Panthers,Panthers,22,Good,10,C,Center,2017
Nick Martin,74.61,64.77,77.01,971.0,Texans,Texans,23,Good,11,C,Center,2017
Mike Pouncey,74.45,62.09,78.53,971.0,Dolphins,Dolphins,24,Good,12,C,Center,2017
Max Unger,73.7,63.1,76.6,1164.0,Saints,Saints,25,Starter,1,C,Center,2017
Mitch Morse,73.26,61.47,76.95,383.0,Chiefs,Chiefs,26,Starter,2,C,Center,2017
A.Q. Shipley,72.46,61.3,75.73,1120.0,Cardinals,Cardinals,27,Starter,3,C,Center,2017
Spencer Long,72.31,60.76,75.84,397.0,Commanders,Commanders,28,Starter,4,C,Center,2017
Chase Roullier,71.28,63.0,72.64,457.0,Commanders,Commanders,29,Starter,5,C,Center,2017
B.J. Finney,70.73,63.13,71.63,235.0,Steelers,Steelers,30,Starter,6,C,Center,2017
Travis Swanson,70.14,58.45,73.77,710.0,Lions,Lions,31,Starter,7,C,Center,2017
Joe Hawley,69.04,57.64,72.48,203.0,Buccaneers,Buccaneers,32,Starter,8,C,Center,2017
Ryan Kelly,68.86,60.31,70.39,394.0,Colts,Colts,33,Starter,9,C,Center,2017
Ryan Kalil,68.35,57.4,71.49,412.0,Panthers,Panthers,34,Starter,10,C,Center,2017
Spencer Pulley,66.25,53.6,70.52,1054.0,Chargers,Chargers,35,Starter,11,C,Center,2017
Wesley Johnson,65.97,51.9,71.18,938.0,Jets,Jets,36,Starter,12,C,Center,2017
Austin Blythe,65.7,56.38,67.75,197.0,Rams,Rams,37,Starter,13,C,Center,2017
Jonotthan Harrison,62.5,50.88,66.08,102.0,Jets,Jets,38,Starter,14,C,Center,2017
Hroniss Grasu,61.87,48.05,66.91,259.0,Bears,Bears,39,Rotation/backup,1,C,Center,2017
Casey Hayward Jr.,93.79,92.1,90.75,1003.0,Chargers,Chargers,1,Elite,1,CB,Cornerback,2017
Tre'Davious White,93.72,90.1,91.97,1149.0,Bills,Bills,2,Elite,2,CB,Cornerback,2017
Jalen Ramsey,93.36,91.6,90.37,1212.0,Jaguars,Jaguars,3,Elite,3,CB,Cornerback,2017
Marshon Lattimore,93.18,87.9,93.57,900.0,Saints,Saints,4,Elite,4,CB,Cornerback,2017
William Jackson III,92.27,87.96,93.06,698.0,Bengals,Bengals,5,Elite,5,CB,Cornerback,2017
Kendall Fuller,89.58,89.15,87.27,720.0,Commanders,Commanders,6,Elite,6,CB,Cornerback,2017
Stephon Gilmore,89.58,87.2,88.15,1027.0,Patriots,Patriots,7,Elite,7,CB,Cornerback,2017
Patrick Robinson,89.42,89.9,87.75,853.0,Eagles,Eagles,8,Elite,8,CB,Cornerback,2017
A.J. Bouye,88.28,84.7,87.14,1229.0,Jaguars,Jaguars,9,Elite,9,CB,Cornerback,2017
Marcus Peters,87.69,81.7,88.03,1034.0,Chiefs,Chiefs,10,Elite,10,CB,Cornerback,2017
Aqib Talib,86.16,81.02,86.88,753.0,Broncos,Broncos,11,Elite,11,CB,Cornerback,2017
Tramon Williams,86.15,82.35,87.54,666.0,Cardinals,Cardinals,12,Elite,12,CB,Cornerback,2017
Nickell Robey-Coleman,85.2,81.97,83.19,676.0,Rams,Rams,13,Elite,13,CB,Cornerback,2017
Darius Slay,85.01,80.0,84.81,1064.0,Lions,Lions,14,Elite,14,CB,Cornerback,2017
Jimmy Smith,84.89,81.98,86.32,601.0,Ravens,Ravens,15,Elite,15,CB,Cornerback,2017
Trevor Williams,83.79,80.2,84.75,1004.0,Chargers,Chargers,16,Elite,16,CB,Cornerback,2017
Bradley Roby,82.96,76.49,83.1,674.0,Broncos,Broncos,17,Elite,17,CB,Cornerback,2017
Mike Hilton,82.39,78.55,80.78,592.0,Steelers,Steelers,18,Elite,18,CB,Cornerback,2017
Kyle Fuller,82.14,79.0,80.07,1017.0,Bears,Bears,19,Elite,19,CB,Cornerback,2017
Chris Harris Jr.,82.09,75.8,82.11,869.0,Broncos,Broncos,20,Elite,20,CB,Cornerback,2017
E.J. Gaines,81.86,79.12,83.37,711.0,Bills,Bills,21,Elite,21,CB,Cornerback,2017
Robert Alford,81.53,74.5,82.25,1171.0,Falcons,Falcons,22,Elite,22,CB,Cornerback,2017
Adoree' Jackson,81.47,75.5,81.29,1154.0,Titans,Titans,23,Elite,23,CB,Cornerback,2017
Briean Boddy-Calhoun,81.45,74.09,84.93,535.0,Browns,Browns,24,Elite,24,CB,Cornerback,2017
Ronald Darby,81.07,76.35,83.48,580.0,Eagles,Eagles,25,Elite,25,CB,Cornerback,2017
Richard Sherman,81.01,72.68,86.05,572.0,Seahawks,Seahawks,26,Elite,26,CB,Cornerback,2017
T.J. Carrie,80.65,75.0,80.76,1023.0,Raiders,Raiders,27,Elite,27,CB,Cornerback,2017
Marlon Humphrey,80.57,73.02,81.44,597.0,Ravens,Ravens,28,Elite,28,CB,Cornerback,2017
Brent Grimes,80.53,75.2,81.68,844.0,Buccaneers,Buccaneers,29,Elite,29,CB,Cornerback,2017
Bobby McCain,80.2,76.96,79.45,664.0,Dolphins,Dolphins,30,Elite,30,CB,Cornerback,2017
Quinton Dunbar,80.18,72.98,84.57,373.0,Commanders,Commanders,31,Elite,31,CB,Cornerback,2017
Desmond Trufant,79.98,72.8,82.78,1030.0,Falcons,Falcons,32,Good,1,CB,Cornerback,2017
Artie Burns,79.92,73.6,79.96,1028.0,Steelers,Steelers,33,Good,2,CB,Cornerback,2017
Ken Crawley,79.54,74.1,80.81,967.0,Saints,Saints,34,Good,3,CB,Cornerback,2017
Chidobe Awuzie,79.2,71.57,87.42,309.0,Cowboys,Cowboys,35,Good,4,CB,Cornerback,2017
Malcolm Butler,79.03,69.3,81.35,1175.0,Patriots,Patriots,36,Good,5,CB,Cornerback,2017
Ross Cockrell,78.9,73.31,79.49,679.0,Giants,Giants,37,Good,6,CB,Cornerback,2017
Xavier Rhodes,78.89,71.0,80.62,1031.0,Vikings,Vikings,38,Good,7,CB,Cornerback,2017
Jason McCourty,78.5,73.5,81.83,899.0,Browns,Browns,39,Good,8,CB,Cornerback,2017
Rashaan Melvin,78.31,73.01,83.73,552.0,Colts,Colts,40,Good,9,CB,Cornerback,2017
Josh Norman,78.22,69.3,81.03,902.0,Commanders,Commanders,41,Good,10,CB,Cornerback,2017
Justin Coleman,77.95,74.33,80.57,654.0,Seahawks,Seahawks,42,Good,11,CB,Cornerback,2017
Bashaud Breeland,77.73,72.0,78.53,856.0,Commanders,Commanders,43,Good,12,CB,Cornerback,2017
Jourdan Lewis,77.68,69.7,79.87,746.0,Cowboys,Cowboys,44,Good,13,CB,Cornerback,2017
Johnathan Joseph,77.44,70.68,78.1,746.0,Texans,Texans,45,Good,14,CB,Cornerback,2017
Ahkello Witherspoon,77.42,72.25,80.86,660.0,49ers,49ers,46,Good,15,CB,Cornerback,2017
K'Waun Williams,76.9,72.08,78.54,632.0,49ers,49ers,47,Good,16,CB,Cornerback,2017
Darqueze Dennard,76.69,72.4,76.95,900.0,Bengals,Bengals,48,Good,17,CB,Cornerback,2017
Prince Amukamara,76.66,71.5,78.63,849.0,Bears,Bears,49,Good,18,CB,Cornerback,2017
Trumaine Johnson,76.61,68.4,78.95,1005.0,Rams,Rams,50,Good,19,CB,Cornerback,2017
Bryce Callahan,76.49,73.63,79.54,512.0,Bears,Bears,51,Good,20,CB,Cornerback,2017
Dominique Rodgers-Cromartie,76.03,68.22,77.81,604.0,Giants,Giants,52,Good,21,CB,Cornerback,2017
Patrick Peterson,75.83,68.4,76.61,1013.0,Cardinals,Cardinals,53,Good,22,CB,Cornerback,2017
Cre'Von LeBlanc,75.46,66.59,83.59,212.0,Bears,Bears,54,Good,23,CB,Cornerback,2017
Aaron Colvin,75.03,74.4,73.16,833.0,Jaguars,Jaguars,55,Good,24,CB,Cornerback,2017
Byron Maxwell,75.0,68.85,79.94,580.0,Seahawks,Seahawks,56,Good,25,CB,Cornerback,2017
Joe Haden,74.57,69.89,78.84,673.0,Steelers,Steelers,57,Good,26,CB,Cornerback,2017
Brandon Carr,74.55,66.2,75.95,1023.0,Ravens,Ravens,58,Good,27,CB,Cornerback,2017
Shaquill Griffin,74.43,63.0,78.92,876.0,Seahawks,Seahawks,59,Good,28,CB,Cornerback,2017
Janoris Jenkins,73.7,68.83,76.63,619.0,Giants,Giants,60,Starter,1,CB,Cornerback,2017
Sean Smith,72.68,63.72,75.73,701.0,Raiders,Raiders,61,Starter,2,CB,Cornerback,2017
Logan Ryan,72.67,62.0,75.61,1048.0,Titans,Titans,62,Starter,3,CB,Cornerback,2017
Darryl Roberts,72.44,65.05,78.28,468.0,Jets,Jets,63,Starter,4,CB,Cornerback,2017
Terence Newman,72.32,63.57,74.3,611.0,Vikings,Vikings,64,Starter,5,CB,Cornerback,2017
Kenny Moore II,72.19,66.34,80.26,384.0,Colts,Colts,65,Starter,6,CB,Cornerback,2017
Jonathan Jones,72.17,66.03,76.64,446.0,Patriots,Patriots,66,Starter,7,CB,Cornerback,2017
Rasul Douglas,72.08,65.16,76.69,424.0,Eagles,Eagles,67,Starter,8,CB,Cornerback,2017
Xavien Howard,71.43,63.6,75.61,1016.0,Dolphins,Dolphins,68,Starter,9,CB,Cornerback,2017
Troy Hill,70.8,68.38,75.95,338.0,Rams,Rams,69,Starter,10,CB,Cornerback,2017
Trae Waynes,70.4,61.8,73.32,1044.0,Vikings,Vikings,70,Starter,11,CB,Cornerback,2017
Steven Nelson,70.33,66.45,73.53,579.0,Chiefs,Chiefs,71,Starter,12,CB,Cornerback,2017
Davon House,70.18,60.0,75.81,658.0,Packers,Packers,72,Starter,13,CB,Cornerback,2017
Robert McClain,69.95,65.31,73.66,690.0,Buccaneers,Buccaneers,73,Starter,14,CB,Cornerback,2017
William Gay,69.89,62.01,70.98,271.0,Steelers,Steelers,74,Starter,15,CB,Cornerback,2017
Anthony Brown,69.88,58.7,73.16,846.0,Cowboys,Cowboys,75,Starter,16,CB,Cornerback,2017
Dre Kirkpatrick,69.87,61.8,72.44,868.0,Bengals,Bengals,76,Starter,17,CB,Cornerback,2017
Terrance Mitchell,69.6,61.02,77.61,705.0,Chiefs,Chiefs,77,Starter,18,CB,Cornerback,2017
Buster Skrine,69.56,61.4,71.98,1010.0,Jets,Jets,78,Starter,19,CB,Cornerback,2017
Quincy Wilson,69.43,65.79,78.56,402.0,Colts,Colts,79,Starter,20,CB,Cornerback,2017
Kayvon Webster,68.87,61.88,74.05,550.0,Rams,Rams,80,Starter,21,CB,Cornerback,2017
Daryl Worley,68.84,59.22,71.47,777.0,Panthers,Panthers,81,Starter,22,CB,Cornerback,2017
Shareece Wright,68.8,64.61,71.79,456.0,Bills,Bills,82,Starter,23,CB,Cornerback,2017
P.J. Williams,68.59,61.89,74.36,740.0,Saints,Saints,83,Starter,24,CB,Cornerback,2017
Captain Munnerlyn,68.16,60.33,70.05,404.0,Panthers,Panthers,84,Starter,25,CB,Cornerback,2017
