player,grade,model_grade,stats_grade,snaps,primary_team,teams,rank_overall,tier,rank_in_tier,position_key,position_label,season_year
Chris Myers,97.54,92.6,96.66,1165.0,Texans,Texans,1,Elite,1,C,Center,2011
Nick Mangold,94.42,87.98,94.54,894.0,Jets,Jets,2,Elite,2,C,Center,2011
John Sullivan,88.7,81.93,89.05,936.0,Vikings,Vikings,3,Elite,3,C,Center,2011
Jeff Saturday,88.35,81.33,88.87,975.0,Colts,Colts,4,Elite,4,C,Center,2011
Scott Wells,88.2,80.6,89.1,1085.0,Packers,Packers,5,Elite,5,C,Center,2011
Matt Birk,84.46,76.0,85.93,1192.0,Ravens,Ravens,6,Elite,6,C,Center,2011
Brad Meester,82.93,75.2,83.91,1041.0,Jaguars,Jaguars,7,Elite,7,C,Center,2011
Alex Mack,82.87,74.6,84.21,1063.0,Browns,Browns,8,Elite,8,C,Center,2011
Ryan Kalil,82.68,73.6,84.56,1039.0,Panthers,Panthers,9,Elite,9,C,Center,2011
Todd McClure,82.05,73.66,83.47,928.0,Falcons,Falcons,10,Elite,10,C,Center,2011
Mike Pouncey,81.52,73.0,83.03,1005.0,Dolphins,Dolphins,11,Elite,11,C,Center,2011
Eric Wood,81.18,73.81,81.93,543.0,Bills,Bills,12,Elite,12,C,Center,2011
Kyle Cook,79.5,69.0,82.34,1134.0,Bengals,Bengals,13,Good,1,C,Center,2011
Lyle Sendlein,79.15,70.3,80.88,1029.0,Cardinals,Cardinals,14,Good,2,C,Center,2011
Nick Hardwick,79.11,69.7,81.22,1050.0,Chargers,Chargers,15,Good,3,C,Center,2011
Max Unger,78.89,75.6,76.91,992.0,Seahawks,Seahawks,16,Good,4,C,Center,2011
Will Montgomery,78.83,69.2,81.08,1081.0,Commanders,Commanders,17,Good,5,C,Center,2011
Ryan Wendell,78.54,69.59,80.34,354.0,Patriots,Patriots,18,Good,6,C,Center,2011
Jonathan Goodwin,78.03,68.8,80.02,1144.0,49ers,49ers,19,Good,7,C,Center,2011
Dominic Raiola,77.76,67.7,80.3,1148.0,Lions,Lions,20,Good,8,C,Center,2011
David Baas,75.92,65.48,78.71,971.0,Giants,Giants,21,Good,9,C,Center,2011
Eugene Amano,74.62,64.8,77.0,1021.0,Titans,Titans,22,Good,10,C,Center,2011
Jason Kelce,74.1,62.5,77.66,1063.0,Eagles,Eagles,23,Good,11,C,Center,2011
Maurkice Pouncey,73.63,62.69,76.75,845.0,Steelers,Steelers,24,Starter,1,C,Center,2011
Jeff Faine,71.63,60.87,74.64,925.0,Buccaneers,Buccaneers,25,Starter,2,C,Center,2011
Roberto Garza,71.2,58.0,75.83,1007.0,Bears,Bears,26,Starter,3,C,Center,2011
Phil Costa,70.11,56.9,74.75,992.0,Cowboys,Cowboys,27,Starter,4,C,Center,2011
J.D. Walton,68.91,57.1,72.61,1195.0,Broncos,Broncos,28,Starter,5,C,Center,2011
Nick McDonald,68.3,61.08,68.94,106.0,Patriots,Patriots,29,Starter,6,C,Center,2011
Darrelle Revis,92.66,87.6,91.86,1014.0,Jets,Jets,1,Elite,1,CB,Cornerback,2011
Lardarius Webb,89.99,87.3,87.62,1100.0,Ravens,Ravens,2,Elite,2,CB,Cornerback,2011
Champ Bailey,88.12,84.5,87.4,1013.0,Broncos,Broncos,3,Elite,3,CB,Cornerback,2011
Asante Samuel,86.46,83.76,86.96,809.0,Eagles,Eagles,4,Elite,4,CB,Cornerback,2011
Brent Grimes,86.29,82.41,87.31,692.0,Falcons,Falcons,5,Elite,5,CB,Cornerback,2011
Cortland Finnegan,85.72,84.2,82.56,1122.0,Titans,Titans,6,Elite,6,CB,Cornerback,2011
Richard Sherman,83.58,78.56,84.85,763.0,Seahawks,Seahawks,7,Elite,7,CB,Cornerback,2011
Johnathan Joseph,83.28,80.2,82.74,1022.0,Texans,Texans,8,Elite,8,CB,Cornerback,2011
Brandon Flowers,83.06,77.5,82.6,974.0,Chiefs,Chiefs,9,Elite,9,CB,Cornerback,2011
Alterraun Verner,81.79,76.64,81.06,655.0,Titans,Titans,10,Elite,10,CB,Cornerback,2011
Brice McCain,80.82,74.19,83.02,465.0,Texans,Texans,11,Elite,11,CB,Cornerback,2011
Carlos Rogers,80.63,75.1,81.71,1173.0,49ers,49ers,12,Elite,12,CB,Cornerback,2011
Charles Tillman,80.61,75.2,80.05,1070.0,Bears,Bears,13,Elite,13,CB,Cornerback,2011
Corey Webster,80.44,73.1,81.55,1344.0,Giants,Giants,14,Elite,14,CB,Cornerback,2011
Chris Gamble,80.08,77.5,80.24,913.0,Panthers,Panthers,15,Elite,15,CB,Cornerback,2011
Aqib Talib,79.56,75.32,82.12,682.0,Buccaneers,Buccaneers,16,Good,1,CB,Cornerback,2011
Tim Jennings,79.39,75.3,77.95,995.0,Bears,Bears,17,Good,2,CB,Cornerback,2011
Tramon Williams,78.66,71.7,79.13,1056.0,Packers,Packers,18,Good,3,CB,Cornerback,2011
Joe Haden,78.42,67.2,82.39,973.0,Browns,Browns,19,Good,4,CB,Cornerback,2011
Jabari Greer,78.41,72.2,78.76,1097.0,Saints,Saints,20,Good,5,CB,Cornerback,2011
Antoine Winfield,78.18,78.83,80.74,322.0,Vikings,Vikings,21,Good,6,CB,Cornerback,2011
Derek Cox,78.12,73.29,84.85,324.0,Jaguars,Jaguars,22,Good,7,CB,Cornerback,2011
Brandon Carr,78.03,69.6,79.48,1006.0,Chiefs,Chiefs,23,Good,8,CB,Cornerback,2011
Tarell Brown,77.83,70.2,79.92,1145.0,49ers,49ers,24,Good,9,CB,Cornerback,2011
Jimmy Smith,77.08,69.37,83.26,331.0,Ravens,Ravens,25,Good,10,CB,Cornerback,2011
Chris Houston,76.46,71.4,76.7,826.0,Lions,Lions,26,Good,11,CB,Cornerback,2011
Chris Harris Jr.,76.23,70.21,78.16,550.0,Broncos,Broncos,27,Good,12,CB,Cornerback,2011
Josh Wilson,75.96,66.8,78.28,944.0,Commanders,Commanders,28,Good,13,CB,Cornerback,2011
Leodis McKelvin,75.86,69.53,78.51,503.0,Bills,Bills,29,Good,14,CB,Cornerback,2011
Jason McCourty,75.83,67.5,79.44,964.0,Titans,Titans,30,Good,15,CB,Cornerback,2011
Brandon Browner,75.58,61.9,80.53,1071.0,Seahawks,Seahawks,31,Good,16,CB,Cornerback,2011
Vontae Davis,75.52,69.53,77.94,677.0,Dolphins,Dolphins,32,Good,17,CB,Cornerback,2011
Drew Coleman,75.4,69.52,75.16,494.0,Jaguars,Jaguars,33,Good,18,CB,Cornerback,2011
Sheldon Brown,75.39,67.3,76.62,959.0,Browns,Browns,34,Good,19,CB,Cornerback,2011
Patrick Robinson,74.93,69.53,77.09,813.0,Saints,Saints,35,Good,20,CB,Cornerback,2011
Antoine Cason,74.66,63.0,78.26,870.0,Chargers,Chargers,36,Good,21,CB,Cornerback,2011
Antonio Cromartie,74.65,65.8,76.38,944.0,Jets,Jets,37,Good,22,CB,Cornerback,2011
Aaron Berry,74.61,70.69,81.53,455.0,Lions,Lions,38,Good,23,CB,Cornerback,2011
William Middleton,74.33,70.84,77.69,388.0,Jaguars,Jaguars,39,Good,24,CB,Cornerback,2011
Jason Allen,74.1,64.22,77.31,544.0,Texans,Texans,40,Good,25,CB,Cornerback,2011
Nnamdi Asomugha,74.07,65.8,76.2,932.0,Eagles,Eagles,41,Good,26,CB,Cornerback,2011
Leon Hall,73.46,67.36,77.91,542.0,Bengals,Bengals,42,Starter,1,CB,Cornerback,2011
Dimitri Patterson,73.44,63.33,77.72,545.0,Browns,Browns,43,Starter,2,CB,Cornerback,2011
Chris Culliver,73.26,64.72,75.82,527.0,49ers,49ers,44,Starter,3,CB,Cornerback,2011
Richard Marshall,73.05,64.18,74.8,819.0,Cardinals,Cardinals,45,Starter,4,CB,Cornerback,2011
Kyle Arrington,72.99,62.7,75.68,1155.0,Patriots,Patriots,46,Starter,5,CB,Cornerback,2011
Javier Arenas,72.83,63.84,75.31,374.0,Chiefs,Chiefs,47,Starter,6,CB,Cornerback,2011
William Gay,72.57,62.7,74.98,1009.0,Steelers,Steelers,48,Starter,7,CB,Cornerback,2011
Sam Shields,72.44,63.25,74.4,752.0,Packers,Packers,49,Starter,8,CB,Cornerback,2011
DeAngelo Hall,71.7,60.1,75.26,1006.0,Commanders,Commanders,50,Starter,9,CB,Cornerback,2011
Jerraud Powers,71.61,68.34,74.58,794.0,Colts,Colts,51,Starter,10,CB,Cornerback,2011
Cary Williams,71.49,65.4,76.46,1089.0,Ravens,Ravens,52,Starter,11,CB,Cornerback,2011
Mike Jenkins,71.46,63.88,74.94,586.0,Cowboys,Cowboys,53,Starter,12,CB,Cornerback,2011
Aaron Ross,70.97,60.7,74.04,1161.0,Giants,Giants,54,Starter,13,CB,Cornerback,2011
Tramaine Brock Sr.,70.94,64.24,85.1,116.0,49ers,49ers,55,Starter,14,CB,Cornerback,2011
Stanford Routt,70.88,59.6,74.23,1100.0,Raiders,Raiders,56,Starter,15,CB,Cornerback,2011
Cedric Griffin,70.85,67.1,75.3,920.0,Vikings,Vikings,57,Starter,16,CB,Cornerback,2011
Chris Cook,70.44,66.37,79.4,253.0,Vikings,Vikings,58,Starter,17,CB,Cornerback,2011
Roy Lewis,70.35,65.34,74.6,261.0,Seahawks,Seahawks,59,Starter,18,CB,Cornerback,2011
Kyle Wilson,70.24,61.91,72.01,569.0,Jets,Jets,60,Starter,19,CB,Cornerback,2011
D.J. Moore,70.19,60.46,74.46,485.0,Bears,Bears,61,Starter,20,CB,Cornerback,2011
Morgan Trent,69.87,64.28,78.14,225.0,Jaguars,Jaguars,62,Starter,21,CB,Cornerback,2011
Jarrett Bush,69.85,57.66,75.37,313.0,Packers,Packers,63,Starter,22,CB,Cornerback,2011
Drayton Florence,69.8,58.7,73.03,1003.0,Bills,Bills,64,Starter,23,CB,Cornerback,2011
Joselio Hanson,69.63,59.35,72.31,395.0,Eagles,Eagles,65,Starter,24,CB,Cornerback,2011
Dominique Rodgers-Cromartie,69.61,60.83,73.25,473.0,Eagles,Eagles,66,Starter,25,CB,Cornerback,2011
Keenan Lewis,69.39,62.55,74.47,393.0,Steelers,Steelers,67,Starter,26,CB,Cornerback,2011
Adam Jones,69.19,65.81,76.78,495.0,Bengals,Bengals,68,Starter,27,CB,Cornerback,2011
Justin Rogers,68.93,61.68,76.89,214.0,Bills,Bills,69,Starter,28,CB,Cornerback,2011
Andre' Goodman,68.76,62.8,71.7,1167.0,Broncos,Broncos,70,Starter,29,CB,Cornerback,2011
Rashean Mathis,68.25,62.8,72.27,528.0,Jaguars,Jaguars,71,Starter,30,CB,Cornerback,2011
Chris Carr,67.46,61.44,71.85,184.0,Ravens,Ravens,72,Starter,31,CB,Cornerback,2011
Jacob Lacey,67.29,62.3,68.92,701.0,Colts,Colts,73,Starter,32,CB,Cornerback,2011
Tracy Porter,67.1,57.63,70.41,807.0,Saints,Saints,74,Starter,33,CB,Cornerback,2011
Kelly Jennings,66.78,55.03,71.74,405.0,Bengals,Bengals,75,Starter,34,CB,Cornerback,2011
Chris Rucker,66.58,63.29,70.86,317.0,Colts,Colts,76,Starter,35,CB,Cornerback,2011
Nate Clements,66.5,57.0,68.66,983.0,Bengals,Bengals,77,Starter,36,CB,Cornerback,2011
Buster Skrine,66.44,58.28,72.91,123.0,Browns,Browns,78,Starter,37,CB,Cornerback,2011
Captain Munnerlyn,66.35,56.21,70.25,816.0,Panthers,Panthers,79,Starter,38,CB,Cornerback,2011
Chris Owens,66.26,59.55,70.86,338.0,Falcons,Falcons,80,Starter,39,CB,Cornerback,2011
Alan Ball,65.59,51.78,70.63,478.0,Cowboys,Cowboys,81,Starter,40,CB,Cornerback,2011
Josh Gordy,65.38,56.84,69.51,674.0,Rams,Rams,82,Starter,41,CB,Cornerback,2011
Alphonso Smith,65.37,59.44,71.92,257.0,Lions,Lions,83,Starter,42,CB,Cornerback,2011
Orlando Scandrick,65.26,56.78,68.7,658.0,Cowboys,Cowboys,84,Starter,43,CB,Cornerback,2011
Dunta Robinson,65.21,56.6,66.78,1034.0,Falcons,Falcons,85,Starter,44,CB,Cornerback,2011
DeMarcus Van Dyke,64.91,58.51,71.26,319.0,Raiders,Raiders,86,Starter,45,CB,Cornerback,2011
Bradley Fletcher,64.81,58.03,72.98,294.0,Rams,Rams,87,Starter,46,CB,Cornerback,2011
Eric Wright,64.27,53.6,68.39,1089.0,Lions,Lions,88,Starter,47,CB,Cornerback,2011
Dominique Franks,63.64,58.04,74.27,403.0,Falcons,Falcons,89,Starter,48,CB,Cornerback,2011
R.J. Stanford,63.64,60.61,67.75,255.0,Panthers,Panthers,90,Starter,49,CB,Cornerback,2011
E.J. Biggers,63.58,51.68,67.35,660.0,Buccaneers,Buccaneers,91,Starter,50,CB,Cornerback,2011
Sean Smith,62.96,51.3,66.95,1064.0,Dolphins,Dolphins,92,Starter,51,CB,Cornerback,2011
Nolan Carroll,62.68,54.64,71.42,321.0,Dolphins,Dolphins,93,Starter,52,CB,Cornerback,2011
Kevin Barnes,62.58,54.23,67.37,418.0,Commanders,Commanders,94,Starter,53,CB,Cornerback,2011
Kareem Jackson,62.45,46.73,68.77,621.0,Texans,Texans,95,Starter,54,CB,Cornerback,2011
Antwaun Molden,62.28,54.96,69.38,345.0,Patriots,Patriots,96,Starter,55,CB,Cornerback,2011
Terence Newman,61.74,49.47,67.05,799.0,Cowboys,Cowboys,97,Rotation/backup,1,CB,Cornerback,2011
A.J. Jefferson,61.62,51.49,70.08,789.0,Cardinals,Cardinals,98,Rotation/backup,2,CB,Cornerback,2011
Brandon McDonald,61.01,58.71,61.62,153.0,Lions,Lions,99,Rotation/backup,3,CB,Cornerback,2011
Terrence McGee,60.51,55.98,68.61,280.0,Bills,Bills,100,Rotation/backup,4,CB,Cornerback,2011
Ronde Barber,60.15,43.0,67.42,968.0,Buccaneers,Buccaneers,101,Rotation/backup,5,CB,Cornerback,2011
Patrick Peterson,60.05,47.5,64.25,1098.0,Cardinals,Cardinals,102,Rotation/backup,6,CB,Cornerback,2011
