player,grade,model_grade,stats_grade,snaps,primary_team,teams,rank_overall,tier,rank_in_tier,position_key,position_label,season_year
Jason Kelce,87.78,81.0,88.14,1163.0,Eagles,Eagles,1,Elite,1,C,Center,2019
Ryan Jensen,86.47,79.3,87.08,1139.0,Buccaneers,Buccaneers,2,Elite,2,C,Center,2019
Erik McCoy,85.28,76.2,87.17,1058.0,Saints,Saints,3,Elite,3,C,Center,2019
Ben Jones,84.29,76.35,85.41,918.0,Titans,Titans,4,Elite,4,C,Center,2019
Brandon Linder,84.23,75.3,86.02,1083.0,Jaguars,Jaguars,5,Elite,5,C,Center,2019
Ryan Kelly,82.46,73.0,84.6,1018.0,Colts,Colts,6,Elite,6,C,Center,2019
Alex Mack,81.74,72.1,84.0,1156.0,Falcons,Falcons,7,Elite,7,C,Center,2019
J.C. Tretter,80.52,72.0,82.03,1039.0,Browns,Browns,8,Elite,8,C,Center,2019
Rodney Hudson,79.77,70.72,81.63,904.0,Raiders,Raiders,9,Good,1,C,Center,2019
Travis Frederick,79.4,70.0,81.5,1116.0,Cowboys,Cowboys,10,Good,2,C,Center,2019
Corey Linsley,78.88,69.69,80.84,950.0,Packers,Packers,11,Good,3,C,Center,2019
James Daniels,78.87,69.9,80.69,1069.0,Bears,Bears,12,Good,4,C,Center,2019
Matt Skura,78.53,67.42,81.77,717.0,Ravens,Ravens,13,Good,5,C,Center,2019
Chase Roullier,77.97,68.55,80.09,833.0,Commanders,Commanders,14,Good,6,C,Center,2019
Mitch Morse,76.46,66.15,79.16,909.0,Bills,Bills,15,Good,7,C,Center,2019
Ted Karras,75.89,64.5,79.32,1041.0,Patriots,Patriots,16,Good,8,C,Center,2019
Nick Martin,75.75,65.5,78.41,1020.0,Texans,Texans,17,Good,9,C,Center,2019
Daniel Kilgore,75.71,65.94,78.06,877.0,Dolphins,Dolphins,18,Good,10,C,Center,2019
Connor McGovern,75.47,60.0,81.61,1013.0,Broncos,"Broncos, Cowboys",19,Good,11,C,Center,2019
Matt Paradis,75.37,63.4,79.19,1094.0,Panthers,Panthers,20,Good,12,C,Center,2019
Justin Britt,73.51,61.66,77.24,504.0,Seahawks,Seahawks,21,Starter,1,C,Center,2019
Weston Richburg,73.45,62.38,76.66,835.0,49ers,49ers,22,Starter,2,C,Center,2019
Austin Reiter,73.32,63.0,76.03,1045.0,Chiefs,Chiefs,23,Starter,3,C,Center,2019
Trey Hopkins,72.93,62.4,75.78,1097.0,Bengals,Bengals,24,Starter,4,C,Center,2019
Brian Allen,72.52,58.94,77.4,563.0,Rams,Rams,25,Starter,5,C,Center,2019
Garrett Bradbury,70.44,58.1,74.5,989.0,Vikings,Vikings,26,Starter,6,C,Center,2019
Tony Bergstrom,70.18,60.48,72.48,226.0,Commanders,Commanders,27,Starter,7,C,Center,2019
Ryan Kalil,70.15,56.61,75.01,343.0,Jets,Jets,28,Starter,8,C,Center,2019
Mike Pouncey,69.84,58.68,73.12,305.0,Chargers,Chargers,29,Starter,9,C,Center,2019
A.Q. Shipley,69.66,57.6,73.54,1041.0,Cardinals,Cardinals,30,Starter,10,C,Center,2019
Jon Halapio,68.71,56.31,72.81,980.0,Giants,Giants,31,Starter,11,C,Center,2019
Scott Quessenberry,68.68,58.73,71.14,625.0,Chargers,Chargers,32,Starter,12,C,Center,2019
Maurkice Pouncey,65.84,52.07,70.86,777.0,Steelers,Steelers,33,Starter,13,C,Center,2019
Jonotthan Harrison,65.53,52.86,69.81,679.0,Jets,Jets,34,Starter,14,C,Center,2019
