player,grade,model_grade,stats_grade,snaps,primary_team,teams,rank_overall,tier,rank_in_tier,position_key,position_label,season_year
Frank Ragnow,94.49,88.8,94.11,1190.0,Lions,Lions,1,Elite,1,C,Center,2023
Connor Williams,91.9,81.89,94.41,497.0,Dolphins,Dolphins,2,Elite,2,C,Center,2023
Creed Humphrey,89.66,81.4,91.0,1380.0,Chiefs,Chiefs,3,Elite,3,C,Center,2023
Drew Dalman,89.15,81.69,89.96,932.0,Falcons,Falcons,4,Elite,4,C,Center,2023
Erik McCoy,88.94,79.4,91.14,1152.0,Saints,Saints,5,Elite,5,C,Center,2023
Jason Kelce,88.42,78.6,90.8,1165.0,Eagles,Eagles,6,Elite,6,C,Center,2023
Tyler Linderbaum,86.74,78.5,88.06,1043.0,Ravens,Ravens,7,Elite,7,C,Center,2023
Ryan Kelly,85.53,76.65,87.29,882.0,Colts,Colts,8,Elite,8,C,Center,2023
Andre James,83.16,74.44,84.81,963.0,Raiders,Raiders,9,Elite,9,C,Center,2023
Lloyd Cushenberry III,82.89,73.2,85.19,1070.0,Broncos,Broncos,10,Elite,10,C,Center,2023
Aaron Brewer,81.04,71.6,83.16,1050.0,Titans,Titans,11,Elite,11,C,Center,2023
David Andrews,80.87,71.2,83.15,1050.0,Patriots,Patriots,12,Elite,12,C,Center,2023
Ethan Pocic,80.0,70.8,81.96,1070.0,Browns,Browns,13,Elite,13,C,Center,2023
Tyler Biadasz,78.52,69.2,80.56,1123.0,Cowboys,Cowboys,14,Good,1,C,Center,2023
Jake Brendel,77.23,66.3,80.35,1229.0,49ers,49ers,15,Good,2,C,Center,2023
Ted Karras,77.04,67.4,79.3,1075.0,Bengals,Bengals,16,Good,3,C,Center,2023
Sam Mustipher,76.27,63.17,80.84,202.0,Ravens,Ravens,17,Good,4,C,Center,2023
Hjalte Froholdt,75.99,64.1,79.75,1123.0,Cardinals,Cardinals,18,Good,5,C,Center,2023
Mitch Morse,75.0,63.9,78.23,1272.0,Bills,Bills,19,Good,6,C,Center,2023
Corey Linsley,74.29,62.38,78.07,214.0,Chargers,Chargers,20,Good,7,C,Center,2023
Joe Tippmann,74.1,60.93,78.71,852.0,Jets,Jets,21,Good,8,C,Center,2023
Bradley Bozeman,74.01,62.2,77.72,1148.0,Panthers,Panthers,22,Good,9,C,Center,2023
Garrett Bradbury,73.7,60.85,78.1,874.0,Vikings,Vikings,23,Starter,1,C,Center,2023
Jarrett Patterson,69.65,60.27,71.73,464.0,Texans,Texans,24,Starter,2,C,Center,2023
Will Clapp,69.23,57.21,73.08,702.0,Chargers,Chargers,25,Starter,3,C,Center,2023
Mason Cole,68.76,53.2,74.96,1135.0,Steelers,Steelers,26,Starter,4,C,Center,2023
Tyler Larsen,67.64,53.33,73.02,466.0,Commanders,Commanders,27,Starter,5,C,Center,2023
Josh Myers,67.42,54.7,71.73,1212.0,Packers,Packers,28,Starter,6,C,Center,2023
Connor McGovern,67.31,51.17,73.91,371.0,Jets,Jets,29,Starter,7,C,Center,2023
Nick Harris,67.17,59.72,67.97,313.0,Browns,Browns,30,Starter,8,C,Center,2023
Ryan Neuzil,64.79,57.87,65.23,203.0,Falcons,Falcons,31,Starter,9,C,Center,2023
Robert Hainsey,64.77,50.2,70.31,1236.0,Buccaneers,Buccaneers,32,Starter,10,C,Center,2023
Olusegun Oluwatimi,64.43,57.24,65.06,128.0,Seahawks,Seahawks,33,Starter,11,C,Center,2023
Wesley French,63.29,53.93,65.37,270.0,Colts,Colts,34,Starter,12,C,Center,2023
Brock Hoffman,63.2,57.01,63.16,222.0,Cowboys,Cowboys,35,Starter,13,C,Center,2023
Luke Fortner,61.69,44.3,69.11,1163.0,Jaguars,Jaguars,36,Rotation/backup,1,C,Center,2023
John Michael Schmitz Jr.,61.04,43.72,68.42,755.0,Giants,Giants,37,Rotation/backup,2,C,Center,2023
Sauce Gardner,93.13,90.8,91.14,1049.0,Jets,Jets,1,Elite,1,CB,Cornerback,2023
Charvarius Ward,89.19,86.5,87.6,1148.0,49ers,49ers,2,Elite,2,CB,Cornerback,2023
Jaylon Johnson,89.15,90.1,87.98,809.0,Bears,Bears,3,Elite,3,CB,Cornerback,2023
Darious Williams,88.68,85.3,87.35,1035.0,Jaguars,Jaguars,4,Elite,4,CB,Cornerback,2023
DaRon Bland,88.49,86.4,87.19,1020.0,Cowboys,Cowboys,5,Elite,5,CB,Cornerback,2023
Kendall Fuller,86.56,82.8,86.09,1020.0,Commanders,Commanders,6,Elite,6,CB,Cornerback,2023
Christian Benford,85.87,83.3,86.97,837.0,Bills,Bills,7,Elite,7,CB,Cornerback,2023
Derek Stingley Jr.,85.2,85.1,86.5,812.0,Texans,Texans,8,Elite,8,CB,Cornerback,2023
Rasul Douglas,84.63,81.8,83.34,1040.0,Bills,Bills,9,Elite,9,CB,Cornerback,2023
Paulson Adebo,84.04,80.5,84.38,948.0,Saints,Saints,10,Elite,10,CB,Cornerback,2023
