player,grade,model_grade,stats_grade,snaps,primary_team,teams,rank_overall,tier,rank_in_tier,position_key,position_label,season_year
Corey Linsley,95.51,89.9,95.09,734.0,Packers,Packers,1,Elite,1,C,Center,2020
Brandon Linder,88.18,80.0,89.47,530.0,Jaguars,Jaguars,2,Elite,2,C,Center,2020
Ben Jones,86.71,78.6,87.95,1042.0,Titans,Titans,3,Elite,3,C,Center,2020
Cody Whitehair,85.63,76.3,87.68,893.0,Bears,Bears,4,Elite,4,C,Center,2020
J.C. Tretter,85.41,77.3,86.65,1061.0,Browns,Browns,5,Elite,5,C,Center,2020
Frank Ragnow,85.25,80.3,84.38,929.0,Lions,Lions,6,Elite,6,C,Center,2020
Chase Roullier,84.98,76.8,86.26,1089.0,Commanders,Commanders,7,Elite,7,C,Center,2020
Rodney Hudson,82.66,73.6,84.53,1082.0,Raiders,Raiders,8,Elite,8,C,Center,2020
Jason Kelce,82.0,69.6,86.1,1126.0,Eagles,Eagles,9,Elite,9,C,Center,2020
Austin Reiter,79.89,70.9,81.72,867.0,Chiefs,Chiefs,10,Good,1,C,Center,2020
Erik McCoy,79.82,70.1,82.14,1073.0,Saints,Saints,11,Good,2,C,Center,2020
Ryan Kelly,78.8,69.0,81.16,1007.0,Colts,Colts,12,Good,3,C,Center,2020
Ben Garland,78.08,71.1,78.56,333.0,49ers,49ers,13,Good,4,C,Center,2020
Daniel Kilgore,78.04,68.6,80.16,236.0,Chiefs,Chiefs,14,Good,5,C,Center,2020
Ryan Jensen,77.97,64.9,82.51,1061.0,Buccaneers,Buccaneers,15,Good,6,C,Center,2020
David Andrews,77.88,67.7,80.5,724.0,Patriots,Patriots,16,Good,7,C,Center,2020
Patrick Mekari,77.81,66.9,80.91,554.0,Ravens,Ravens,17,Good,8,C,Center,2020
Alex Mack,77.15,65.9,80.48,972.0,Falcons,Falcons,18,Good,9,C,Center,2020
Mitch Morse,76.5,65.8,79.47,880.0,Bills,Bills,19,Good,10,C,Center,2020
Ted Karras,76.26,65.4,79.34,1068.0,Dolphins,Dolphins,20,Good,11,C,Center,2020
