player,Team,Tier,Pred_XGB,Pred_Transformer,Ensemble_Pred,Conf_Lower,Conf_Upper,Vol_Index,Age_Adjustment,Last_Grade_2024,YoY_Change_Pred,Touches_2024,Age_2024
David Montgomery,Lions,Elite,86.55,75.68,79.61,67.39,91.83,0.365,1.5,85.9,-6.290000000000006,228.0,27.0
James Cook,Bills,Elite,79.29,76.29,77.79,64.02,91.56,0.517,0.0,86.2,-8.409999999999997,298.0,24.0
Jahmyr Gibbs,Lions,Elite,79.51,75.88,77.69,64.63,90.75,0.447,0.0,90.1,-12.409999999999997,322.0,22.0
De'Von Achane,Dolphins,Elite,78.48,76.39,77.43,63.94,90.93,0.49,0.0,81.6,-4.1699999999999875,281.0,22.0
Bucky Irving,Buccaneers,Elite,77.6,75.31,76.45,61.83,91.07,0.6,0.0,90.8,-14.349999999999994,273.0,22.0
Kenneth Walker III,Seahawks,Elite,76.3,76.08,76.19,64.74,87.64,0.29,0.0,88.4,-12.210000000000008,199.0,23.0
Najee Harris,Steelers,Elite,76.04,75.57,75.81,65.38,86.24,0.189,0.0,77.2,-1.3900000000000006,308.0,26.0
Ray Davis,Bills,Elite,76.3,75.15,75.73,61.11,90.35,0.6,0.0,70.4,5.329999999999998,137.0,24.0
Emanuel Wilson,Packers,Starter,73.68,75.89,74.78,60.16,89.4,0.6,0.0,82.9,-8.120000000000005,118.0,25.0
Justice Hill,Ravens,Starter,74.65,74.67,74.66,60.91,88.4,0.514,0.0,79.5,-4.840000000000003,107.0,26.0
Jordan Mason,49ers,Starter,72.99,75.39,74.19,59.57,88.81,0.6,0.0,72.7,1.4899999999999949,164.0,25.0
Tyler Allgeier,Falcons,Starter,72.61,75.75,74.18,64.04,84.32,0.16,0.0,86.4,-12.219999999999999,150.0,24.0
Josh Jacobs,Packers,Starter,72.5,75.65,74.07,59.91,88.24,0.555,0.0,92.3,-18.230000000000004,358.0,26.0
Rachaad White,Buccaneers,Starter,75.59,72.46,74.03,61.82,86.23,0.363,0.0,73.8,0.23000000000000398,198.0,25.0
Jaylen Warren,Steelers,Starter,73.74,74.13,73.93,61.39,86.47,0.396,0.0,64.3,9.63000000000001,164.0,25.0
Sean Tucker,Buccaneers,Starter,73.93,73.8,73.87,59.25,88.49,0.6,0.0,80.0,-6.1299999999999955,59.0,22.0
Chase Brown,Bengals,Starter,70.95,76.37,73.66,58.79,88.53,0.624,0.0,75.7,-2.0400000000000063,283.0,24.0
Rico Dowdle,Cowboys,Starter,71.25,75.61,73.43,60.52,86.34,0.433,0.0,73.9,-0.46999999999999886,274.0,26.0
Jaleel McLaughlin,Broncos,Starter,72.68,74.11,73.39,58.53,88.26,0.624,0.0,65.2,8.189999999999998,140.0,23.0
Zach Charbonnet,Seahawks,Starter,70.61,76.09,73.35,62.17,84.53,0.263,0.0,77.5,-4.150000000000006,177.0,23.0
Tyjae Spears,Titans,Starter,72.25,74.39,73.32,61.71,84.94,0.305,0.0,67.8,5.519999999999996,115.0,23.0
Kyren Williams,Rams,Starter,70.08,76.05,73.07,59.74,86.4,0.473,0.0,69.1,3.969999999999999,389.0,24.0
Rhamondre Stevenson,Patriots,Starter,73.7,72.19,72.94,60.99,84.9,0.338,0.0,69.6,3.3400000000000034,240.0,26.0
Antonio Gibson,Patriots,Starter,73.73,71.62,72.68,59.89,85.46,0.42,0.0,72.6,0.0800000000000125,143.0,26.0
Bijan Robinson,Falcons,Starter,69.39,75.82,72.6,56.11,89.09,0.783,0.0,92.8,-20.200000000000003,365.0,22.0
Tank Bigsby,Jaguars,Starter,69.73,75.41,72.57,57.85,87.29,0.61,0.0,68.1,4.469999999999999,175.0,22.0
Brian Robinson,Commanders,Starter,69.31,75.57,72.44,61.43,83.46,0.247,0.0,72.0,0.4399999999999977,247.0,25.0
Breece Hall,Jets,Starter,69.38,75.03,72.2,57.43,86.97,0.615,0.0,62.0,10.200000000000003,266.0,23.0
Tyrone Tracy,Giants,Starter,72.75,71.55,72.15,57.53,86.77,0.6,0.0,58.4,13.750000000000007,230.0,24.0
Chuba Hubbard,Panthers,Starter,70.62,72.85,71.74,59.19,84.28,0.397,0.0,75.9,-4.160000000000011,293.0,25.0
Trey Benson,Cardinals,Starter,68.58,74.62,71.6,56.98,86.22,0.6,0.0,62.8,8.799999999999997,69.0,22.0
Jaylen Wright,Dolphins,Starter,69.71,72.73,71.22,56.6,85.84,0.6,0.0,65.3,5.920000000000002,71.0,21.0
Carson Steele,Chiefs,Starter,71.47,70.64,71.06,56.44,85.68,0.6,0.0,52.6,18.46,63.0,21.0
Joe Mixon,Texans,Starter,72.84,75.09,70.97,58.42,83.52,0.397,3.0,76.6,-5.6299999999999955,327.0,28.0
J.K. Dobbins,Chargers,Starter,65.86,76.0,70.93,59.12,82.74,0.325,0.0,66.6,4.3300000000000125,236.0,25.0
James Conner,Cardinals,Starter,76.13,76.28,70.71,57.41,84.0,0.47,5.5,90.4,-19.690000000000012,283.0,29.0
Jerome Ford,Browns,Starter,67.66,73.69,70.67,59.63,81.72,0.249,0.0,71.2,-0.5300000000000011,141.0,24.0
Blake Corum,Rams,Starter,68.94,71.62,70.28,55.66,84.9,0.6,0.0,72.0,-1.7199999999999989,65.0,23.0
Travis Etienne Jr.,Jaguars,Starter,69.55,69.93,69.74,56.54,82.95,0.461,0.0,60.7,9.039999999999992,189.0,25.0
Audric Estime,Broncos,Starter,66.31,72.82,69.57,54.95,84.19,0.6,0.0,62.3,7.269999999999996,81.0,20.0
Jeremy McNichols,Commanders,Starter,71.14,73.58,69.36,57.8,80.92,0.3,3.0,72.0,-2.6400000000000006,69.0,28.0
Isiah Pacheco,Chiefs,Starter,71.31,67.17,69.24,55.12,83.35,0.55,0.0,64.2,5.039999999999992,107.0,25.0
Tony Pollard,Titans,Starter,69.14,71.57,68.86,55.06,82.65,0.519,1.5,68.7,0.1599999999999966,301.0,27.0
Aaron Jones,Vikings,Starter,78.27,70.05,68.66,57.71,79.62,0.241,5.5,75.4,-6.740000000000009,322.0,29.0
